PeakID (cmd=annotatePeaks.pl GATA2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_21833	chrX	110089623	110089888	+	0	NA	intron (TMEM164, intron 3 of 6)	NA	7637	MIR3978								
Interval_10661	chr2	82841119	82841262	+	0	NA	Intergenic	NA	-15613	LOC1720								
Interval_6797	chr15	62159384	62159514	+	0	NA	Intergenic	NA	5834	C2CD4B								
Interval_3862	chr11	110976988	110977434	+	0	NA	Intergenic	NA	-120125	LOC102723966								
Interval_17913	chr6	143259024	143259279	+	0	NA	intron (AIG1, intron 3 of 5)	NA	191553	ADAT2								
Interval_9417	chr19	10286838	10287176	+	0	NA	promoter-TSS (ICAM4)	NA	40	ICAM4								
Interval_7418	chr16	29863330	29863496	+	0	NA	promoter-TSS (CDIPT-AS1)	NA	-125	CDIPT								
Interval_4015	chr11	127598555	127598760	+	0	NA	Intergenic	NA	327590	RP11-480C22.1								
Interval_9322	chr19	4968639	4969130	+	0	NA	promoter-TSS (KDM4B)	NA	-228	KDM4B								
Interval_18708	chr7	81584763	81584898	+	0	NA	intron (AC010091.1, intron 7 of 10)	NA	41386	AC010091.1								
Interval_19755	chr8	57398875	57399090	+	0	NA	Intergenic	NA	55195	RP11-756K15.2								
Interval_4759	chr12	85394935	85395141	+	0	NA	Intergenic	NA	114780	ALX1								
Interval_11977	chr20	19452069	19452199	+	0	NA	intron (SLC24A3, intron 2 of 16)	NA	-167538	RP5-1027G4.3								
Interval_1862	chr1	225646856	225646998	+	0	NA	intron (ENAH, intron 1 of 14)	NA	6165	ENAH								
Interval_17217	chr6	37157022	37157428	+	0	NA	Intergenic	NA	-12921	PIM1								
Interval_20311	chr8	117673623	117673828	+	0	NA	Intergenic	NA	153012	MED30								
Interval_12429	chr21	17451850	17452015	+	0	NA	Intergenic	NA	2927	TRNAG27								
Interval_4191	chr12	9810867	9811110	+	0	NA	Intergenic	NA	-16493	KLRF1								
Interval_4425	chr12	42698107	42698541	+	0	NA	Intergenic	NA	-51826	RP11-609L23.1								
Interval_19306	chr8	11775816	11775956	+	0	NA	intron (NEIL2, intron 3 of 4)	NA	6223	NEIL2								
Interval_3975	chr11	122779202	122779393	+	0	NA	intron (UBASH3B, intron 3 of 13)	NA	5283	UBASH3B								
Interval_16481	chr5	140303052	140303284	+	0	NA	promoter-TSS (PFDN1)	NA	-64	PFDN1								
Interval_5348	chr13	30740169	30740372	+	0	NA	intron (ALOX5AP, intron 1 of 4)	NA	26792	ALOX5AP								
Interval_4463	chr12	47215417	47215912	+	0	NA	intron (PCED1B-AS1, intron 2 of 2)	NA	779	PCED1B-AS1								
Interval_12622	chr21	39445200	39445330	+	0	NA	promoter-TSS (SH3BGR)	NA	514	LCA5L								
Interval_10954	chr2	129046564	129046778	+	0	NA	Intergenic	NA	182071	LOC101927881								
Interval_18941	chr7	116859284	116859540	+	0	NA	Intergenic	NA	-3097	CAPZA2								
Interval_3515	chr11	63581346	63581576	+	0	NA	intron (PLA2G16, intron 4 of 4)	NA	-18078	HRASLS2								
Interval_16075	chr5	76893382	76893658	+	0	NA	intron (S100Z, intron 4 of 4)	NA	43519	S100Z								
Interval_16029	chr5	72298294	72298424	+	0	NA	intron (MRPS27, intron 2 of 10)	NA	21898	MRPS27								
Interval_12423	chr21	15626142	15626334	+	0	NA	Intergenic	NA	-192483	USP25								
Interval_8384	chr17	50095203	50095350	+	0	NA	promoter-TSS (PDK2)	NA	-419	PDK2								
Interval_11317	chr2	181899061	181899231	+	0	NA	intron (SSFA2, intron 6 of 16)	NA	7338	SSFA2								
Interval_18141	chr6	170525931	170526061	+	0	NA	Intergenic	NA	27333	PSMB1								
Interval_11084	chr2	147538216	147538446	+	0	NA	Intergenic	NA	-306186	ACVR2A								
Interval_12899	chr22	34674592	34674822	+	0	NA	Intergenic	NA	-391430	ISX								
Interval_13051	chr22	49300333	49300630	+	0	NA	Intergenic	NA	140735	LOC101927775								
Interval_13192	chr3	12350335	12350488	+	0	NA	intron (PPARG, intron 2 of 7)	NA	61474	PPARG								
Interval_20259	chr8	111832122	111832436	+	0	NA	Intergenic	NA	-596098	RP11-946L20.4								
Interval_19865	chr8	67634507	67634637	+	0	NA	intron (CPA6, intron 1 of 10)	NA	111813	CPA6								
Interval_7371	chr16	23901296	23901698	+	0	NA	intron (PRKCB, intron 2 of 16)	NA	65518	PRKCB								
Interval_1130	chr1	145826140	145826355	+	0	NA	intron (POLR3C, intron 2 of 15)	NA	2018	POLR3C								
Interval_5777	chr14	26425741	26425878	+	0	NA	Intergenic	NA	171945	NOVA1								
Interval_20255	chr8	110673804	110674300	+	0	NA	Intergenic	NA	353385	RP11-946L20.2								
Interval_666	chr1	74056220	74056428	+	0	NA	intron (LRRIQ3, intron 6 of 6)	NA	141863	LRRIQ3								
Interval_19751	chr8	57112804	57112948	+	0	NA	Intergenic	NA	-80745	RP11-513O17.2								
Interval_7556	chr16	54929153	54929309	+	0	NA	promoter-TSS (CRNDE)	NA	-453	CRNDE								
Interval_2842	chr10	97498700	97498856	+	0	NA	promoter-TSS (MMS19)	NA	-205	MMS19								
Interval_13345	chr3	29245999	29246196	+	0	NA	Intergenic	NA	34842	RBMS3-AS3								
Interval_5268	chr13	25237885	25238217	+	0	NA	Intergenic	NA	49515	MTMR6								
Interval_11324	chr2	182733764	182733913	+	0	NA	intron (DNAJC10, intron 10 of 22)	NA	17797	DNAJC10								
Interval_19262	chr8	8139601	8139898	+	0	NA	Intergenic	NA	-50698	MIR548I3								
Interval_6175	chr14	80978386	80978728	+	0	NA	intron (TSHR, intron 2 of 9)	NA	23568	TSHR								
Interval_1804	chr1	219534538	219534668	+	0	NA	Intergenic	NA	93232	LOC101929713								
Interval_5871	chr14	45250255	45250466	+	0	NA	intron (MIS18BP1, intron 1 of 17)	NA	3042	MIS18BP1								
Interval_6367	chr14	105981953	105982359	+	0	NA	Intergenic	NA	-4568	LOC102723435								
Interval_7558	chr16	55333600	55333836	+	0	NA	Intergenic	NA	9159	IRX6								
Interval_6129	chr14	75678376	75678506	+	0	NA	intron (TTLL5, intron 3 of 31)	NA	17233	TTLL5								
Interval_15541	chr4	175290546	175290747	+	0	NA	Intergenic	NA	372288	ADAM29								
Interval_13034	chr22	45643101	45643293	+	0	NA	Intergenic	NA	-28601	ATXN10								
Interval_16879	chr6	7198813	7199043	+	0	NA	intron (RREB1, intron 7 of 13)	NA	37647	RREB1								
Interval_18432	chr7	37825007	37825455	+	0	NA	Intergenic	NA	-23366	NME8								
Interval_9750	chr19	38899768	38900128	+	0	NA	promoter-TSS (NFKBIB)	NA	248	NFKBIB								
Interval_11480	chr2	202279034	202279191	+	0	NA	intron (NOP58, intron 3 of 14)	NA	2681	SNORD70								
Interval_4924	chr12	104108980	104109578	+	0	NA	Intergenic	NA	28962	NFYB								
Interval_7894	chr17	4662423	4662711	+	0	NA	Intergenic	NA	-20902	ALOX15								
Interval_11370	chr2	190875951	190876248	+	0	NA	Intergenic	NA	-4722	GLS								
Interval_14184	chr3	149017300	149017598	+	0	NA	intron (GYG1, intron 5 of 5)	NA	26041	GYG1								
Interval_4993	chr12	111394060	111394426	+	0	NA	Intergenic	NA	-11674	SH2B3								
Interval_4506	chr12	50665251	50665413	+	0	NA	intron (DIP2B, intron 5 of 37)	NA	-98674	ATF1								
Interval_17790	chr6	133804199	133804627	+	0	NA	intron (RP3-323P13.2, intron 2 of 8)	NA	-16734	MGC34034								
Interval_8064	chr17	21977796	21978026	+	0	NA	Intergenic	NA	-194476	LOC100996792-2								
Interval_867	chr1	102597617	102597812	+	0	NA	Intergenic	NA	510782	COL11A1								
Interval_7520	chr16	50739093	50739370	+	0	NA	intron (LOC102724907, intron 2 of 2)	NA	-2860	CYLD								
Interval_130	chr1	16352405	16352643	+	0	NA	promoter-TSS (FBXO42)	NA	-14506	SZRD1								
Interval_8373	chr17	49677460	49677686	+	0	NA	intron (SPOP, intron 1 of 10)	NA	590	SPOP								
Interval_11246	chr2	172177803	172177933	+	0	NA	Intergenic	NA	-75118	DLX2								
Interval_18081	chr6	161393972	161394195	+	0	NA	intron (PARK2, intron 6 of 8)	NA	-228440	AGPAT4								
Interval_16907	chr6	11097577	11097815	+	0	NA	intron (SMIM13, intron 1 of 1)	NA	3663	SMIM13								
Interval_13048	chr22	48322608	48322807	+	0	NA	Intergenic	NA	48343	MIR3201								
Interval_20070	chr8	94846597	94846913	+	0	NA	intron (INTS8, intron 10 of 27)	NA	23465	INTS8								
Interval_8765	chr18	3656432	3656562	+	0	NA	intron (DLGAP1, intron 5 of 11)	NA	62383	DLGAP1-AS1								
Interval_18403	chr7	34959163	34959293	+	0	NA	intron (DPY19L1, intron 10 of 21)	NA	16981	LOC102724723								
Interval_7818	chr16	89247608	89247725	+	0	NA	Intergenic	NA	-20438	LOC101927838								
Interval_15636	chr5	2746756	2747053	+	0	NA	exon (IRX2, exon 4 of 4)	NA	4751	IRX2								
Interval_2490	chr10	58266912	58267112	+	0	NA	intron (IPMK, intron 1 of 5)	NA	922	IPMK								
Interval_9070	chr18	58671282	58671407	+	0	NA	promoter-TSS (MALT1)	NA	-76	MALT1								
Interval_20156	chr8	101460869	101460999	+	0	NA	TTS (LOC101927172)	NA	-31506	GRHL2								
Interval_19360	chr8	19080890	19081119	+	0	NA	Intergenic	NA	-67318	PSD3								
Interval_9340	chr19	6373206	6373573	+	0	NA	promoter-TSS (ALKBH7)	NA	-266	ALKBH7								
Interval_943	chr1	110955468	110955598	+	0	NA	intron (LRIF1, intron 1 of 3)	NA	8664	LRIF1								
Interval_11086	chr2	148721343	148721499	+	0	NA	intron (EPC2, intron 2 of 13)	NA	76430	EPC2								
Interval_1590	chr1	194688146	194688276	+	0	NA	Intergenic	NA	1231269	LOC102723336								
Interval_7208	chr16	2412825	2412964	+	0	NA	intron (ABCA17P, intron 13 of 16)	NA	-16500	CCNF								
Interval_1833	chr1	221955480	221955611	+	0	NA	Intergenic	NA	-114860	RP11-191N8.2								
Interval_20432	chr8	125892988	125893258	+	0	NA	Intergenic	NA	29235	LOC101927634								
Interval_2783	chr10	91762918	91763186	+	0	NA	Intergenic	NA	35144	TNKS2-AS1								
Interval_4985	chr12	110354152	110354408	+	0	NA	Intergenic	NA	49450	ANAPC7								
Interval_5753	chr14	23469418	23469535	+	0	NA	promoter-TSS (NGDN)	NA	-213	NGDN								
Interval_13161	chr3	9590168	9590894	+	0	NA	Intergenic	NA	-36729	LHFPL4								
Interval_12827	chr22	28741822	28741939	+	0	NA	promoter-TSS (CHEK2)	NA	-46	CHEK2								
Interval_14792	chr4	39369291	39369532	+	0	NA	Intergenic	NA	-3030	RFC1								
Interval_12904	chr22	35437660	35437863	+	0	NA	intron (MCM5, intron 16 of 16)	NA	37698	MCM5								
Interval_4848	chr12	93784385	93784895	+	0	NA	intron (CRADD, intron 2 of 2)	NA	-46817	RP11-887P2.5								
Interval_17018	chr6	17687288	17687457	+	0	NA	intron (NUP153, intron 2 of 21)	NA	19053	NUP153								
Interval_13750	chr3	78266681	78266811	+	0	NA	Intergenic	NA	752713	ROBO1								
Interval_556	chr1	58884000	58884138	+	0	NA	intron (LINC01135, intron 1 of 1)	NA	69650	LOC101926907								
Interval_6771	chr15	59063170	59063300	+	0	NA	intron (RNF111, intron 5 of 13)	NA	-41850	CCNB2								
Interval_1324	chr1	162142173	162142441	+	0	NA	intron (NOS1AP, intron 1 of 9)	NA	-14800	MIR4654								
Interval_2148	chr10	6885044	6885244	+	0	NA	Intergenic	NA	105546	LINC00707								
Interval_12582	chr21	36249530	36249840	+	0	NA	intron (DOPEY2, intron 21 of 36)	NA	30283	LOC102724619								
Interval_10805	chr2	101716442	101716572	+	0	NA	intron (MAP4K4, intron 2 of 30)	NA	18500	MAP4K4								
Interval_5847	chr14	39748956	39749196	+	0	NA	Intergenic	NA	-316576	FBXO33								
Interval_7032	chr15	85293476	85293606	+	0	NA	Intergenic	NA	36680	LOC101929641								
Interval_13138	chr3	5191648	5191939	+	0	NA	intron (EDEM1, intron 1 of 10)	NA	4119	EDEM1								
Interval_20692	chr9	15911197	15911330	+	0	NA	intron (CCDC171, intron 24 of 25)	NA	23226	LOC100506331								
Interval_13756	chr3	81378833	81379337	+	0	NA	Intergenic	NA	-28101	LOC102723326								
Interval_4365	chr12	29183892	29184022	+	0	NA	intron (FAR2, intron 1 of 11)	NA	-39666	FAR2								
Interval_779	chr1	90925949	90926289	+	0	NA	intron (ZNF644, intron 2 of 3)	NA	-89958	LOC149351								
Interval_17849	chr6	137282277	137282506	+	0	NA	Intergenic	NA	-63276	IFNGR1								
Interval_11820	chr20	1392577	1393258	+	0	NA	promoter-TSS (MIR6869)	NA	44	MIR6869								
Interval_11	chr1	1471640	1471815	+	0	NA	promoter-TSS (ATAD3B)	NA	-32	ATAD3B								
Interval_15869	chr5	50432248	50432449	+	0	NA	intron (EMB, intron 1 of 8)	NA	9052	EMB								
Interval_20718	chr9	19060392	19060580	+	0	NA	intron (HAUS6, intron 14 of 16)	NA	3300	SCARNA8								
Interval_1724	chr1	207873470	207873644	+	0	NA	Intergenic	NA	37781	CD34								
Interval_18482	chr7	43105011	43105141	+	0	NA	Intergenic	NA	-7553	HECW1								
Interval_20082	chr8	95758776	95758948	+	0	NA	intron (LOC100616530, intron 2 of 2)	NA	189486	LOC100500773								
Interval_5057	chr12	118332725	118332996	+	0	NA	intron (TAOK3, intron 1 of 20)	NA	26840	TAOK3								
Interval_8505	chr17	64327333	64327485	+	0	NA	intron (PECAM1, intron 14 of 14)	NA	-64086	TEX2								
Interval_20163	chr8	102238987	102239129	+	0	NA	promoter-TSS (RRM2B)	NA	-227	RRM2B								
Interval_914	chr1	108956809	108957225	+	0	NA	intron (CLCC1, intron 1 of 11)	NA	6482	CLCC1								
Interval_631	chr1	67451956	67452115	+	0	NA	Intergenic	NA	-21595	SERBP1								
Interval_16008	chr5	68037678	68037965	+	0	NA	Intergenic	NA	-152055	LOC102467655								
Interval_15800	chr5	37793073	37793225	+	0	NA	Intergenic	NA	42678	GDNF								
Interval_12541	chr21	33368193	33368377	+	0	NA	Intergenic	NA	-35152	IFNGR2								
Interval_11673	chr2	227479868	227480134	+	0	NA	intron (AGFG1, intron 1 of 12)	NA	7829	AGFG1								
Interval_7762	chr16	84810917	84811314	+	0	NA	Intergenic	NA	-8870	CRISPLD2								
Interval_10379	chr2	42367021	42367193	+	0	NA	Intergenic	NA	-5891	COX7A2L								
Interval_965	chr1	113217887	113218017	+	0	NA	Intergenic	NA	-11699	LOC643441								
Interval_7871	chr17	2811972	2812139	+	0	NA	intron (RAP1GAP2, intron 2 of 24)	NA	-41900	RAP1GAP2								
Interval_4958	chr12	107662700	107662911	+	0	NA	Intergenic	NA	-23008	PWP1								
Interval_9579	chr19	17518715	17518987	+	0	NA	intron (PGLS, intron 4 of 4)	NA	7382	PGLS								
Interval_9757	chr19	39337817	39338054	+	0	NA	Intergenic	NA	-1849	GMFG								
Interval_1817	chr1	221000191	221000455	+	0	NA	Intergenic	NA	-77515	LOC101929750								
Interval_21937	chrX	148654359	148654504	+	0	NA	intron (AFF2, intron 2 of 20)	NA	153812	AFF2								
Interval_14269	chr3	158265210	158265340	+	0	NA	intron (RSRC1, intron 4 of 9)	NA	159326	RSRC1								
Interval_20675	chr9	7406329	7406555	+	0	NA	Intergenic	NA	-60358	LOC102723994								
Interval_7336	chr16	19067444	19067617	+	0	NA	promoter-TSS (COQ7)	NA	-47	LOC102723385								
Interval_12918	chr22	36263413	36263642	+	0	NA	intron (APOL1, intron 5 of 5)	NA	10456	APOL1								
Interval_14614	chr4	6673842	6674025	+	0	NA	promoter-TSS (LOC93622)	NA	-161	LOC93622								
Interval_13691	chr3	67923895	67924151	+	0	NA	intron (RP11-81N13.1, intron 6 of 6)	NA	-67569	FAM19A1								
Interval_20685	chr9	12889459	12889590	+	0	NA	Intergenic	NA	114534	LURAP1L								
Interval_8263	chr17	41919055	41919221	+	0	NA	promoter-TSS (ACLY)	NA	-119	ACLY								
Interval_21128	chr9	110673136	110673339	+	0	NA	intron (MUSK, intron 1 of 12)	NA	4582	MUSK								
Interval_924	chr1	109796798	109797046	+	0	NA	Intergenic	NA	-35149	EPS8L3								
Interval_15714	chr5	18236431	18236695	+	0	NA	Intergenic	NA	429257	RP11-454P21.1								
Interval_7281	chr16	11162899	11163121	+	0	NA	intron (CLEC16A, intron 22 of 22)	NA	93172	SOCS1								
Interval_7831	chr16	90077333	90077545	+	0	NA	promoter-TSS (PRDM7)	NA	-1509	PRDM7								
Interval_15532	chr4	173370799	173370942	+	0	NA	promoter-TSS (SAP30)	NA	-72	SAP30								
Interval_15326	chr4	127124372	127124559	+	0	NA	Intergenic	NA	-28112	LOC102724210								
Interval_12835	chr22	29084042	29084375	+	0	NA	intron (KREMEN1, intron 1 of 8)	NA	11130	KREMEN1								
Interval_17125	chr6	30670614	30670816	+	0	NA	intron (DHX16, intron 3 of 19)	NA	2338	DHX16								
Interval_9565	chr19	17075184	17075476	+	0	NA	promoter-TSS (MYO9B)	NA	203	HAUS8								
Interval_15952	chr5	60219978	60220117	+	0	NA	intron (PDE4D, intron 1 of 16)	NA	-267885	PART1								
Interval_15167	chr4	99194777	99195075	+	0	NA	intron (RP11-696N14.1, intron 3 of 9)	NA	24317	ADH6								
Interval_7109	chr15	95559871	95560101	+	0	NA	Intergenic	NA	126893	LINC00924								
Interval_2512	chr10	62038996	62039225	+	0	NA	intron (ARID5B, intron 4 of 9)	NA	-10101	ARID5B								
Interval_18868	chr7	106717886	106718145	+	0	NA	Intergenic	NA	-56827	CCDC71L								
Interval_17639	chr6	108738020	108738221	+	0	NA	Intergenic	NA	-13534	LINC00222								
Interval_18753	chr7	92836129	92836344	+	0	NA	promoter-TSS (AC002454.1)	NA	-247	AC002454.1								
Interval_1199	chr1	153727748	153728039	+	0	NA	promoter-TSS (INTS3)	NA	-24489	INTS3								
Interval_16715	chr5	169636062	169636326	+	0	NA	Intergenic	NA	-1053	DOCK2								
Interval_7902	chr17	5016971	5017205	+	0	NA	intron (KIF1C, intron 18 of 22)	NA	3005	LOC102724009								
Interval_20954	chr9	91047546	91048012	+	0	NA	Intergenic	NA	27353	LOC100129316								
Interval_17386	chr6	60530809	60531051	+	0	NA	Intergenic	NA	-1043173	MTRNR2L9								
Interval_8548	chr17	68297218	68297508	+	0	NA	intron (ARSG, intron 1 of 11)	NA	2206	ARSG								
Interval_12540	chr21	33324758	33325071	+	0	NA	promoter-TSS (IFNAR1)	NA	5	IFNAR1								
Interval_3826	chr11	104669031	104669432	+	0	NA	Intergenic	NA	-96634	LOC102723895								
Interval_8906	chr18	29096475	29096662	+	0	NA	Intergenic	NA	-919087	CDH2								
Interval_17034	chr6	20426542	20426674	+	0	NA	intron (E2F3, intron 1 of 6)	NA	22929	E2F3								
Interval_10658	chr2	82330130	82330441	+	0	NA	Intergenic	NA	-526518	LOC1720								
Interval_1184	chr1	152142033	152142227	+	0	NA	Intergenic	NA	17098	RPTN								
Interval_1354	chr1	166971050	166971211	+	0	NA	intron (ILDR2, intron 1 of 9)	NA	17862	ILDR2								
Interval_4195	chr12	10102250	10102505	+	0	NA	Intergenic	NA	-3363	CLEC1A								
Interval_505	chr1	52532682	52533070	+	0	NA	intron (ZCCHC11, intron 1 of 29)	NA	20223	ZCCHC11								
Interval_1528	chr1	184841414	184841707	+	0	NA	intron (FAM129A, intron 5 of 13)	NA	-86653	EDEM3								
Interval_4715	chr12	75622597	75622835	+	0	NA	Intergenic	NA	-111078	KRR1								
Interval_9878	chr19	45464269	45464504	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	-3609	FOSB								
Interval_7594	chr16	58629748	58630228	+	0	NA	promoter-TSS (CNOT1)	NA	-102	CNOT1								
Interval_21047	chr9	101996572	101996749	+	0	NA	Intergenic	NA	-258080	GRIN3A								
Interval_8613	chr17	74980265	74980562	+	0	NA	Intergenic	NA	-7219	CDR2L								
Interval_5842	chr14	39628167	39628464	+	0	NA	Intergenic	NA	-195815	FBXO33								
Interval_2588	chr10	70232247	70232461	+	0	NA	intron (PPA1, intron 1 of 10)	NA	1080	PPA1								
Interval_12454	chr21	21051773	21051955	+	0	NA	intron (NCAM2, intron 1 of 17)	NA	53549	NCAM2								
Interval_7736	chr16	81096342	81096510	+	0	NA	promoter-TSS (GCSH)	NA	-51	GCSH								
Interval_1933	chr1	231530053	231530419	+	0	NA	intron (TSNAX-DISC1, intron 2 of 10)	NA	1583	TSNAX								
Interval_6218	chr14	87628360	87628540	+	0	NA	Intergenic	NA	364821	GALC								
Interval_21514	chrX	5646890	5647350	+	0	NA	Intergenic	NA	78879	LOC101928228								
Interval_13316	chr3	25266889	25267037	+	0	NA	Intergenic	NA	-161380	RARB								
Interval_18461	chr7	40172386	40172560	+	0	NA	intron (SUGCT, intron 1 of 12)	NA	37497	SUGCT								
Interval_15163	chr4	98828841	98829033	+	0	NA	Intergenic	NA	101698	EIF4E								
Interval_3954	chr11	120801736	120801866	+	0	NA	intron (GRIK4, intron 2 of 19)	NA	92996	LOC101929227								
Interval_9726	chr19	37289295	37289464	+	0	NA	Intergenic	NA	-20369	LOC284412								
Interval_10679	chr2	85548227	85548406	+	0	NA	TTS (GGCX)	NA	9338	MAT2A								
Interval_3255	chr11	21474649	21474828	+	0	NA	intron (NELL1, intron 15 of 18)	NA	-604931	LOC102723370								
Interval_16677	chr5	160343700	160343884	+	0	NA	Intergenic	NA	11493	C1QTNF2								
Interval_13718	chr3	72083062	72083439	+	0	NA	intron (LINC00877, intron 2 of 6)	NA	17205	LINC00877								
Interval_5364	chr13	31998144	31998365	+	0	NA	Intergenic	NA	33385	FRY-AS1								
Interval_4626	chr12	64598816	64599018	+	0	NA	Intergenic	NA	-11596	RASSF3								
Interval_1078	chr1	125174950	125175105	+	0	NA	Intergenic	NA	3655915	EMBP1								
Interval_6627	chr15	43307700	43307997	+	0	NA	Intergenic	NA	-5593	TGM7								
Interval_8636	chr17	76458411	76458541	+	0	NA	intron (AANAT, intron 1 of 6)	NA	5125	AANAT								
Interval_4687	chr12	70365976	70366133	+	0	NA	promoter-TSS (KCNMB4)	NA	-254	KCNMB4								
Interval_21803	chrX	102858981	102859111	+	0	NA	intron (LINC00630, intron 6 of 7)	NA	-78226	RAB40AL								
Interval_4789	chr12	89208652	89208798	+	0	NA	Intergenic	NA	143794	DUSP6								
Interval_15893	chr5	53375014	53375419	+	0	NA	Intergenic	NA	-105139	FST								
Interval_18892	chr7	109862861	109863059	+	0	NA	Intergenic	NA	97253	EIF3IP1								
Interval_5069	chr12	119578058	119578539	+	0	NA	Intergenic	NA	-15236	TMEM233								
Interval_11545	chr2	210738555	210738703	+	0	NA	Intergenic	NA	121058	CPS1-IT1								
Interval_5812	chr14	34651139	34651419	+	0	NA	Intergenic	NA	-21121	SNX6								
Interval_19101	chr7	142808665	142809169	+	0	NA	Intergenic	NA	37940	PRSS2								
Interval_3735	chr11	86052984	86053308	+	0	NA	intron (PICALM, intron 1 of 18)	NA	15935	PICALM								
Interval_15034	chr4	75698620	75698768	+	0	NA	intron (G3BP2, intron 1 of 12)	NA	25776	G3BP2								
Interval_11722	chr2	233083950	233084080	+	0	NA	intron (INPP5D, intron 2 of 26)	NA	23689	INPP5D								
Interval_13811	chr3	100138598	100138728	+	0	NA	intron (CMSS1, intron 1 of 9)	NA	23733	CMSS1								
Interval_5875	chr14	46645705	46645835	+	0	NA	Intergenic	NA	6055	RPL10L								
Interval_16189	chr5	96043313	96043679	+	0	NA	intron (CTD-2337A12.1, intron 1 of 2)	NA	-35657	MIR583								
Interval_10605	chr2	71064111	71064430	+	0	NA	Intergenic	NA	-4380	NAGK								
Interval_15061	chr4	78650299	78650456	+	0	NA	intron (LINC01094, intron 2 of 2)	NA	4383	LINC01094								
Interval_3167	chr11	10659737	10659964	+	0	NA	intron (MRVI1, intron 1 of 19)	NA	34138	MRVI1								
Interval_8504	chr17	64147290	64147557	+	0	NA	TTS (TEX2)	NA	1084	SNORA76								
Interval_551	chr1	58648575	58648886	+	0	NA	Intergenic	NA	51336	MYSM1								
Interval_6220	chr14	87694750	87694922	+	0	NA	Intergenic	NA	298435	GALC								
Interval_19636	chr8	41961199	41961458	+	0	NA	intron (KAT6A, intron 8 of 16)	NA	90659	KAT6A								
Interval_1594	chr1	194977548	194977848	+	0	NA	Intergenic	NA	1520756	LOC102723336								
Interval_20313	chr8	117836221	117836481	+	0	NA	intron (EXT1, intron 2 of 10)	NA	275468	EXT1								
Interval_16406	chr5	131657739	131657872	+	0	NA	intron (FNIP1, intron 14 of 16)	NA	-22569	RAPGEF6								
Interval_13591	chr3	52752222	52752592	+	0	NA	intron (NEK4, intron 6 of 15)	NA	18539	NEK4								
Interval_6229	chr14	88821948	88822237	+	0	NA	Intergenic	NA	-2061	TTC8								
Interval_600	chr1	63231434	63231579	+	0	NA	intron (LINC00466, intron 4 of 11)	NA	85724	LINC00466								
Interval_14244	chr3	155334750	155335232	+	0	NA	Intergenic	NA	-41291	RP11-451G4.2								
Interval_18208	chr7	7257617	7257839	+	0	NA	intron (LOC101927354, intron 1 of 3)	NA	2574	LOC101927354								
Interval_4793	chr12	89268749	89268879	+	0	NA	Intergenic	NA	83705	DUSP6								
Interval_661	chr1	72111929	72112059	+	0	NA	intron (NEGR1, intron 1 of 6)	NA	170600	NEGR1								
Interval_9858	chr19	44566944	44567361	+	0	NA	Intergenic	NA	-10235	CEACAM22P								
Interval_6933	chr15	72733934	72734064	+	0	NA	intron (BBS4, intron 11 of 14)	NA	47792	BBS4								
Interval_11804	chr2	241959933	241960304	+	0	NA	intron (AC131097.3, intron 2 of 3)	NA	-11157	LOC102723927								
Interval_373	chr1	37999564	37999815	+	0	NA	intron (FHL3, intron 1 of 5)	NA	5826	FHL3								
Interval_4722	chr12	75937718	75937962	+	0	NA	Intergenic	NA	93936	PHLDA1								
Interval_15007	chr4	73707937	73708151	+	0	NA	Intergenic	NA	-32462	IL8								
Interval_4213	chr12	11798886	11799090	+	0	NA	intron (ETV6, intron 2 of 7)	NA	111472	LOC101928186								
Interval_13837	chr3	102537256	102537386	+	0	NA	Intergenic	NA	102306	ZPLD1								
Interval_2865	chr10	100186005	100186122	+	0	NA	promoter-TSS (ERLIN1)	NA	-86	ERLIN1								
Interval_16313	chr5	119269236	119269388	+	0	NA	intron (TNFAIP8, intron 1 of 1)	NA	-85461	TNFAIP8								
Interval_5897	chr14	50303790	50304058	+	0	NA	intron (L2HGDH, intron 1 of 10)	NA	-4032	MIR4504								
Interval_9094	chr18	61764397	61764641	+	0	NA	Intergenic	NA	8761	LOC101927387								
Interval_12064	chr20	31675391	31675552	+	0	NA	intron (BCL2L1, intron 2 of 2)	NA	36352	COX4I2								
Interval_10012	chr19	52269473	52269597	+	0	NA	promoter-TSS (ZNF766)	NA	-7	ZNF766								
Interval_19962	chr8	80018339	80018563	+	0	NA	intron (MRPS28, intron 1 of 2)	NA	11820	MRPS28								
Interval_16870	chr6	6697805	6698142	+	0	NA	intron (LOC101928004, intron 1 of 1)	NA	2794	LOC101928004								
Interval_16970	chr6	14569407	14569589	+	0	NA	Intergenic	NA	74491	RP11-330A16.1								
Interval_12210	chr20	44576693	44576823	+	0	NA	intron (PKIG, intron 1 of 3)	NA	44977	PKIG								
Interval_16497	chr5	141801986	141802116	+	0	NA	Intergenic	NA	67576	PCDH1								
Interval_14541	chr3	196712200	196712374	+	0	NA	promoter-TSS (CEP19)	NA	-28	CEP19								
