PeakID (cmd=annotatePeaks.pl GFI1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5976	chr5	112599586	112599865	+	0	NA	Intergenic	NA	-28711	LOC102467214								
Interval_1048	chr10	103471175	103471380	+	0	NA	Intergenic	NA	7963	CALHM3								
Interval_4892	chr3	25695721	25695911	+	0	NA	Intergenic	NA	-30877	MIR4442								
Interval_1627	chr12	44931053	44931536	+	0	NA	Intergenic	NA	-54830	NELL2								
Interval_5829	chr5	54021820	54022160	+	0	NA	intron (ARL15, intron 4 of 4)	NA	53593	MIR4459								
Interval_3730	chr2	9655486	9655750	+	0	NA	intron (LOC101926982, intron 1 of 2)	NA	10090	LOC101926982								
Interval_2637	chr16	28534911	28535122	+	0	NA	Intergenic	NA	4158	NUPR1								
Interval_1830	chr12	113208469	113208825	+	0	NA	intron (IQCD, intron 1 of 4)	NA	12447	IQCD								
Interval_7269	chr8	38701365	38701570	+	0	NA	Intergenic	NA	-26838	TACC1								
Interval_1024	chr10	98312932	98313117	+	0	NA	Intergenic	NA	-44801	LOXL4								
Interval_321	chr1	109617417	109617734	+	0	NA	Intergenic	NA	-4492	GNAT2								
Interval_6350	chr6	37918506	37918723	+	0	NA	intron (ZFAND3, intron 1 of 5)	NA	98757	ZFAND3								
Interval_4641	chr21	34543494	34543660	+	0	NA	intron (RCAN1, intron 1 of 3)	NA	-16623	RCAN1								
Interval_4007	chr2	102033530	102033807	+	0	NA	Intergenic	NA	-36708	IL1R1								
Interval_4003	chr2	101921727	101922011	+	0	NA	Intergenic	NA	-61596	LINC01127								
Interval_2070	chr14	38699977	38700150	+	0	NA	Intergenic	NA	216819	LINC00639								
Interval_5160	chr3	138174633	138174680	+	0	NA	exon (DBR1, exon 1 of 8)	NA	293	DBR1								
Interval_2140	chr14	67240617	67241001	+	0	NA	promoter-TSS (MPP5)	NA	-486	MPP5								
Interval_127	chr1	32068963	32069299	+	0	NA	Intergenic	NA	-3768	TMEM39B								
Interval_4231	chr2	202091473	202091734	+	0	NA	intron (LOC100652824, intron 3 of 23)	NA	18350	LOC100652824								
Interval_3396	chr18	79371734	79371878	+	0	NA	intron (ATP9B, intron 26 of 26)	NA	13145	LOC101927779								
Interval_1235	chr11	45073043	45073194	+	0	NA	Intergenic	NA	-74225	PRDM11								
Interval_1218	chr11	35089716	35089921	+	0	NA	Intergenic	NA	-49052	CD44								
Interval_7432	chr8	89974418	89974570	+	0	NA	intron (NBN, intron 6 of 16)	NA	10204	NBN								
Interval_475	chr1	168342703	168342867	+	0	NA	Intergenic	NA	-32739	MIR557								
Interval_7160	chr8	19171145	19171394	+	0	NA	Intergenic	NA	74253	RP11-1080G15.1								
Interval_3266	chr18	51212906	51213158	+	0	NA	Intergenic	NA	-15351	MEX3C								
Interval_4632	chr21	33011395	33011626	+	0	NA	Intergenic	NA	-14398	OLIG2								
Interval_3358	chr18	74334658	74334933	+	0	NA	intron (C18orf63, intron 7 of 13)	NA	18920	C18orf63								
Interval_6197	chr6	2881549	2881778	+	0	NA	Intergenic	NA	-2325	LOC101927730								
Interval_7994	chrX	24171906	24171957	+	0	NA	intron (ZFX, intron 4 of 10)	NA	22202	ZFX								
Interval_191	chr1	53972179	53972337	+	0	NA	Intergenic	NA	25932	LRRC42								
Interval_1085	chr10	120951003	120951205	+	0	NA	Intergenic	NA	99820	WDR11								
Interval_4652	chr21	35051460	35051626	+	0	NA	Intergenic	NA	-12117	RUNX1-IT1								
Interval_254	chr1	84620572	84620720	+	0	NA	intron (LOC101927773, intron 1 of 3)	NA	414	LOC101927773								
Interval_7245	chr8	32361578	32361887	+	0	NA	intron (NRG1, intron 1 of 4)	NA	-79014	NRG1-IT3								
Interval_5381	chr4	14400466	14400644	+	0	NA	Intergenic	NA	288587	LINC01085								
Interval_1941	chr13	33034963	33035107	+	0	NA	intron (KL, intron 1 of 4)	NA	-18593	LOC101927403								
Interval_159	chr1	43368428	43368860	+	0	NA	promoter-TSS (ELOVL1)	NA	-906	ELOVL1								
Interval_4816	chr22_KI270733v1_random	150251	150308	+	0	NA	Intergenic	NA	9822	LOC102724621								
Interval_7742	chr9	76456506	76456579	+	0	NA	intron (GCNT1, intron 1 of 2)	NA	-21799	GCNT1								
Interval_5109	chr3	121995507	121995706	+	0	NA	intron (ILDR1, intron 3 of 5)	NA	7206	LOC101927010								
Interval_4060	chr2	128473351	128473687	+	0	NA	Intergenic	NA	-154922	HS6ST1								
Interval_6141	chr5	171168227	171168509	+	0	NA	intron (RANBP17, intron 14 of 27)	NA	-140916	TLX3								
Interval_2101	chr14	54746810	54747114	+	0	NA	intron (SAMD4A, intron 3 of 11)	NA	-7826	SAMD4A								
Interval_8104	chrY	12288580	12288739	+	0	NA	Intergenic	NA	132931	GYG2P1								
Interval_1633	chr12	47446361	47446415	+	0	NA	Intergenic	NA	31426	LOC101927135								
Interval_7048	chr7	139234471	139234644	+	0	NA	intron (UBN2, intron 1 of 17)	NA	2707	UBN2								
Interval_372	chr1	147278191	147278238	+	0	NA	intron (CHD1L, intron 14 of 20)	NA	35573	CHD1L								
Interval_7186	chr8	23067285	23067687	+	0	NA	promoter-TSS (RP11-875O11.2)	NA	-743	RP11-875O11.2								
Interval_7126	chr8	9555663	9555807	+	0	NA	promoter-TSS (TNKS)	NA	-200	TNKS								
Interval_1880	chr12	127282532	127282908	+	0	NA	Intergenic	NA	57352	RP11-955H22.3								
Interval_1377	chr11	94489405	94489579	+	0	NA	intron (MRE11A, intron 3 of 19)	NA	4382	MRE11A								
Interval_4859	chr3	12560973	12561310	+	0	NA	promoter-TSS (C3orf83)	NA	-220	C3orf83								
Interval_6656	chr6	156865222	156865534	+	0	NA	intron (ARID1B, intron 2 of 21)	NA	-85651	MIR4466								
Interval_5606	chr4	119025957	119026180	+	0	NA	intron (SYNPO2, intron 2 of 2)	NA	-1709	LOC102723956								
Interval_6242	chr6	12286472	12286661	+	0	NA	Intergenic	NA	-3730	EDN1								
Interval_3794	chr2	28395598	28395795	+	0	NA	exon (FOSL2, exon 1 of 4)	NA	-1024	FLJ31356								
Interval_2632	chr16	27286537	27286738	+	0	NA	intron (FLJ21408, intron 2 of 4)	NA	-17845	NSMCE1								
Interval_7886	chr9	134725808	134725979	+	0	NA	intron (COL5A1, intron 4 of 65)	NA	84088	COL5A1								
Interval_1135	chr11	2892886	2893039	+	0	NA	intron (SLC22A18AS, intron 3 of 3)	NA	-7335	CDKN1C								
Interval_7392	chr8	67392993	67393389	+	0	NA	Intergenic	NA	49463	LOC102724708								
Interval_8083	chrX	134661396	134661556	+	0	NA	Intergenic	NA	-2993	PLAC1								
Interval_370	chr1	146039267	146039531	+	0	NA	promoter-TSS (TRNAK20)	NA	-2	TRNAK20								
Interval_2476	chr15	79670682	79670730	+	0	NA	Intergenic	NA	-73949	TRNAC12								
Interval_6278	chr6	24999470	24999615	+	0	NA	intron (FAM65B, intron 1 of 21)	NA	36602	LOC102724765								
Interval_727	chr1	241702476	241702648	+	0	NA	intron (WDR64, intron 8 of 27)	NA	50284	WDR64								
Interval_7092	chr7	151512022	151512368	+	0	NA	intron (RHEB, intron 1 of 7)	NA	7729	RHEB								
Interval_1458	chr11	124800521	124800853	+	0	NA	promoter-TSS (MSANTD2)	NA	259	RP11-677M14.7								
Interval_751	chr1	246961974	246962243	+	0	NA	intron (ZNF695, intron 5 of 5)	NA	-30684	AHCTF1								
Interval_765	chr10	3814000	3814466	+	0	NA	Intergenic	NA	-28952	KLF6								
Interval_3991	chr2	101012713	101012896	+	0	NA	intron (TBC1D8, intron 17 of 19)	NA	10575	RPL31								
Interval_7468	chr8	97627991	97628195	+	0	NA	Intergenic	NA	-16086	MTDH								
Interval_7467	chr8	96924350	96924567	+	0	NA	intron (CPQ, intron 5 of 8)	NA	192140	CPQ								
Interval_1207	chr11	33198144	33198399	+	0	NA	Intergenic	NA	36614	CSTF3-AS1								
Interval_1887	chr12	130919343	130919489	+	0	NA	Intergenic	NA	-34491	GPR133								
Interval_8049	chrX	95972268	95972526	+	0	NA	Intergenic	NA	365505	LOC643486								
Interval_1726	chr12	89733719	89734437	+	0	NA	Intergenic	NA	25123	LINC00936								
Interval_7626	chr8	141036006	141036521	+	0	NA	Intergenic	NA	-92421	DENND3								
Interval_3259	chr18	48933063	48933242	+	0	NA	intron (SMAD7, intron 3 of 3)	NA	16181	SMAD7								
Interval_396	chr1	151834004	151834259	+	0	NA	Intergenic	NA	-2454	RORC								
Interval_5696	chr4	169622045	169622567	+	0	NA	intron (CLCN3, intron 1 of 11)	NA	1785	CLCN3								
Interval_3030	chr17	51096441	51096638	+	0	NA	intron (SPAG9, intron 1 of 29)	NA	-49655	SPAG9								
Interval_247	chr1	77413640	77413832	+	0	NA	intron (AK5, intron 7 of 13)	NA	131134	AK5								
Interval_3636	chr19	47600261	47600526	+	0	NA	Intergenic	NA	-8652	GLTSCR1								
Interval_1879	chr12	127150538	127150682	+	0	NA	Intergenic	NA	-90213	RP11-575F12.1								
Interval_2106	chr14	54943031	54943177	+	0	NA	intron (WDHD1, intron 24 of 24)	NA	-40219	GCH1								
Interval_518	chr1	183775247	183775508	+	0	NA	intron (RGL1, intron 2 of 17)	NA	-122064	APOBEC4								
Interval_896	chr10	61905298	61905479	+	0	NA	intron (ARID5B, intron 2 of 9)	NA	4134	ARID5B								
Interval_2332	chr15	39411556	39411823	+	0	NA	Intergenic	NA	27655	LOC102724283								
Interval_5100	chr3	116624392	116624440	+	0	NA	Intergenic	NA	-85372	TUSC7								
Interval_245	chr1	76763685	76763981	+	0	NA	Intergenic	NA	-103668	ST6GALNAC5								
Interval_5817	chr5	49659084	49659137	+	0	NA	Intergenic	NA	782290	EMB								
Interval_5337	chr3	197611384	197611437	+	0	NA	Intergenic	NA	-10900	LOC102723589								
Interval_3142	chr17	78725848	78726022	+	0	NA	intron (CYTH1, intron 1 of 12)	NA	56359	CYTH1								
Interval_6800	chr7	29320020	29320209	+	0	NA	intron (CHN2, intron 1 of 12)	NA	-111144	LOC102724484								
Interval_1804	chr12	108620484	108620737	+	0	NA	Intergenic	NA	13349	SELPLG								
Interval_3894	chr2	60484206	60484656	+	0	NA	intron (BCL11A, intron 2 of 4)	NA	43264	LOC102724155								
Interval_1768	chr12	96407782	96408136	+	0	NA	Intergenic	NA	-7371	CDK17								
Interval_110	chr1	27887201	27887478	+	0	NA	TTS (THEMIS2)	NA	14796	THEMIS2								
Interval_658	chr1	228986357	228986573	+	0	NA	Intergenic	NA	269839	LOC102723935								
Interval_791	chr10	17023405	17023673	+	0	NA	intron (CUBN, intron 27 of 66)	NA	106278	CUBN								
Interval_6003	chr5	122846378	122846818	+	0	NA	intron (SNX24, intron 1 of 3)	NA	1144	SNX24								
Interval_7631	chr8	141358949	141359122	+	0	NA	intron (GPR20, intron 1 of 1)	NA	8230	GPR20								
Interval_2594	chr16	12062617	12062827	+	0	NA	intron (SNX29, intron 9 of 13)	NA	27580	FLJ32790								
Interval_6556	chr6	131728724	131728882	+	0	NA	intron (ENPP3, intron 20 of 23)	NA	-17786	CTAGE9								
Interval_795	chr10	18376107	18376159	+	0	NA	intron (CACNB2, intron 1 of 12)	NA	235320	CACNB2								
Interval_1404	chr11	105873561	105873608	+	0	NA	intron (GRIA4, intron 5 of 16)	NA	106011	LOC101928506								
Interval_2674	chr16	46857691	46857886	+	0	NA	Intergenic	NA	-26626	C16orf87								
Interval_8084	chrX	134988452	134988499	+	0	NA	Intergenic	NA	-2463	SMIM10								
Interval_6585	chr6	137232070	137232349	+	0	NA	Intergenic	NA	-13094	IFNGR1								
Interval_6437	chr6	78730685	78730732	+	0	NA	Intergenic	NA	-140583	IRAK1BP1								
Interval_853	chr10	41903507	41903554	+	0	NA	Intergenic	NA	-338993	LOC101929373								
Interval_813	chr10	24623052	24623325	+	0	NA	intron (ARHGAP21, intron 7 of 25)	NA	-65663	LOC101928997								
Interval_4390	chr20	2885185	2885495	+	0	NA	intron (PTPRA, intron 1 of 22)	NA	-37867	PTPRA								
Interval_3438	chr19	4790933	4791117	+	0	NA	promoter-TSS (FEM1A)	NA	-691	FEM1A								
Interval_6376	chr6	44011838	44012375	+	0	NA	Intergenic	NA	-9373	RP5-1120P11.1								
Interval_6142	chr5	171168693	171168895	+	0	NA	intron (RANBP17, intron 14 of 27)	NA	-140490	TLX3								
Interval_2519	chr15	94259971	94260115	+	0	NA	intron (MCTP2, intron 1 of 22)	NA	-96094	MCTP2								
Interval_4673	chr21	38833809	38833978	+	0	NA	Intergenic	NA	-23646	LOC101928398								
Interval_2827	chr17	1463173	1463582	+	0	NA	TTS (MYO1C)	NA	-7110	CRK								
Interval_2425	chr15	67175822	67176024	+	0	NA	intron (SMAD3, intron 5 of 8)	NA	50207	SMAD3								
Interval_7508	chr8	108671836	108671985	+	0	NA	Intergenic	NA	98718	LOC102723368								
Interval_365	chr1	143264642	143264723	+	0	NA	Intergenic	NA	39654	LOC101929814								
Interval_6217	chr6	6670816	6671090	+	0	NA	Intergenic	NA	29814	LOC101928004								
Interval_7801	chr9	107866839	107867175	+	0	NA	Intergenic	NA	-377241	KLF4								
Interval_3258	chr18	48529965	48530139	+	0	NA	Intergenic	NA	-9080	CTIF								
Interval_7034	chr7	135855878	135856085	+	0	NA	Intergenic	NA	-23253	LOC101928915								
Interval_1075	chr10	117954267	117954324	+	0	NA	Intergenic	NA	92491	RAB11FIP2								
Interval_4622	chr21	29638884	29639028	+	0	NA	intron (GRIK1, intron 7 of 15)	NA	42916	GRIK1-AS2								
Interval_6408	chr6	56101257	56101481	+	0	NA	intron (COL21A1, intron 17 of 17)	NA	146377	COL21A1								
Interval_4553	chr20	53394848	53394895	+	0	NA	intron (TSHZ2, intron 2 of 2)	NA	130887	LOC101927744								
Interval_1813	chr12	110256789	110257018	+	0	NA	Intergenic	NA	-24881	ATP2A2								
Interval_1527	chr12	9364734	9364912	+	0	NA	Intergenic	NA	-2571	LOC101930452								
Interval_4504	chr20	41003522	41003901	+	0	NA	Intergenic	NA	-25111	TOP1								
Interval_4394	chr20	3811171	3811675	+	0	NA	intron (LOC101929125, intron 2 of 3)	NA	2929	LOC101929125								
Interval_651	chr1	228457459	228457595	+	0	NA	promoter-TSS (HIST3H2BB)	NA	332	HIST3H2A								
Interval_5971	chr5	111077110	111077265	+	0	NA	exon (TSLP, exon 4 of 4)	NA	5495	TSLP								
Interval_3276	chr18	55328394	55328606	+	0	NA	intron (TCF4, intron 8 of 19)	NA	-150721	MIR4529								
Interval_3819	chr2	38115203	38115460	+	0	NA	Intergenic	NA	-15774	CYP1B1-AS1								
Interval_5980	chr5	114862446	114862493	+	0	NA	Intergenic	NA	-89056	RP11-492A10.1								
Interval_4783	chr22	41482487	41482788	+	0	NA	intron (ACO2, intron 1 of 17)	NA	13512	ACO2								
Interval_5519	chr4	75990914	75991067	+	0	NA	promoter-TSS (SDAD1)	NA	-28	SDAD1								
Interval_2948	chr17	35777970	35778358	+	0	NA	TTS (MMP28)	NA	17267	C17orf50								
Interval_3844	chr2	43107258	43107443	+	0	NA	Intergenic	NA	-4905	LOC100506047								
Interval_5366	chr4	7828259	7828540	+	0	NA	intron (AFAP1, intron 6 of 16)	NA	74309	AFAP1-AS1								
Interval_4204	chr2	190088990	190089340	+	0	NA	intron (C2orf88, intron 2 of 3)	NA	-26436	MSTN								
Interval_2926	chr17	29590662	29590804	+	0	NA	intron (ANKRD13B, intron 1 of 14)	NA	-1141	GIT1								
Interval_298	chr1	101004012	101004441	+	0	NA	intron (DPH5, intron 4 of 6)	NA	21580	DPH5								
Interval_8044	chrX	73937929	73938151	+	0	NA	Intergenic	NA	-6284	JPX								
Interval_2216	chr14	89365029	89365241	+	0	NA	TTS (LOC101928817)	NA	15070	LOC101928817								
Interval_470	chr1	167803485	167803636	+	0	NA	Intergenic	NA	81610	MPZL1								
Interval_698	chr1	234946428	234946578	+	0	NA	Intergenic	NA	123315	LOC731656								
Interval_640	chr1	224338627	224338877	+	0	NA	Intergenic	NA	-8563	NVL								
Interval_656	chr1	228921621	228922017	+	0	NA	Intergenic	NA	-275661	RNA5S17								
Interval_1607	chr12	31647216	31647423	+	0	NA	intron (METTL20, intron 1 of 3)	NA	-12356	METTL20								
Interval_2592	chr16	11814173	11814384	+	0	NA	Intergenic	NA	14554	BCAR4								
Interval_6404	chr6	52976754	52977080	+	0	NA	Intergenic	NA	18394	GSTA4								
Interval_2316	chr15	33441196	33441341	+	0	NA	intron (RYR3, intron 1 of 102)	NA	130292	RYR3								
Interval_1016	chr10	95292783	95292963	+	0	NA	Intergenic	NA	-1725	PDLIM1								
Interval_2028	chr14	19771838	19772080	+	0	NA	Intergenic	NA	-8364	OR4M1								
Interval_5096	chr3	113837708	113837755	+	0	NA	Intergenic	NA	-59740	GRAMD1C								
Interval_2471	chr15	77831706	77831962	+	0	NA	Intergenic	NA	-12405	LINGO1								
Interval_7249	chr8	34857242	34857462	+	0	NA	Intergenic	NA	-691946	UNC5D								
Interval_6655	chr6	156778889	156778942	+	0	NA	TTS (MIR4466)	NA	812	MIR4466								
Interval_3965	chr2	87503126	87503173	+	0	NA	intron (LINC00152, intron 3 of 3)	NA	-19601	LOC101928152								
Interval_2450	chr15	72472880	72473229	+	0	NA	Intergenic	NA	-1228	ARIH1								
Interval_4392	chr20	3408779	3408925	+	0	NA	Intergenic	NA	-1190	C20orf194								
Interval_134	chr1	34924954	34925098	+	0	NA	intron (DLGAP3, intron 1 of 11)	NA	-19643	DLGAP3								
Interval_6516	chr6	110826443	110826614	+	0	NA	intron (AMD1, intron 1 of 8)	NA	-11143	CDK19								
Interval_3666	chr19	50476171	50476449	+	0	NA	promoter-TSS (EMC10)	NA	-167	EMC10								
Interval_1911	chr13	22992367	22992882	+	0	NA	Intergenic	NA	-94443	BASP1P1								
Interval_5179	chr3	143972639	143972699	+	0	NA	promoter-TSS (C3orf58)	NA	871	C3orf58								
Interval_1568	chr12	15270238	15270741	+	0	NA	Intergenic	NA	-49012	RERG								
Interval_7380	chr8	66009931	66010342	+	0	NA	Intergenic	NA	-11420	DNAJC5B								
Interval_2647	chr16	30699085	30699422	+	0	NA	promoter-TSS (LOC730183)	NA	112	SRCAP								
Interval_2081	chr14	47346997	47347341	+	0	NA	intron (MDGA2, intron 1 of 16)	NA	-3923	MDGA2								
Interval_1934	chr13	30847863	30848440	+	0	NA	Intergenic	NA	-34411	LINC00545								
Interval_5228	chr3	167763142	167763318	+	0	NA	intron (SERPINI1, intron 1 of 8)	NA	27586	SERPINI1								
Interval_6458	chr6	85644056	85644342	+	0	NA	promoter-TSS (SYNCRIP)	NA	-349	SYNCRIP								
Interval_7213	chr8	27025513	27025671	+	0	NA	Intergenic	NA	23371	MIR548H4								
Interval_2622	chr16	24943665	24943934	+	0	NA	exon (ARHGAP17, exon 15 of 20)	NA	70152	ARHGAP17								
Interval_7917	chrUn_KI270438v1	104064	104161	+	0	NA	NA	NA	NA	NA								
Interval_4428	chr20	11267429	11267752	+	0	NA	exon (LOC339593, exon 2 of 2)	NA	5793	LOC339593								
Interval_6821	chr7	36749661	36750134	+	0	NA	Intergenic	NA	-25348	AOAH								
Interval_808	chr10	23413832	23413994	+	0	NA	Intergenic	NA	20508	MIR1254-2								
Interval_374	chr1	148305183	148305331	+	0	NA	Intergenic	NA	-2452	TRNAH7								
Interval_7005	chr7	127654771	127654937	+	0	NA	intron (SND1, intron 1 of 23)	NA	2706	SND1								
Interval_484	chr1	171485372	171485537	+	0	NA	promoter-TSS (PRRC2C)	NA	-59	PRRC2C								
Interval_340	chr1	115075119	115075370	+	0	NA	intron (TSPAN2, intron 1 of 7)	NA	14254	TSPAN2								
Interval_1289	chr11	62841881	62842292	+	0	NA	promoter-TSS (RNU2-2P)	NA	-325	RNU2-2P								
Interval_5522	chr4	76108532	76108758	+	0	NA	intron (ART3, intron 10 of 10)	NA	32764	ART3								
Interval_2657	chr16	34589495	34589547	+	0	NA	Intergenic	NA	157529	LOC102724523								
Interval_2587	chr16	11640318	11640833	+	0	NA	Intergenic	NA	-27858	SNN								
Interval_7402	chr8	70609196	70609525	+	0	NA	promoter-TSS (TRAM1)	NA	783	LOC286190								
Interval_3925	chr2	69385480	69385663	+	0	NA	intron (GFPT1, intron 1 of 19)	NA	1683	GFPT1								
Interval_2422	chr15	65818912	65819077	+	0	NA	Intergenic	NA	-26701	DENND4A								
Interval_1878	chr12	125847809	125847857	+	0	NA	Intergenic	NA	135541	LINC00939								
Interval_2265	chr14	97032822	97032880	+	0	NA	Intergenic	NA	89272	LINC00618								
Interval_164	chr1	43836707	43836926	+	0	NA	intron (ST3GAL3, intron 4 of 11)	NA	-1806	MIR6079								
Interval_5568	chr4	89829643	89829876	+	0	NA	intron (SNCA, intron 2 of 5)	NA	-6642	RP11-67M1.1								
Interval_7008	chr7	127961674	127961881	+	0	NA	intron (SND1, intron 15 of 23)	NA	-35732	SND1-IT1								
Interval_2982	chr17	42968533	42968761	+	0	NA	exon (PTGES3L, exon 7 of 7)	NA	-4149	AARSD1								
Interval_7990	chrX	23906154	23906463	+	0	NA	intron (APOO, intron 1 of 9)	NA	1587	APOO								
Interval_423	chr1	156795945	156796093	+	0	NA	intron (PRCC, intron 4 of 5)	NA	20829	SH2D2A								
Interval_6632	chr6	149373514	149373914	+	0	NA	intron (TAB2, intron 3 of 7)	NA	-26645	SUMO4								
Interval_210	chr1	59678915	59679313	+	0	NA	intron (FGGY, intron 7 of 8)	NA	54177	MIR4711								
Interval_6912	chr7	88278873	88279541	+	0	NA	exon (STEAP4, exon 6 of 6)	NA	27706	STEAP4								
Interval_7253	chr8	37074103	37074303	+	0	NA	Intergenic	NA	85899	LOC102723593								
Interval_1923	chr13	28401955	28402182	+	0	NA	intron (FLT1, intron 11 of 11)	NA	93060	FLT1								
Interval_74	chr1	21936489	21936662	+	0	NA	intron (HSPG2, intron 1 of 96)	NA	649	HSPG2								
Interval_5248	chr3	174331325	174331510	+	0	NA	Intergenic	NA	-196675	LOC101928640								
Interval_793	chr10	17228380	17228576	+	0	NA	exon (VIM, exon 1 of 10)	NA	543	VIM								
Interval_7896	chr9	137031862	137032270	+	0	NA	exon (FUT7, exon 1 of 2)	NA	774	FUT7								
Interval_6056	chr5	140611932	140612329	+	0	NA	Intergenic	NA	-17560	LOC100505798								
Interval_3983	chr2	98649303	98649454	+	0	NA	intron (MGAT4A, intron 8 of 15)	NA	40805	UNC50								
Interval_7854	chr9	124839676	124839878	+	0	NA	Intergenic	NA	-13640	WDR38								
Interval_844	chr10	32986193	32986366	+	0	NA	intron (LOC101929475, intron 1 of 1)	NA	-30523	LOC101929475								
Interval_2375	chr15	54926034	54926081	+	0	NA	Intergenic	NA	270976	RSL24D1								
Interval_6605	chr6	142721707	142721940	+	0	NA	Intergenic	NA	-83987	RP11-440G9.1								
Interval_4140	chr2	160752751	160752985	+	0	NA	Intergenic	NA	-259061	RBMS1								
Interval_1411	chr11	108538262	108538486	+	0	NA	promoter-TSS (EXPH5)	NA	-144	EXPH5								
Interval_3204	chr18	10058246	10058781	+	0	NA	Intergenic	NA	144555	VAPA								
Interval_5905	chr5	77350369	77350534	+	0	NA	intron (PDE8B, intron 8 of 21)	NA	139570	PDE8B								
Interval_6723	chr7	2307856	2308103	+	0	NA	intron (SNX8, intron 1 of 10)	NA	6485	SNX8								
Interval_4975	chr3	53545854	53546090	+	0	NA	intron (CACNA1D, intron 3 of 48)	NA	50843	CACNA1D								
Interval_1056	chr10	110536140	110536420	+	0	NA	Intergenic	NA	-31411	SMC3								
Interval_3837	chr2	42438721	42438882	+	0	NA	Intergenic	NA	55296	KCNG3								
Interval_5079	chr3	108004801	108005015	+	0	NA	Intergenic	NA	86150	CD47								
Interval_3130	chr17	75970030	75970248	+	0	NA	intron (ACOX1, intron 2 of 13)	NA	-9078	TEN1								
Interval_196	chr1	56190943	56191261	+	0	NA	Intergenic	NA	-248754	LOC102724140								
Interval_7712	chr9	33446467	33446592	+	0	NA	intron (AQP3, intron 1 of 5)	NA	1104	AQP3								
Interval_7351	chr8	59582546	59582909	+	0	NA	Intergenic	NA	463465	LOC100505501								
Interval_3591	chr19	39337749	39338025	+	0	NA	Intergenic	NA	-1801	GMFG								
Interval_5513	chr4	74206113	74206312	+	0	NA	intron (MTHFD2L, intron 6 of 9)	NA	48062	MTHFD2L								
Interval_6421	chr6	67389336	67389543	+	0	NA	Intergenic	NA	-651484	LOC102723883								
Interval_894	chr10	61284345	61284807	+	0	NA	Intergenic	NA	-167814	RP11-809M12.1								
Interval_14	chr1	7913421	7913640	+	0	NA	Intergenic	NA	27432	TNFRSF9								
Interval_1610	chr12	31731973	31732134	+	0	NA	Intergenic	NA	-2879	AMN1								
Interval_2345	chr15	42926776	42926920	+	0	NA	Intergenic	NA	-6457	TTBK2								
Interval_5655	chr4	149765750	149766035	+	0	NA	Intergenic	NA	-27397	RP11-526A4.1								
Interval_5488	chr4	55397984	55398401	+	0	NA	intron (TMEM165, intron 1 of 5)	NA	2279	TMEM165								
Interval_5706	chr4	176981662	176981876	+	0	NA	Intergenic	NA	-189024	VEGFC								
Interval_6872	chr7	66769152	66769331	+	0	NA	intron (RABGEF1, intron 2 of 9)	NA	75585	GTF2IRD1P1								
Interval_5320	chr3	194502968	194503019	+	0	NA	Intergenic	NA	-1490	LOC100507033								
Interval_4316	chr2	227450231	227450420	+	0	NA	Intergenic	NA	-21807	MIR5703								
Interval_4217	chr2	197045946	197046242	+	0	NA	intron (ANKRD44, intron 16 of 27)	NA	-123432	PGAP1								
Interval_7104	chr7	157461280	157461533	+	0	NA	Intergenic	NA	-4825	AC006372.4								
Interval_7480	chr8	101155565	101155852	+	0	NA	Intergenic	NA	50024	ZNF706								
Interval_6694	chr6	168007523	168007943	+	0	NA	intron (KIF25, intron 4 of 12)	NA	8880	KIF25								
Interval_2612	chr16	20676255	20676610	+	0	NA	promoter-TSS (ACSM1)	NA	14824	ACSM1								
Interval_1257	chr11	58573611	58573769	+	0	NA	intron (LPXN, intron 1 of 8)	NA	4549	LPXN								
Interval_862	chr10	44723145	44723386	+	0	NA	Intergenic	NA	-188051	TMEM72								
Interval_1355	chr11	79441581	79441959	+	0	NA	Intergenic	NA	-2768	TENM4								
Interval_6472	chr6	89611608	89611787	+	0	NA	intron (ANKRD6, intron 4 of 9)	NA	26800	LYRM2								
Interval_2159	chr14	70849034	70849200	+	0	NA	Intergenic	NA	39173	LOC100506411								
Interval_1405	chr11	105897718	105897769	+	0	NA	intron (GRIA4, intron 6 of 16)	NA	81852	LOC101928506								
Interval_199	chr1	57419408	57419562	+	0	NA	intron (DAB1, intron 3 of 16)	NA	-441058	DAB1-AS1								
Interval_8016	chrX	43750370	43750530	+	0	NA	Intergenic	NA	95543	MAOA								
Interval_4016	chr2	107553566	107553759	+	0	NA	Intergenic	NA	273107	RGPD4-AS1								
Interval_7518	chr8	115218957	115219392	+	0	NA	Intergenic	NA	449827	TRPS1								
Interval_6463	chr6	87907722	87907866	+	0	NA	intron (LOC101928911, intron 2 of 4)	NA	122934	LOC101928911								
Interval_190	chr1	53837215	53837401	+	0	NA	intron (NDC1, intron 1 of 17)	NA	1244	NDC1								
Interval_1765	chr12	96198977	96199190	+	0	NA	intron (ELK3, intron 2 of 5)	NA	4654	ELK3								
Interval_5362	chr4	6964070	6964426	+	0	NA	intron (TBC1D14, intron 1 of 12)	NA	-22914	TBC1D14								
Interval_4041	chr2	118939425	118939582	+	0	NA	Intergenic	NA	-2666	MARCO								
