PeakID (cmd=annotatePeaks.pl JUND.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1346	chr18	57921883	57922078	+	0	NA	Intergenic	NA	-118670	ATP8B1								
Interval_1877	chr20	35305785	35306076	+	0	NA	intron (UQCC1, intron 9 of 9)	NA	-13508	FAM83C								
Interval_1059	chr16	34581303	34581668	+	0	NA	Intergenic	NA	149493	LOC102724523								
Interval_723	chr12	92145867	92146081	+	0	NA	promoter-TSS (BTG1)	NA	-77	BTG1								
Interval_577	chr11	99325982	99326205	+	0	NA	intron (CNTN5, intron 2 of 20)	NA	305117	CNTN5								
Interval_3137	chr8	82462570	82462797	+	0	NA	Intergenic	NA	-449421	LOC101927141								
Interval_1796	chr2	219362516	219362830	+	0	NA	Intergenic	NA	25123	DNPEP								
Interval_206	chr1	182259346	182259742	+	0	NA	intron (GS1-122H1.2, intron 2 of 2)	NA	54517	GS1-122H1.2								
Interval_1266	chr17	78568547	78568763	+	0	NA	intron (DNAH17, intron 9 of 80)	NA	8739	DNAH17								
Interval_1166	chr17	26603782	26604027	+	0	NA	Intergenic	NA	690092	MIR4522								
Interval_561	chr11	77512304	77512477	+	0	NA	Intergenic	NA	-38327	PAK1								
Interval_2869	chr7	40268854	40269278	+	0	NA	intron (SUGCT, intron 7 of 12)	NA	134090	SUGCT								
Interval_1903	chr20	50440857	50441079	+	0	NA	Intergenic	NA	-69353	PTPN1								
Interval_1996	chr22	30423980	30424219	+	0	NA	exon (SEC14L2, exon 12 of 12)	NA	-1524	MTFP1								
Interval_952	chr15	55282200	55282496	+	0	NA	intron (RAB27A, intron 1 of 6)	NA	-11439	RAB27A								
Interval_1327	chr18	47985821	47986154	+	0	NA	Intergenic	NA	-55388	SMAD2								
Interval_699	chr12	66241695	66242010	+	0	NA	intron (IRAK3, intron 7 of 10)	NA	-9230	MIR6502								
Interval_2623	chr6	7154745	7154946	+	0	NA	intron (RREB1, intron 1 of 12)	NA	15710	RREB1								
Interval_2552	chr5	139403689	139403960	+	0	NA	promoter-TSS (SPATA24)	NA	80	SPATA24								
Interval_1414	chr19	2783401	2783586	+	0	NA	promoter-TSS (SGTA)	NA	-137	SGTA								
Interval_2435	chr5	14926017	14926277	+	0	NA	Intergenic	NA	-50448	LOC102723499								
Interval_1982	chr22	11369677	11369930	+	0	NA	Intergenic	NA	-424798	LOC102723780								
Interval_1544	chr19	50357547	50357720	+	0	NA	TTS (NAPSA)	NA	8041	NAPSA								
Interval_2299	chr4	31984866	31985137	+	0	NA	Intergenic	NA	-12378	LOC102723828								
Interval_2079	chr3	28308250	28308621	+	0	NA	intron (CMC1, intron 5 of 6)	NA	-40513	ZCWPW2								
Interval_2964	chr7	141945523	141945759	+	0	NA	intron (CLEC5A, intron 2 of 6)	NA	1342	CLEC5A								
Interval_938	chr15	50065327	50065686	+	0	NA	intron (ATP8B4, intron 3 of 27)	NA	53716	ATP8B4								
Interval_1933	chr21	15682178	15682368	+	0	NA	Intergenic	NA	-47752	USP25								
Interval_981	chr15	74512227	74512549	+	0	NA	intron (LOC102723714, intron 2 of 2)	NA	7174	LOC102723714								
Interval_2182	chr3	124878898	124879096	+	0	NA	intron (ITGB5, intron 1 of 13)	NA	8300	ITGB5								
Interval_3238	chr8	125344033	125344323	+	0	NA	intron (NSMCE2, intron 5 of 7)	NA	-88681	TRIB1								
Interval_1875	chr20	35018143	35018371	+	0	NA	intron (TRPC4AP, intron 9 of 18)	NA	-27794	MIR499B								
Interval_1923	chr21	10272439	10272508	+	0	NA	Intergenic	NA	-141059	BAGE2								
Interval_2736	chr6	92201553	92201838	+	0	NA	Intergenic	NA	443110	LOC102724665								
Interval_2229	chr3	157174873	157175271	+	0	NA	exon (LOC101928236, exon 2 of 4)	NA	675	LOC101928236								
Interval_2797	chr6	152984159	152984332	+	0	NA	promoter-TSS (FBXO5)	NA	-640	FBXO5								
Interval_1948	chr21	27928695	27928967	+	0	NA	Intergenic	NA	-84532	LINC00314								
Interval_2471	chr5	64913517	64913690	+	0	NA	intron (CWC27, intron 11 of 12)	NA	-2573	LOC101928713								
Interval_1114	chr16	75305501	75305731	+	0	NA	intron (CFDP1, intron 5 of 6)	NA	-57290	BCAR1								
Interval_1966	chr21	38087642	38087815	+	0	NA	intron (DSCR4, intron 2 of 2)	NA	33632	DSCR4								
Interval_2873	chr7	43648008	43648184	+	0	NA	intron (COA1, intron 2 of 5)	NA	-16802	LOC101928860								
Interval_3323	chr9	34641618	34641797	+	0	NA	Intergenic	NA	-3881	SIGMAR1								
Interval_934	chr15	44288592	44288678	+	0	NA	promoter-TSS (CASC4)	NA	19	CASC4								
Interval_2533	chr5	122756345	122756680	+	0	NA	Intergenic	NA	-18484	SNX2								
Interval_1300	chr18	10953115	10953344	+	0	NA	intron (PIEZO2, intron 3 of 51)	NA	195533	PIEZO2								
Interval_2093	chr3	38404430	38404651	+	0	NA	intron (XYLB, intron 17 of 17)	NA	-49759	ACVR2B								
Interval_809	chr13	41864600	41864836	+	0	NA	intron (VWA8, intron 12 of 44)	NA	96367	VWA8								
Interval_2439	chr5	17735735	17736002	+	0	NA	Intergenic	NA	-71438	RP11-454P21.1								
Interval_3368	chr9	124143967	124144140	+	0	NA	Intergenic	NA	132443	LHX2								
Interval_711	chr12	78034003	78034346	+	0	NA	intron (NAV3, intron 8 of 37)	NA	-2267	NAV3								
Interval_1853	chr20	19828311	19828489	+	0	NA	intron (RIN2, intron 2 of 12)	NA	-60787	RIN2								
Interval_2602	chr5	171168285	171168462	+	0	NA	intron (RANBP17, intron 14 of 27)	NA	-140911	TLX3								
Interval_3366	chr9	120584057	120584358	+	0	NA	Intergenic	NA	-4037	CDK5RAP2								
Interval_1625	chr2	39492221	39492397	+	0	NA	intron (AC007246.3, intron 3 of 5)	NA	54893	AC007246.3								
Interval_646	chr12	19908941	19909139	+	0	NA	Intergenic	NA	-105645	RP11-664H17.1								
Interval_2076	chr3	25604257	25604519	+	0	NA	intron (TOP2B, intron 33 of 35)	NA	59984	TOP2B								
Interval_1140	chr17	6752577	6752949	+	0	NA	Intergenic	NA	-3283	XAF1								
Interval_1235	chr17	59829388	59829629	+	0	NA	intron (VMP1, intron 10 of 11)	NA	-11803	MIR21								
Interval_2043	chr3	9224604	9224783	+	0	NA	intron (SRGAP3, intron 1 of 21)	NA	7798	SRGAP3-AS3								
Interval_2840	chr7	17185657	17185857	+	0	NA	Intergenic	NA	112723	LOC101927609								
Interval_2689	chr6	33840121	33840309	+	0	NA	Intergenic	NA	-36199	MLN								
Interval_2083	chr3	30606427	30606684	+	0	NA	promoter-TSS (TGFBR2)	NA	-94	TGFBR2								
Interval_524	chr11	62004632	62004828	+	0	NA	Intergenic	NA	15374	LOC102723745								
Interval_2097	chr3	40299898	40300153	+	0	NA	intron (EIF1B-AS1, intron 2 of 2)	NA	-9657	EIF1B								
Interval_1962	chr21	34570416	34570644	+	0	NA	intron (RCAN1, intron 1 of 2)	NA	-43520	RCAN1								
Interval_3375	chr9	127833674	127833863	+	0	NA	intron (ENG, intron 2 of 14)	NA	13399	ENG								
Interval_805	chr13	32881383	32881561	+	0	NA	intron (LINC00423, intron 3 of 4)	NA	30180	LINC00423								
Interval_2559	chr5	140711057	140711432	+	0	NA	promoter-TSS (VTRNA1-1)	NA	-32	VTRNA1-1								
Interval_708	chr12	75977903	75978327	+	0	NA	Intergenic	NA	53661	PHLDA1								
Interval_576	chr11	96383715	96383888	+	0	NA	intron (CCDC82, intron 5 of 10)	NA	6117	CCDC82								
Interval_428	chr10	110448852	110449194	+	0	NA	Intergenic	NA	-48844	DUSP5								
Interval_376	chr10	72298049	72298283	+	0	NA	Intergenic	NA	24247	DDIT4								
Interval_1501	chr19	39412179	39412432	+	0	NA	promoter-TSS (TRNAI18)	NA	-45	TRNAI18								
Interval_2123	chr3	57597338	57597514	+	0	NA	promoter-TSS (ARF4)	NA	62	ARF4								
Interval_2534	chr5	123430064	123430248	+	0	NA	Intergenic	NA	-6564	CEP120								
Interval_1422	chr19	5828175	5828348	+	0	NA	TTS (NRTN)	NA	4454	NRTN								
Interval_440	chr10	119634321	119634496	+	0	NA	Intergenic	NA	-16939	BAG3								
Interval_619	chr11	130124173	130124442	+	0	NA	intron (APLP2, intron 7 of 17)	NA	-35480	ST14								
Interval_2163	chr3	108130664	108130888	+	0	NA	intron (RP11-861A13.4, intron 1 of 2)	NA	4955	RP11-861A13.4								
Interval_1181	chr17	29761532	29761705	+	0	NA	promoter-TSS (SSH2)	NA	-143153	CORO6								
Interval_968	chr15	67091312	67091551	+	0	NA	intron (SMAD3, intron 1 of 8)	NA	-34285	SMAD3								
Interval_142	chr1	124298770	124298943	+	0	NA	Intergenic	NA	2779744	EMBP1								
Interval_151	chr1	143194632	143194851	+	0	NA	Intergenic	NA	109595	LOC101929814								
Interval_2955	chr7	130913105	130913795	+	0	NA	promoter-TSS (LOC100506860)	NA	-14	LOC100506860								
Interval_673	chr12	43325989	43326181	+	0	NA	Intergenic	NA	225836	ADAMTS20								
Interval_1460	chr19	14047190	14047378	+	0	NA	intron (IL27RA, intron 8 of 13)	NA	11875	PALM3								
Interval_830	chr14	31770476	31770662	+	0	NA	intron (NUBPL, intron 1 of 5)	NA	209184	NUBPL								
Interval_3111	chr8	64966032	64966266	+	0	NA	Intergenic	NA	-167358	CYP7B1								
Interval_474	chr11	9565991	9566322	+	0	NA	Intergenic	NA	-8531	WEE1								
Interval_3148	chr8	89729139	89729436	+	0	NA	intron (LOC101929758, intron 1 of 2)	NA	-28446	RIPK2								
Interval_1946	chr21	25903705	25903878	+	0	NA	intron (APP, intron 13 of 15)	NA	168601	GABPA								
Interval_1876	chr20	35120184	35120493	+	0	NA	intron (EDEM2, intron 8 of 9)	NA	27020	EDEM2								
Interval_502	chr11	34427301	34427609	+	0	NA	Intergenic	NA	-11470	CAT								
Interval_2877	chr7	44257910	44258087	+	0	NA	intron (CAMK2B, intron 4 of 19)	NA	57030	YKT6								
Interval_1452	chr19	11324074	11324528	+	0	NA	exon (RAB3D, exon 5 of 5)	NA	15367	RAB3D								
Interval_1764	chr2	191377211	191377531	+	0	NA	intron (MYO1B, intron 13 of 29)	NA	131843	MYO1B								
Interval_2122	chr3	57068416	57068697	+	0	NA	intron (SPATA12, intron 1 of 1)	NA	8115	SPATA12								
Interval_2852	chr7	27134548	27134721	+	0	NA	intron (HOXA3, intron 1 of 4)	NA	-3854	HOXA4								
Interval_186	chr1	160704697	160704870	+	0	NA	intron (CD48, intron 1 of 3)	NA	7039	CD48								
Interval_2825	chr7	112943	113172	+	0	NA	Intergenic	NA	36398	LOC102723672								
Interval_1043	chr16	29300174	29300352	+	0	NA	Intergenic	NA	-2024	SNX29P2								
Interval_1696	chr2	102258607	102258872	+	0	NA	Intergenic	NA	-52763	IL1RL1								
Interval_598	chr11	118468661	118468967	+	0	NA	exon (KMT2A, exon 2 of 36)	NA	30722	LOC101929115								
Interval_2970	chr7	153797364	153797589	+	0	NA	intron (DPP6, intron 2 of 26)	NA	262085	LOC101929998								
Interval_1260	chr17	76264768	76265021	+	0	NA	promoter-TSS (UBALD2)	NA	-311	UBALD2								
Interval_1046	chr16	30634304	30634534	+	0	NA	Intergenic	NA	-16501	PRR14								
Interval_1822	chr2	240565801	240565899	+	0	NA	Intergenic	NA	-2737	RNPEPL1								
Interval_2515	chr5	102104168	102104341	+	0	NA	Intergenic	NA	192295	SLCO4C1								
Interval_3309	chr9	20353425	20353722	+	0	NA	exon (MLLT3, exon 10 of 11)	NA	57609	MIR4473								
Interval_1313	chr18	30406781	30407052	+	0	NA	Intergenic	NA	108006	MIR302F								
Interval_1357	chr18	63078450	63078689	+	0	NA	Intergenic	NA	241209	BCL2								
Interval_1216	chr17	47098961	47099162	+	0	NA	intron (LOC101927060, intron 1 of 1)	NA	1204	LOC101927060								
Interval_2532	chr5	120138997	120139375	+	0	NA	Intergenic	NA	-325092	PRR16								
Interval_232	chr1	203402692	203402874	+	0	NA	Intergenic	NA	29710	LOC102723529								
Interval_1429	chr19	6802464	6802641	+	0	NA	intron (VAV1, intron 1 of 25)	NA	29884	VAV1								
Interval_2339	chr4	74056549	74057122	+	0	NA	Intergenic	NA	-1436	PPBPP2								
Interval_1680	chr2	85499148	85499378	+	0	NA	Intergenic	NA	39623	LOC100630918								
Interval_3451	chrX	39097795	39098105	+	0	NA	Intergenic	NA	229412	RP11-265P11.2								
Interval_1047	chr16	30650353	30650551	+	0	NA	promoter-TSS (PRR14)	NA	-468	PRR14								
Interval_201	chr1	178067053	178067633	+	0	NA	Intergenic	NA	26650	RASAL2-AS1								
Interval_3243	chr8	125602654	125602858	+	0	NA	Intergenic	NA	169897	TRIB1								
Interval_668	chr12	31749229	31749548	+	0	NA	Intergenic	NA	-19572	LOC102724590								
Interval_881	chr14	80930863	80931067	+	0	NA	intron (CEP128, intron 2 of 24)	NA	8575	CEP128								
Interval_3188	chr8	107615844	107616138	+	0	NA	Intergenic	NA	-117965	ANGPT1								
Interval_2081	chr3	28376450	28376691	+	0	NA	intron (ZCWPW2, intron 1 of 8)	NA	-27443	AZI2								
Interval_1733	chr2	152611843	152612123	+	0	NA	intron (FMNL2, intron 11 of 16)	NA	106009	PRPF40A								
Interval_404	chr10	93390703	93390933	+	0	NA	intron (MYOF, intron 16 of 52)	NA	91601	MYOF								
Interval_2425	chr4	189774068	189774534	+	0	NA	Intergenic	NA	13270	LOC102723973								
Interval_2817	chr6	165184472	165184752	+	0	NA	Intergenic	NA	125004	C6orf118								
Interval_2675	chr6	27809866	27810082	+	0	NA	promoter-TSS (HIST1H3H)	NA	-90	HIST1H3H								
Interval_593	chr11	117072539	117072935	+	0	NA	intron (SIK3, intron 1 of 24)	NA	25678	SIK3								
Interval_3443	chrX	2146104	2146346	+	0	NA	Intergenic	NA	-182503	LOC101928070								
Interval_1592	chr2	10408371	10408585	+	0	NA	intron (HPCAL1, intron 2 of 5)	NA	38371	SNORA80B								
Interval_955	chr15	56985269	56985461	+	0	NA	intron (TCF12, intron 3 of 21)	NA	66730	TCF12								
Interval_485	chr11	15636858	15637056	+	0	NA	intron (LOC102724957, intron 1 of 3)	NA	12800	LOC102724957								
Interval_1890	chr20	45036244	45036464	+	0	NA	intron (STK4, intron 10 of 10)	NA	64755	KCNS1								
Interval_2438	chr5	17413371	17413563	+	0	NA	intron (LOC101929544, intron 1 of 1)	NA	9371	LOC101929544								
Interval_1461	chr19	14384299	14384589	+	0	NA	intron (CD97, intron 2 of 19)	NA	3853	CD97								
Interval_2583	chr5	151252916	151253209	+	0	NA	promoter-TSS (GM2A)	NA	10	GM2A								
Interval_3340	chr9	97633417	97633643	+	0	NA	promoter-TSS (NCBP1)	NA	107	NCBP1								
Interval_375	chr10	72297926	72298015	+	0	NA	Intergenic	NA	24051	DDIT4								
Interval_2963	chr7	141928360	141928533	+	0	NA	TTS (CLEC5A)	NA	9570	OR9A4								
Interval_1773	chr2	200405971	200406186	+	0	NA	intron (SPATS2L, intron 3 of 12)	NA	71550	LOC101927741								
Interval_3113	chr8	65632932	65633105	+	0	NA	promoter-TSS (ARMC1)	NA	1199	ARMC1								
Interval_2255	chr3	188297014	188297342	+	0	NA	intron (LPP, intron 1 of 9)	NA	84497	LPP								
Interval_1432	chr19	7337666	7337996	+	0	NA	Intergenic	NA	-11061	ARHGEF18								
Interval_886	chr14	85516835	85517273	+	0	NA	Intergenic	NA	14705	LOC100506731								
Interval_3206	chr8	117669856	117670071	+	0	NA	Intergenic	NA	149250	MED30								
Interval_1906	chr20	51033718	51034022	+	0	NA	Intergenic	NA	-10787	KCNG1								
Interval_991	chr15	85329751	85330004	+	0	NA	intron (LOC101929641, intron 1 of 1)	NA	344	LOC101929641								
Interval_3417	chrUn_GL000216v2	167843	167930	+	0	NA	NA	NA	NA	NA								
Interval_2889	chr7	55534287	55534614	+	0	NA	intron (VOPP1, intron 1 of 4)	NA	4217	VOPP1								
Interval_2246	chr3	183285872	183286111	+	0	NA	intron (MCF2L2, intron 14 of 29)	NA	20680	B3GNT5								
Interval_1129	chr16	89671231	89671449	+	0	NA	TTS (SPATA33)	NA	13536	SPATA33								
Interval_1062	chr16	34585270	34585459	+	0	NA	Intergenic	NA	153372	LOC102724523								
Interval_2810	chr6	159716793	159717002	+	0	NA	Intergenic	NA	-10101	WTAP								
Interval_2389	chr4	128581601	128581850	+	0	NA	Intergenic	NA	-28266	LOC101927259								
Interval_1233	chr17	59572750	59573040	+	0	NA	intron (DHX40, intron 3 of 17)	NA	7370	DHX40								
Interval_1922	chr21	9923538	9923871	+	0	NA	Intergenic	NA	-102643	MGC39584								
Interval_3447	chrX	23732801	23733015	+	0	NA	intron (ACOT9, intron 4 of 15)	NA	10382	ACOT9								
Interval_2129	chr3	61574896	61575179	+	0	NA	intron (PTPRG, intron 1 of 28)	NA	-47019	LOC101929296								
Interval_2192	chr3	128879351	128879592	+	0	NA	promoter-TSS (ACAD9)	NA	-19	ACAD9								
Interval_3202	chr8	115846577	115846881	+	0	NA	Intergenic	NA	-178717	TRPS1								
Interval_1037	chr16	23504827	23505070	+	0	NA	intron (GGA2, intron 1 of 16)	NA	5546	GGA2								
Interval_1613	chr2	28717422	28717636	+	0	NA	intron (LOC100505774, intron 1 of 1)	NA	18696	LOC100505774								
Interval_2024	chr22	40711616	40711842	+	0	NA	Intergenic	NA	30973	MCHR1								
Interval_2903	chr7	73636396	73636569	+	0	NA	Intergenic	NA	-11942	MLXIPL								
Interval_631	chr12	8057987	8058224	+	0	NA	TTS (C3AR1)	NA	8254	C3AR1								
Interval_1071	chr16	46386797	46387425	+	0	NA	Intergenic	NA	181986	ANKRD26P1								
Interval_1975	chr21	44354107	44354310	+	0	NA	intron (TRPM2, intron 1 of 30)	NA	637	TRPM2								
Interval_3124	chr8	77343834	77344007	+	0	NA	Intergenic	NA	-106837	LOC102724874								
Interval_719	chr12	89769108	89769529	+	0	NA	Intergenic	NA	60363	LINC00936								
Interval_2922	chr7	87574692	87574956	+	0	NA	intron (ABCB1, intron 5 of 28)	NA	-53589	RUNDC3B								
Interval_2037	chr3	4741513	4741892	+	0	NA	intron (ITPR1, intron 41 of 58)	NA	9888	EGOT								
Interval_2230	chr3	160129491	160129699	+	0	NA	intron (IL12A-AS1, intron 3 of 9)	NA	77497	IL12A-AS1								
Interval_1623	chr2	38611499	38611683	+	0	NA	Intergenic	NA	-8555	HNRNPLL								
Interval_3333	chr9	72586784	72587071	+	0	NA	intron (TMC1, intron 2 of 23)	NA	-18171	LOC101927191								
Interval_3390	chrM	48	411	+	0	NA	promoter-TSS (RNR1)	NA	-348	TRNF								
Interval_184	chr1	159076850	159077060	+	0	NA	promoter-TSS (AIM2)	NA	-98	AIM2								
Interval_2359	chr4	98232232	98232616	+	0	NA	Intergenic	NA	-28952	RAP1GDS1								
Interval_1417	chr19	4430902	4431138	+	0	NA	intron (CHAF1A, intron 11 of 14)	NA	-15001	MIR4746								
Interval_587	chr11	108664702	108664878	+	0	NA	promoter-TSS (DDX10)	NA	-235	DDX10								
Interval_3444	chrX	7084100	7084273	+	0	NA	intron (HDHD1, intron 2 of 3)	NA	-63674	MIR4767								
Interval_2406	chr4	150302560	150303014	+	0	NA	exon (LRBA, exon 54 of 58)	NA	224513	DCLK2								
Interval_3065	chr8	41508485	41508777	+	0	NA	intron (GOLGA7, intron 5 of 5)	NA	18069	GOLGA7								
Interval_873	chr14	75188851	75189116	+	0	NA	Intergenic	NA	-12337	TMED10								
Interval_3455	chrX	49167242	49167415	+	0	NA	TTS (MAGIX)	NA	3253	MAGIX								
Interval_3164	chr8	96621005	96621347	+	0	NA	Intergenic	NA	-24051	CPQ								
Interval_2841	chr7	17234453	17234735	+	0	NA	Intergenic	NA	63886	LOC101927609								
Interval_1827	chr20	529320	529609	+	0	NA	intron (CSNK2A1, intron 1 of 13)	NA	14374	CSNK2A1								
Interval_3223	chr8	124141487	124141667	+	0	NA	intron (FER1L6-AS2, intron 1 of 4)	NA	29945	FER1L6-AS2								
Interval_3054	chr8	37737606	37737957	+	0	NA	promoter-TSS (LOC102723701)	NA	89	LOC102723701								
Interval_3177	chr8	102238710	102239213	+	0	NA	promoter-TSS (RRM2B)	NA	157	RRM2B								
Interval_1512	chr19	43765297	43765567	+	0	NA	Intergenic	NA	-10442	SMG9								
Interval_2387	chr4	127250664	127250897	+	0	NA	Intergenic	NA	-154427	LOC102724210								
Interval_1343	chr18	57666962	57667153	+	0	NA	intron (ATP8B1, intron 20 of 27)	NA	36755	RP11-35G9.3								
Interval_410	chr10	98323268	98323542	+	0	NA	Intergenic	NA	-55155	LOXL4								
Interval_2891	chr7	62347394	62347666	+	0	NA	Intergenic	NA	956526	ZNF733P								
Interval_1268	chr17	78639581	78639775	+	0	NA	Intergenic	NA	-9508	LOC101928710								
Interval_1190	chr17	35063486	35063832	+	0	NA	promoter-TSS (RFFL)	NA	25670	RFFL								
Interval_305	chr1	243101681	243101923	+	0	NA	promoter-TSS (RP11-261C10.3)	NA	-58	RP11-261C10.3								
Interval_98	chr1	92563547	92563775	+	0	NA	exon (EVI5, exon 19 of 20)	NA	-76785	GFI1								
Interval_846	chr14	58298156	58298329	+	0	NA	promoter-TSS (FLJ31306)	NA	-105	FLJ31306								
Interval_1483	chr19	29687585	29687808	+	0	NA	Intergenic	NA	22259	PLEKHF1								
Interval_1454	chr19	11536044	11536320	+	0	NA	Intergenic	NA	-2585	CNN1								
Interval_2271	chr3	197712311	197712536	+	0	NA	intron (KIAA0226, intron 1 of 20)	NA	37422	KIAA0226								
Interval_1081	chr16	46400015	46400242	+	0	NA	Intergenic	NA	168969	ANKRD26P1								
Interval_537	chr11	65150707	65150908	+	0	NA	Intergenic	NA	-16275	SYVN1								
Interval_1280	chr17	83051806	83052153	+	0	NA	promoter-TSS (B3GNTL1)	NA	-30143	METRNL								
Interval_893	chr14	92586004	92586353	+	0	NA	intron (RIN3, intron 3 of 9)	NA	72397	RIN3								
Interval_3203	chr8	115959671	115959900	+	0	NA	intron (LINC00536, intron 11 of 13)	NA	-291773	TRPS1								
Interval_1333	chr18	53796136	53796548	+	0	NA	Intergenic	NA	-215271	LOC101928167								
Interval_667	chr12	31746901	31747166	+	0	NA	Intergenic	NA	-17859	AMN1								
Interval_177	chr1	156798482	156798756	+	0	NA	intron (PRCC, intron 7 of 7)	NA	18229	SH2D2A								
Interval_3361	chr9	114348978	114349387	+	0	NA	intron (AKNA, intron 15 of 21)	NA	19393	ORM2								
Interval_2549	chr5	137754333	137754506	+	0	NA	promoter-TSS (HNRNPA0)	NA	-69	HNRNPA0								
Interval_2747	chr6	107003505	107003679	+	0	NA	intron (LOC102724492, intron 1 of 1)	NA	-17642	LOC102724492								
Interval_1964	chr21	35932301	35932583	+	0	NA	Intergenic	NA	52388	LOC101928269								
Interval_2538	chr5	125877269	125877475	+	0	NA	Intergenic	NA	-302205	LOC102546228								
Interval_2042	chr3	8629491	8629687	+	0	NA	intron (SSUH2, intron 7 of 11)	NA	15209	SSUH2								
Interval_1072	chr16	46387738	46388073	+	0	NA	Intergenic	NA	181192	ANKRD26P1								
Interval_1220	chr17	49646875	49647048	+	0	NA	promoter-TSS (SPOP)	NA	31202	SPOP								
Interval_1894	chr20	46545074	46545369	+	0	NA	intron (OCSTAMP, intron 2 of 2)	NA	5353	OCSTAMP								
Interval_1888	chr20	44210878	44211134	+	0	NA	promoter-TSS (OSER1-AS1)	NA	-76	OSER1-AS1								
Interval_1612	chr2	28716343	28716668	+	0	NA	intron (LOC100505774, intron 1 of 1)	NA	19720	LOC100505774								
Interval_41	chr1	32941642	32941997	+	0	NA	intron (RNF19B, intron 7 of 8)	NA	23046	RNF19B								
Interval_155	chr1	143264552	143264835	+	0	NA	Intergenic	NA	39643	LOC101929814								
Interval_1954	chr21	29656818	29656991	+	0	NA	intron (GRIK1, intron 4 of 15)	NA	60864	GRIK1-AS2								
Interval_2578	chr5	147437344	147437553	+	0	NA	intron (DPYSL3, intron 1 of 13)	NA	16249	DPYSL3								
Interval_2062	chr3	14651510	14651821	+	0	NA	promoter-TSS (CCDC174)	NA	-81	CCDC174								
Interval_2393	chr4	138406233	138406429	+	0	NA	intron (LINC00499, intron 2 of 2)	NA	96620	LINC00499								
Interval_1055	chr16	31459772	31460000	+	0	NA	exon (ARMC5, exon 3 of 8)	NA	890	ARMC5								
Interval_2278	chr4	2536240	2536497	+	0	NA	Intergenic	NA	66915	RNF4								
Interval_3063	chr8	39848777	39848950	+	0	NA	Intergenic	NA	-10574	ADAM2								
Interval_1843	chr20	10511684	10512008	+	0	NA	intron (SLX4IP, intron 2 of 7)	NA	-77607	MKKS								
Interval_2228	chr3	156674382	156674607	+	0	NA	promoter-TSS (TIPARP)	NA	78	TIPARP								
Interval_1321	chr18	44725713	44725886	+	0	NA	intron (SETBP1, intron 2 of 5)	NA	45621	SETBP1								
Interval_3345	chr9	99819304	99819609	+	0	NA	intron (RP11-554F20.1, intron 1 of 6)	NA	433	RP11-554F20.1								
Interval_1226	chr17	57422813	57423007	+	0	NA	intron (MSI2, intron 6 of 10)	NA	100687	RP11-118E18.2								
Interval_159	chr1	150363371	150363662	+	0	NA	promoter-TSS (RPRD2)	NA	-998	RPRD2								
Interval_2643	chr6	12637978	12638335	+	0	NA	Intergenic	NA	-52752	LOC101928309								
Interval_3140	chr8	85127812	85128127	+	0	NA	intron (LRRCC1, intron 7 of 16)	NA	12471	LRRCC1								
Interval_2875	chr7	43869554	43870213	+	0	NA	promoter-TSS (MRPS24)	NA	-337	MRPS24								
Interval_635	chr12	9868109	9868290	+	0	NA	intron (CLEC2B, intron 1 of 4)	NA	1660	CLEC2B								
Interval_1345	chr18	57748803	57749119	+	0	NA	intron (ATP8B1, intron 1 of 27)	NA	13405	LOC102724733								
Interval_1945	chr21	25772752	25772950	+	0	NA	TTS (GABPA)	NA	37661	GABPA								
Interval_695	chr12	58030925	58031213	+	0	NA	Intergenic	NA	89528	XRCC6BP1								
Interval_366	chr10	68492180	68492402	+	0	NA	intron (SLC25A16, intron 3 of 5)	NA	-20170	DNA2								
Interval_3001	chr8	17362811	17363026	+	0	NA	intron (MTMR7, intron 3 of 13)	NA	-17219	LOC102724838								
Interval_1565	chr19	54373670	54374043	+	0	NA	Intergenic	NA	-8742	LAIR1								
Interval_975	chr15	70486718	70486978	+	0	NA	Intergenic	NA	99758	LOC101929151								
Interval_1377	chr18	70489913	70490244	+	0	NA	Intergenic	NA	-105487	RP11-41O4.2								
Interval_222	chr1	196181224	196181494	+	0	NA	Intergenic	NA	401078	MIR4735								
Interval_1205	chr17	42024824	42025089	+	0	NA	TTS (ZNF385C)	NA	4849	NKIRAS2								
Interval_2480	chr5	72598757	72598952	+	0	NA	intron (LOC102477328, intron 1 of 2)	NA	41777	LOC102503427								
Interval_1804	chr2	225020472	225020737	+	0	NA	intron (DOCK10, intron 1 of 55)	NA	-10067	MIR4439								
Interval_1992	chr22	28670117	28670660	+	0	NA	intron (TTC28, intron 1 of 21)	NA	9477	TTC28								
Interval_294	chr1	235135406	235135619	+	0	NA	intron (RBM34, intron 10 of 10)	NA	-6571	TOMM20								
Interval_3360	chr9	113851954	113852247	+	0	NA	Intergenic	NA	-24185	ZNF618								
Interval_1254	chr17	73340212	73340554	+	0	NA	intron (SDK2, intron 44 of 44)	NA	-29076	CDC42EP4								
Interval_2238	chr3	171814007	171814310	+	0	NA	Intergenic	NA	-3664	PLD1								
