PeakID (cmd=annotatePeaks.pl GSE1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_665	chr6	91141541	91141617	+	0	NA	Intergenic	NA	-380130	MIR4643								
Interval_730	chr8	11251984	11252061	+	0	NA	Intergenic	NA	-32469	MTMR9								
Interval_409	chr19	38287665	38287761	+	0	NA	intron (SPINT2, intron 2 of 6)	NA	-16451	C19orf33								
Interval_163	chr11	51236441	51236542	+	0	NA	Intergenic	NA	827344	LOC646813								
Interval_584	chr4	89470286	89470334	+	0	NA	Intergenic	NA	-162300	GPRIN3								
Interval_762	chr8	124762057	124762103	+	0	NA	Intergenic	NA	-33607	MTSS1								
Interval_352	chr17	26783405	26783481	+	0	NA	Intergenic	NA	510499	MIR4522								
Interval_146	chr10	89333416	89333520	+	0	NA	intron (LOC101926887, intron 3 of 3)	NA	5623	IFIT3								
Interval_597	chr4	162015253	162015367	+	0	NA	intron (FSTL5, intron 3 of 14)	NA	-7423	RP11-497K21.1								
Interval_182	chr11	119879117	119879206	+	0	NA	Intergenic	NA	127147	LOC101929156								
Interval_217	chr12	113214590	113214666	+	0	NA	intron (IQCD, intron 1 of 4)	NA	6645	IQCD								
Interval_454	chr2	137486906	137486984	+	0	NA	intron (THSD7B, intron 14 of 26)	NA	439462	LOC101928273								
Interval_141	chr10	53113467	53113547	+	0	NA	Intergenic	NA	-342857	MBL2								
Interval_693	chr7	56039732	56039808	+	0	NA	intron (PSPH, intron 1 of 6)	NA	11829	PSPH								
Interval_328	chr16	57648286	57648411	+	0	NA	intron (GPR56, intron 1 of 13)	NA	-19897	GPR97								
Interval_346	chr17	25242931	25243025	+	0	NA	Intergenic	NA	2050964	MIR4522								
Interval_445	chr2	96776816	96776904	+	0	NA	intron (CNNM4, intron 1 of 7)	NA	15871	CNNM4								
Interval_418	chr19	54901198	54901310	+	0	NA	Intergenic	NA	-4896	NCR1								
Interval_654	chr6	22366305	22366488	+	0	NA	Intergenic	NA	-1823	LOC102724722								
Interval_439	chr2	89830957	89831033	+	0	NA	Intergenic	NA	-193342	LOC101927050								
Interval_519	chr3	58484226	58484335	+	0	NA	intron (LOC101929223, intron 3 of 3)	NA	12625	LOC101929223								
Interval_221	chr12	124246865	124246941	+	0	NA	intron (ZNF664-FAM101A, intron 3 of 4)	NA	-42261	FAM101A								
Interval_611	chr5	49602349	49602509	+	0	NA	Intergenic	NA	838971	EMB								
Interval_198	chr12	39810013	39810096	+	0	NA	intron (SLC2A13, intron 7 of 8)	NA	165093	C12orf40								
Interval_60	chr1	125069458	125069534	+	0	NA	Intergenic	NA	3550384	EMBP1								
Interval_764	chr8	130206516	130206609	+	0	NA	intron (ASAP1, intron 5 of 29)	NA	89971	ASAP1-IT1								
Interval_241	chr13	46983220	46983345	+	0	NA	Intergenic	NA	-86206	HTR2A								
Interval_17	chr1	94106188	94106376	+	0	NA	intron (ABCA4, intron 4 of 49)	NA	14867	ABCA4								
Interval_308	chr16	34595677	34595789	+	0	NA	Intergenic	NA	163741	LOC102724523								
Interval_77	chr1	143221670	143221840	+	0	NA	Intergenic	NA	84604	LOC101929814								
Interval_790	chr9	127154569	127154677	+	0	NA	intron (RALGPS1, intron 6 of 17)	NA	-31858	ANGPTL2								
Interval_117	chr1	245516660	245516768	+	0	NA	intron (KIF26B, intron 4 of 14)	NA	361729	KIF26B								
Interval_520	chr3	64972961	64973054	+	0	NA	intron (ADAMTS9-AS2, intron 4 of 5)	NA	-216266	LOC102724763								
Interval_566	chr4	49155861	49155937	+	0	NA	Intergenic	NA	-6121	LOC101927209								
Interval_451	chr2	133911164	133911255	+	0	NA	Intergenic	NA	-215921	MIR3679								
Interval_830	chrUn_KI270467v1	1711	1793	+	0	NA	NA	NA	NA	NA								
Interval_680	chr6	161406805	161406891	+	0	NA	intron (PARK2, intron 6 of 8)	NA	-140050	AGPAT4								
Interval_8	chr1	30869116	30869314	+	0	NA	TTS (SDC3)	NA	8307	LOC102723832								
Interval_262	chr14	81437856	81437932	+	0	NA	Intergenic	NA	12263	RP11-299L17.3								
Interval_426	chr2	8061341	8061564	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	-84638	LINC00298								
Interval_504	chr22_KI270733v1_random	154726	154808	+	0	NA	Intergenic	NA	5334	LOC102724621								
Interval_855	chrY	56723683	56723765	+	0	NA	Intergenic	NA	-232519	SPRY3-2								
Interval_621	chr5	60109148	60109257	+	0	NA	intron (PDE4D, intron 2 of 16)	NA	-340590	PDE4D								
Interval_623	chr5	74576967	74577076	+	0	NA	Intergenic	NA	64403	ENC1								
Interval_476	chr20	13659377	13659656	+	0	NA	Intergenic	NA	-20584	TASP1								
Interval_420	chr1_KI270709v1_random	4122	4198	+	0	NA	NA	NA	NA	NA								
Interval_37	chr1	123187958	123188045	+	0	NA	Intergenic	NA	1668889	EMBP1								
Interval_414	chr19	47386767	47386843	+	0	NA	Intergenic	NA	32723	MEIS3								
Interval_316	chr16	46393408	46393596	+	0	NA	Intergenic	NA	175595	ANKRD26P1								
Interval_387	chr18	23078667	23078905	+	0	NA	Intergenic	NA	-55778	CABLES1								
Interval_795	chrM	30	405	+	0	NA	promoter-TSS (TRNF)	NA	-360	TRNF								
Interval_276	chr15	38129924	38130263	+	0	NA	Intergenic	NA	89844	RP11-1008C21.1								
Interval_709	chr7	108156897	108157084	+	0	NA	intron (NRCAM, intron 29 of 30)	NA	-8324	LOC102724363								
Interval_379	chr18	379786	380023	+	0	NA	intron (COLEC12, intron 2 of 5)	NA	-111845	THOC1								
Interval_74	chr1	143212995	143213104	+	0	NA	Intergenic	NA	93310	LOC101929814								
Interval_618	chr5	49666172	49666254	+	0	NA	Intergenic	NA	775187	EMB								
Interval_532	chr3	138413377	138413453	+	0	NA	Intergenic	NA	-21171	ESYT3								
Interval_549	chr4	24752070	24752146	+	0	NA	Intergenic	NA	-43355	SOD3								
Interval_26	chr1	122799069	122799145	+	0	NA	Intergenic	NA	1279995	EMBP1								
Interval_812	chrUn_KI270333v1	287	407	+	0	NA	NA	NA	NA	NA								
Interval_20	chr1	105579105	105579201	+	0	NA	Intergenic	NA	26823	RP11-251P6.1								
Interval_172	chr11	62004550	62004690	+	0	NA	Intergenic	NA	15484	LOC102723745								
Interval_309	chr16	37229722	37229812	+	0	NA	Intergenic	NA	1483215	FLJ26245								
Interval_633	chr5	138661452	138661560	+	0	NA	Intergenic	NA	-85877	HSPA9								
Interval_125	chr10	34951733	34951859	+	0	NA	Intergenic	NA	122534	CUL2								
Interval_853	chrY	56685537	56685621	+	0	NA	Intergenic	NA	-270664	SPRY3-2								
Interval_684	chr7	4300935	4301011	+	0	NA	Intergenic	NA	-381326	FOXK1								
Interval_675	chr6	150238977	150239078	+	0	NA	intron (PPP1R14C, intron 3 of 3)	NA	95975	PPP1R14C								
Interval_106	chr1	205605328	205605374	+	0	NA	intron (ELK4, intron 5 of 5)	NA	27554	ELK4								
Interval_642	chr5	168410353	168410555	+	0	NA	intron (WWC1, intron 8 of 22)	NA	-83788	RARS								
Interval_562	chr4	49148801	49148877	+	0	NA	Intergenic	NA	-13181	LOC101927209								
Interval_337	chr17	1463267	1463427	+	0	NA	TTS (MYO1C)	NA	-7080	CRK								
Interval_548	chr4	17595718	17595824	+	0	NA	intron (LAP3, intron 8 of 12)	NA	18467	LAP3								
Interval_393	chr18	58213530	58213749	+	0	NA	intron (NEDD4L, intron 1 of 30)	NA	18249	NEDD4L								
Interval_484	chr20	58306890	58307151	+	0	NA	intron (PPP4R1L, intron 2 of 16)	NA	2419	PPP4R1L								
Interval_94	chr1	151199484	151199608	+	0	NA	intron (PIP5K1A, intron 1 of 14)	NA	1001	PIP5K1A								
Interval_109	chr1	220702066	220702217	+	0	NA	Intergenic	NA	11855	C1orf115								
Interval_263	chr14	89498917	89499070	+	0	NA	intron (LOC102723683, intron 3 of 4)	NA	-77223	FOXN3-AS2								
Interval_430	chr2	32916511	32916615	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10564	AL121656.5								
Interval_480	chr20	45996423	45996499	+	0	NA	Intergenic	NA	-12447	MMP9								
Interval_230	chr13	17968255	17968331	+	0	NA	Intergenic	NA	-227004	FAM230C								
Interval_823	chrUn_KI270438v1	112039	112194	+	0	NA	NA	NA	NA	NA								
Interval_126	chr10	38495967	38496065	+	0	NA	Intergenic	NA	67870	LINC00999								
Interval_670	chr6	133983532	133983706	+	0	NA	intron (TBPL1, intron 4 of 6)	NA	31449	TBPL1								
Interval_493	chr21	38289792	38289943	+	0	NA	intron (KCNJ15, intron 1 of 2)	NA	17447	KCNJ15								
Interval_568	chr4	49635504	49635606	+	0	NA	Intergenic	NA	-146231	LOC101060532								
Interval_157	chr11	34952862	34952939	+	0	NA	intron (PDHX, intron 3 of 5)	NA	11012	MIR1343								
Interval_747	chr8	63774659	63774741	+	0	NA	intron (RP11-579E24.1, intron 1 of 2)	NA	5270	RP11-579E24.1								
Interval_115	chr1	240576339	240576621	+	0	NA	intron (GREM2, intron 1 of 1)	NA	-44771	GREM2								
Interval_514	chr3	45101027	45101113	+	0	NA	intron (CDCP1, intron 4 of 8)	NA	45352	CDCP1								
Interval_789	chr9	114995915	114995991	+	0	NA	Intergenic	NA	-66709	TNFSF8								
Interval_696	chr7	59542865	59542952	+	0	NA	Intergenic	NA	-1462161	LOC102724134								
Interval_442	chr2	89839616	89839721	+	0	NA	Intergenic	NA	-202015	LOC101927050								
Interval_105	chr1	200207908	200208006	+	0	NA	Intergenic	NA	165015	NR5A2								
Interval_285	chr15	90638214	90638455	+	0	NA	intron (CRTC3, intron 11 of 14)	NA	-21900	RP11-387D10.3								
Interval_483	chr20	57503241	57503626	+	0	NA	intron (CTCFL, intron 9 of 9)	NA	21694	CTCFL								
Interval_473	chr2	242031831	242031914	+	0	NA	intron (AC131097.3, intron 3 of 3)	NA	28175	FLJ38379								
Interval_427	chr2	8303672	8303810	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	24678	LINC00299								
Interval_323	chr16	46400996	46401132	+	0	NA	Intergenic	NA	168033	ANKRD26P1								
Interval_697	chr7	60163583	60163684	+	0	NA	Intergenic	NA	-841436	LOC102724134								
Interval_417	chr19	51135113	51135189	+	0	NA	intron (SIGLEC9, intron 6 of 6)	NA	-7150	SIGLEC7								
Interval_259	chr14	77813772	77813921	+	0	NA	intron (ADCK1, intron 1 of 9)	NA	13763	ADCK1								
Interval_786	chr9	106311040	106311134	+	0	NA	Intergenic	NA	-289903	MIR8081								
Interval_660	chr6	44381920	44382046	+	0	NA	Intergenic	NA	-5709	CDC5L								
Interval_462	chr2	173264754	173264870	+	0	NA	intron (ZAK, intron 19 of 19)	NA	17224	MLK7-AS1								
Interval_237	chr13	28347831	28348058	+	0	NA	intron (FLT1, intron 15 of 29)	NA	115443	RNU6-82P								
Interval_210	chr12	96037517	96037593	+	0	NA	intron (LTA4H, intron 1 of 17)	NA	1534	TRNAD12								
Interval_138	chr10	42091275	42091355	+	0	NA	Intergenic	NA	-151208	LOC101929373								
Interval_51	chr1	124376172	124376255	+	0	NA	Intergenic	NA	2857101	EMBP1								
Interval_130	chr10	41875396	41875496	+	0	NA	Intergenic	NA	-367077	LOC101929373								
Interval_397	chr18	77005014	77005201	+	0	NA	intron (MBP, intron 3 of 6)	NA	128601	MBP								
Interval_80	chr1	143227330	143227406	+	0	NA	Intergenic	NA	78991	LOC101929814								
Interval_507	chr3	10145755	10145982	+	0	NA	intron (VHL, intron 1 of 1)	NA	4233	VHL								
Interval_85	chr1	143253507	143253597	+	0	NA	Intergenic	NA	52807	LOC101929814								
Interval_679	chr6	158667104	158667321	+	0	NA	intron (SYTL3, intron 6 of 16)	NA	-22440	DYNLT1								
Interval_295	chr16	34575986	34576073	+	0	NA	Intergenic	NA	144037	LOC102724523								
Interval_268	chr14	92730115	92730191	+	0	NA	intron (LGMN, intron 2 of 13)	NA	18477	LGMN								
Interval_671	chr6	135962832	135962951	+	0	NA	intron (PDE7B, intron 2 of 12)	NA	-40698	LOC101928373								
Interval_231	chr13	18034833	18034909	+	0	NA	Intergenic	NA	-160426	FAM230C								
Interval_377	chr17_KI270729v1_random	196154	196231	+	0	NA	NA	NA	NA	NA								
Interval_64	chr1	125179914	125180010	+	0	NA	Intergenic	NA	3660850	EMBP1								
Interval_433	chr2	60460997	60461607	+	0	NA	exon (BCL11A, exon 4 of 4)	NA	-59185	LOC102724142								
Interval_44	chr1	123849985	123850077	+	0	NA	Intergenic	NA	2330919	EMBP1								
Interval_410	chr19	39996502	39996664	+	0	NA	promoter-TSS (ZNF546)	NA	-453	ZNF546								
Interval_369	chr17	79058943	79058991	+	0	NA	Intergenic	NA	-12527	ENGASE								
Interval_111	chr1	226631267	226631343	+	0	NA	TTS (ITPKB)	NA	43763	ITPKB-IT1								
Interval_407	chr19	18392590	18392678	+	0	NA	intron (LRRC25, intron 1 of 1)	NA	4984	LRRC25								
Interval_408	chr19	34270043	34270190	+	0	NA	intron (KIAA0355, intron 1 of 13)	NA	4558	KIAA0355								
Interval_689	chr7	28155082	28155179	+	0	NA	intron (JAZF1, intron 1 of 4)	NA	-25327	JAZF1-AS1								
Interval_87	chr1	143264160	143264263	+	0	NA	Intergenic	NA	42148	LOC101929814								
Interval_469	chr2	225171486	225171615	+	0	NA	Intergenic	NA	-161010	MIR4439								
Interval_704	chr7	90536528	90536710	+	0	NA	Intergenic	NA	66988	LOC102723899								
Interval_148	chr10	93720911	93721023	+	0	NA	Intergenic	NA	-18395	FRA10AC1								
Interval_228	chr13	17752017	17752103	+	0	NA	Intergenic	NA	-443237	FAM230C								
Interval_748	chr8	66027389	66027505	+	0	NA	intron (DNAJC5B, intron 1 of 5)	NA	5891	DNAJC5B								
Interval_36	chr1	123147690	123147767	+	0	NA	Intergenic	NA	1628616	EMBP1								
Interval_372	chr17_KI270729v1_random	10502	10625	+	0	NA	NA	NA	NA	NA								
Interval_718	chr7	140253156	140253232	+	0	NA	Intergenic	NA	75933	JHDM1D-AS1								
Interval_788	chr9	112899064	112899186	+	0	NA	Intergenic	NA	-8212	SLC46A2								
Interval_55	chr1	124562422	124562498	+	0	NA	Intergenic	NA	3043348	EMBP1								
Interval_238	chr13	28468176	28468317	+	0	NA	intron (FLT1, intron 1 of 14)	NA	26882	FLT1								
Interval_429	chr2	32916196	32916327	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10866	AL121656.5								
Interval_732	chr8	18729206	18729299	+	0	NA	intron (PSD3, intron 6 of 12)	NA	70825	LOC101929092								
Interval_744	chr8	54523958	54524034	+	0	NA	Intergenic	NA	-53570	LOC100129098								
Interval_564	chr4	49154451	49154537	+	0	NA	Intergenic	NA	-7526	LOC101927209								
Interval_29	chr1	122908187	122908263	+	0	NA	Intergenic	NA	1389113	EMBP1								
Interval_600	chr4	169622362	169622464	+	0	NA	intron (CLCN3, intron 1 of 11)	NA	-9786	NEK1								
Interval_16	chr1	93817054	93817152	+	0	NA	intron (BCAR3, intron 2 of 13)	NA	-29729	MIR760								
Interval_175	chr11	79441632	79441765	+	0	NA	Intergenic	NA	-1047	TENM4								
Interval_2	chr1	19133717	19133793	+	0	NA	intron (UBR4, intron 61 of 106)	NA	76563	UBR4								
Interval_83	chr1	143241059	143241170	+	0	NA	Intergenic	NA	65245	LOC101929814								
Interval_711	chr7	120096236	120096371	+	0	NA	Intergenic	NA	-177332	KCND2								
Interval_280	chr15	64984318	64984518	+	0	NA	intron (SPG21, intron 1 of 8)	NA	5528	SPG21								
Interval_289	chr16	12573304	12573605	+	0	NA	exon (SNX29, exon 18 of 18)	NA	3262	LOC101929304								
Interval_330	chr16	65124757	65124817	+	0	NA	promoter-TSS (CDH11)	NA	1325	CDH11								
Interval_253	chr14	60623064	60623195	+	0	NA	Intergenic	NA	26308	SIX1								
Interval_118	chr10	451250	451440	+	0	NA	intron (DIP2C, intron 4 of 38)	NA	-28309	DIP2C								
Interval_599	chr4	168881394	168881470	+	0	NA	intron (PALLD, intron 11 of 22)	NA	-16550	LOC102723331								
Interval_545	chr4	6964241	6964317	+	0	NA	intron (TBC1D14, intron 1 of 12)	NA	54511	TBC1D14								
Interval_743	chr8	47574410	47574545	+	0	NA	intron (SPIDR, intron 1 of 12)	NA	163687	CEBPD								
Interval_482	chr20	54346487	54346563	+	0	NA	Intergenic	NA	-129491	DOK5								
Interval_373	chr17_KI270729v1_random	21880	21956	+	0	NA	NA	NA	NA	NA								
Interval_153	chr10	118511932	118511978	+	0	NA	Intergenic	NA	83693	PRLHR								
Interval_283	chr15	65705673	65705804	+	0	NA	intron (DENND4A, intron 14 of 31)	NA	13594	MIR4511								
Interval_702	chr7	66631571	66631647	+	0	NA	intron (KCTD7, intron 1 of 3)	NA	2728	KCTD7								
Interval_538	chr3	176964794	176964966	+	0	NA	Intergenic	NA	-147879	LOC101928684								
Interval_531	chr3	134294406	134294482	+	0	NA	Intergenic	NA	-43700	RYK								
Interval_281	chr15	64984609	64984696	+	0	NA	intron (SPG21, intron 1 of 8)	NA	5294	SPG21								
Interval_534	chr3	153591910	153592084	+	0	NA	Intergenic	NA	107502	C3orf79								
Interval_721	chr7	143126186	143126232	+	0	NA	Intergenic	NA	-5872	PIP								
Interval_139	chr10	42101598	42101674	+	0	NA	Intergenic	NA	-140887	LOC101929373								
Interval_640	chr5	159362556	159362632	+	0	NA	exon (AC008697.1, exon 5 of 5)	NA	31076	AC008697.1								
Interval_287	chr16	5117409	5117485	+	0	NA	Intergenic	NA	-19627	FAM86A								
Interval_127	chr10	38573448	38573569	+	0	NA	Intergenic	NA	-123088	ACTR3BP5								
Interval_622	chr5	73160352	73160456	+	0	NA	Intergenic	NA	-12792	TMEM174								
Interval_335	chr16	85829816	85829954	+	0	NA	Intergenic	NA	30189	COX4I1								
Interval_391	chr18	46672435	46672637	+	0	NA	Intergenic	NA	84538	ST8SIA5								
Interval_371	chr17_KI270729v1_random	3501	3621	+	0	NA	NA	NA	NA	NA								
Interval_243	chr13	52921345	52921552	+	0	NA	Intergenic	NA	-72808	PCDH8								
Interval_763	chr8	128205826	128206127	+	0	NA	Intergenic	NA	55860	MIR1208								
Interval_698	chr7	60661118	60661194	+	0	NA	Intergenic	NA	-343913	LOC102724134								
Interval_227	chr13	17507767	17507849	+	0	NA	Intergenic	NA	-687489	FAM230C								
Interval_364	chr17	62886219	62886295	+	0	NA	Intergenic	NA	-58018	MIR633								
Interval_24	chr1	122680346	122680422	+	0	NA	Intergenic	NA	1161272	EMBP1								
Interval_777	chr9	44633723	44633803	+	0	NA	Intergenic	NA	1506041	LOC102724904								
Interval_206	chr12	89734111	89734170	+	0	NA	Intergenic	NA	25185	LINC00936								
Interval_592	chr4	141329151	141329470	+	0	NA	intron (RP11-362F19.1, intron 1 of 2)	NA	1206	RP11-362F19.1								
Interval_806	chrUn_GL000216v2	158646	158755	+	0	NA	NA	NA	NA	NA								
Interval_678	chr6	156459555	156459761	+	0	NA	Intergenic	NA	-164917	LOC101928923								
Interval_835	chrX	17737422	17737500	+	0	NA	promoter-TSS (SCML1)	NA	-4808	SCML1								
Interval_838	chrX	44282616	44282697	+	0	NA	intron (EFHC2, intron 2 of 13)	NA	-3871	EFHC2								
Interval_796	chrM	8016	8071	+	0	NA	promoter-TSS (TRNK)	NA	-252	TRNK								
Interval_804	chrUn_GL000216v2	146118	146221	+	0	NA	NA	NA	NA	NA								
Interval_22	chr1	109214983	109215059	+	0	NA	exon (SARS, exon 2 of 2)	NA	1128	SARS								
Interval_612	chr5	49657035	49657123	+	0	NA	Intergenic	NA	784321	EMB								
Interval_845	chrY	10967521	10967597	+	0	NA	Intergenic	NA	1056761	TTTY23								
Interval_478	chr20	18831943	18832198	+	0	NA	Intergenic	NA	-1875	C20orf78								
Interval_491	chr21	29233246	29233447	+	0	NA	intron (LINC00189, intron 1 of 1)	NA	39852	LINC00189								
Interval_716	chr7	134738017	134738283	+	0	NA	Intergenic	NA	-41263	CALD1								
Interval_199	chr12	40208834	40208910	+	0	NA	Intergenic	NA	-16139	LRRK2								
Interval_10	chr1	56191031	56191107	+	0	NA	Intergenic	NA	-248787	LOC102724140								
Interval_613	chr5	49658103	49658198	+	0	NA	Intergenic	NA	783250	EMB								
Interval_637	chr5	142357036	142357145	+	0	NA	Intergenic	NA	31797	AC005592.2								
Interval_572	chr4	49709692	49709814	+	0	NA	Intergenic	NA	-220429	LOC101060532								
Interval_155	chr10	129372381	129372506	+	0	NA	Intergenic	NA	-274373	MGMT								
Interval_296	chr16	34576213	34576306	+	0	NA	Intergenic	NA	144267	LOC102724523								
Interval_193	chr12	10750305	10750409	+	0	NA	promoter-TSS (LOC101928162)	NA	153	LOC101928162								
Interval_720	chr7	141961118	141961257	+	0	NA	intron (MGAM, intron 1 of 70)	NA	12586	TAS2R38								
Interval_347	chr17	26041163	26041239	+	0	NA	Intergenic	NA	1252741	MIR4522								
Interval_255	chr14	68268407	68268530	+	0	NA	intron (RAD51B, intron 7 of 10)	NA	131911	LOC101927971								
Interval_492	chr21	32583432	32583511	+	0	NA	intron (TCP10L, intron 2 of 4)	NA	2064	TCP10L								
Interval_300	chr16	34583301	34583671	+	0	NA	Intergenic	NA	151494	LOC102724523								
Interval_578	chr4	68204008	68204084	+	0	NA	intron (TMPRSS11BNL, intron 2 of 9)	NA	14034	TMPRSS11BNL								
Interval_366	chr17	74631936	74632043	+	0	NA	Intergenic	NA	-8231	CD300E								
Interval_596	chr4	159278595	159278832	+	0	NA	intron (RAPGEF2, intron 1 of 23)	NA	-149833	MIR3688-1								
Interval_784	chr9	98575822	98575902	+	0	NA	intron (GABBR2, intron 2 of 18)	NA	133335	GABBR2								
Interval_318	chr16	46399239	46399583	+	0	NA	Intergenic	NA	169686	ANKRD26P1								
Interval_673	chr6	146568313	146568361	+	0	NA	Intergenic	NA	24645	RAB32								
Interval_479	chr20	31106784	31106870	+	0	NA	Intergenic	NA	-150837	DEFB115								
Interval_59	chr1	124702863	124702958	+	0	NA	Intergenic	NA	3183798	EMBP1								
Interval_624	chr5	82504274	82504352	+	0	NA	Intergenic	NA	121368	FLJ41309								
Interval_765	chr8	131816592	131816668	+	0	NA	Intergenic	NA	-87479	EFR3A								
Interval_267	chr14	92507358	92507710	+	0	NA	Intergenic	NA	-6247	RIN3								
Interval_107	chr1	206967657	206967746	+	0	NA	intron (FCAMR, intron 1 of 7)	NA	2924	FCAMR								
Interval_461	chr2	172437799	172438018	+	0	NA	intron (ITGA6, intron 1 of 25)	NA	10322	ITGA6								
Interval_809	chrUn_GL000219v1	99597	99647	+	0	NA	promoter-TSS (LOC283788)	NA	20	LOC283788								
Interval_358	chr17	44007013	44007188	+	0	NA	intron (NAGS, intron 4 of 6)	NA	2436	NAGS								
Interval_565	chr4	49155379	49155520	+	0	NA	Intergenic	NA	-6571	LOC101927209								
Interval_110	chr1	221099019	221099238	+	0	NA	intron (LOC101929750, intron 2 of 2)	NA	21290	LOC101929750								
Interval_630	chr5	121977068	121977260	+	0	NA	intron (SRFBP1, intron 3 of 7)	NA	15203	SRFBP1								
Interval_813	chrUn_KI270333v1	1590	1671	+	0	NA	NA	NA	NA	NA								
Interval_187	chr12	4320852	4321009	+	0	NA	promoter-TSS (C12orf5)	NA	-263	C12orf5								
Interval_510	chr3	17402001	17402190	+	0	NA	intron (TBC1D5, intron 8 of 22)	NA	340520	TBC1D5								
Interval_834	chrX	928749	928876	+	0	NA	Intergenic	NA	283822	CRLF2								
Interval_802	chrUn_GL000216v2	38038	38114	+	0	NA	NA	NA	NA	NA								
Interval_808	chrUn_GL000216v2	173932	174008	+	0	NA	NA	NA	NA	NA								
Interval_46	chr1	123871925	123872077	+	0	NA	Intergenic	NA	2352889	EMBP1								
Interval_419	chr1_KI270709v1_random	350	460	+	0	NA	NA	NA	NA	NA								
Interval_559	chr4	49139687	49139807	+	0	NA	Intergenic	NA	-22273	LOC101927209								
Interval_734	chr8	24418311	24418540	+	0	NA	Intergenic	NA	-22571	ADAM7								
Interval_89	chr1	143265378	143265480	+	0	NA	Intergenic	NA	40930	LOC101929814								
Interval_258	chr14	74572042	74572164	+	0	NA	intron (LTBP2, intron 3 of 35)	NA	-39840	LOC101928352								
Interval_81	chr1	143230905	143231005	+	0	NA	Intergenic	NA	75404	LOC101929814								
Interval_362	chr17	57947021	57947116	+	0	NA	promoter-TSS (CUEDC1)	NA	-41042	LOC101929185								
Interval_136	chr10	42078340	42078448	+	0	NA	Intergenic	NA	-164129	LOC101929373								
Interval_284	chr15	73400480	73400556	+	0	NA	Intergenic	NA	-31254	HCN4								
Interval_350	chr17	26604204	26604280	+	0	NA	Intergenic	NA	689700	MIR4522								
Interval_345	chr17	24421430	24421521	+	0	NA	Intergenic	NA	-1898289	LOC102723754								
Interval_18	chr1	101004134	101004265	+	0	NA	intron (DPH5, intron 3 of 6)	NA	21607	DPH5								
Interval_529	chr3	126911556	126911819	+	0	NA	intron (CHCHD6, intron 5 of 7)	NA	49035	LOC101929358								
Interval_256	chr14	68741913	68742115	+	0	NA	Intergenic	NA	54229	ZFP36L1								
Interval_185	chr12	10252	10334	+	0	NA	Intergenic	NA	7463	LOC100288778								
Interval_768	chr8	141036129	141036352	+	0	NA	Intergenic	NA	-92381	DENND3								
Interval_5	chr1	23559647	23559832	+	0	NA	promoter-TSS (ID3)	NA	55	ID3								
Interval_683	chr7	2863769	2863917	+	0	NA	intron (LOC102723871, intron 1 of 1)	NA	1984	LOC102723871								
Interval_647	chr6	3473837	3473883	+	0	NA	Intergenic	NA	-17140	SLC22A23								
Interval_674	chr6	148657158	148657336	+	0	NA	Intergenic	NA	-89681	UST								
Interval_468	chr2	222866701	222866821	+	0	NA	intron (ACSL3, intron 1 of 16)	NA	5747	ACSL3								
Interval_303	chr16	34588207	34588300	+	0	NA	Intergenic	NA	156261	LOC102724523								
Interval_104	chr1	198881305	198881381	+	0	NA	intron (MIR181A1HG, intron 2 of 2)	NA	-22213	MIR181A1								
Interval_758	chr8	115218993	115219214	+	0	NA	Intergenic	NA	449925	TRPS1								
Interval_536	chr3	172512461	172512602	+	0	NA	intron (TNFSF10, intron 2 of 4)	NA	10976	TNFSF10								
Interval_793	chr9	136081480	136081606	+	0	NA	intron (NACC2, intron 1 of 5)	NA	13742	NACC2								
Interval_495	chr21	42949204	42949430	+	0	NA	Intergenic	NA	1688	MIR5692B								
Interval_47	chr1	124059873	124059972	+	0	NA	Intergenic	NA	2540810	EMBP1								
Interval_23	chr1	122515666	122515756	+	0	NA	Intergenic	NA	996599	EMBP1								
Interval_544	chr4	6267685	6267884	+	0	NA	Intergenic	NA	-2066	WFS1								
Interval_854	chrY	56721681	56721757	+	0	NA	Intergenic	NA	-234524	SPRY3-2								
Interval_334	chr16	84898063	84898240	+	0	NA	intron (CRISPLD2, intron 15 of 15)	NA	26676	LOC101928474								
Interval_290	chr16	14354817	14355044	+	0	NA	Intergenic	NA	31565	LOC100129781								
Interval_322	chr16	46400594	46400713	+	0	NA	Intergenic	NA	168444	ANKRD26P1								
Interval_92	chr1	148522678	148522821	+	0	NA	Intergenic	NA	-6508	TRNAN5-2								
Interval_605	chr5	6645530	6645827	+	0	NA	intron (SRD5A1, intron 1 of 4)	NA	12291	SRD5A1								
Interval_685	chr7	5218831	5218907	+	0	NA	intron (WIPI2, intron 7 of 12)	NA	28665	WIPI2								
Interval_658	chr6	30450754	30451020	+	0	NA	Intergenic	NA	-38519	HLA-E								
Interval_344	chr17	24188111	24188187	+	0	NA	Intergenic	NA	-1664963	LOC102723754								
