PeakID (cmd=annotatePeaks.pl HOXA9.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1376	chrUn_GL000216v2	158560	158841	+	0	NA	NA	NA	NA	NA								
Interval_1227	chr8	41545011	41545293	+	0	NA	TTS (GINS4)	NA	15946	GINS4								
Interval_720	chr20	29055693	29055995	+	0	NA	Intergenic	NA	-24723	LOC102723316								
Interval_320	chr13	35993061	35993365	+	0	NA	intron (DCLK1, intron 3 of 17)	NA	138164	DCLK1								
Interval_425	chr16	34585551	34585737	+	0	NA	Intergenic	NA	153652	LOC102724523								
Interval_282	chr12	89162820	89163080	+	0	NA	Intergenic	NA	-143258	RP11-13A1.1								
Interval_548	chr18	63969969	63970181	+	0	NA	promoter-TSS (SERPINB8)	NA	46	SERPINB8								
Interval_53	chr1	121400870	121401173	+	0	NA	Intergenic	NA	-3116	SRGAP2-AS1								
Interval_1352	chr9	117718091	117718574	+	0	NA	TTS (TLR4)	NA	14157	TLR4								
Interval_632	chr2	59236611	59236883	+	0	NA	intron (AC007131.1, intron 1 of 2)	NA	19039	AC007131.1								
Interval_24	chr1	42937177	42937535	+	0	NA	intron (SLC2A1, intron 2 of 9)	NA	-21693	SLC2A1-AS1								
Interval_1284	chr8	118973448	118973716	+	0	NA	intron (COLEC10, intron 1 of 5)	NA	-21438	TNFRSF11B								
Interval_1231	chr8	46804239	46804512	+	0	NA	Intergenic	NA	29503	LOC102724241								
Interval_1162	chr7	62347498	62347567	+	0	NA	Intergenic	NA	956524	ZNF733P								
Interval_171	chr10	104338509	104338827	+	0	NA	promoter-TSS (ITPRIP)	NA	-175	ITPRIP								
Interval_574	chr19	28213481	28213944	+	0	NA	Intergenic	NA	252981	LOC102724942								
Interval_554	chr18	76500116	76500325	+	0	NA	Intergenic	NA	4699	FLJ44313								
Interval_773	chr22	10955569	10955861	+	0	NA	Intergenic	NA	-10710	LOC102723780								
Interval_780	chr22	17673287	17673523	+	0	NA	intron (BCL2L13, intron 2 of 4)	NA	34821	BCL2L13								
Interval_1034	chr5	131224429	131224845	+	0	NA	Intergenic	NA	-39372	CDC42SE2								
Interval_905	chr4	27088559	27088751	+	0	NA	Intergenic	NA	-128824	RP11-415C15.2								
Interval_798	chr22_KI270733v1_random	149131	149286	+	0	NA	Intergenic	NA	10893	LOC102724621								
Interval_837	chr3	59559785	59560010	+	0	NA	Intergenic	NA	-509847	C3orf67								
Interval_994	chr5	41763078	41763505	+	0	NA	intron (OXCT1, intron 13 of 16)	NA	-105716	LOC102723752								
Interval_1154	chr7	39592518	39592784	+	0	NA	intron (YAE1D1, intron 2 of 2)	NA	26275	YAE1D1								
Interval_294	chr12	113422140	113422342	+	0	NA	promoter-TSS (SDSL)	NA	-170	SDSL								
Interval_1015	chr5	80067050	80067380	+	0	NA	exon (CTD-2201I18.1, exon 8 of 8)	NA	16450	CTD-2201I18.1								
Interval_414	chr16	30370943	30371241	+	0	NA	promoter-TSS (TBC1D10B)	NA	-891	TBC1D10B								
Interval_934	chr4	50809381	50809477	+	0	NA	Intergenic	NA	-1034155	DCUN1D4								
Interval_919	chr4	49109493	49109561	+	0	NA	Intergenic	NA	-51805	LOC101927209								
Interval_828	chr3	39656978	39657559	+	0	NA	Intergenic	NA	-152392	MYRIP								
Interval_1252	chr8	80405361	80405601	+	0	NA	Intergenic	NA	-81308	ZBTB10								
Interval_316	chr13	30002687	30002924	+	0	NA	Intergenic	NA	66274	LINC00544								
Interval_149	chr10	49067042	49067328	+	0	NA	intron (VSTM4, intron 4 of 7)	NA	48327	VSTM4								
Interval_972	chr4	155675988	155676291	+	0	NA	intron (GUCY1A3, intron 3 of 10)	NA	9429	GUCY1A3								
Interval_1314	chr9	9229276	9229612	+	0	NA	intron (PTPRD, intron 1 of 39)	NA	371426	RP11-75C9.1								
Interval_1099	chr6	98477187	98477529	+	0	NA	Intergenic	NA	-357346	POU3F2								
Interval_42	chr1	96309801	96310056	+	0	NA	intron (RP5-898J17.1, intron 3 of 5)	NA	64197	RP5-898J17.1								
Interval_624	chr2	43107295	43107539	+	0	NA	Intergenic	NA	-4972	LOC100506047								
Interval_541	chr18	57771168	57771473	+	0	NA	intron (ATP8B1, intron 1 of 27)	NA	31990	ATP8B1								
Interval_363	chr14_GL000225v1_random	71164	71235	+	0	NA	Intergenic	NA	34910	LOC100287823								
Interval_328	chr13	80444284	80444488	+	0	NA	Intergenic	NA	-104769	SPRY2								
Interval_639	chr2	85765403	85765718	+	0	NA	intron (ATOH8, intron 2 of 2)	NA	11666	ATOH8								
Interval_467	chr16	85882554	85882824	+	0	NA	Intergenic	NA	-16479	IRF8								
Interval_873	chr3	160016967	160017357	+	0	NA	intron (IL12A-AS1, intron 4 of 9)	NA	-3487	LINC01100								
Interval_973	chr4	158663660	158664049	+	0	NA	Intergenic	NA	-8247	ETFDH								
Interval_1007	chr5	65879754	65879948	+	0	NA	Intergenic	NA	-46703	ERBB2IP								
Interval_1073	chr6	30156216	30156464	+	0	NA	intron (TRIM10, intron 5 of 6)	NA	4594	TRIM10								
Interval_117	chr1	234980972	234981221	+	0	NA	Intergenic	NA	88722	LOC731656								
Interval_749	chr21	10272620	10272871	+	0	NA	Intergenic	NA	-140787	BAGE2								
Interval_104	chr1	214446020	214446288	+	0	NA	intron (PTPN14, intron 3 of 18)	NA	105448	PTPN14								
Interval_1354	chr9	122297615	122297858	+	0	NA	intron (MRRF, intron 4 of 4)	NA	32816	MRRF								
Interval_1254	chr8	85127836	85128121	+	0	NA	intron (LRRCC1, intron 5 of 14)	NA	20890	LRRCC1								
Interval_46	chr1	108041830	108042241	+	0	NA	Intergenic	NA	-77119	VAV3								
Interval_69	chr1	143231875	143231945	+	0	NA	Intergenic	NA	72426	LOC101929814								
Interval_1025	chr5	112929843	112930303	+	0	NA	Intergenic	NA	-7739	REEP5								
Interval_1247	chr8	70160695	70160900	+	0	NA	intron (NCOA2, intron 9 of 22)	NA	-89470	PRDM14								
Interval_897	chr4	10044847	10045042	+	0	NA	Intergenic	NA	-18938	SLC2A9								
Interval_454	chr16	55835743	55835954	+	0	NA	Intergenic	NA	-2662	CES1								
Interval_561	chr19	4593550	4593877	+	0	NA	Intergenic	NA	-33954	SEMA6B								
Interval_1148	chr7	28155024	28155294	+	0	NA	intron (JAZF1, intron 1 of 5)	NA	-25298	JAZF1-AS1								
Interval_822	chr3	27521435	27521958	+	0	NA	Intergenic	NA	-37276	SLC4A7								
Interval_1276	chr8	104302339	104302552	+	0	NA	Intergenic	NA	-37351	DCSTAMP								
Interval_238	chr11	118468773	118468850	+	0	NA	exon (KMT2A, exon 2 of 36)	NA	30719	LOC101929115								
Interval_404	chr16	15473643	15474025	+	0	NA	intron (C16orf45, intron 1 of 5)	NA	39366	C16orf45								
Interval_269	chr12	53379595	53379954	+	0	NA	promoter-TSS (SP1)	NA	-1439	SP1								
Interval_1054	chr5	178502468	178502732	+	0	NA	intron (COL23A1, intron 2 of 29)	NA	87955	COL23A1								
Interval_1166	chr7	72805934	72806225	+	0	NA	intron (TYW1B, intron 3 of 11)	NA	22155	TYW1B								
Interval_1134	chr6	165775389	165775680	+	0	NA	Intergenic	NA	-113434	PDE10A								
Interval_1142	chr7	10973059	10973295	+	0	NA	promoter-TSS (PHF14)	NA	-695	PHF14								
Interval_967	chr4	147768159	147768387	+	0	NA	intron (ARHGAP10, intron 1 of 14)	NA	-14331	MIR4799								
Interval_816	chr3	20054529	20054922	+	0	NA	intron (KAT2B, intron 1 of 16)	NA	14347	KAT2B								
Interval_242	chr11	118480162	118480242	+	0	NA	exon (KMT2A, exon 6 of 36)	NA	42110	LOC101929115								
Interval_1077	chr6	35034757	35034950	+	0	NA	intron (ANKS1A, intron 11 of 23)	NA	106460	TCP11								
Interval_1084	chr6	53593191	53593507	+	0	NA	Intergenic	NA	-23744	RP1-27K12.2								
Interval_924	chr4	49147398	49147520	+	0	NA	Intergenic	NA	-13873	LOC101927209								
Interval_1085	chr6	58784867	58784940	+	0	NA	Intergenic	NA	822690	LOC101927293								
Interval_72	chr1	143264566	143264829	+	0	NA	Intergenic	NA	39639	LOC101929814								
Interval_1069	chr6	20906838	20907417	+	0	NA	intron (CDKAL1, intron 9 of 15)	NA	372438	CDKAL1								
Interval_734	chr20	51183550	51183817	+	0	NA	Intergenic	NA	-160600	KCNG1								
Interval_1131	chr6	162099738	162099969	+	0	NA	intron (PARK2, intron 4 of 11)	NA	-627272	PACRG								
Interval_707	chr20	5080408	5080601	+	0	NA	Intergenic	NA	31469	TMEM230								
Interval_354	chr14	88300000	88300432	+	0	NA	intron (KCNK10, intron 1 of 6)	NA	23033	KCNK10								
Interval_1228	chr8	41590494	41590820	+	0	NA	intron (AGPAT6, intron 1 of 12)	NA	-12263	LOC102723729								
Interval_875	chr3	169772218	169772446	+	0	NA	promoter-TSS (MYNN)	NA	102	TRNAV24								
Interval_1393	chrUn_KI270438v1	109345	109481	+	0	NA	NA	NA	NA	NA								
Interval_1375	chrUn_GL000216v2	149502	149573	+	0	NA	NA	NA	NA	NA								
Interval_557	chr19	566463	566695	+	0	NA	Intergenic	NA	-4698	BSG								
Interval_777	chr22	15772404	15772688	+	0	NA	Intergenic	NA	82520	POTEH								
Interval_73	chr1	145980101	145980522	+	0	NA	Intergenic	NA	16320	TXNIP								
Interval_254	chr12	10118	10414	+	0	NA	Intergenic	NA	7490	LOC100288778								
Interval_726	chr20	34281252	34281555	+	0	NA	intron (AHCY, intron 9 of 9)	NA	-20249	LOC101926916								
Interval_625	chr2	45567927	45568110	+	0	NA	intron (SRBD1, intron 9 of 14)	NA	43276	SRBD1								
Interval_922	chr4	49139703	49139795	+	0	NA	Intergenic	NA	-21583	LOC101927209								
Interval_342	chr14	52742618	52742818	+	0	NA	intron (STYX, intron 2 of 11)	NA	12553	STYX								
Interval_384	chr15	69610374	69610627	+	0	NA	Intergenic	NA	48780	RP11-279F6.1								
Interval_1425	chrY	56685442	56685720	+	0	NA	Intergenic	NA	-268728	SPRY3-2								
Interval_135	chr10	26386805	26387184	+	0	NA	Intergenic	NA	-51343	APBB1IP								
Interval_71	chr1	143263409	143263493	+	0	NA	Intergenic	NA	40885	LOC101929814								
Interval_552	chr18	73976754	73976972	+	0	NA	Intergenic	NA	171063	FBXO15								
Interval_87	chr1	173150001	173150284	+	0	NA	Intergenic	NA	55411	TNFSF4								
Interval_1370	chrM	7643	7712	+	0	NA	promoter-TSS (TRNK)	NA	159	TRND								
Interval_1255	chr8	85459695	85459882	+	0	NA	intron (RP11-317J10.2, intron 2 of 2)	NA	3998	RP11-317J10.2								
Interval_787	chr22	38032913	38033107	+	0	NA	Intergenic	NA	-24392	PICK1								
Interval_78	chr1	155002234	155002431	+	0	NA	promoter-TSS (ZBTB7B)	NA	-298	ZBTB7B								
Interval_705	chr20	2301351	2301551	+	0	NA	intron (TGM3, intron 1 of 12)	NA	5484	TGM3								
Interval_1200	chr8	9026070	9026510	+	0	NA	intron (ERI1, intron 6 of 7)	NA	-22155	MIR4660								
Interval_1083	chr6	52296692	52297194	+	0	NA	Intergenic	NA	-12062	MCM3								
Interval_473	chr17	10172468	10172708	+	0	NA	intron (GAS7, intron 1 of 13)	NA	-147804	LOC102724366								
Interval_565	chr19	7491066	7491263	+	0	NA	promoter-TSS (PEX11G)	NA	-2132	PEX11G								
Interval_604	chr19	56270649	56271020	+	0	NA	intron (LOC100506374, intron 1 of 10)	NA	6504	LOC100506374								
Interval_566	chr19	7492256	7492441	+	0	NA	Intergenic	NA	-3316	PEX11G								
Interval_4	chr1	9075090	9075285	+	0	NA	Intergenic	NA	-5861	SLC2A5								
Interval_833	chr3	49094322	49094724	+	0	NA	promoter-TSS (QRICH1)	NA	-891	QRICH1								
Interval_487	chr17	28914579	28914917	+	0	NA	intron (PHF12, intron 6 of 13)	NA	-9564	LOC101927018								
Interval_1402	chrUn_KI270467v1	3734	3845	+	0	NA	NA	NA	NA	NA								
Interval_1266	chr8	96854004	96854191	+	0	NA	intron (CPQ, intron 4 of 8)	NA	208870	CPQ								
Interval_1316	chr9	17795724	17796114	+	0	NA	exon (SH3GL2, exon 9 of 9)	NA	216964	SH3GL2								
Interval_887	chr3	194323908	194324229	+	0	NA	Intergenic	NA	-11264	LINC00887								
Interval_915	chr4	49103212	49103322	+	0	NA	Intergenic	NA	-58065	LOC101927209								
Interval_419	chr16	34581248	34581318	+	0	NA	Intergenic	NA	149291	LOC102724523								
Interval_528	chr18	24530749	24531021	+	0	NA	Intergenic	NA	70256	HRH4								
Interval_1323	chr9	25999672	25999954	+	0	NA	Intergenic	NA	-66862	LOC100506422								
Interval_1242	chr8	60807848	60808103	+	0	NA	intron (CHD7, intron 6 of 37)	NA	-92198	LOC101929576								
Interval_407	chr16	19967918	19968159	+	0	NA	Intergenic	NA	-81993	GPRC5B								
Interval_1300	chr8	130329947	130330219	+	0	NA	intron (ASAP1, intron 1 of 28)	NA	-33550	ASAP1-IT1								
Interval_396	chr15	87764983	87765343	+	0	NA	Intergenic	NA	104920	LOC101929724								
Interval_205	chr11	44574619	44574864	+	0	NA	intron (CD82, intron 1 of 9)	NA	10314	CD82								
Interval_715	chr20	22414257	22414565	+	0	NA	intron (RP5-1004I9.1, intron 1 of 3)	NA	6232	RP5-1004I9.1								
Interval_710	chr20	11001899	11002091	+	0	NA	Intergenic	NA	-92723	RP4-697P8.3								
Interval_415	chr16	30568243	30568577	+	0	NA	Intergenic	NA	3997	ZNF688								
Interval_1406	chrX	15986052	15986352	+	0	NA	Intergenic	NA	-131236	AP1S2								
Interval_1355	chr9	123868015	123868263	+	0	NA	intron (DENND1A, intron 2 of 21)	NA	61999	DENND1A								
Interval_917	chr4	49107751	49107894	+	0	NA	Intergenic	NA	-53510	LOC101927209								
Interval_1367	chrM	5488	5602	+	0	NA	promoter-TSS (TRNW)	NA	33	TRNW								
Interval_382	chr15	65787816	65788074	+	0	NA	intron (DENND4A, intron 1 of 32)	NA	4210	DENND4A								
Interval_283	chr12	89756780	89757052	+	0	NA	Intergenic	NA	47961	LINC00936								
Interval_929	chr4	49709410	49709546	+	0	NA	Intergenic	NA	-220154	LOC101060532								
Interval_1309	chr8	141086344	141086884	+	0	NA	Intergenic	NA	41697	LOC101927963								
Interval_869	chr3	151226176	151226554	+	0	NA	intron (P2RY14, intron 1 of 2)	NA	22845	P2RY14								
Interval_1418	chrY	11539336	11539414	+	0	NA	Intergenic	NA	882215	GYG2P1								
Interval_360	chr14_GL000225v1_random	25585	25657	+	0	NA	Intergenic	NA	-10668	LOC100287823								
Interval_126	chr1	248007793	248008127	+	0	NA	intron (OR2L13, intron 1 of 2)	NA	-13988	OR2L5								
Interval_1340	chr9	82584653	82584877	+	0	NA	Intergenic	NA	463840	RASEF								
Interval_719	chr20	28817743	28817839	+	0	NA	Intergenic	NA	-214952	LOC100289097								
Interval_760	chr21	25197377	25197692	+	0	NA	Intergenic	NA	234167	LINC00158								
Interval_1165	chr7	70710270	70710565	+	0	NA	intron (AUTS2, intron 6 of 17)	NA	-422120	WBSCR17								
Interval_270	chr12	54359167	54359528	+	0	NA	Intergenic	NA	5139	GPR84								
Interval_348	chr14	71555784	71556035	+	0	NA	intron (SIPA1L1, intron 1 of 21)	NA	43097	SIPA1L1								
Interval_899	chr4	12118681	12118956	+	0	NA	Intergenic	NA	-104664	RP11-168E17.1								
Interval_476	chr17	14557531	14557799	+	0	NA	Intergenic	NA	253925	MGC12916								
Interval_1128	chr6	151948066	151948306	+	0	NA	intron (ESR1, intron 4 of 7)	NA	142513	ESR1								
Interval_25	chr1	46370260	46370529	+	0	NA	Intergenic	NA	-23873	FAAH								
Interval_1089	chr6	66629045	66629235	+	0	NA	Intergenic	NA	841261	SLC25A51P1								
Interval_1158	chr7	47970172	47970478	+	0	NA	intron (HUS1, intron 5 of 8)	NA	-5760	PKD1L1								
Interval_280	chr12	81810285	81810563	+	0	NA	Intergenic	NA	-51735	PPFIA2								
Interval_356	chr14	99420912	99420980	+	0	NA	intron (SETD3, intron 5 of 11)	NA	59945	SETD3								
Interval_62	chr1	124486071	124486139	+	0	NA	Intergenic	NA	2966993	EMBP1								
Interval_993	chr5	40677951	40678347	+	0	NA	Intergenic	NA	-2802	PTGER4								
Interval_134	chr10	23968309	23968776	+	0	NA	intron (KIAA1217, intron 1 of 18)	NA	-307143	MIR603								
Interval_1040	chr5	140639116	140639416	+	0	NA	promoter-TSS (TMCO6)	NA	-161	TMCO6								
Interval_1155	chr7	40268922	40269240	+	0	NA	intron (SUGCT, intron 7 of 12)	NA	134105	SUGCT								
Interval_744	chr21	8228612	8228867	+	0	NA	Intergenic	NA	14334	LOC102723570								
Interval_536	chr18	50425193	50425478	+	0	NA	Intergenic	NA	50313	SKA1								
Interval_1159	chr7	48870604	48870818	+	0	NA	Intergenic	NA	-53850	CDC14C								
Interval_614	chr2	24163338	24163630	+	0	NA	intron (FAM228B, intron 8 of 10)	NA	-11619	FAM228A								
Interval_675	chr2	172046172	172046442	+	0	NA	intron (METAP1D, intron 1 of 9)	NA	-39173	DLX1								
Interval_1111	chr6	122710139	122710409	+	0	NA	intron (PKIB, intron 3 of 4)	NA	-69276	FABP7								
Interval_654	chr2	129596811	129597016	+	0	NA	Intergenic	NA	-323065	AC079586.1								
Interval_452	chr16	50401033	50401284	+	0	NA	Intergenic	NA	-32224	BRD7								
Interval_197	chr11	34427390	34427609	+	0	NA	Intergenic	NA	-11426	CAT								
Interval_716	chr20	23225518	23225727	+	0	NA	Intergenic	NA	38000	LOC100505664								
Interval_177	chr10	124718161	124718432	+	0	NA	intron (FAM53B, intron 1 of 4)	NA	14375	FAM53B-AS1								
Interval_122	chr1	243598632	243598862	+	0	NA	intron (AKT3, intron 8 of 13)	NA	126722	LOC102724256								
Interval_259	chr12	15416058	15416376	+	0	NA	intron (PTPRO, intron 1 of 25)	NA	-130127	PTPRO								
Interval_678	chr2	177251971	177252243	+	0	NA	intron (NFE2L2, intron 1 of 4)	NA	3903	MIR3128								
Interval_477	chr17	15928099	15928348	+	0	NA	Intergenic	NA	-16694	ADORA2B								
Interval_491	chr17	42518471	42518811	+	0	NA	intron (ATP6V0A1, intron 20 of 20)	NA	4453	MIR5010								
Interval_1022	chr5	98929423	98930027	+	0	NA	promoter-TSS (CHD1)	NA	591	LOC100289230								
Interval_732	chr20	50033894	50034139	+	0	NA	Intergenic	NA	7613	TRERNA1								
Interval_645	chr2	101038997	101039286	+	0	NA	intron (TBC1D8, intron 6 of 19)	NA	36912	RPL31								
Interval_1248	chr8	70427672	70427947	+	0	NA	Intergenic	NA	-43325	RP11-333A23.4								
Interval_891	chr3	197125638	197125828	+	0	NA	intron (DLG1, intron 12 of 25)	NA	-95918	MFI2								
Interval_1048	chr5	155323294	155323540	+	0	NA	Intergenic	NA	309717	KIF4B								
Interval_829	chr3	45133819	45134036	+	0	NA	intron (CDCP1, intron 1 of 3)	NA	12495	CDCP1								
Interval_492	chr17	45203473	45203744	+	0	NA	Intergenic	NA	17188	LOC339192								
Interval_958	chr4	122636750	122636955	+	0	NA	intron (IL21-AS1, intron 7 of 10)	NA	-15795	IL21								
Interval_250	chr11	124226495	124226678	+	0	NA	TTS (OR8G2)	NA	1088	LOC102724410								
Interval_144	chr10	41910744	41911015	+	0	NA	Intergenic	NA	-331644	LOC101929373								
Interval_1366	chrM	2124	2194	+	0	NA	TTS (RNR1)	NA	488	RNR2								
Interval_702	chr2	237687617	237687886	+	0	NA	intron (LRRFIP1, intron 1 of 17)	NA	-4413	LRRFIP1								
Interval_292	chr12	110649381	110649742	+	0	NA	TTS (TCTN1)	NA	35433	TCTN1								
Interval_1236	chr8	53846192	53846523	+	0	NA	Intergenic	NA	-3315	ATP6V1H								
Interval_1056	chr6	3592452	3592771	+	0	NA	Intergenic	NA	127035	LOC100507336								
Interval_341	chr14	52692289	52692585	+	0	NA	intron (ERO1L, intron 1 of 15)	NA	3264	ERO1L								
Interval_202	chr11	43869040	43869369	+	0	NA	Intergenic	NA	-11603	ALKBH3								
Interval_1068	chr6	16342353	16342632	+	0	NA	intron (ATXN1, intron 6 of 7)	NA	103912	GMPR								
Interval_1374	chrUn_GL000216v2	146029	146308	+	0	NA	NA	NA	NA	NA								
Interval_743	chr21	8220059	8220171	+	0	NA	Intergenic	NA	22958	LOC102723570								
Interval_332	chr13	99312551	99312805	+	0	NA	intron (UBAC2, intron 4 of 8)	NA	-5183	GPR183								
Interval_827	chr3	36679541	36679724	+	0	NA	Intergenic	NA	60229	DCLK3								
Interval_221	chr11	73462026	73462238	+	0	NA	intron (FAM168A, intron 2 of 5)	NA	85737	RELT								
Interval_1177	chr7	98131684	98132149	+	0	NA	intron (LMTK2, intron 1 of 13)	NA	25031	LMTK2								
Interval_786	chr22	37279538	37279931	+	0	NA	Intergenic	NA	-2720	CYTH4								
Interval_66	chr1	124570227	124570310	+	0	NA	Intergenic	NA	3051156	EMBP1								
Interval_1059	chr6	6685173	6685779	+	0	NA	Intergenic	NA	15291	LOC101928004								
Interval_1153	chr7	37683425	37683819	+	0	NA	intron (GPR141, intron 1 of 1)	NA	-56772	GPR141								
Interval_580	chr19	38849974	38850410	+	0	NA	promoter-TSS (HNRNPL)	NA	141	HNRNPL								
Interval_685	chr2	199738857	199739050	+	0	NA	Intergenic	NA	-71537	LOC101927665								
Interval_1118	chr6	137832127	137832395	+	0	NA	intron (RP11-356I2.4, intron 3 of 3)	NA	-34927	TNFAIP3								
Interval_964	chr4	139675668	139676010	+	0	NA	intron (MGST2, intron 1 of 3)	NA	9906	MGST2								
Interval_1342	chr9	95157923	95158106	+	0	NA	intron (FANCC, intron 6 of 13)	NA	-71969	MIR3074								
Interval_772	chr22	10762814	10763030	+	0	NA	Intergenic	NA	182083	LOC102723780								
Interval_1408	chrX	39097785	39097972	+	0	NA	Intergenic	NA	229484	RP11-265P11.2								
Interval_1240	chr8	56558779	56559022	+	0	NA	intron (LINC00968, intron 1 of 2)	NA	923	LINC00968								
Interval_620	chr2	31558595	31558807	+	0	NA	intron (SRD5A2, intron 1 of 4)	NA	22270	SRD5A2								
Interval_988	chr5	25150752	25151270	+	0	NA	Intergenic	NA	-310428	RP11-730N24.1								
Interval_257	chr12	10016868	10017191	+	0	NA	exon (CLEC12B, exon 6 of 6)	NA	6397	CLEC12B								
Interval_323	chr13	36417961	36418265	+	0	NA	Intergenic	NA	-14159	CCNA1								
Interval_590	chr19	46347385	46347722	+	0	NA	intron (PPP5C, intron 1 of 12)	NA	559	PPP5C								
Interval_262	chr12	25566173	25566506	+	0	NA	intron (IFLTD1, intron 2 of 9)	NA	18135	IFLTD1								
Interval_1246	chr8	67734707	67735056	+	0	NA	intron (CPA6, intron 1 of 10)	NA	11504	CPA6								
Interval_647	chr2	109213983	109214322	+	0	NA	intron (SH3RF3, intron 1 of 9)	NA	58375	LOC102724819								
Interval_1347	chr9	110030759	110030959	+	0	NA	intron (PALM2-AKAP2, intron 7 of 10)	NA	-94642	AKAP2								
Interval_196	chr11	34251109	34251293	+	0	NA	intron (ABTB2, intron 1 of 16)	NA	93132	LOC102723539								
Interval_340	chr14	40320613	40320983	+	0	NA	Intergenic	NA	-633913	LOC644919								
Interval_381	chr15	64101128	64101359	+	0	NA	intron (SNX1, intron 1 of 14)	NA	5359	SNX1								
Interval_256	chr12	8026563	8026866	+	0	NA	Intergenic	NA	-7361	FOXJ2								
Interval_888	chr3	194769099	194769554	+	0	NA	intron (AC090505.6, intron 3 of 3)	NA	60905	AC090505.6								
Interval_395	chr15	85626025	85626208	+	0	NA	intron (AKAP13, intron 1 of 28)	NA	-99912	LOC101929656								
Interval_938	chr4	70979554	70979959	+	0	NA	intron (MOB1B, intron 7 of 7)	NA	-13792	DCK								
Interval_876	chr3	171811422	171811836	+	0	NA	Intergenic	NA	-1135	PLD1								
Interval_315	chr13	29165885	29166111	+	0	NA	intron (MTUS2, intron 3 of 13)	NA	-262642	MTUS2								
Interval_90	chr1	179129616	179129894	+	0	NA	intron (ABL2, intron 2 of 10)	NA	47778	TOR3A								
Interval_814	chr3	18512181	18512384	+	0	NA	Intergenic	NA	-14110	LOC101927777								
Interval_1079	chr6	39213282	39213498	+	0	NA	intron (KCNK5, intron 1 of 4)	NA	15818	KCNK5								
Interval_1331	chr9	35937111	35937545	+	0	NA	Intergenic	NA	20826	OR2S2								
Interval_845	chr3	88061762	88062030	+	0	NA	intron (ZNF654, intron 1 of 7)	NA	-2900	CGGBP1								
Interval_93	chr1	183835025	183835531	+	0	NA	intron (RGL1, intron 2 of 17)	NA	30046	RGL1								
Interval_260	chr12	15494721	15494905	+	0	NA	intron (PTPRO, intron 2 of 25)	NA	-51531	PTPRO								
Interval_278	chr12	77741525	77741729	+	0	NA	intron (NAV3, intron 2 of 39)	NA	-34156	LOC101928207								
Interval_456	chr16	59028676	59028973	+	0	NA	Intergenic	NA	-294467	GOT2								
Interval_1313	chr9	8649240	8649562	+	0	NA	intron (PTPRD, intron 1 of 29)	NA	84545	PTPRD								
Interval_480	chr17	24752021	24752090	+	0	NA	Intergenic	NA	-2228869	LOC102723754								
Interval_1115	chr6	134373460	134373655	+	0	NA	Intergenic	NA	-25150	LOC102723463								
Interval_1138	chr7	2838819	2839180	+	0	NA	intron (GNA12, intron 1 of 3)	NA	-22860	LOC102723871								
Interval_900	chr4	15078763	15079050	+	0	NA	Intergenic	NA	-60993	RP11-665G4.1								
Interval_930	chr4	49709701	49709791	+	0	NA	Intergenic	NA	-220422	LOC101060532								
Interval_311	chr13	20420043	20420253	+	0	NA	intron (CRYL1, intron 4 of 6)	NA	13698	MIR4499								
Interval_841	chr3	72756815	72757371	+	0	NA	intron (SHQ1, intron 10 of 10)	NA	-64964	LOC101927225								
Interval_98	chr1	192605049	192605400	+	0	NA	Intergenic	NA	29497	RGS1								
Interval_1030	chr5	122756393	122756663	+	0	NA	Intergenic	NA	-18468	SNX2								
Interval_1061	chr6	7954483	7954934	+	0	NA	intron (BLOC1S5-TXNDC5, intron 4 of 12)	NA	-31394	PIP5K1P1								
Interval_956	chr4	120228050	120228380	+	0	NA	Intergenic	NA	-161357	MAD2L1								
Interval_469	chr16	89026281	89026466	+	0	NA	Intergenic	NA	-49277	CBFA2T3								
Interval_872	chr3	157618043	157618398	+	0	NA	intron (C3orf55, intron 3 of 3)	NA	74876	C3orf55								
Interval_982	chr5	6645609	6645792	+	0	NA	intron (SRD5A1, intron 1 of 4)	NA	12333	SRD5A1								
Interval_123	chr1	246106410	246106593	+	0	NA	intron (SMYD3, intron 5 of 11)	NA	-4492	LOC101928089								
Interval_1321	chr9	21030635	21030955	+	0	NA	intron (PTPLAD2, intron 1 of 6)	NA	664	PTPLAD2								
Interval_531	chr18	32921531	32921740	+	0	NA	Intergenic	NA	-148624	KLHL14								
Interval_1381	chrUn_GL000220v1	144694	144938	+	0	NA	intron (LOC102723515, intron 1 of 1)	NA	1285	LOC102723515								
Interval_38	chr1	87869682	87870002	+	0	NA	Intergenic	NA	-89596	LOC101927871								
Interval_447	chr16	46400608	46400703	+	0	NA	Intergenic	NA	168442	ANKRD26P1								
Interval_1263	chr8	95703559	95703956	+	0	NA	intron (LOC100616530, intron 2 of 2)	NA	244591	LOC100500773								
Interval_273	chr12	64164121	64164311	+	0	NA	Intergenic	NA	58055	C12orf66								
Interval_898	chr4	10703966	10704472	+	0	NA	Intergenic	NA	-19457	CLNK								
Interval_1049	chr5	156473286	156473565	+	0	NA	intron (SGCD, intron 3 of 6)	NA	146668	SGCD								
