PeakID (cmd=annotatePeaks.pl IRF2BP2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_7786	chr6	13526728	13527019	+	0	NA	Intergenic	NA	-39236	GFOD1								
Interval_4410	chr19	2290236	2290504	+	0	NA	exon (LINGO3, exon 2 of 2)	NA	-8188	C19orf35								
Interval_5818	chr20	19075149	19075488	+	0	NA	Intergenic	NA	26445	LOC102724734								
Interval_4467	chr19	5719627	5720466	+	0	NA	promoter-TSS (CATSPERD)	NA	212	LONP1								
Interval_9629	chr9	134502919	134503156	+	0	NA	Intergenic	NA	-24077	LOC100506532								
Interval_8968	chr8	79996581	79996712	+	0	NA	intron (MRPS28, intron 2 of 2)	NA	33625	MRPS28								
Interval_8327	chr7	27740688	27740858	+	0	NA	intron (TAX1BP1, intron 1 of 16)	NA	678	TAX1BP1								
Interval_8073	chr6	105601623	105601875	+	0	NA	Intergenic	NA	122835	LOC102724460								
Interval_3465	chr16	88591783	88591944	+	0	NA	intron (ZC3H18, intron 4 of 18)	NA	21482	ZC3H18								
Interval_8749	chr8	22552588	22552875	+	0	NA	intron (SORBS3, intron 1 of 20)	NA	-12935	SORBS3								
Interval_2527	chr14	49598635	49599001	+	0	NA	exon (LRR1, exon 1 of 4)	NA	121	LRR1								
Interval_924	chr1	228139814	228140353	+	0	NA	promoter-TSS (GUK1)	NA	-145	GUK1								
Interval_689	chr1	157106483	157106811	+	0	NA	Intergenic	NA	-6839	ETV3L								
Interval_4377	chr19	1438484	1438903	+	0	NA	intron (RPS15, intron 1 of 3)	NA	329	RPS15								
Interval_4473	chr19	6057154	6057597	+	0	NA	intron (RFX2, intron 1 of 17)	NA	-10578	LOC101928872								
Interval_4390	chr19	1905651	1905837	+	0	NA	intron (SCAMP4, intron 1 of 6)	NA	370	SCAMP4								
Interval_7001	chr4	15659864	15660094	+	0	NA	promoter-TSS (FBXL5)	NA	-112	FBXL5								
Interval_7032	chr4	38523810	38524235	+	0	NA	promoter-TSS (RP11-83C7.2)	NA	-842	RP11-83C7.2								
Interval_7924	chr6	32971620	32971761	+	0	NA	promoter-TSS (BRD2)	NA	-479	BRD2								
Interval_5530	chr2	169038401	169038655	+	0	NA	Intergenic	NA	-20181	ABCB11								
Interval_3908	chr17	64326657	64326843	+	0	NA	intron (PECAM1, intron 14 of 14)	NA	-63457	TEX2								
Interval_4414	chr19	2475979	2476110	+	0	NA	promoter-TSS (GADD45B)	NA	-81	GADD45B								
Interval_3158	chr16	11345356	11345552	+	0	NA	promoter-TSS (RMI2)	NA	0	RMI2								
Interval_8742	chr8	21909623	21909770	+	0	NA	exon (DOK2, exon 5 of 5)	NA	3969	DOK2								
Interval_1986	chr12	26340806	26340954	+	0	NA	intron (ITPR2, intron 55 of 56)	NA	-126103	LOC101928554								
Interval_7378	chr5	54310582	54310795	+	0	NA	promoter-TSS (ARL15)	NA	-115	ARL15								
Interval_9240	chr8	143132226	143132411	+	0	NA	Intergenic	NA	27722	LY6H								
Interval_2672	chr14	81220729	81221003	+	0	NA	promoter-TSS (GTF2A1)	NA	-250	LOC101928504								
Interval_9738	chrX	19086182	19086386	+	0	NA	intron (GPR64, intron 1 of 28)	NA	36353	GPR64								
Interval_5010	chr19	54210565	54211152	+	0	NA	Intergenic	NA	10000	RPS9								
Interval_3238	chr16	29014210	29014411	+	0	NA	Intergenic	NA	29244	LAT								
Interval_2362	chr13	22009579	22009718	+	0	NA	Intergenic	NA	-131488	LINC00424								
Interval_6121	chr21	34908397	34908764	+	0	NA	intron (RUNX1, intron 2 of 7)	NA	-18759	RUNX1								
Interval_8792	chr8	28401405	28401614	+	0	NA	Intergenic	NA	-15049	ZNF395								
Interval_7447	chr5	90529582	90529747	+	0	NA	promoter-TSS (LYSMD3)	NA	-80	LYSMD3								
Interval_128	chr1	19210191	19210419	+	0	NA	promoter-TSS (UBR4)	NA	13	UBR4								
Interval_7656	chr5	172775556	172775791	+	0	NA	Intergenic	NA	-4473	DUSP1								
Interval_7815	chr6	16322695	16323139	+	0	NA	intron (ATXN1, intron 7 of 7)	NA	84337	GMPR								
Interval_5148	chr2	25304419	25304560	+	0	NA	intron (DNMT3A, intron 2 of 20)	NA	24232	MIR1301								
Interval_1984	chr12	26274633	26275067	+	0	NA	Intergenic	NA	-60073	LOC101928554								
Interval_4799	chr19	40750459	40750698	+	0	NA	promoter-TSS (C19orf54)	NA	-276	SNRPA								
Interval_3512	chr17	2083653	2083962	+	0	NA	intron (SMG6, intron 12 of 16)	NA	28708	HIC1								
Interval_2018	chr12	45990623	45991074	+	0	NA	promoter-TSS (SCAF11)	NA	-29998	SCAF11								
Interval_9024	chr8	100438165	100438366	+	0	NA	Intergenic	NA	55502	MIR4471								
Interval_3284	chr16	34592609	34592946	+	0	NA	Intergenic	NA	160785	LOC102724523								
Interval_1584	chr11	60841914	60842103	+	0	NA	promoter-TSS (CCDC86)	NA	52	CCDC86								
Interval_4079	chr17	81886285	81886471	+	0	NA	Intergenic	NA	5208	ALYREF								
Interval_19	chr1	1615327	1615478	+	0	NA	promoter-TSS (MIB2)	NA	-41	MIB2								
Interval_632	chr1	151909531	151909674	+	0	NA	exon (THEM4, exon 1 of 6)	NA	283	THEM4								
Interval_6680	chr3	109059387	109059602	+	0	NA	intron (MORC1, intron 12 of 27)	NA	58652	MORC1								
Interval_1570	chr11	50187223	50187470	+	0	NA	Intergenic	NA	111116	LOC441601								
Interval_163	chr1	24744882	24745359	+	0	NA	promoter-TSS (CLIC4)	NA	-149	CLIC4								
Interval_5710	chr2	237691755	237692226	+	0	NA	promoter-TSS (LRRFIP1)	NA	64386	LRRFIP1								
Interval_4817	chr19	41884193	41884399	+	0	NA	promoter-TSS (ARHGEF1)	NA	-83	ARHGEF1								
Interval_5490	chr2	147636643	147636855	+	0	NA	Intergenic	NA	-208054	ACVR2A								
Interval_195	chr1	26695487	26695839	+	0	NA	promoter-TSS (ARID1A)	NA	-368	ARID1A								
Interval_1527	chr11	36411271	36411575	+	0	NA	intron (PRR5L, intron 2 of 6)	NA	35438	PRR5L								
Interval_6719	chr3	126208672	126208844	+	0	NA	exon (ALDH1L1-AS2, exon 2 of 2)	NA	-27572	ALDH1L1								
Interval_7565	chr5	140547583	140547991	+	0	NA	exon (EIF4EBP3, exon 1 of 3)	NA	121	EIF4EBP3								
Interval_8049	chr6	85678638	85678814	+	0	NA	promoter-TSS (SNHG5)	NA	7	SNHG5								
Interval_4019	chr17	78360096	78360315	+	0	NA	promoter-TSS (SOCS3)	NA	-126	SOCS3								
Interval_2751	chr14	103607125	103607341	+	0	NA	Intergenic	NA	-21955	KLC1								
Interval_2040	chr12	50411187	50411341	+	0	NA	intron (LARP4, intron 1 of 15)	NA	10368	LARP4								
Interval_2748	chr14	102949151	102949413	+	0	NA	intron (CDC42BPB, intron 25 of 35)	NA	26626	AMN								
Interval_4142	chr18	3603411	3603709	+	0	NA	intron (DLGAP1, intron 7 of 12)	NA	9446	DLGAP1-AS1								
Interval_5271	chr2	60881384	60881551	+	0	NA	promoter-TSS (REL)	NA	-107	REL								
Interval_9134	chr8	125191862	125192179	+	0	NA	intron (NSMCE2, intron 4 of 6)	NA	67188	LOC102723524								
Interval_4282	chr18	70289479	70289661	+	0	NA	promoter-TSS (SOCS6)	NA	669	SOCS6								
Interval_4963	chr19	50325651	50325816	+	0	NA	intron (KCNC3, intron 1 of 4)	NA	3349	KCNC3								
Interval_3340	chr16	56871217	56871456	+	0	NA	intron (SLC12A3, intron 6 of 25)	NA	6129	SLC12A3								
Interval_5194	chr2	37713458	37713691	+	0	NA	Intergenic	NA	-41375	CDC42EP3								
Interval_214	chr1	27887270	27887640	+	0	NA	TTS (THEMIS2)	NA	14912	THEMIS2								
Interval_7183	chr4	118591518	118591919	+	0	NA	promoter-TSS (RP11-384K6.6)	NA	-38211	RP11-384K6.6								
Interval_9691	chrUn_KI270438v1	109212	109907	+	0	NA	NA	NA	NA	NA								
Interval_2473	chr14	20469440	20469678	+	0	NA	intron (PNP, intron 1 of 5)	NA	180	PNP								
Interval_7720	chr6	341374	341654	+	0	NA	intron (DUSP22, intron 3 of 5)	NA	49457	DUSP22								
Interval_829	chr1	204516358	204516662	+	0	NA	intron (MDM4, intron 1 of 10)	NA	117	MDM4								
Interval_3862	chr17	58327361	58327502	+	0	NA	intron (BZRAP1, intron 1 of 31)	NA	714	BZRAP1								
Interval_1842	chr11	118926397	118926578	+	0	NA	promoter-TSS (BCL9L)	NA	-869	BCL9L								
Interval_6595	chr3	50601096	50601412	+	0	NA	Intergenic	NA	10577	CISH								
Interval_7508	chr5	131224669	131224858	+	0	NA	Intergenic	NA	-39246	CDC42SE2								
Interval_234	chr1	29181538	29181796	+	0	NA	exon (SRSF4, exon 1 of 8)	NA	458	SRSF4								
Interval_5669	chr2	229921733	229922270	+	0	NA	promoter-TSS (FBXO36)	NA	31	TRIP12								
Interval_1372	chr10	128050985	128051139	+	0	NA	intron (PTPRE, intron 5 of 19)	NA	63782	PTPRE								
Interval_9638	chr9	136386163	136386299	+	0	NA	intron (SNAPC4, intron 12 of 22)	NA	-12550	CARD9								
Interval_90	chr1	11980070	11980271	+	0	NA	promoter-TSS (MFN2)	NA	-11	MFN2								
Interval_4861	chr19	45469539	45470017	+	0	NA	intron (FOSB, intron 1 of 3)	NA	1783	FOSB								
Interval_6818	chr3	160565680	160565820	+	0	NA	promoter-TSS (KPNA4)	NA	-162	KPNA4								
Interval_1580	chr11	59273472	59273627	+	0	NA	Intergenic	NA	-60528	MPEG1								
Interval_5397	chr2	101180006	101180199	+	0	NA	Intergenic	NA	11365	LOC101927271								
Interval_891	chr1	221097806	221098042	+	0	NA	intron (LOC101929750, intron 2 of 2)	NA	20086	LOC101929750								
Interval_9051	chr8	102808468	102808774	+	0	NA	Intergenic	NA	55548	AZIN1								
Interval_4331	chr19	247060	247430	+	0	NA	promoter-TSS (LOC101928344)	NA	-7411	LOC101928344								
Interval_8563	chr7	123557824	123557968	+	0	NA	promoter-TSS (NDUFA5)	NA	8	NDUFA5								
Interval_1319	chr10	110919021	110919420	+	0	NA	promoter-TSS (BBIP1)	NA	146	BBIP1								
Interval_9361	chr9	33715099	33715240	+	0	NA	Intergenic	NA	-16002	LOC102724216								
Interval_735	chr1	168504130	168504468	+	0	NA	Intergenic	NA	-8655	RP5-968D22.3								
Interval_2048	chr12	52033058	52033381	+	0	NA	intron (NR4A1, intron 1 of 7)	NA	-10620	NR4A1								
Interval_3965	chr17	74528602	74528890	+	0	NA	intron (CD300LB, intron 1 of 3)	NA	2728	CD300LB								
Interval_5693	chr2	232315535	232315881	+	0	NA	intron (DIS3L2, intron 14 of 20)	NA	-62826	ALPP								
Interval_1610	chr11	62592146	62592348	+	0	NA	promoter-TSS (TUT1)	NA	-610	TUT1								
Interval_4556	chr19	11324081	11324566	+	0	NA	exon (RAB3D, exon 5 of 5)	NA	15345	RAB3D								
Interval_2217	chr12	111405799	111406072	+	0	NA	promoter-TSS (SH2B3)	NA	-37213	FAM109A								
Interval_5679	chr2	231464258	231464452	+	0	NA	exon (NCL, exon 1 of 14)	NA	139	NCL								
Interval_8475	chr7	84194921	84195088	+	0	NA	promoter-TSS (SEMA3A)	NA	297720	SEMA3A								
Interval_6830	chr3	168156537	168156754	+	0	NA	Intergenic	NA	-60721	GOLIM4								
Interval_9811	chrX	149940384	149940525	+	0	NA	intron (LINC00894, intron 1 of 11)	NA	1906	LINC00894								
Interval_7124	chr4	83012930	83013150	+	0	NA	promoter-TSS (LIN54)	NA	-991	LIN54								
Interval_6656	chr3	81760964	81761362	+	0	NA	intron (GBE1, intron 1 of 15)	NA	636	GBE1								
Interval_1323	chr10	113087428	113087568	+	0	NA	intron (TCF7L2, intron 4 of 11)	NA	137279	TCF7L2								
Interval_1238	chr10	89888723	89888931	+	0	NA	Intergenic	NA	59334	LINC00865								
Interval_1767	chr11	78419396	78419733	+	0	NA	Intergenic	NA	10375	RP11-452H21.4								
Interval_6826	chr3	161770447	161770708	+	0	NA	Intergenic	NA	273769	OTOL1								
Interval_4017	chr17	78324419	78324788	+	0	NA	Intergenic	NA	35476	SOCS3								
Interval_9693	chrUn_KI270438v1	112009	112248	+	0	NA	NA	NA	NA	NA								
Interval_6224	chr22	24555747	24555923	+	0	NA	promoter-TSS (GUCD1)	NA	100	GUCD1								
Interval_6443	chr3	12846625	12846862	+	0	NA	Intergenic	NA	-5161	RPL32								
Interval_6932	chr3	197736736	197736922	+	0	NA	promoter-TSS (KIAA0226)	NA	-12924	FYTTD1								
Interval_1626	chr11	63917180	63917515	+	0	NA	promoter-TSS (RCOR2)	NA	-503	RCOR2								
Interval_424	chr1	87869563	87869960	+	0	NA	Intergenic	NA	-89677	LOC101927871								
Interval_4912	chr19	48321897	48322158	+	0	NA	promoter-TSS (CCDC114)	NA	-1620	CCDC114								
Interval_1625	chr11	63621149	63621536	+	0	NA	Intergenic	NA	-4469	PLA2G16								
Interval_9180	chr8	133216585	133216868	+	0	NA	intron (WISP1, intron 2 of 2)	NA	-3812	LOC102723635								
Interval_3882	chr17	59619200	59619972	+	0	NA	promoter-TSS (CLTC)	NA	-291	CLTC								
Interval_1497	chr11	22163393	22163749	+	0	NA	Intergenic	NA	-29096	ANO5								
Interval_3369	chr16	67481010	67481406	+	0	NA	promoter-TSS (ATP6V0D1)	NA	-22	ATP6V0D1								
Interval_5441	chr2	119284004	119284266	+	0	NA	Intergenic	NA	39711	STEAP3								
Interval_6010	chr20	56419077	56419254	+	0	NA	intron (CASS4, intron 1 of 4)	NA	7610	CASS4								
Interval_7987	chr6	42373730	42373910	+	0	NA	intron (TRERF1, intron 1 of 15)	NA	77441	TRERF1								
Interval_3670	chr17	26619917	26620142	+	0	NA	Intergenic	NA	673913	MIR4522								
Interval_1988	chr12	26874599	26874792	+	0	NA	Intergenic	NA	-41498	ITPR2								
Interval_6822	chr3	161035818	161036029	+	0	NA	TTS (PPM1L)	NA	69449	B3GALNT1								
Interval_6029	chr20	62502000	62502148	+	0	NA	Intergenic	NA	-26104	GATA5								
Interval_500	chr1	115976099	115976305	+	0	NA	promoter-TSS (SLC22A15)	NA	-348	SLC22A15								
Interval_4471	chr19	5903752	5904078	+	0	NA	promoter-TSS (NDUFA11)	NA	98	NDUFA11								
Interval_6942	chr4	1290072	1290215	+	0	NA	intron (MAEA, intron 1 of 7)	NA	276	MAEA								
Interval_5044	chr19	55654848	55655107	+	0	NA	exon (U2AF2, exon 1 of 12)	NA	-4233	U2AF2								
Interval_4732	chr19	30214795	30215191	+	0	NA	Intergenic	NA	-221488	ZNF536								
Interval_7955	chr6	37050311	37050484	+	0	NA	Intergenic	NA	44579	FGD2								
Interval_542	chr1	123914115	123914318	+	0	NA	Intergenic	NA	2395104	EMBP1								
Interval_6453	chr3	14232843	14233082	+	0	NA	Intergenic	NA	54234	LSM3								
Interval_4546	chr19	10871352	10871541	+	0	NA	promoter-TSS (CARM1)	NA	-224	CARM1								
Interval_9221	chr8	141129920	141130138	+	0	NA	promoter-TSS (LOC101927963)	NA	1408	DENND3								
Interval_8130	chr6	136593785	136594242	+	0	NA	intron (MAP3K5, intron 22 of 30)	NA	-35142	RP3-325F22.3								
Interval_9386	chr9	37888324	37888465	+	0	NA	exon (SLC25A51, exon 3 of 3)	NA	15959	SLC25A51								
Interval_7356	chr5	43020133	43020350	+	0	NA	promoter-TSS (LOC648987)	NA	1362	LOC101927030								
Interval_5456	chr2	127064733	127065114	+	0	NA	intron (BIN1, intron 6 of 18)	NA	42404	BIN1								
Interval_4536	chr19	10565910	10566384	+	0	NA	promoter-TSS (KRI1)	NA	-121	KRI1								
Interval_546	chr1	124420963	124421172	+	0	NA	Intergenic	NA	2901955	EMBP1								
Interval_1344	chr10	119176751	119176892	+	0	NA	intron (PRDX3, intron 2 of 6)	NA	2044	PRDX3								
Interval_4352	chr19	966512	966779	+	0	NA	exon (ARID3A, exon 7 of 9)	NA	-17683	WDR18								
Interval_3574	chr17	7836523	7837133	+	0	NA	intron (KDM6B, intron 1 of 22)	NA	1037	KDM6B								
Interval_4355	chr19	1021007	1022058	+	0	NA	promoter-TSS (TMEM259)	NA	-358	TMEM259								
Interval_8438	chr7	74094201	74094486	+	0	NA	intron (LIMK1, intron 1 of 14)	NA	1187	LIMK1								
Interval_8897	chr8	55924499	55924811	+	0	NA	intron (LYN, intron 1 of 12)	NA	-9579	LYN								
Interval_1144	chr10	69061404	69061822	+	0	NA	Intergenic	NA	-26459	SRGN								
Interval_697	chr1	159076852	159077130	+	0	NA	promoter-TSS (AIM2)	NA	-225	AIM2								
Interval_7574	chr5	141638095	141638290	+	0	NA	TTS (LOC102724138)	NA	1242	RELL2								
Interval_7069	chr4	52838075	52838269	+	0	NA	Intergenic	NA	-24156	RASL11B								
Interval_8600	chr7	139854259	139854422	+	0	NA	intron (TBXAS1, intron 5 of 16)	NA	25187	TBXAS1								
Interval_1661	chr11	65421861	65423739	+	0	NA	promoter-TSS (NEAT1)	NA	2	NEAT1								
Interval_8639	chr7	153797377	153797544	+	0	NA	intron (DPP6, intron 2 of 26)	NA	-89874	DPP6								
Interval_5085	chr2	8303519	8303863	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	24728	LINC00299								
Interval_5811	chr20	16573438	16573586	+	0	NA	promoter-TSS (KIF16B)	NA	-78	KIF16B								
Interval_7445	chr5	89396783	89396924	+	0	NA	Intergenic	NA	-505438	LOC102724637								
Interval_6876	chr3	185937918	185938354	+	0	NA	promoter-TSS (TRA2B)	NA	-108	TRA2B								
Interval_4877	chr19	46193141	46193353	+	0	NA	intron (AC006262.5, intron 2 of 2)	NA	9815	AC006262.5								
Interval_1180	chr10	73730512	73730653	+	0	NA	promoter-TSS (GLUD1P3)	NA	-68	BMS1P4								
Interval_8624	chr7	151028587	151028779	+	0	NA	intron (ABCB8, intron 1 of 14)	NA	261	ABCB8								
Interval_5515	chr2	159712309	159712892	+	0	NA	promoter-TSS (LOC102723926)	NA	143	MARCH7								
Interval_9744	chrX	24149782	24149949	+	0	NA	promoter-TSS (ZFX-AS1)	NA	128	ZFX								
Interval_2498	chr14	24429863	24430069	+	0	NA	promoter-TSS (CBLN3)	NA	31	KHNYN								
Interval_2420	chr13	39811203	39811431	+	0	NA	Intergenic	NA	-147192	MIR4305								
Interval_7711	chr5	179923631	179923813	+	0	NA	Intergenic	NA	-15866	TBC1D9B								
Interval_1850	chr11	121575234	121575447	+	0	NA	intron (SORL1, intron 24 of 47)	NA	123137	SORL1								
Interval_8045	chr6	85461246	85461430	+	0	NA	intron (NT5E, intron 1 of 7)	NA	11754	NT5E								
Interval_8648	chr7	155644784	155644919	+	0	NA	promoter-TSS (LOC100506302)	NA	357	RBM33								
Interval_5810	chr20	13784831	13785031	+	0	NA	promoter-TSS (NDUFAF5)	NA	-45	ESF1								
Interval_8274	chr7	4682127	4682292	+	0	NA	promoter-TSS (FOXK1)	NA	-90	FOXK1								
Interval_8921	chr8	60952818	60953179	+	0	NA	Intergenic	NA	14750	LOC100130298								
Interval_8188	chr6	156687158	156687440	+	0	NA	Intergenic	NA	-90547	ARID1B								
Interval_6116	chr21	34615258	34615556	+	0	NA	promoter-TSS (RCAN1)	NA	-961	RCAN1								
Interval_4187	chr18	32921533	32921708	+	0	NA	Intergenic	NA	-148609	KLHL14								
Interval_1628	chr11	64094437	64094716	+	0	NA	intron (FLRT1, intron 1 of 2)	NA	-9314	FLRT1								
Interval_417	chr1	84574204	84574458	+	0	NA	exon (CTBS, exon 1 of 7)	NA	149	CTBS								
Interval_9803	chrX	134588433	134588669	+	0	NA	intron (PLAC1, intron 2 of 2)	NA	38527	LINC00629								
Interval_5860	chr20	31612904	31613069	+	0	NA	Intergenic	NA	5800	MIR3193								
Interval_571	chr1	144546288	144546746	+	0	NA	Intergenic	NA	21071	TRNAN15								
Interval_1215	chr10	86355592	86355733	+	0	NA	intron (GRID1, intron 2 of 15)	NA	10828	GRID1								
Interval_8071	chr6	104418206	104418337	+	0	NA	Intergenic	NA	-79591	LOC102724443								
Interval_6396	chr22_KI270733v1_random	175083	175263	+	0	NA	Intergenic	NA	-15072	LOC102724621								
Interval_6427	chr3	10321016	10321285	+	0	NA	promoter-TSS (SEC13)	NA	38	SEC13								
Interval_1404	chr11	506427	506717	+	0	NA	intron (RNH1, intron 1 of 10)	NA	249	RNH1								
Interval_1631	chr11	64270060	64270247	+	0	NA	TTS (PLCB3)	NA	14551	BAD								
Interval_6439	chr3	12676408	12676561	+	0	NA	Intergenic	NA	-12283	RAF1								
Interval_9040	chr8	102238647	102239041	+	0	NA	promoter-TSS (RRM2B)	NA	274	RRM2B								
Interval_3364	chr16	66934360	66934548	+	0	NA	promoter-TSS (FAM96B)	NA	10	CES2								
Interval_8925	chr8	63168698	63169077	+	0	NA	promoter-TSS (YTHDF3)	NA	334	YTHDF3								
Interval_8015	chr6	46220827	46220985	+	0	NA	exon (RCAN2, exon 4 of 4)	NA	-49933	ENPP5								
Interval_8263	chr7	2529873	2530045	+	0	NA	TTS (LFNG)	NA	2885	MIR4648								
Interval_1586	chr11	60978964	60979159	+	0	NA	intron (CD6, intron 1 of 11)	NA	7420	CD6								
Interval_240	chr1	30756577	30757052	+	0	NA	intron (LAPTM5, intron 1 of 7)	NA	1022	LAPTM5								
Interval_282	chr1	36349257	36349643	+	0	NA	intron (STK40, intron 6 of 10)	NA	-24485	EVA1B								
Interval_9434	chr9	97633190	97633709	+	0	NA	promoter-TSS (NCBP1)	NA	26	NCBP1								
Interval_5764	chr20	1894180	1894537	+	0	NA	promoter-TSS (SIRPA)	NA	88	LOC102724545								
Interval_4892	chr19	47112374	47112581	+	0	NA	promoter-TSS (ZC3H4)	NA	1275	ZC3H4								
Interval_7898	chr6	30781835	30782204	+	0	NA	Intergenic	NA	-37469	IER3								
Interval_3381	chr16	69386001	69386149	+	0	NA	promoter-TSS (TERF2)	NA	-90	TERF2								
Interval_4820	chr19	42253743	42253900	+	0	NA	promoter-TSS (ERF)	NA	1307	ERF								
Interval_6514	chr3	38164938	38165136	+	0	NA	promoter-TSS (OXSR1)	NA	409	LOC101928234								
Interval_5937	chr20	45368655	45368966	+	0	NA	exon (SYS1, exon 4 of 4)	NA	5641	SYS1-DBNDD2								
Interval_8420	chr7	66994722	66994955	+	0	NA	intron (SBDS, intron 1 of 4)	NA	763	SBDS								
Interval_2772	chr14_GL000225v1_random	85570	85777	+	0	NA	Intergenic	NA	49384	LOC100287823								
Interval_3179	chr16	17225030	17225216	+	0	NA	intron (XYLT1, intron 3 of 11)	NA	90635	LOC102723692								
Interval_2501	chr14	31025952	31026264	+	0	NA	promoter-TSS (AP4S1)	NA	293	STRN3								
Interval_7437	chr5	80407160	80407555	+	0	NA	promoter-TSS (ZFYVE16)	NA	-656	ZFYVE16								
Interval_8086	chr6	109381927	109382344	+	0	NA	intron (CD164, intron 1 of 6)	NA	424	CD164								
Interval_3646	chr17	19062167	19062358	+	0	NA	TTS (SNORD3B-1)	NA	350	SNORD3B-1								
Interval_2127	chr12	76020377	76020684	+	0	NA	Intergenic	NA	11246	PHLDA1								
Interval_4792	chr19	40143697	40143947	+	0	NA	Intergenic	NA	-52919	ZNF780A								
Interval_5084	chr2	8302109	8302425	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	26152	LINC00299								
Interval_4686	chr19	18107706	18108130	+	0	NA	intron (MAST3, intron 2 of 27)	NA	-10132	MAST3								
Interval_4876	chr19	45862831	45863025	+	0	NA	intron (SYMPK, intron 1 of 26)	NA	362	SYMPK								
Interval_9518	chr9	114398355	114398587	+	0	NA	promoter-TSS (AKNA)	NA	-10484	AKNA								
Interval_5356	chr2	85615960	85616164	+	0	NA	promoter-TSS (USP39)	NA	-30	USP39								
Interval_8978	chr8	81281230	81281455	+	0	NA	exon (LOC101927085, exon 1 of 2)	NA	859	FABP5								
Interval_6445	chr3	12999374	12999725	+	0	NA	intron (IQSEC1, intron 1 of 13)	NA	-32089	IQSEC1								
Interval_9385	chr9	37800639	37800927	+	0	NA	promoter-TSS (DCAF10)	NA	276	DCAF10								
Interval_4479	chr19	6521773	6522594	+	0	NA	Intergenic	NA	-8816	TNFSF9								
Interval_1699	chr11	66592644	66592981	+	0	NA	promoter-TSS (CCS)	NA	271	CCDC87								
Interval_5424	chr2	112275357	112276035	+	0	NA	promoter-TSS (ZC3H6)	NA	-21597	ZC3H8								
Interval_3897	chr17	62652922	62653101	+	0	NA	intron (MRC2, intron 1 of 29)	NA	25610	MRC2								
Interval_840	chr1	206504149	206504303	+	0	NA	Intergenic	NA	29382	MIR6769B								
Interval_712	chr1	161132947	161133173	+	0	NA	promoter-TSS (DEDD)	NA	-867	DEDD								
Interval_9020	chr8	100158003	100158214	+	0	NA	promoter-TSS (SPAG1)	NA	-1195	SPAG1								
Interval_5393	chr2	100733852	100733994	+	0	NA	Intergenic	NA	-87102	NPAS2								
Interval_3415	chr16	81479050	81479311	+	0	NA	intron (CMIP, intron 1 of 20)	NA	-54722	MIR7854								
Interval_3661	chr17	21280129	21280372	+	0	NA	Intergenic	NA	-4422	MAP2K3								
Interval_9532	chr9	120403343	120403570	+	0	NA	intron (CDK5RAP2, intron 33 of 37)	NA	-138265	LOC102723309								
Interval_3342	chr16	56910624	56910799	+	0	NA	intron (SLC12A3, intron 25 of 25)	NA	6447	MIR6863								
Interval_8626	chr7	151349938	151350526	+	0	NA	intron (NUB1, intron 3 of 13)	NA	8381	NUB1								
Interval_2515	chr14	35403828	35404107	+	0	NA	intron (NFKBIA, intron 1 of 5)	NA	787	NFKBIA								
Interval_5595	chr2	200713153	200713303	+	0	NA	exon (AC007163.3, exon 3 of 3)	NA	17505	AOX2P								
Interval_6784	chr3	150412095	150412287	+	0	NA	intron (TSC22D2, intron 1 of 2)	NA	3877	TSC22D2								
Interval_8201	chr6	159116997	159117225	+	0	NA	Intergenic	NA	9638	LOC101929094								
Interval_1794	chr11	93523664	93523943	+	0	NA	intron (SMCO4, intron 1 of 2)	NA	19577	SMCO4								
Interval_7327	chr5	32312821	32313099	+	0	NA	promoter-TSS (MTMR12)	NA	28	MTMR12								
Interval_4405	chr19	2236673	2236845	+	0	NA	promoter-TSS (MIR6789)	NA	-58	SF3A2								
Interval_77	chr1	10378204	10378747	+	0	NA	exon (KIF1B, exon 47 of 47)	NA	-20553	PGD								
Interval_7967	chr6	37701305	37701476	+	0	NA	Intergenic	NA	-3400	MDGA1								
Interval_4755	chr19	35448722	35448951	+	0	NA	promoter-TSS (FFAR2)	NA	-879	FFAR2								
Interval_8959	chr8	74146800	74147261	+	0	NA	Intergenic	NA	-120618	LOC101926965								
Interval_2793	chr15	31639079	31639277	+	0	NA	intron (OTUD7A, intron 4 of 13)	NA	16161	OTUD7A								
Interval_6109	chr21	34020038	34020333	+	0	NA	Intergenic	NA	44702	LOC101928126								
Interval_6222	chr22	24503341	24503482	+	0	NA	intron (UPB1, intron 3 of 8)	NA	8128	UPB1								
Interval_4470	chr19	5903435	5903655	+	0	NA	intron (NDUFA11, intron 1 of 4)	NA	468	NDUFA11								
Interval_1539	chr11	44955067	44955394	+	0	NA	Intergenic	NA	-4173	TP53I11								
Interval_4989	chr19	51824693	51824965	+	0	NA	exon (FPR3, exon 2 of 2)	NA	18482	AC006272.1								
Interval_692	chr1	158150683	158150826	+	0	NA	Intergenic	NA	-10114	RP11-404O13.1								
Interval_5184	chr2	32165629	32165801	+	0	NA	promoter-TSS (SLC30A6)	NA	-134	SLC30A6								
