PeakID (cmd=annotatePeaks.pl ERG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_12981	chr15	52730214	52730480	+	0	NA	Intergenic	NA	59665	ONECUT1								
Interval_21019	chr2	46915765	46916227	+	0	NA	promoter-TSS (MCFD2)	NA	-128	MCFD2								
Interval_13968	chr16	53040	53347	+	0	NA	promoter-TSS (SNRNP25)	NA	439	POLR3K								
Interval_17833	chr18	35290293	35290527	+	0	NA	promoter-TSS (ZSCAN30)	NA	138	ZNF271								
Interval_14410	chr16	29627592	29628004	+	0	NA	Intergenic	NA	-14081	SLC7A5P1								
Interval_2938	chr1	172746347	172746557	+	0	NA	Intergenic	NA	87407	FASLG								
Interval_29706	chr4	83285083	83285417	+	0	NA	promoter-TSS (COQ2)	NA	-2600	COQ2								
Interval_38598	chr9	68367051	68367489	+	0	NA	intron (PGM5, intron 1 of 10)	NA	-9429	PGM5-AS1								
Interval_27949	chr3	151422038	151422250	+	0	NA	intron (MED12L, intron 41 of 42)	NA	-37332	P2RY12								
Interval_15608	chr17	8173489	8173655	+	0	NA	promoter-TSS (SNORD118)	NA	16	SNORD118								
Interval_24181	chr20	44311038	44311317	+	0	NA	promoter-TSS (FITM2)	NA	72	FITM2								
Interval_16083	chr17	41549242	41549569	+	0	NA	TTS (LINC00974)	NA	5090	LINC00974								
Interval_36827	chr8	28945119	28945435	+	0	NA	intron (HMBOX1, intron 2 of 10)	NA	54883	HMBOX1								
Interval_17412	chr17	82388863	82389056	+	0	NA	TTS (OGFOD3)	NA	-6837	LOC102723806								
Interval_92	chr1	2025535	2026114	+	0	NA	intron (GABRD, intron 4 of 8)	NA	6495	GABRD								
Interval_27786	chr3	136861993	136862574	+	0	NA	promoter-TSS (NCK1)	NA	75	NCK1								
Interval_3023	chr1	181090151	181090460	+	0	NA	exon (IER5, exon 1 of 1)	NA	1803	IER5								
Interval_1319	chr1	50724613	50724970	+	0	NA	intron (FAF1, intron 6 of 18)	NA	235473	FAF1								
Interval_10514	chr13	42071805	42072202	+	0	NA	intron (DGKH, intron 2 of 29)	NA	-66039	DGKH								
Interval_27388	chr3	112090420	112090805	+	0	NA	intron (C3orf52, intron 1 of 5)	NA	4277	C3orf52								
Interval_31493	chr5	127723551	127723954	+	0	NA	intron (LINC01183, intron 2 of 6)	NA	20372	LINC01183								
Interval_37410	chr8	98941047	98941224	+	0	NA	intron (STK3, intron 1 of 12)	NA	1436	STK3								
Interval_3202	chr1	197908782	197908951	+	0	NA	Intergenic	NA	6314	C1orf53								
Interval_37513	chr8	105301865	105302116	+	0	NA	Intergenic	NA	-16700	ZFPM2								
Interval_10457	chr13	39602637	39602938	+	0	NA	intron (LHFP, intron 1 of 2)	NA	432	LHFP								
Interval_30513	chr5	32522762	32523101	+	0	NA	Intergenic	NA	-62568	SUB1								
Interval_19368	chr19	35206471	35206788	+	0	NA	Intergenic	NA	22096	FAM187B								
Interval_26676	chr3	42303200	42303677	+	0	NA	Intergenic	NA	-39491	CCK								
Interval_6639	chr11	62123697	62124167	+	0	NA	promoter-TSS (INCENP)	NA	-79	INCENP								
Interval_38076	chr8	143267185	143267777	+	0	NA	promoter-TSS (GLI4)	NA	44	GLI4								
Interval_11968	chr14	75274847	75275046	+	0	NA	Intergenic	NA	-3832	FOS								
Interval_2636	chr1	156543066	156543329	+	0	NA	intron (IQGAP3, intron 22 of 37)	NA	29407	IQGAP3								
Interval_35158	chr7	30504724	30505177	+	0	NA	promoter-TSS (GGCT)	NA	-109	GGCT								
Interval_27650	chr3	128974205	128974417	+	0	NA	intron (KIAA1257, intron 6 of 6)	NA	-8666	LOC100132731								
Interval_39157	chr9	112717840	112718287	+	0	NA	promoter-TSS (INIP)	NA	-20599	INIP								
Interval_18999	chr19	15836620	15837109	+	0	NA	TTS (UCA1)	NA	7917	UCA1								
Interval_15099	chr16	84599526	84600107	+	0	NA	intron (COTL1, intron 2 of 3)	NA	18280	COTL1								
Interval_36244	chr7	140719867	140720095	+	0	NA	exon (BRAF, exon 18 of 18)	NA	-22904	NDUFB2-AS1								
Interval_15168	chr16	85610426	85610841	+	0	NA	promoter-TSS (GSE1)	NA	78349	GINS2								
Interval_13674	chr15	85475021	85475599	+	0	NA	intron (AKAP13, intron 1 of 36)	NA	50894	LOC101929656								
Interval_25057	chr21	44354136	44354494	+	0	NA	intron (TRPM2, intron 2 of 32)	NA	744	TRPM2								
Interval_12413	chr14	103629005	103629204	+	0	NA	promoter-TSS (KLC1)	NA	-84	KLC1								
Interval_35980	chr7	107579680	107579997	+	0	NA	promoter-TSS (BCAP29)	NA	-139	BCAP29								
Interval_17988	chr18	48980220	48980471	+	0	NA	Intergenic	NA	-31012	SMAD7								
Interval_12985	chr15	54571693	54571942	+	0	NA	intron (UNC13C, intron 29 of 31)	NA	593455	UNC13C								
Interval_40641	chrX	118594850	118595228	+	0	NA	intron (DOCK11, intron 20 of 53)	NA	56358	DOCK11								
Interval_27198	chr3	71729928	71730154	+	0	NA	promoter-TSS (EIF4E3)	NA	-24009	GPR27								
Interval_29920	chr4	106316215	106316620	+	0	NA	promoter-TSS (TBCK)	NA	287	TBCK								
Interval_4247	chr10	6927019	6928970	+	0	NA	Intergenic	NA	148396	LINC00707								
Interval_27806	chr3	138915089	138916121	+	0	NA	Intergenic	NA	31535	FOXL2								
Interval_7438	chr11	102448779	102449147	+	0	NA	intron (TMEM123, intron 1 of 4)	NA	-3921	LOC101928424								
Interval_34387	chr6	144216309	144216882	+	0	NA	promoter-TSS (TRNAL29)	NA	48	TRNAL29								
Interval_39266	chr9	121558598	121558839	+	0	NA	Intergenic	NA	-58691	GGTA1P								
Interval_26523	chr3	32469627	32469849	+	0	NA	Intergenic	NA	33173	CMTM6								
Interval_32414	chr6	1517196	1517430	+	0	NA	Intergenic	NA	-14763	LOC102723944								
Interval_3320	chr1	203121266	203122101	+	0	NA	Intergenic	NA	-7515	ADORA1								
Interval_34422	chr6	146785117	146785447	+	0	NA	intron (ADGB, intron 31 of 35)	NA	18542	KATNBL1P6								
Interval_12292	chr14	99075280	99075445	+	0	NA	Intergenic	NA	196351	BCL11B								
Interval_15633	chr17	8965847	8966241	+	0	NA	promoter-TSS (PIK3R5)	NA	218	LOC101928235								
Interval_38693	chr9	76459325	76459607	+	0	NA	intron (GCNT1, intron 1 of 2)	NA	-18875	GCNT1								
Interval_13343	chr15	70672159	70672528	+	0	NA	intron (UACA, intron 13 of 18)	NA	29938	UACA								
Interval_25481	chr22	30442452	30442743	+	0	NA	Intergenic	NA	7047	LOC646513								
Interval_12603	chr15	29131787	29132096	+	0	NA	intron (FAM189A1, intron 7 of 10)	NA	137875	NDNL2								
Interval_25156	chr22	17777096	17777826	+	0	NA	exon (LINC00528, exon 1 of 1)	NA	171	LINC00528								
Interval_5641	chr10	106819533	106819901	+	0	NA	intron (SORCS1, intron 3 of 26)	NA	344991	SORCS1								
Interval_15922	chr17	35801512	35802091	+	0	NA	Intergenic	NA	-6165	MMP28								
Interval_4115	chr1	248834511	248834860	+	0	NA	Intergenic	NA	-3525	ZNF672								
Interval_5882	chr10	127977684	127977881	+	0	NA	intron (PTPRE, intron 1 of 20)	NA	-4492	PTPRE								
Interval_32894	chr6	27807035	27807330	+	0	NA	TTS (HIST1H2BL)	NA	749	HIST1H2BL								
Interval_33514	chr6	47353945	47354231	+	0	NA	Intergenic	NA	-44141	TNFRSF21								
Interval_10390	chr13	32107467	32107788	+	0	NA	intron (FRY, intron 3 of 62)	NA	-75988	FRY-AS1								
Interval_40259	chrX	46545320	46545604	+	0	NA	promoter-TSS (ZNF674)	NA	-5	ZNF674								
Interval_12832	chr15	43185727	43186134	+	0	NA	TTS (TMEM62)	NA	724	CCNDBP1								
Interval_6071	chr11	4072671	4072980	+	0	NA	intron (STIM1, intron 6 of 12)	NA	-21869	RRM1								
Interval_36611	chr8	19084789	19085168	+	0	NA	Intergenic	NA	160544	RP11-1080G15.1								
Interval_2992	chr1	179877673	179877984	+	0	NA	promoter-TSS (TOR1AIP2)	NA	-22	TOR1AIP2								
Interval_1624	chr1	70488049	70488209	+	0	NA	Intergenic	NA	76911	CTH								
Interval_14913	chr16	71288931	71289843	+	0	NA	promoter-TSS (CMTR2)	NA	219	CMTR2								
Interval_33929	chr6	110958362	110958841	+	0	NA	promoter-TSS (GTF3C6)	NA	41	GTF3C6								
Interval_10451	chr13	38386687	38386902	+	0	NA	Intergenic	NA	37023	UFM1								
Interval_19994	chr19	49640499	49640930	+	0	NA	promoter-TSS (RRAS)	NA	-571	RRAS								
Interval_33110	chr6	32797578	32797745	+	0	NA	Intergenic	NA	19387	HLA-DOB								
Interval_1979	chr1	107919929	107920228	+	0	NA	intron (VAV3, intron 1 of 25)	NA	22855	MIR7852								
Interval_5709	chr10	113853919	113855326	+	0	NA	promoter-TSS (DCLRE1A)	NA	-10	NHLRC2								
Interval_12002	chr14	76768085	76768857	+	0	NA	intron (VASH1, intron 1 of 4)	NA	6579	VASH1								
Interval_7510	chr11	110497372	110497620	+	0	NA	Intergenic	NA	67559	FDX1								
Interval_1718	chr1	85708381	85708554	+	0	NA	promoter-TSS (ZNHIT6)	NA	-34	ZNHIT6								
Interval_10969	chr13	96411783	96412016	+	0	NA	intron (HS6ST3, intron 1 of 1)	NA	-15330	MIR4501								
Interval_22584	chr2	174578124	174578335	+	0	NA	intron (WIPF1, intron 4 of 8)	NA	-96242	GPR155								
Interval_6884	chr11	66021016	66021306	+	0	NA	exon (CATSPER1, exon 5 of 12)	NA	5356	CATSPER1								
Interval_37523	chr8	106271261	106271731	+	0	NA	intron (OXR1, intron 1 of 17)	NA	-176428	OXR1								
Interval_40460	chrX	71302891	71303067	+	0	NA	intron (ITGB1BP2, intron 4 of 10)	NA	1201	ITGB1BP2								
Interval_8991	chr12	56117896	56118366	+	0	NA	promoter-TSS (ZC3H10)	NA	-115	ZC3H10								
Interval_27247	chr3	81936840	81937133	+	0	NA	Intergenic	NA	-175187	GBE1								
Interval_31027	chr5	78647490	78647657	+	0	NA	intron (LHFPL2, intron 1 of 4)	NA	1044	LHFPL2								
Interval_1700	chr1	84690457	84690666	+	0	NA	promoter-TSS (SSX2IP)	NA	-4	SSX2IP								
Interval_6036	chr11	2812260	2812978	+	0	NA	intron (KCNQ1, intron 15 of 15)	NA	-57414	KCNQ1DN								
Interval_18444	chr19	3505798	3506214	+	0	NA	promoter-TSS (FZR1)	NA	-257	FZR1								
Interval_2089	chr1	111215903	111216371	+	0	NA	Intergenic	NA	-11522	CHI3L2								
Interval_36184	chr7	134986492	134986978	+	0	NA	promoter-TSS (AGBL3)	NA	26	AGBL3								
Interval_29532	chr4	75036109	75036303	+	0	NA	intron (PARM1, intron 3 of 3)	NA	-37059	LOC101928702								
Interval_17005	chr17	75885511	75885722	+	0	NA	Intergenic	NA	-7017	TRIM47								
Interval_16469	chr17	55664334	55664546	+	0	NA	Intergenic	NA	51454	LOC101927389								
Interval_4197	chr10	5548969	5549239	+	0	NA	Intergenic	NA	24143	CALML3								
Interval_36423	chr7	159175201	159175559	+	0	NA	Intergenic	NA	-30423	VIPR2								
Interval_27855	chr3	141940252	141940616	+	0	NA	Intergenic	NA	59953	TFDP2								
Interval_21175	chr2	61888322	61888897	+	0	NA	promoter-TSS (CCT4)	NA	62	CCT4								
Interval_9320	chr12	88580379	88580819	+	0	NA	promoter-TSS (KITLG)	NA	-126	KITLG								
Interval_10496	chr13	41132774	41132987	+	0	NA	promoter-TSS (LOC101929140)	NA	-6	LOC101929140								
Interval_15461	chr17	3710924	3711233	+	0	NA	Intergenic	NA	-12825	GSG2								
Interval_16860	chr17	73298135	73298570	+	0	NA	intron (CDC42EP4, intron 1 of 1)	NA	12955	CDC42EP4								
Interval_39195	chr9	114387879	114388234	+	0	NA	promoter-TSS (AKNA)	NA	-74	AKNA								
Interval_37263	chr8	80065973	80066204	+	0	NA	intron (TPD52, intron 1 of 7)	NA	-35817	MRPS28								
Interval_29402	chr4	57943680	57944140	+	0	NA	Intergenic	NA	453055	LOC102724598								
Interval_34374	chr6	143940032	143940346	+	0	NA	TTS (PLAGL1)	NA	68541	HYMAI								
Interval_31742	chr5	139561096	139561560	+	0	NA	exon (UBE2D2, exon 1 of 8)	NA	162	UBE2D2								
Interval_7635	chr11	118239805	118240093	+	0	NA	intron (MPZL3, intron 2 of 5)	NA	12419	MPZL3								
Interval_22459	chr2	168890349	168890585	+	0	NA	promoter-TSS (SPC25)	NA	300	SPC25								
Interval_14706	chr16	57816289	57816615	+	0	NA	exon (LOC388282, exon 4 of 4)	NA	5815	LOC388282								
Interval_28545	chr3	195150331	195150951	+	0	NA	intron (XXYLT1-AS2, intron 1 of 1)	NA	2770	XXYLT1-AS2								
Interval_15473	chr17	3963442	3964208	+	0	NA	intron (ATP2A3, intron 1 of 22)	NA	639	ATP2A3								
Interval_30977	chr5	76037788	76038274	+	0	NA	Intergenic	NA	-45141	SV2C								
Interval_25017	chr21	42923915	42924294	+	0	NA	Intergenic	NA	26901	MIR5692B								
Interval_26051	chr22	50539624	50540009	+	0	NA	Intergenic	NA	-1611	LOC102724608								
Interval_36819	chr8	28401735	28402240	+	0	NA	Intergenic	NA	-15527	ZNF395								
Interval_6781	chr11	64858923	64859322	+	0	NA	intron (EHD1, intron 3 of 4)	NA	-14553	CDC42BPG								
Interval_16944	chr17	75130766	75132118	+	0	NA	intron (NT5C, intron 1 of 3)	NA	336	NT5C								
Interval_27828	chr3	141063827	141064163	+	0	NA	intron (SPSB4, intron 1 of 2)	NA	12094	SPSB4								
Interval_1900	chr1	96843344	96843504	+	0	NA	Intergenic	NA	121819	PTBP2								
Interval_26973	chr3	51973452	51974141	+	0	NA	intron (ABHD14B, intron 1 of 3)	NA	834	ABHD14B								
Interval_9429	chr12	94262473	94262682	+	0	NA	promoter-TSS (PLXNC1)	NA	56	PLXNC1								
Interval_19267	chr19	28469194	28469409	+	0	NA	Intergenic	NA	-2608	LOC102724942								
Interval_23253	chr2	230870229	230870478	+	0	NA	intron (ITM2C, intron 1 of 4)	NA	5755	ITM2C								
Interval_39530	chr9	129595845	129596238	+	0	NA	Intergenic	NA	24735	C9orf50								
Interval_1790	chr1	89987310	89987537	+	0	NA	Intergenic	NA	7543	GEMIN8P4								
Interval_7156	chr11	73307170	73307490	+	0	NA	exon (ARHGEF17, exon 1 of 21)	NA	-1288	ARHGEF17								
Interval_3341	chr1	203682789	203683011	+	0	NA	exon (ATP2B4, exon 2 of 21)	NA	-46681	SNORA77								
Interval_24823	chr21	33588501	33588841	+	0	NA	promoter-TSS (DONSON)	NA	37	DONSON								
Interval_21298	chr2	68837298	68837584	+	0	NA	Intergenic	NA	34076	BMP10								
Interval_26638	chr3	39272245	39272552	+	0	NA	intron (CX3CR1, intron 1 of 1)	NA	8041	CX3CR1								
Interval_24441	chr20	57432823	57433368	+	0	NA	Intergenic	NA	41697	RBM38								
Interval_3210	chr1	198171778	198171996	+	0	NA	intron (NEK7, intron 1 of 9)	NA	14909	NEK7								
Interval_8207	chr12	7873032	7873227	+	0	NA	promoter-TSS (SLC2A14)	NA	18067	SLC2A14								
Interval_29709	chr4	83320454	83321072	+	0	NA	intron (HPSE, intron 3 of 10)	NA	14118	HPSE								
Interval_26013	chr22	50034548	50035175	+	0	NA	intron (TTLL8, intron 9 of 13)	NA	-22235	IL17REL								
Interval_2820	chr1	165697996	165698849	+	0	NA	promoter-TSS (LOC440700)	NA	241	ALDH9A1								
Interval_23475	chr2	241881113	241882083	+	0	NA	intron (AC131097.3, intron 1 of 3)	NA	235	AC131097.3								
Interval_236	chr1	8395106	8395923	+	0	NA	intron (RERE, intron 2 of 12)	NA	-29280	LOC102724552								
Interval_8446	chr12	24798413	24798746	+	0	NA	Intergenic	NA	-103736	LOC102724371								
Interval_38692	chr9	76456181	76456753	+	0	NA	intron (GCNT1, intron 1 of 2)	NA	-21874	GCNT1								
Interval_10534	chr13	44117405	44117696	+	0	NA	intron (SMIM2-AS1, intron 1 of 4)	NA	7001	SMIM2-AS1								
Interval_19173	chr19	18478733	18479314	+	0	NA	intron (ELL, intron 1 of 11)	NA	-40722	ISYNA1								
Interval_5393	chr10	96043530	96043730	+	0	NA	promoter-TSS (CCNJ)	NA	228	CCNJ								
Interval_28644	chr3	197456217	197457050	+	0	NA	Intergenic	NA	50114	LOC100129516								
Interval_31326	chr5	110054281	110054547	+	0	NA	Intergenic	NA	171232	LOC100289673								
Interval_2567	chr1	155273093	155273706	+	0	NA	promoter-TSS (CLK2)	NA	-2422	CLK2								
Interval_20411	chr2	8302017	8302463	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	26179	LINC00299								
Interval_3338	chr1	203639010	203639202	+	0	NA	intron (ATP2B4, intron 1 of 21)	NA	12319	ATP2B4								
Interval_5221	chr10	80443708	80444182	+	0	NA	Intergenic	NA	-10337	TSPAN14								
Interval_20317	chr19	58538226	58538514	+	0	NA	Intergenic	NA	-6099	TRIM28								
Interval_22432	chr2	164977237	164977481	+	0	NA	intron (LOC101929658, intron 2 of 2)	NA	18058	LOC101929658								
Interval_40757	chrX	132737660	132738049	+	0	NA	intron (HS6ST2, intron 2 of 3)	NA	70212	HS6ST2-AS1								
Interval_23779	chr20	19212877	19213085	+	0	NA	exon (SLC24A3, exon 1 of 17)	NA	335	SLC24A3								
Interval_16008	chr17	39461090	39461922	+	0	NA	promoter-TSS (CDK12)	NA	20	CDK12								
Interval_36357	chr7	150994494	150994985	+	0	NA	intron (NOS3, intron 1 of 13)	NA	988	NOS3								
Interval_29228	chr4	48899245	48899406	+	0	NA	intron (OCIAD2, intron 2 of 5)	NA	7503	OCIAD2								
Interval_38990	chr9	97922186	97922683	+	0	NA	promoter-TSS (C9orf156)	NA	94	C9orf156								
Interval_25337	chr22	24244242	24244627	+	0	NA	intron (GGT5, intron 1 of 11)	NA	708	GGT5								
Interval_31474	chr5	126680338	126680589	+	0	NA	Intergenic	NA	48741	C5orf48								
Interval_18043	chr18	54358388	54358548	+	0	NA	promoter-TSS (C18orf54)	NA	-306	C18orf54								
Interval_34851	chr7	5898410	5898768	+	0	NA	promoter-TSS (CCZ1)	NA	-121	CCZ1								
Interval_23173	chr2	224405483	224405676	+	0	NA	Intergenic	NA	-3585	FAM124B								
Interval_20358	chr2	1990220	1990599	+	0	NA	intron (MYT1L, intron 1 of 20)	NA	6898	MYT1L								
Interval_18545	chr19	6062190	6062682	+	0	NA	intron (RFX2, intron 1 of 17)	NA	-5517	LOC101928872								
Interval_32620	chr6	13178186	13178488	+	0	NA	intron (PHACTR1, intron 6 of 14)	NA	117249	RP1-257A7.4								
Interval_18780	chr19	11435228	11435963	+	0	NA	promoter-TSS (PRKCSH)	NA	-15	PRKCSH								
Interval_32213	chr5	176416291	176416720	+	0	NA	promoter-TSS (CLTB)	NA	64	CLTB								
Interval_35076	chr7	25188075	25188337	+	0	NA	Intergenic	NA	-7859	C7orf31								
Interval_37492	chr8	103151867	103152626	+	0	NA	intron (BAALC, intron 1 of 1)	NA	-2416	MIR3151								
Interval_27017	chr3	53046355	53046893	+	0	NA	promoter-TSS (SFMBT1)	NA	-1305	SFMBT1								
Interval_8965	chr12	55708936	55709108	+	0	NA	promoter-TSS (ITGA7)	NA	3182	ITGA7								
Interval_19203	chr19	18919212	18919840	+	0	NA	promoter-TSS (DDX49)	NA	-136	COPE								
Interval_40268	chrX	46837259	46837582	+	0	NA	intron (RP2, intron 1 of 4)	NA	508	RP2								
Interval_222	chr1	7649059	7649506	+	0	NA	intron (CAMTA1, intron 7 of 22)	NA	-79052	CAMTA1								
Interval_778	chr1	27624869	27625267	+	0	NA	intron (FGR, intron 2 of 12)	NA	2102	FGR								
Interval_33310	chr6	37619118	37619287	+	0	NA	Intergenic	NA	-63780	MIR4462								
Interval_24212	chr20	45408832	45409104	+	0	NA	exon (DBNDD2, exon 3 of 4)	NA	979	DBNDD2								
Interval_23918	chr20	31610527	31611038	+	0	NA	Intergenic	NA	3596	MIR3193								
Interval_23622	chr20	4154960	4155393	+	0	NA	promoter-TSS (SMOX)	NA	6397	SMOX								
Interval_15879	chr17	32288577	32289046	+	0	NA	exon (RHBDL3, exon 3 of 8)	NA	22635	RHBDL3								
Interval_4141	chr10	1248004	1248590	+	0	NA	intron (ADARB2, intron 4 of 9)	NA	88529	LINC00200								
Interval_28549	chr3	195178066	195178401	+	0	NA	intron (XXYLT1, intron 2 of 4)	NA	30362	XXYLT1-AS2								
Interval_11443	chr14	38078443	38078658	+	0	NA	Intergenic	NA	-129449	SSTR1								
Interval_31007	chr5	76855855	76856379	+	0	NA	intron (S100Z, intron 1 of 4)	NA	6116	S100Z								
Interval_32038	chr5	159331630	159331848	+	0	NA	exon (AC008697.1, exon 1 of 5)	NA	221	AC008697.1								
Interval_9062	chr12	57543753	57543913	+	0	NA	intron (DCTN2, intron 2 of 15)	NA	3498	DCTN2								
Interval_27790	chr3	137669692	137670054	+	0	NA	Intergenic	NA	-94419	SOX14								
Interval_20700	chr2	26767945	26768130	+	0	NA	intron (SLC35F6, intron 1 of 5)	NA	3763	SLC35F6								
Interval_36102	chr7	126701082	126701364	+	0	NA	intron (GRM8, intron 6 of 9)	NA	167390	LOC101928357								
Interval_26663	chr3	41189809	41190047	+	0	NA	Intergenic	NA	-9549	CTNNB1								
Interval_23751	chr20	16158971	16159154	+	0	NA	Intergenic	NA	414372	KIF16B								
Interval_19151	chr19	18292775	18293303	+	0	NA	Intergenic	NA	10910	MIR3188								
Interval_6569	chr11	59804190	59804383	+	0	NA	exon (STX3, exon 11 of 11)	NA	6586	MRPL16								
Interval_9739	chr12	113302942	113303242	+	0	NA	intron (SLC8B1, intron 15 of 15)	NA	11564	MIR6762								
Interval_15286	chr16	88922888	88923092	+	0	NA	intron (CBFA2T3, intron 1 of 11)	NA	-16658	LOC100129697								
Interval_28288	chr3	184185782	184186210	+	0	NA	promoter-TSS (ABCF3)	NA	-79	ABCF3								
Interval_20842	chr2	37615945	37616175	+	0	NA	Intergenic	NA	56139	CDC42EP3								
Interval_19247	chr19	20162895	20163134	+	0	NA	Intergenic	NA	-4200	ZNF486								
Interval_40248	chrX	45851572	45851998	+	0	NA	Intergenic	NA	-2313	FLJ25917								
Interval_28264	chr3	183447232	183447856	+	0	NA	promoter-TSS (LINC00888)	NA	-107	LINC00888								
Interval_4195	chr10	5416926	5417274	+	0	NA	intron (NET1, intron 1 of 11)	NA	-12270	TUBAL3								
Interval_10463	chr13	39892792	39893237	+	0	NA	Intergenic	NA	-228889	MIR4305								
Interval_26657	chr3	40800536	40800715	+	0	NA	Intergenic	NA	275747	ZNF621								
Interval_1784	chr1	89821300	89822002	+	0	NA	promoter-TSS (LRRC8D)	NA	-270	LRRC8D								
Interval_40820	chrX	145235594	145235870	+	0	NA	Intergenic	NA	-11855	SPANXN1								
Interval_5248	chr10	84838093	84838277	+	0	NA	Intergenic	NA	360753	RP11-181F12.1								
Interval_25184	chr22	19316817	19316987	+	0	NA	Intergenic	NA	-25179	CLTCL1								
Interval_11741	chr14	65210015	65210570	+	0	NA	Intergenic	NA	12055	LOC100128233								
Interval_13537	chr15	78437933	78438363	+	0	NA	promoter-TSS (IREB2)	NA	-28	IREB2								
Interval_3237	chr1	199691630	199691914	+	0	NA	Intergenic	NA	-335869	NR5A2								
Interval_33384	chr6	42028157	42028763	+	0	NA	intron (CCND3, intron 1 of 4)	NA	20434	CCND3								
Interval_24849	chr21	35046295	35046550	+	0	NA	intron (RUNX1, intron 2 of 8)	NA	2876	RUNX1								
Interval_7792	chr11	124740225	124740839	+	0	NA	intron (NRGN, intron 1 of 3)	NA	599	NRGN								
Interval_7368	chr11	88414649	88415155	+	0	NA	Intergenic	NA	-9686	LOC101929174								
Interval_8034	chr12	2732330	2732643	+	0	NA	Intergenic	NA	39183	RP11-885B4.2								
Interval_16669	chr17	63600677	63601093	+	0	NA	promoter-TSS (TACO1)	NA	13	TACO1								
Interval_8319	chr12	12010169	12011030	+	0	NA	Intergenic	NA	-39265	LOC102724106								
Interval_32357	chr5	180669876	180670087	+	0	NA	Intergenic	NA	-20357	FLT4								
Interval_28827	chr4	5711012	5711336	+	0	NA	promoter-TSS (EVC)	NA	-15	EVC								
Interval_40143	chrX	38805794	38806127	+	0	NA	exon (MID1IP1, exon 3 of 3)	NA	4528	MID1IP1								
Interval_35717	chr7	92621067	92621393	+	0	NA	intron (CDK6, intron 6 of 7)	NA	-31160	FAM133B								
Interval_5366	chr10	93573559	93573889	+	0	NA	intron (FFAR4, intron 1 of 3)	NA	7059	FFAR4								
Interval_11538	chr14	51240000	51240450	+	0	NA	promoter-TSS (TMX1)	NA	57	TMX1								
Interval_21744	chr2	101806172	101806357	+	0	NA	intron (MAP4K4, intron 1 of 29)	NA	108257	MAP4K4								
Interval_31646	chr5	135360341	135360874	+	0	NA	exon (H2AFY, exon 5 of 6)	NA	38631	H2AFY								
Interval_25118	chr21	46551659	46551933	+	0	NA	intron (DIP2A, intron 22 of 27)	NA	53326	S100B								
Interval_24663	chr21	14454979	14455165	+	0	NA	Intergenic	NA	-71884	HSPA13								
Interval_40875	chrX	153878912	153879107	+	0	NA	intron (L1CAM, intron 1 of 28)	NA	-1669	LOC100996465								
Interval_33254	chr6	36204163	36204359	+	0	NA	intron (BRPF3, intron 2 of 8)	NA	6804	BRPF3								
Interval_21864	chr2	109238513	109239062	+	0	NA	intron (SH3RF3, intron 1 of 7)	NA	33740	LOC102724819								
Interval_16119	chr17	42188655	42189144	+	0	NA	TTS (GHDC)	NA	-3447	HCRT								
Interval_39023	chr9	99783046	99783305	+	0	NA	intron (RP11-554F20.1, intron 2 of 6)	NA	36714	RP11-554F20.1								
Interval_23740	chr20	13935774	13936009	+	0	NA	intron (SEL1L2, intron 2 of 16)	NA	54728	SEL1L2								
Interval_38607	chr9	68798525	68798697	+	0	NA	intron (PIP5K1B, intron 2 of 15)	NA	18563	FAM122A								
Interval_10407	chr13	32941418	32941781	+	0	NA	Intergenic	NA	-29947	LINC00423								
Interval_15169	chr16	85611371	85612376	+	0	NA	intron (GSE1, intron 1 of 14)	NA	77109	GINS2								
Interval_5266	chr10	87025614	87025839	+	0	NA	TTS (FAM25A)	NA	5437	FAM25A								
Interval_39923	chrUn_KI270516v1	613	802	+	0	NA	NA	NA	NA	NA								
Interval_29111	chr4	37989935	37990154	+	0	NA	intron (TBC1D1, intron 1 of 21)	NA	29609	PTTG2								
Interval_6116	chr11	9460527	9461220	+	0	NA	promoter-TSS (LOC644656)	NA	-140	ZNF143								
Interval_29849	chr4	95289190	95289372	+	0	NA	intron (UNC5C, intron 3 of 16)	NA	69111	LOC101929250								
Interval_30351	chr5	1997648	1998088	+	0	NA	Intergenic	NA	78613	LOC101929108								
Interval_26435	chr3	27022240	27022693	+	0	NA	Intergenic	NA	346955	NEK10								
Interval_14297	chr16	19804852	19805275	+	0	NA	intron (IQCK, intron 5 of 6)	NA	80982	GPRC5B								
Interval_17576	chr18	9707692	9708059	+	0	NA	promoter-TSS (RAB31)	NA	-356	RAB31								
Interval_34582	chr6	158720514	158720875	+	0	NA	intron (SYTL3, intron 10 of 17)	NA	44041	MIR3918								
Interval_12017	chr14	76955966	76957026	+	0	NA	Intergenic	NA	72203	IRF2BPL								
Interval_9066	chr12	57632907	57633080	+	0	NA	promoter-TSS (B4GALNT1)	NA	-314	B4GALNT1								
Interval_35056	chr7	24255214	24255510	+	0	NA	Intergenic	NA	-28826	NPY								
