PeakID (cmd=annotatePeaks.pl ETV6.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1769	chr1	224751117	224751295	+	0	NA	Intergenic	NA	134729	CNIH3								
Interval_5971	chr14	105749263	105749540	+	0	NA	Intergenic	NA	-76594	ELK2AP								
Interval_2432	chr10	72248405	72249072	+	0	NA	Intergenic	NA	-25181	DDIT4								
Interval_13504	chr3	104286639	104286906	+	0	NA	Intergenic	NA	-762666	MIR548AB								
Interval_13173	chr3	44371950	44372183	+	0	NA	intron (TCAIM, intron 5 of 10)	NA	33947	TCAIM								
Interval_1562	chr1	201538631	201538887	+	0	NA	promoter-TSS (NAV1)	NA	18855	RPS10P7								
Interval_1026	chr1	116504441	116504841	+	0	NA	Intergenic	NA	-25779	RP4-655J12.4								
Interval_11869	chr20	35541941	35542145	+	0	NA	promoter-TSS (ERGIC3)	NA	14	ERGIC3								
Interval_18289	chr8	6678810	6679157	+	0	NA	intron (LOC102723801, intron 1 of 2)	NA	-4706	LOC102723801								
Interval_16883	chr6	92688461	92688665	+	0	NA	Intergenic	NA	-43758	LOC102724665								
Interval_10567	chr2	69914686	69914862	+	0	NA	promoter-TSS (MXD1)	NA	-267	MXD1								
Interval_2293	chr10	46092471	46092687	+	0	NA	Intergenic	NA	-16916	AGAP7								
Interval_18932	chr8	95087662	95087976	+	0	NA	Intergenic	NA	-14875	MIR3150B								
Interval_17935	chr7	98417752	98417930	+	0	NA	Intergenic	NA	-16726	BAIAP2L1								
Interval_19281	chr8	133231329	133231676	+	0	NA	TTS (WISP1)	NA	-18588	LOC102723635								
Interval_203	chr1	17191336	17192190	+	0	NA	Intergenic	NA	-2563	LOC400743								
Interval_4599	chr12	94374257	94374382	+	0	NA	intron (CCDC41, intron 7 of 16)	NA	85669	CCDC41								
Interval_11850	chr20	34112035	34112224	+	0	NA	exon (EIF2S2, exon 1 of 9)	NA	150	EIF2S2								
Interval_7202	chr16	75333603	75334016	+	0	NA	intron (CFDP1, intron 5 of 6)	NA	57699	LOC101928178								
Interval_4767	chr12	113040758	113040992	+	0	NA	intron (LOC100506734, intron 1 of 4)	NA	-16982	DTX1								
Interval_19810	chr9	95724626	95724943	+	0	NA	Intergenic	NA	49233	LOC101930476								
Interval_11179	chr2	189927942	189928121	+	0	NA	intron (C2orf88, intron 1 of 3)	NA	134698	MSTN								
Interval_185	chr1	16206395	16206586	+	0	NA	intron (ARHGEF19, intron 6 of 15)	NA	6119	ARHGEF19								
Interval_5680	chr14	73311461	73311686	+	0	NA	intron (NUMB, intron 5 of 10)	NA	-65572	LOC101928123								
Interval_6638	chr15	94297682	94298147	+	0	NA	promoter-TSS (MCTP2)	NA	-58223	MCTP2								
Interval_4588	chr12	93441729	93442271	+	0	NA	exon (UBE2N, exon 1 of 4)	NA	250	UBE2N								
Interval_17871	chr7	84271659	84271815	+	0	NA	intron (SEMA3A, intron 2 of 18)	NA	221031	SEMA3A								
Interval_1156	chr1	153634038	153634353	+	0	NA	promoter-TSS (S100A13)	NA	213	CHTOP								
Interval_15267	chr5	38585920	38586131	+	0	NA	intron (LIFR-AS1, intron 1 of 8)	NA	-28464	MIR3650								
Interval_16251	chr6	9725736	9726146	+	0	NA	intron (OFCC1, intron 9 of 11)	NA	485667	OFCC1								
Interval_16302	chr6	13390663	13390899	+	0	NA	intron (GFOD1, intron 1 of 1)	NA	-62198	TBC1D7								
Interval_7669	chr17	35063588	35063843	+	0	NA	promoter-TSS (RFFL)	NA	25	RFFL								
Interval_14243	chr4	2662773	2662930	+	0	NA	exon (FAM193A, exon 9 of 19)	NA	37419	FAM193A								
Interval_16235	chr6	7202069	7202414	+	0	NA	intron (RREB1, intron 6 of 12)	NA	94388	RREB1								
Interval_20601	chrX	110090071	110090297	+	0	NA	intron (TMEM164, intron 3 of 6)	NA	8063	MIR3978								
Interval_5998	chr15	23039451	23039688	+	0	NA	promoter-TSS (TUBGCP5)	NA	104	TUBGCP5								
Interval_8558	chr18	22302114	22302471	+	0	NA	intron (LOC101927548, intron 2 of 2)	NA	9723	LOC101927548								
Interval_19379	chr8	143136064	143136452	+	0	NA	Intergenic	NA	23782	LY6H								
Interval_19254	chr8	130340628	130340780	+	0	NA	intron (ASAP1, intron 1 of 28)	NA	-44171	ASAP1-IT1								
Interval_9616	chr19	40750268	40750687	+	0	NA	promoter-TSS (C19orf54)	NA	26	C19orf54								
Interval_11844	chr20	33731982	33732394	+	0	NA	intron (ZNF341, intron 1 of 14)	NA	428	ZNF341								
Interval_16891	chr6	99520902	99521226	+	0	NA	promoter-TSS (TSTD3)	NA	-484	TSTD3								
Interval_17068	chr6	134117456	134117726	+	0	NA	promoter-TSS (HMGA1P7)	NA	89	HMGA1P7								
Interval_9006	chr19	3718445	3718570	+	0	NA	intron (TJP3, intron 1 of 20)	NA	10170	TJP3								
Interval_8755	chr18	57737777	57738025	+	0	NA	exon (LOC102724733, exon 2 of 2)	NA	2345	LOC102724733								
Interval_4230	chr12	43806290	43806541	+	0	NA	promoter-TSS (TWF1)	NA	-40	TWF1								
Interval_8959	chr19	1901983	1902163	+	0	NA	Intergenic	NA	-3299	ADAT3								
Interval_15975	chr5	163413873	163414062	+	0	NA	Intergenic	NA	-23604	CCNG1								
Interval_13427	chr3	72043584	72043801	+	0	NA	intron (LINC00877, intron 6 of 6)	NA	56763	LINC00877								
Interval_15220	chr5	32554245	32554546	+	0	NA	Intergenic	NA	-31104	SUB1								
Interval_11546	chr2	241881223	241881413	+	0	NA	promoter-TSS (AC131097.3)	NA	-45	AC131097.3								
Interval_17996	chr7	102892807	102892945	+	0	NA	intron (FBXL13, intron 12 of 20)	NA	-20021	LRRC17								
Interval_10502	chr2	64917712	64918224	+	0	NA	intron (AC007386.2, intron 1 of 2)	NA	14479	AC007386.2								
Interval_804	chr1	85091670	85091990	+	0	NA	intron (WDR63, intron 7 of 21)	NA	29503	WDR63								
Interval_15426	chr5	68215311	68216682	+	0	NA	intron (PIK3R1, intron 1 of 15)	NA	26120	LOC102467655								
Interval_3638	chr11	99256734	99256862	+	0	NA	intron (CNTN5, intron 1 of 23)	NA	235822	CNTN5								
Interval_8356	chr17	79840668	79840876	+	0	NA	Intergenic	NA	-1358	CBX4								
Interval_14842	chr4	110375443	110375619	+	0	NA	Intergenic	NA	-100542	ENPEP								
Interval_5955	chr14	105021000	105021418	+	0	NA	promoter-TSS (CDCA4)	NA	-121	CDCA4								
Interval_19635	chr9	36190711	36191042	+	0	NA	promoter-TSS (CLTA)	NA	20	CLTA								
Interval_17626	chr7	37336397	37336696	+	0	NA	intron (ELMO1, intron 2 of 21)	NA	6628	ELMO1								
Interval_11996	chr20	48777050	48777250	+	0	NA	intron (PREX1, intron 1 of 39)	NA	-120555	PREX1								
Interval_409	chr1	31644351	31644750	+	0	NA	promoter-TSS (PEF1)	NA	687	PEF1								
Interval_14704	chr4	81482438	81482656	+	0	NA	Intergenic	NA	-10632	RASGEF1B								
Interval_15564	chr5	94602622	94602919	+	0	NA	intron (KIAA0825, intron 1 of 20)	NA	15834	KIAA0825								
Interval_10601	chr2	73926682	73927024	+	0	NA	promoter-TSS (DGUOK)	NA	27	DGUOK								
Interval_724	chr1	65097286	65097411	+	0	NA	Intergenic	NA	-38840	MIR101-1								
Interval_6647	chr15	95446916	95447320	+	0	NA	intron (LINC00924, intron 1 of 5)	NA	14025	LINC00924								
Interval_15333	chr5	52415322	52415529	+	0	NA	Intergenic	NA	-372515	PELO								
Interval_19085	chr8	118060865	118061118	+	0	NA	intron (EXT1, intron 1 of 10)	NA	50828	EXT1								
Interval_2857	chr10	128062766	128063631	+	0	NA	intron (PTPRE, intron 10 of 20)	NA	63006	MKI67								
Interval_2107	chr10	15860112	15861088	+	0	NA	promoter-TSS (FAM188A)	NA	-93	FAM188A								
Interval_8496	chr18	5466342	5466484	+	0	NA	intron (EPB41L3, intron 3 of 20)	NA	143857	EPB41L3								
Interval_2858	chr10	128064036	128064291	+	0	NA	intron (PTPRE, intron 10 of 20)	NA	62041	MKI67								
Interval_1090	chr1	148402277	148402563	+	0	NA	promoter-TSS (RP6-206I17.2)	NA	41	RP6-206I17.2								
Interval_13048	chr3	27544601	27544759	+	0	NA	Intergenic	NA	-60260	SLC4A7								
Interval_11354	chr2	218216881	218217424	+	0	NA	promoter-TSS (ARPC2)	NA	-50	ARPC2								
Interval_10829	chr2	113756551	113757003	+	0	NA	promoter-TSS (SLC35F5)	NA	-84	SLC35F5								
Interval_6889	chr16	25005741	25006097	+	0	NA	intron (ARHGAP17, intron 1 of 19)	NA	8032	ARHGAP17								
Interval_10546	chr2	68762240	68762437	+	0	NA	intron (ARHGAP25, intron 1 of 9)	NA	-12463	ARHGAP25								
Interval_15148	chr5	10681615	10682082	+	0	NA	intron (DAP, intron 3 of 3)	NA	63271	ANKRD33B								
Interval_19807	chr9	95426721	95427128	+	0	NA	Intergenic	NA	-36685	LOC100507346								
Interval_1282	chr1	160705326	160705539	+	0	NA	intron (CD48, intron 1 of 3)	NA	5076	CD48								
Interval_15338	chr5	53024067	53024192	+	0	NA	intron (ITGA2, intron 1 of 28)	NA	34803	ITGA2								
Interval_18553	chr8	34840617	34840836	+	0	NA	Intergenic	NA	-394731	UNC5D								
Interval_15250	chr5	36585847	36586004	+	0	NA	Intergenic	NA	-22404	SLC1A3								
Interval_13849	chr3	156611980	156612376	+	0	NA	Intergenic	NA	-56994	SSR3								
Interval_12859	chr3	4493234	4493488	+	0	NA	promoter-TSS (ITPR1)	NA	13	ITPR1								
Interval_13054	chr3	28241437	28241673	+	0	NA	promoter-TSS (CMC1)	NA	-78	CMC1								
Interval_5378	chr14	21476988	21477304	+	0	NA	promoter-TSS (TOX4)	NA	-30	TOX4								
Interval_2874	chr10	133092724	133092976	+	0	NA	intron (GPR123, intron 9 of 15)	NA	-4860	LOC100128127								
Interval_1861	chr1	233859562	233859687	+	0	NA	Intergenic	NA	-45309	SLC35F3								
Interval_16590	chr6	36032321	36032744	+	0	NA	intron (MAPK14, intron 1 of 11)	NA	4855	MAPK14								
Interval_17818	chr7	75092481	75092674	+	0	NA	promoter-TSS (GTF2IRD2B)	NA	-2429	GTF2IRD2B								
Interval_6775	chr16	9379021	9379211	+	0	NA	Intergenic	NA	-22614	LOC101927009								
Interval_2961	chr11	9314501	9315087	+	0	NA	promoter-TSS (TMEM41B)	NA	-26	TMEM41B								
Interval_2057	chr10	6920129	6920638	+	0	NA	Intergenic	NA	140785	LINC00707								
Interval_12686	chr22	37739664	37739934	+	0	NA	intron (LOC102724378, intron 3 of 5)	NA	6156	LOC102724378								
Interval_19444	chr8	144507513	144507731	+	0	NA	TTS (GPT)	NA	-1547	MFSD3								
Interval_5550	chr14	58747257	58747568	+	0	NA	Intergenic	NA	-1339	LOC102723725								
Interval_7757	chr17	40647892	40648090	+	0	NA	promoter-TSS (SMARCE1)	NA	-140	SMARCE1								
Interval_19033	chr8	107632547	107632693	+	0	NA	Intergenic	NA	-134594	ANGPT1								
Interval_1855	chr1	232704811	232705050	+	0	NA	Intergenic	NA	37785	RP11-66A2.2								
Interval_12235	chr21	24093144	24093275	+	0	NA	Intergenic	NA	228168	AP000469.2								
Interval_3725	chr11	115338603	115338761	+	0	NA	intron (CADM1, intron 1 of 9)	NA	165734	CADM1								
Interval_9180	chr19	10428123	10428548	+	0	NA	intron (PDE4A, intron 1 of 14)	NA	7678	PDE4A								
Interval_15469	chr5	75140105	75140366	+	0	NA	intron (ANKRD31, intron 14 of 24)	NA	96643	ANKRD31								
Interval_20049	chr9	126715325	126715728	+	0	NA	Intergenic	NA	-89831	ZBTB43								
Interval_13833	chr3	152299045	152299277	+	0	NA	promoter-TSS (MBNL1)	NA	-29535	MBNL1-AS1								
Interval_4902	chr12	124839059	124839210	+	0	NA	intron (SCARB1, intron 1 of 12)	NA	24839	SCARB1								
Interval_11143	chr2	180539633	180539808	+	0	NA	Intergenic	NA	-152384	SCHLAP1								
Interval_3860	chr11	128718824	128719246	+	0	NA	intron (FLI1, intron 1 of 8)	NA	-23012	SENCR								
Interval_7547	chr17	15121482	15121650	+	0	NA	Intergenic	NA	-15379	CDRT8								
Interval_15971	chr5	161879949	161880074	+	0	NA	intron (GABRA1, intron 7 of 10)	NA	32820	GABRA1								
Interval_16095	chr5	177479325	177479560	+	0	NA	Intergenic	NA	-6572	DBN1								
Interval_12250	chr21	26546915	26547051	+	0	NA	intron (LOC100996571, intron 2 of 3)	NA	26301	CYYR1								
Interval_13460	chr3	87780994	87781119	+	0	NA	Intergenic	NA	-11723	HTR1F								
Interval_3667	chr11	107442534	107442925	+	0	NA	intron (CWF19L2, intron 4 of 17)	NA	15117	CWF19L2								
Interval_17210	chr6	144343826	144344138	+	0	NA	promoter-TSS (UTRN)	NA	127435	TRNAL29								
Interval_6453	chr15	75579154	75579710	+	0	NA	promoter-TSS (PTPN9)	NA	-141	PTPN9								
Interval_15555	chr5	91315739	91316023	+	0	NA	Intergenic	NA	-1479	LUCAT1								
Interval_4778	chr12	114806694	114806890	+	0	NA	Intergenic	NA	-122628	TBX3								
Interval_6891	chr16	25031566	25031747	+	0	NA	promoter-TSS (LOC554206)	NA	-85	LOC554206								
Interval_1781	chr1	225999273	226000141	+	0	NA	promoter-TSS (SDE2)	NA	-309	SDE2								
Interval_18706	chr8	55847608	55847733	+	0	NA	Intergenic	NA	-32157	LYN								
Interval_19824	chr9	97992911	97993523	+	0	NA	intron (ANP32B, intron 1 of 6)	NA	-4920	LOC101928408								
Interval_14279	chr4	6690457	6690773	+	0	NA	promoter-TSS (RP11-539L10.2)	NA	-21	RP11-539L10.2								
Interval_10673	chr2	88729479	88729703	+	0	NA	intron (RPIA, intron 4 of 8)	NA	-36311	ANKRD36BP2								
Interval_12620	chr22	32145013	32145215	+	0	NA	Intergenic	NA	14409	C22orf42								
Interval_7766	chr17	41567283	41567691	+	0	NA	exon (KRT9, exon 7 of 8)	NA	4571	KRT9								
Interval_11725	chr20	17968948	17969088	+	0	NA	promoter-TSS (MGME1)	NA	-27	SNX5								
Interval_10669	chr2	88100247	88100458	+	0	NA	intron (SMYD1, intron 5 of 8)	NA	-17803	MIR4780								
Interval_3902	chr12	406819	407028	+	0	NA	intron (CCDC77, intron 2 of 11)	NA	-17468	KDM5A								
Interval_13555	chr3	112955851	112956040	+	0	NA	intron (CD200R1, intron 1 of 6)	NA	19145	CD200R1								
Interval_2423	chr10	71753586	71753869	+	0	NA	intron (C10orf54, intron 4 of 6)	NA	-15903	C10orf105								
Interval_8638	chr18	39190667	39190890	+	0	NA	Intergenic	NA	-136287	LOC101927879								
Interval_11754	chr20	20734411	20734739	+	0	NA	Intergenic	NA	-21937	RALGAPA2								
Interval_5781	chr14	86071687	86072493	+	0	NA	intron (LOC101928767, intron 2 of 3)	NA	-10540	LOC102724380								
Interval_13028	chr3	23617011	23617253	+	0	NA	Intergenic	NA	-193306	UBE2E1								
Interval_2823	chr10	122954001	122954506	+	0	NA	exon (C10orf88, exon 1 of 6)	NA	150	C10orf88								
Interval_17352	chr6	166999203	166999481	+	0	NA	promoter-TSS (FGFR1OP)	NA	25	FGFR1OP								
Interval_4296	chr12	49842841	49843291	+	0	NA	promoter-TSS (BCDIN3D)	NA	63	BCDIN3D								
Interval_10955	chr2	138501345	138501888	+	0	NA	promoter-TSS (SPOPL)	NA	-164	SPOPL								
Interval_9227	chr19	11596650	11597014	+	0	NA	promoter-TSS (ZNF627)	NA	-588	ZNF627								
Interval_12104	chr20	56463391	56463760	+	0	NA	Intergenic	NA	-5010	RTFDC1								
Interval_13358	chr3	56756254	56756433	+	0	NA	intron (ARHGEF3, intron 5 of 12)	NA	-73101	FAM208A								
Interval_9977	chr19	55599142	55599818	+	0	NA	promoter-TSS (FIZ1)	NA	-884	ZNF524								
Interval_13309	chr3	51693859	51694200	+	0	NA	intron (TEX264, intron 4 of 5)	NA	-13036	GRM2								
Interval_3767	chr11	118925822	118926101	+	0	NA	promoter-TSS (BCL9L)	NA	-343	BCL9L								
Interval_17000	chr6	118980155	118980302	+	0	NA	exon (FAM184A, exon 10 of 18)	NA	-48490	MCM9								
Interval_5420	chr14	24327451	24327713	+	0	NA	intron (ADCY4, intron 11 of 25)	NA	7489	ADCY4								
Interval_15201	chr5	24905198	24905423	+	0	NA	Intergenic	NA	-64727	RP11-730N24.1								
Interval_11743	chr20	19737165	19737433	+	0	NA	Intergenic	NA	21262	LOC100287166								
Interval_20734	chrY	11313212	11313342	+	0	NA	Intergenic	NA	1108313	GYG2P1								
Interval_6772	chr16	9091278	9091441	+	0	NA	promoter-TSS (C16orf72)	NA	-321	C16orf72								
Interval_18755	chr8	60333044	60333182	+	0	NA	Intergenic	NA	-51718	CA8								
Interval_14566	chr4	55853383	55854024	+	0	NA	promoter-TSS (EXOC1)	NA	55	EXOC1								
Interval_16761	chr6	56101168	56101494	+	0	NA	intron (COL21A1, intron 17 of 17)	NA	146415	COL21A1								
Interval_1946	chr1	244048089	244048608	+	0	NA	promoter-TSS (ZBTB18)	NA	-4823	ZBTB18								
Interval_6541	chr15	85475048	85475237	+	0	NA	intron (AKAP13, intron 1 of 36)	NA	51062	LOC101929656								
Interval_10488	chr2	64192963	64193088	+	0	NA	intron (LINC00309, intron 3 of 5)	NA	12460	LINC00309								
Interval_17451	chr7	5556247	5556612	+	0	NA	Intergenic	NA	-27158	ACTB								
Interval_15570	chr5	95620414	95620704	+	0	NA	exon (GPR150, exon 1 of 1)	NA	283	GPR150								
Interval_14988	chr4	152779718	152780162	+	0	NA	promoter-TSS (ARFIP1)	NA	3	ARFIP1								
Interval_7013	chr16	50274402	50274616	+	0	NA	intron (ADCY7, intron 1 of 22)	NA	-13403	ADCY7								
Interval_10618	chr2	74573843	74574191	+	0	NA	intron (M1AP, intron 7 of 10)	NA	-20053	LOXL3								
Interval_18089	chr7	127921212	127921361	+	0	NA	intron (SND1, intron 14 of 23)	NA	-76223	SND1-IT1								
Interval_4434	chr12	62466565	62466853	+	0	NA	promoter-TSS (MON2)	NA	-108	MON2								
Interval_20334	chrX	1268666	1268818	+	0	NA	promoter-TSS (CSF2RA)	NA	3910	CSF2RA								
Interval_12218	chr21	18812397	18812612	+	0	NA	Intergenic	NA	-52692	AL109763.2								
Interval_4530	chr12	85405962	85406088	+	0	NA	Intergenic	NA	126095	ALX1								
Interval_12103	chr20	56429635	56429862	+	0	NA	intron (CASS4, intron 2 of 6)	NA	17490	CASS4								
Interval_8621	chr18	35247562	35247687	+	0	NA	TTS (ZNF397)	NA	6499	ZNF397								
Interval_6225	chr15	58475634	58475761	+	0	NA	intron (RP11-355N15.1, intron 2 of 2)	NA	23038	RP11-355N15.1								
Interval_13831	chr3	152268668	152269160	+	0	NA	promoter-TSS (MBNL1)	NA	-155	MBNL1								
Interval_3691	chr11	111223023	111223214	+	0	NA	Intergenic	NA	-32864	C11orf53								
Interval_3360	chr11	65776373	65776525	+	0	NA	exon (AP5B1, exon 2 of 2)	NA	4142	AP5B1								
Interval_1831	chr1	230105939	230106103	+	0	NA	intron (GALNT2, intron 1 of 15)	NA	38812	GALNT2								
Interval_17686	chr7	44200752	44201223	+	0	NA	promoter-TSS (YKT6)	NA	19	YKT6								
Interval_11780	chr20	23637912	23638242	+	0	NA	promoter-TSS (CST3)	NA	-29	CST3								
Interval_10121	chr2	12456317	12456751	+	0	NA	intron (AC096559.1, intron 4 of 5)	NA	257360	MIR3681								
Interval_16155	chr6	341272	341665	+	0	NA	intron (DUSP22, intron 3 of 5)	NA	49411	DUSP22								
Interval_10603	chr2	73984702	73985153	+	0	NA	promoter-TSS (TET3)	NA	-3488	DGUOK-AS1								
Interval_6549	chr15	86061704	86061835	+	0	NA	Intergenic	NA	54830	RP11-553E24.2								
Interval_435	chr1	32981242	32981556	+	0	NA	Intergenic	NA	-16554	RNF19B								
Interval_12873	chr3	4980358	4980709	+	0	NA	intron (BHLHE40, intron 3 of 4)	NA	1121	BHLHE40								
Interval_2915	chr11	2709455	2709666	+	0	NA	intron (KCNQ1, intron 11 of 15)	NA	-9562	KCNQ1OT1								
Interval_20558	chrX	72277191	72277367	+	0	NA	promoter-TSS (RPS4X)	NA	12	RPS4X								
Interval_17534	chr7	21028348	21028508	+	0	NA	Intergenic	NA	201130	RPL23P8								
Interval_8461	chr18	576285	576518	+	0	NA	Intergenic	NA	-3968	CETN1								
Interval_9930	chr19	54343914	54344154	+	0	NA	Intergenic	NA	-4884	LILRA4								
Interval_15997	chr5	169802953	169803284	+	0	NA	exon (DOCK2, exon 26 of 52)	NA	165871	DOCK2								
Interval_6493	chr15	79872729	79873057	+	0	NA	intron (MTHFS, intron 2 of 2)	NA	24392	MTHFS								
Interval_19592	chr9	33153924	33154138	+	0	NA	intron (B4GALT1, intron 1 of 4)	NA	13327	B4GALT1								
Interval_15001	chr4	155675948	155676346	+	0	NA	intron (GUCY1A3, intron 3 of 10)	NA	9149	GUCY1A3								
Interval_3091	chr11	35579767	35579892	+	0	NA	Intergenic	NA	-38358	FJX1								
Interval_19275	chr8	133082510	133082800	+	0	NA	intron (SLA, intron 1 of 8)	NA	20411	SLA								
Interval_10472	chr2	61470741	61471549	+	0	NA	promoter-TSS (USP34)	NA	-431	USP34								
Interval_5912	chr14	101731185	101731465	+	0	NA	intron (LINC00239, intron 1 of 3)	NA	888	LINC00239								
Interval_11065	chr2	166560215	166560356	+	0	NA	Intergenic	NA	-66133	SCN7A								
Interval_6245	chr15	60478877	60479338	+	0	NA	promoter-TSS (NARG2)	NA	19	NARG2								
Interval_6042	chr15	34224810	34225205	+	0	NA	promoter-TSS (EMC4)	NA	10	EMC4								
Interval_7998	chr17	58885485	58885610	+	0	NA	intron (PPM1E, intron 1 of 5)	NA	129678	PPM1E								
Interval_12270	chr21	30227914	30228039	+	0	NA	Intergenic	NA	-11825	CLDN8								
Interval_7241	chr16	81636745	81636934	+	0	NA	intron (CMIP, intron 1 of 18)	NA	25487	MIR6504								
Interval_10485	chr2	63588447	63589035	+	0	NA	promoter-TSS (WDPCP)	NA	-223	WDPCP								
Interval_453	chr1	35191889	35192197	+	0	NA	intron (SFPQ, intron 1 of 12)	NA	1113	SFPQ								
Interval_1870	chr1	234610791	234611042	+	0	NA	Intergenic	NA	-1391	IRF2BP2								
Interval_8373	chr17	80871439	80871759	+	0	NA	intron (RPTOR, intron 13 of 29)	NA	-65967	RP11-28G8.1								
Interval_3819	chr11	124673780	124674076	+	0	NA	promoter-TSS (SIAE)	NA	84	SPA17								
Interval_16790	chr6	69625032	69625192	+	0	NA	Intergenic	NA	172045	LMBRD1								
Interval_16023	chr5	172114790	172115700	+	0	NA	intron (STK10, intron 4 of 18)	NA	73097	STK10								
Interval_15568	chr5	95081621	95081890	+	0	NA	promoter-TSS (MCTP1)	NA	-91	MCTP1								
Interval_7291	chr16	85611512	85611877	+	0	NA	intron (GSE1, intron 1 of 14)	NA	77288	GINS2								
Interval_20667	chrX	134915116	134915344	+	0	NA	promoter-TSS (MOSPD1)	NA	27	MOSPD1								
Interval_15919	chr5	151209148	151209355	+	0	NA	intron (CCDC69, intron 1 of 8)	NA	14842	CCDC69								
Interval_1361	chr1	169711627	169711816	+	0	NA	promoter-TSS (SELL)	NA	-19	SELL								
Interval_6730	chr16	3159427	3159616	+	0	NA	TTS (TRNAP19)	NA	599	TRNAP19								
Interval_8036	chr17	61411083	61411298	+	0	NA	promoter-TSS (C17orf82)	NA	-561	C17orf82								
Interval_590	chr1	45172112	45172268	+	0	NA	intron (ZSWIM5, intron 1 of 13)	NA	34388	ZSWIM5								
Interval_4007	chr12	7068613	7068890	+	0	NA	intron (C1S, intron 11 of 11)	NA	8075	C1S								
Interval_8040	chr17	62122839	62123074	+	0	NA	Intergenic	NA	-57674	MED13								
Interval_7643	chr17	30809001	30809191	+	0	NA	intron (CRLF3, intron 1 of 7)	NA	-1050	CRLF3								
Interval_13176	chr3	44624813	44625186	+	0	NA	promoter-TSS (ZNF197)	NA	-20	ZNF197								
Interval_17764	chr7	66921040	66921250	+	0	NA	promoter-TSS (TMEM248)	NA	-1004	TMEM248								
Interval_3997	chr12	6873153	6873475	+	0	NA	promoter-TSS (SPSB2)	NA	43	SPSB2								
Interval_12768	chr22	44068458	44069055	+	0	NA	promoter-TSS (PARVB)	NA	-45516	LOC102723940								
Interval_9926	chr19	54285536	54285725	+	0	NA	Intergenic	NA	3512	MIR4752								
Interval_12367	chr21	39020767	39021209	+	0	NA	Intergenic	NA	-9729	LOC102724740								
Interval_12971	chr3	14426133	14426309	+	0	NA	intron (SLC6A6, intron 2 of 14)	NA	-6449	SLC6A6								
Interval_12689	chr22	38034339	38034699	+	0	NA	Intergenic	NA	-22736	PICK1								
Interval_17195	chr6	143449703	143449892	+	0	NA	promoter-TSS (PEX3)	NA	907	ADAT2								
Interval_2936	chr11	4433981	4434126	+	0	NA	Intergenic	NA	-15242	OR52K2								
Interval_11539	chr2	241315419	241316042	+	0	NA	promoter-TSS (SEPT2)	NA	543	SEPT2								
Interval_15745	chr5	132556810	132557124	+	0	NA	promoter-TSS (IL5)	NA	43	RAD50								
Interval_5945	chr14	104394066	104394447	+	0	NA	Intergenic	NA	-185428	C14orf180								
Interval_14263	chr4	3346226	3346413	+	0	NA	intron (RGS12, intron 3 of 16)	NA	-38827	RGS12								
Interval_19047	chr8	110651739	110651928	+	0	NA	Intergenic	NA	375604	RP11-946L20.2								
Interval_13051	chr3	27722056	27722639	+	0	NA	promoter-TSS (EOMES)	NA	368	EOMES								
Interval_5145	chr13	46179650	46179913	+	0	NA	intron (LCP1, intron 1 of 15)	NA	-11207	LCP1								
Interval_13895	chr3	168157400	168157627	+	0	NA	Intergenic	NA	-61884	GOLIM4								
Interval_6629	chr15	93235967	93236177	+	0	NA	Intergenic	NA	30000	UNQ9370								
Interval_9831	chr19	49500186	49500633	+	0	NA	TTS (RPS11)	NA	459	MIR150								
Interval_4867	chr12	122752622	122752824	+	0	NA	promoter-TSS (DENR)	NA	-101	DENR								
Interval_2646	chr10	97687317	97687474	+	0	NA	promoter-TSS (AVPI1)	NA	-137	AVPI1								
Interval_3617	chr11	94526685	94526881	+	0	NA	intron (LINC01171, intron 2 of 3)	NA	14254	LINC01171								
Interval_10475	chr2	61763913	61764089	+	0	NA	Intergenic	NA	90142	FAM161A								
Interval_16709	chr6	45677484	45677765	+	0	NA	Intergenic	NA	255050	RUNX2								
Interval_14958	chr4	146106082	146106249	+	0	NA	Intergenic	NA	15748	LINC01095								
Interval_11639	chr20	4483473	4483890	+	0	NA	Intergenic	NA	-202470	PRNP								
Interval_14931	chr4	139976033	139976257	+	0	NA	intron (MAML3, intron 1 of 4)	NA	-82840	LOC101927544								
Interval_14600	chr4	62622199	62622403	+	0	NA	Intergenic	NA	-456747	RP11-84A1.3								
Interval_18030	chr7	107875734	107875999	+	0	NA	Intergenic	NA	-15275	DLD								
Interval_13366	chr3	57555970	57556325	+	0	NA	promoter-TSS (PDE12)	NA	-107	PDE12								
Interval_5707	chr14	75188673	75188960	+	0	NA	Intergenic	NA	-12170	TMED10								
Interval_9794	chr19	47723656	47723842	+	0	NA	intron (EHD2, intron 3 of 5)	NA	10405	EHD2								
Interval_19828	chr9	98129433	98129591	+	0	NA	intron (CORO2A, intron 8 of 11)	NA	-10099	TRIM14								
Interval_9759	chr19	46713842	46714795	+	0	NA	promoter-TSS (PRKD2)	NA	2809	PRKD2								
Interval_1186	chr1	154936958	154937164	+	0	NA	promoter-TSS (PMVK)	NA	-53	PMVK								
