PeakID (cmd=annotatePeaks.pl MEF2D.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_91	chr16	46388559	46388812	+	0	NA	Intergenic	NA	180412	ANKRD26P1								
Interval_141	chr19	54373868	54374038	+	0	NA	Intergenic	NA	-8839	LAIR1								
Interval_215	chr4	131426451	131426696	+	0	NA	Intergenic	NA	-338464	RP11-614F17.2								
Interval_92	chr16	46401409	46401628	+	0	NA	Intergenic	NA	167579	ANKRD26P1								
Interval_49	chr11	129643641	129643844	+	0	NA	Intergenic	NA	-26473	LOC101929557								
Interval_285	chr8	124703044	124703218	+	0	NA	intron (MTSS1, intron 2 of 12)	NA	25342	MTSS1								
Interval_236	chr6	67896637	67896812	+	0	NA	Intergenic	NA	-144199	LOC102723883								
Interval_85	chr15	99565827	99566044	+	0	NA	promoter-TSS (MEF2A)	NA	-28	MEF2A								
Interval_303	chrM	1	1047	+	0	NA	promoter-TSS (RNR1)	NA	-53	TRNF								
Interval_127	chr19	39093961	39094131	+	0	NA	intron (PAPL, intron 2 of 12)	NA	9741	PAPL								
Interval_217	chr5	38831971	38832184	+	0	NA	intron (CTD-2127H9.1, intron 1 of 3)	NA	13752	CTD-2127H9.1								
Interval_307	chrM	4809	5080	+	0	NA	promoter-TSS (TRNW)	NA	542	TRNM								
Interval_98	chr17	25788513	25788774	+	0	NA	Intergenic	NA	1505299	MIR4522								
Interval_6	chr1	97525625	97525709	+	0	NA	intron (DPYD, intron 12 of 20)	NA	-271254	DPYD-AS2								
Interval_185	chr22	17483976	17484430	+	0	NA	intron (CECR2, intron 2 of 18)	NA	9637	CECR2								
Interval_67	chr13	110138195	110138360	+	0	NA	promoter-TSS (LOC101927712)	NA	-326	LOC101927712								
Interval_299	chr9	133564232	133564278	+	0	NA	intron (ADAMTSL2, intron 12 of 18)	NA	29412	ADAMTSL2								
Interval_61	chr12	118757598	118757663	+	0	NA	Intergenic	NA	-223865	SRRM4								
Interval_209	chr4	49709729	49709781	+	0	NA	Intergenic	NA	-220431	LOC101060532								
Interval_230	chr6	36300075	36300171	+	0	NA	intron (PNPLA1, intron 5 of 7)	NA	36762	C6orf222								
Interval_241	chr6	158869671	158869913	+	0	NA	promoter-TSS (C6orf99)	NA	-12160	OSTCP1								
Interval_257	chr7	92731795	92731947	+	0	NA	intron (CDK6, intron 2 of 3)	NA	-30057	RNU6-10P								
Interval_2	chr1	58784018	58784167	+	0	NA	promoter-TSS (JUN)	NA	21	JUN								
Interval_142	chr2	32485004	32485257	+	0	NA	intron (BIRC6, intron 38 of 72)	NA	-47023	MIR558								
Interval_312	chrM	9725	16569	+	0	NA	TTS (TRNH)	NA	881	TRNL2								
Interval_135	chr19	47113305	47113525	+	0	NA	promoter-TSS (ZC3H4)	NA	-1186	ZC3H4								
Interval_306	chrM	3056	4115	+	0	NA	promoter-TSS (TRNI)	NA	355	TRNL1								
Interval_15	chr1	163706938	163707151	+	0	NA	Intergenic	NA	-283853	LOC100422212								
Interval_169	chr2	239222399	239222629	+	0	NA	intron (HDAC4, intron 3 of 26)	NA	-27057	MGC16025								
Interval_249	chr7	30520708	30520851	+	0	NA	Intergenic	NA	-15938	GGCT								
Interval_223	chr5	157100427	157100576	+	0	NA	intron (HAVCR2, intron 3 of 6)	NA	8736	HAVCR2								
Interval_150	chr2	83126240	83126513	+	0	NA	Intergenic	NA	269573	LOC1720								
Interval_17	chr1	181022900	181023044	+	0	NA	promoter-TSS (STX6)	NA	-55	STX6								
Interval_309	chrM	6225	6642	+	0	NA	promoter-TSS (TRNN)	NA	-542	TRNY								
Interval_322	chrUn_KI270467v1	3762	3848	+	0	NA	NA	NA	NA	NA								
Interval_45	chr11	66418157	66418730	+	0	NA	Intergenic	NA	-2561	NPAS4								
Interval_131	chr19	40849101	40849149	+	0	NA	intron (CYP2A6, intron 2 of 8)	NA	1322	CYP2A6								
Interval_266	chr8	32361535	32361771	+	0	NA	intron (NRG1, intron 1 of 4)	NA	-79093	NRG1-IT3								
Interval_227	chr6	12363671	12363908	+	0	NA	Intergenic	NA	41418	LOC102724414								
Interval_5	chr1	89692823	89693005	+	0	NA	intron (LRRC8C, intron 2 of 2)	NA	24620	LRRC8C								
Interval_102	chr17	42388555	42388897	+	0	NA	promoter-TSS (STAT3)	NA	-158	STAT3								
Interval_196	chr3	40971555	40971861	+	0	NA	Intergenic	NA	-227743	CTNNB1								
Interval_280	chr8	104361344	104361627	+	0	NA	Intergenic	NA	21689	DCSTAMP								
Interval_32	chr10	44725429	44725722	+	0	NA	Intergenic	NA	-185741	TMEM72								
Interval_222	chr5	138753073	138753449	+	0	NA	promoter-TSS (CTNNA1)	NA	122107	LRRTM2								
Interval_212	chr4	87844128	87844290	+	0	NA	intron (MEPE, intron 4 of 4)	NA	11240	MEPE								
Interval_273	chr8	66521672	66521795	+	0	NA	Intergenic	NA	28477	C8orf46								
Interval_28	chr1	245510537	245510638	+	0	NA	intron (KIF26B, intron 4 of 14)	NA	355602	KIF26B								
Interval_38	chr10	132421600	132421705	+	0	NA	Intergenic	NA	-23558	C10orf91								
Interval_137	chr19	47849567	47849613	+	0	NA	Intergenic	NA	27748	CRX								
Interval_170	chr2	239240529	239240698	+	0	NA	intron (HDAC4, intron 2 of 26)	NA	-40860	LOC102723762								
Interval_320	chrUn_KI270467v1	3062	3262	+	0	NA	NA	NA	NA	NA								
Interval_225	chr5	178467716	178467911	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	122759	COL23A1								
Interval_133	chr19	45428757	45429023	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	-7764	MIR6088								
Interval_245	chr7	6175806	6176011	+	0	NA	intron (CYTH3, intron 5 of 12)	NA	70936	USP42								
Interval_270	chr8	48521293	48521471	+	0	NA	Intergenic	NA	-30185	RP11-770E5.1								
Interval_208	chr4	2787348	2787701	+	0	NA	Intergenic	NA	-5499	SH3BP2								
Interval_199	chr3	56995604	56995661	+	0	NA	intron (ARHGEF3, intron 2 of 12)	NA	55592	ARHGEF3-AS1								
Interval_323	chrX	1916194	1917202	+	0	NA	Intergenic	NA	321243	ASMT								
Interval_197	chr3	42072334	42072631	+	0	NA	intron (TRAK1, intron 1 of 16)	NA	-76753	TRAK1								
Interval_1	chr1	41751304	41751558	+	0	NA	intron (HIVEP3, intron 1 of 8)	NA	-122610	HIVEP3								
Interval_132	chr19	41121147	41121302	+	0	NA	intron (CYP2F1, intron 3 of 7)	NA	5043	CYP2F1								
Interval_198	chr3	49412133	49412351	+	0	NA	promoter-TSS (TCTA)	NA	36	TCTA								
Interval_31	chr10	40556734	40556895	+	0	NA	Intergenic	NA	-1685709	LOC101929373								
Interval_321	chrUn_KI270467v1	3343	3447	+	0	NA	NA	NA	NA	NA								
