PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_14857	chr19	13986711	13988547	+	395	NA	intron (RFX1, intron 1 of 19)	NA	19454	RFX1								
P31FUJ_4_776_R1_peak_11758	chr16	57039350	57043929	+	394	NA	intron (NLRC5, intron 18 of 48)	NA	-50904	CPNE2								
P31FUJ_4_776_R1_peak_4449	chr10	123154315	123155479	+	394	NA	intron (BUB3, intron 1 of 7)	NA	653	BUB3								
P31FUJ_4_776_R1_peak_27384	chr7	115409668	115412088	+	394	NA	Intergenic	NA	271740	LOC100506489								
P31FUJ_4_776_R1_peak_17432	chr2	144513489	144520176	+	394	NA	intron (ZEB2, intron 2 of 2)	NA	836	ZEB2								
P31FUJ_4_776_R1_peak_17838	chr2	195657220	195659199	+	394	NA	intron (SLC39A10, intron 1 of 9)	NA	1401	SLC39A10								
P31FUJ_4_776_R1_peak_28099	chr8	38029897	38032712	+	394	NA	intron (EIF4EBP1, intron 1 of 2)	NA	802	EIF4EBP1								
P31FUJ_4_776_R1_peak_8251	chr13	36998104	37001959	+	394	NA	promoter-TSS (ALG5)	NA	-342	EXOSC8								
P31FUJ_4_776_R1_peak_17920	chr2	201115678	201121103	+	394	NA	promoter-TSS (LOC102724614)	NA	-81	LOC102724614								
P31FUJ_4_776_R1_peak_24100	chr5	138574399	138575899	+	394	NA	intron (HSPA9, intron 1 of 16)	NA	480	HSPA9								
P31FUJ_4_776_R1_peak_14433	chr19	2082252	2088379	+	394	NA	exon (MOB3A, exon 2 of 5)	NA	10955	MOB3A								
P31FUJ_4_776_R1_peak_24459	chr5	170295399	170298251	+	394	NA	intron (LCP2, intron 1 of 20)	NA	993	LCP2								
P31FUJ_4_776_R1_peak_28478	chr8	100721339	100722042	+	394	NA	exon (PABPC1, exon 1 of 15)	NA	397	PABPC1								
P31FUJ_4_776_R1_peak_22692	chr4	78774536	78775994	+	392	NA	Intergenic	NA	-1113	BMP2K								
P31FUJ_4_776_R1_peak_2421	chr1	198682087	198683176	+	392	NA	intron (PTPRC, intron 2 of 29)	NA	-19215	PTPRC								
P31FUJ_4_776_R1_peak_25124	chr6	28922368	28924561	+	392	NA	exon (TRIM27, exon 1 of 8)	NA	527	TRIM27								
P31FUJ_4_776_R1_peak_23435	chr5	56414255	56415440	+	391	NA	Intergenic	NA	66922	LOC102467147								
P31FUJ_4_776_R1_peak_27001	chr7	77696412	77698004	+	390	NA	exon (RSBN1L-AS1, exon 1 of 3)	NA	137	RSBN1L-AS1								
P31FUJ_4_776_R1_peak_24769	chr6	6716368	6720019	+	390	NA	intron (LOC101928047, intron 1 of 1)	NA	-6629	LOC101928047								
P31FUJ_4_776_R1_peak_17898	chr2	199737809	199740786	+	390	NA	Intergenic	NA	-71881	LOC101927665								
P31FUJ_4_776_R1_peak_11127	chr16	2267184	2268376	+	390	NA	promoter-TSS (RNPS1)	NA	-443	RNPS1								
P31FUJ_4_776_R1_peak_7785	chr12	121657835	121660119	+	390	NA	intron (MORN3, intron 3 of 5)	NA	13648	MORN3								
P31FUJ_4_776_R1_peak_1851	chr1	154219311	154220652	+	390	NA	promoter-TSS (UBAP2L)	NA	816	C1orf43								
P31FUJ_4_776_R1_peak_6187	chr11	129824471	129826536	+	388	NA	intron (TMEM45B, intron 1 of 5)	NA	9294	TMEM45B								
P31FUJ_4_776_R1_peak_29451	chr9	88925777	88928720	+	388	NA	Intergenic	NA	-63615	C9orf47								
P31FUJ_4_776_R1_peak_150	chr1	9892158	9894823	+	388	NA	intron (CTNNBIP1, intron 1 of 5)	NA	16768	CTNNBIP1								
P31FUJ_4_776_R1_peak_8880	chr13	108265254	108268158	+	388	NA	Intergenic	NA	-2923	TNFSF13B								
P31FUJ_4_776_R1_peak_13265	chr17	58282115	58287273	+	388	NA	Intergenic	NA	-3759	MPO								
P31FUJ_4_776_R1_peak_25121	chr6	28895099	28896498	+	388	NA	promoter-TSS (HCG14)	NA	530	TRNAL-CAA								
P31FUJ_4_776_R1_peak_27263	chr7	102892833	102893674	+	388	NA	intron (FBXL13, intron 11 of 18)	NA	-19644	LRRC17								
P31FUJ_4_776_R1_peak_7944	chr13	19957367	19958525	+	388	NA	promoter-TSS (ZMYM2)	NA	-994	ZMYM2								
P31FUJ_4_776_R1_peak_4579	chr11	808386	810907	+	388	NA	promoter-TSS (PIDD)	NA	-290	RPLP2								
P31FUJ_4_776_R1_peak_9276	chr14	49585480	49586385	+	387	NA	promoter-TSS (RN7SL1)	NA	484	RPS29								
P31FUJ_4_776_R1_peak_9089	chr14	22554643	22556370	+	387	NA	Intergenic	NA	33731	DAD1								
P31FUJ_4_776_R1_peak_19984	chr22	38180898	38181790	+	386	NA	intron (PLA2G6, intron 1 of 16)	NA	506	PLA2G6								
P31FUJ_4_776_R1_peak_10626	chr15	73994742	73995946	+	386	NA	promoter-TSS (STOML1)	NA	671	PML								
P31FUJ_4_776_R1_peak_14821	chr19	12945775	12946987	+	386	NA	intron (RAD23A, intron 1 of 8)	NA	567	RAD23A								
P31FUJ_4_776_R1_peak_14405	chr19	1407840	1409316	+	386	NA	intron (DAZAP1, intron 1 of 11)	NA	935	DAZAP1								
P31FUJ_4_776_R1_peak_15177	chr19	35266996	35268125	+	386	NA	exon (LSR, exon 8 of 9)	NA	-1520	USF2								
P31FUJ_4_776_R1_peak_14529	chr19	4402680	4403463	+	386	NA	intron (CHAF1A, intron 1 of 14)	NA	408	CHAF1A								
P31FUJ_4_776_R1_peak_14975	chr19	17522294	17524537	+	386	NA	exon (FAM129C, exon 1 of 16)	NA	-3848	FAM129C								
P31FUJ_4_776_R1_peak_23156	chr5	392424	395865	+	386	NA	intron (AHRR, intron 4 of 10)	NA	48999	C5orf55								
P31FUJ_4_776_R1_peak_15824	chr19	55385924	55386928	+	386	NA	exon (RPL28, exon 2 of 5)	NA	494	RPL28								
P31FUJ_4_776_R1_peak_24654	chr5	181221961	181224532	+	386	NA	promoter-TSS (TRIM41)	NA	-45	TRIM41								
P31FUJ_4_776_R1_peak_14420	chr19	1864155	1865268	+	386	NA	Intergenic	NA	-1146	KLF16								
P31FUJ_4_776_R1_peak_286	chr1	17274359	17275440	+	385	NA	intron (PADI3, intron 11 of 15)	NA	-3049	MIR3972								
P31FUJ_4_776_R1_peak_21165	chr3	71578719	71585079	+	385	NA	promoter-TSS (FOXP1)	NA	-39839	MIR1284								
P31FUJ_4_776_R1_peak_937	chr1	45685444	45687213	+	385	NA	intron (GPBP1L1, intron 1 of 12)	NA	220	GPBP1L1								
P31FUJ_4_776_R1_peak_2295	chr1	182614418	182616198	+	385	NA	exon (LOC284648, exon 1 of 1)	NA	168	LOC284648								
P31FUJ_4_776_R1_peak_18803	chr20	41028818	41030147	+	385	NA	intron (TOP1, intron 2 of 20)	NA	660	TOP1								
P31FUJ_4_776_R1_peak_24448	chr5	169637001	169638238	+	385	NA	intron (DOCK2, intron 1 of 27)	NA	372	DOCK2								
P31FUJ_4_776_R1_peak_6520	chr12	11170896	11172410	+	385	NA	promoter-TSS (PRH1-PRR4)	NA	-28	PRH1-PRR4								
P31FUJ_4_776_R1_peak_1058	chr1	54542339	54544682	+	385	NA	Intergenic	NA	-4624	ACOT11								
P31FUJ_4_776_R1_peak_5608	chr11	73212242	73220059	+	384	NA	Intergenic	NA	-2148	P2RY2								
P31FUJ_4_776_R1_peak_24999	chr6	24719553	24721260	+	384	NA	exon (C6orf62, exon 1 of 4)	NA	430	C6orf62								
P31FUJ_4_776_R1_peak_24590	chr5	178385787	178394530	+	384	NA	intron (COL23A1, intron 2 of 28)	NA	-157374	PHYKPL								
P31FUJ_4_776_R1_peak_10575	chr15	69759614	69760956	+	384	NA	Intergenic	NA	-74949	LINC00593								
P31FUJ_4_776_R1_peak_20077	chr22	41687367	41689491	+	384	NA	intron (NHP2L1, intron 2 of 4)	NA	650	NHP2L1								
P31FUJ_4_776_R1_peak_14161	chr18	54268892	54270438	+	384	NA	promoter-TSS (POLI)	NA	167	POLI								
P31FUJ_4_776_R1_peak_17940	chr2	202265010	202267247	+	384	NA	intron (NOP58, intron 1 of 14)	NA	336	NOP58								
P31FUJ_4_776_R1_peak_25700	chr6	85641467	85643394	+	384	NA	promoter-TSS (SYNCRIP)	NA	-979	SYNCRIP								
P31FUJ_4_776_R1_peak_13409	chr17	64505145	64506226	+	384	NA	intron (DDX5, intron 2 of 13)	NA	681	DDX5								
P31FUJ_4_776_R1_peak_20668	chr3	38164702	38166333	+	384	NA	promoter-TSS (LOC101928234)	NA	-18	OXSR1								
P31FUJ_4_776_R1_peak_11478	chr16	28822663	28825156	+	383	NA	promoter-TSS (ATXN2L)	NA	861	ATXN2L								
P31FUJ_4_776_R1_peak_27159	chr7	100015571	100016494	+	383	NA	intron (ZKSCAN1, intron 1 of 3)	NA	460	ZKSCAN1								
P31FUJ_4_776_R1_peak_238	chr1	15834187	15835782	+	383	NA	exon (FLJ37453, exon 2 of 2)	NA	-12880	SPEN								
P31FUJ_4_776_R1_peak_7962	chr13	20901738	20902779	+	383	NA	intron (XPO4, intron 1 of 23)	NA	516	XPO4								
P31FUJ_4_776_R1_peak_6978	chr12	52197126	52203181	+	383	NA	Intergenic	NA	10702	C12orf80								
P31FUJ_4_776_R1_peak_27170	chr7	100157847	100159151	+	382	NA	TTS (GAL3ST4)	NA	180	C7orf43								
P31FUJ_4_776_R1_peak_577	chr1	30756954	30758134	+	382	NA	intron (LAPTM5, intron 1 of 7)	NA	292	LAPTM5								
P31FUJ_4_776_R1_peak_14556	chr19	5718738	5720665	+	382	NA	promoter-TSS (CATSPERD)	NA	464	LONP1								
P31FUJ_4_776_R1_peak_26940	chr7	76047094	76048937	+	382	NA	promoter-TSS (STYXL1)	NA	-4	MDH2								
P31FUJ_4_776_R1_peak_27501	chr7	130204638	130205474	+	381	NA	promoter-TSS (SSMEM1)	NA	326	TMEM209								
P31FUJ_4_776_R1_peak_16755	chr2	68773943	68776120	+	380	NA	exon (ARHGAP25, exon 1 of 10)	NA	40250	ARHGAP25								
P31FUJ_4_776_R1_peak_12008	chr16	75516495	75517409	+	380	NA	Intergenic	NA	18218	CHST5								
P31FUJ_4_776_R1_peak_24026	chr5	134175488	134177365	+	380	NA	intron (SKP1, intron 1 of 4)	NA	607	SKP1								
P31FUJ_4_776_R1_peak_9753	chr14	89350713	89352707	+	380	NA	intron (FOXN3, intron 2 of 6)	NA	1645	LOC101928817								
P31FUJ_4_776_R1_peak_7239	chr12	66267550	66269908	+	379	NA	Intergenic	NA	17638	MIR6502								
P31FUJ_4_776_R1_peak_15001	chr19	18152578	18153959	+	379	NA	promoter-TSS (PIK3R2)	NA	90	PIK3R2								
P31FUJ_4_776_R1_peak_22042	chr3	194735914	194737342	+	379	NA	intron (AC090505.6, intron 1 of 3)	NA	28207	AC090505.6								
P31FUJ_4_776_R1_peak_1950	chr1	156747729	156751493	+	379	NA	intron (HDGF, intron 1 of 5)	NA	2837	HDGF								
P31FUJ_4_776_R1_peak_20822	chr3	46393910	46397585	+	379	NA	intron (LOC102724297, intron 1 of 2)	NA	11293	LOC102724297								
P31FUJ_4_776_R1_peak_29783	chr9	114370275	114374616	+	379	NA	intron (AKNA, intron 4 of 21)	NA	26019	AKNA								
P31FUJ_4_776_R1_peak_26992	chr7	77537219	77539331	+	378	NA	intron (PTPN12, intron 1 of 16)	NA	240	PTPN12								
P31FUJ_4_776_R1_peak_2339	chr1	184050673	184052705	+	378	NA	promoter-TSS (TSEN15)	NA	32	TSEN15								
P31FUJ_4_776_R1_peak_16383	chr2	42957365	42963778	+	378	NA	Intergenic	NA	78976	LOC102723854								
P31FUJ_4_776_R1_peak_15362	chr19	41351514	41353949	+	377	NA	exon (TGFB1, exon 1 of 7)	NA	1202	TGFB1								
P31FUJ_4_776_R1_peak_18269	chr20	1893114	1894586	+	377	NA	promoter-TSS (SIRPA)	NA	596	LOC102724545								
P31FUJ_4_776_R1_peak_25261	chr6	33199391	33201847	+	377	NA	promoter-TSS (RXRB)	NA	3	RXRB								
P31FUJ_4_776_R1_peak_572	chr1	29180619	29181909	+	376	NA	intron (SRSF4, intron 1 of 7)	NA	733	SRSF4								
P31FUJ_4_776_R1_peak_11219	chr16	4616510	4617636	+	376	NA	Intergenic	NA	-2147	UBALD1								
P31FUJ_4_776_R1_peak_4414	chr10	119079211	119080851	+	376	NA	intron (EIF3A, intron 1 of 21)	NA	791	EIF3A								
P31FUJ_4_776_R1_peak_11663	chr16	50274041	50275337	+	376	NA	intron (ADCY7, intron 1 of 22)	NA	530	ADCY7								
P31FUJ_4_776_R1_peak_15163	chr19	34172508	34173702	+	376	NA	intron (LSM14A, intron 1 of 7)	NA	607	LSM14A								
P31FUJ_4_776_R1_peak_8645	chr13	78657993	78659861	+	376	NA	intron (RNF219, intron 1 of 5)	NA	-15850	RNF219								
P31FUJ_4_776_R1_peak_796	chr1	40058989	40061446	+	376	NA	intron (CAP1, intron 3 of 12)	NA	19634	CAP1								
P31FUJ_4_776_R1_peak_8443	chr13	50079371	50082031	+	376	NA	intron (DLEU2, intron 1 of 10)	NA	-1468	DLEU1								
P31FUJ_4_776_R1_peak_924	chr1	44819866	44820827	+	376	NA	exon (PTCH2, exon 23 of 23)	NA	12641	BTBD19								
P31FUJ_4_776_R1_peak_18356	chr20	4073310	4077325	+	376	NA	Intergenic	NA	-44625	LOC101929155								
P31FUJ_4_776_R1_peak_18773	chr20	38032868	38034615	+	376	NA	promoter-TSS (TTI1)	NA	232	RPRD1B								
P31FUJ_4_776_R1_peak_17912	chr2	200811434	200813242	+	376	NA	promoter-TSS (AC007163.6)	NA	153	BZW1								
P31FUJ_4_776_R1_peak_6306	chr12	4273691	4275575	+	376	NA	intron (CCND2, intron 1 of 4)	NA	897	CCND2								
P31FUJ_4_776_R1_peak_18911	chr20	47355221	47358103	+	376	NA	promoter-TSS (ZMYND8)	NA	227	ZMYND8								
P31FUJ_4_776_R1_peak_1026	chr1	53196736	53198039	+	376	NA	intron (CPT2, intron 1 of 4)	NA	958	CPT2								
P31FUJ_4_776_R1_peak_18730	chr20	35663740	35665314	+	376	NA	intron (RBM12, intron 1 of 2)	NA	429	RBM12								
P31FUJ_4_776_R1_peak_19888	chr22	35399381	35400954	+	375	NA	promoter-TSS (MCM5)	NA	104	MCM5								
P31FUJ_4_776_R1_peak_389	chr1	23958076	23960952	+	375	NA	promoter-TSS (PNRC2)	NA	-297	PNRC2								
P31FUJ_4_776_R1_peak_6179	chr11	128693963	128695952	+	375	NA	intron (FLI1, intron 1 of 9)	NA	1041	FLI1								
P31FUJ_4_776_R1_peak_18769	chr20	37526674	37528505	+	374	NA	promoter-TSS (BLCAP)	NA	-3038	BLCAP								
P31FUJ_4_776_R1_peak_27569	chr7	138460299	138461996	+	374	NA	intron (TRIM24, intron 1 of 18)	NA	813	TRIM24								
P31FUJ_4_776_R1_peak_15166	chr19	34427929	34429379	+	374	NA	intron (UBA2, intron 1 of 15)	NA	291	UBA2								
P31FUJ_4_776_R1_peak_4780	chr11	10807342	10808894	+	374	NA	promoter-TSS (RP11-685M7.3)	NA	-588	RP11-685M7.3								
P31FUJ_4_776_R1_peak_9478	chr14	67486999	67489309	+	374	NA	intron (TMEM229B, intron 1 of 2)	NA	27574	TMEM229B								
P31FUJ_4_776_R1_peak_12177	chr16	88974880	88979961	+	374	NA	promoter-TSS (CBFA2T3)	NA	-324	CBFA2T3								
P31FUJ_4_776_R1_peak_10380	chr15	57282850	57286196	+	374	NA	intron (TCF12, intron 12 of 12)	NA	-15842	LINC00926								
P31FUJ_4_776_R1_peak_15057	chr19	19319927	19321647	+	373	NA	promoter-TSS (MAU2)	NA	100	MAU2								
P31FUJ_4_776_R1_peak_898	chr1	43974145	43975981	+	373	NA	exon (ATP6V0B, exon 1 of 7)	NA	133	ATP6V0B								
P31FUJ_4_776_R1_peak_16284	chr2	37156199	37157773	+	373	NA	promoter-TSS (EIF2AK2)	NA	61	EIF2AK2								
P31FUJ_4_776_R1_peak_8940	chr13	110713177	110713749	+	372	NA	exon (CARS2, exon 1 of 15)	NA	-1974	ING1								
P31FUJ_4_776_R1_peak_16105	chr2	23926097	23927072	+	372	NA	exon (ATAD2B, exon 1 of 21)	NA	524	ATAD2B								
P31FUJ_4_776_R1_peak_15231	chr19	36488704	36490455	+	372	NA	promoter-TSS (ZNF566)	NA	-48	LOC728752								
P31FUJ_4_776_R1_peak_21101	chr3	58335294	58336065	+	372	NA	intron (PXK, intron 1 of 14)	NA	2789	PXK								
P31FUJ_4_776_R1_peak_6597	chr12	14959670	14963603	+	372	NA	promoter-TSS (ARHGDIB)	NA	-8	ARHGDIB								
P31FUJ_4_776_R1_peak_2156	chr1	172443321	172444140	+	372	NA	promoter-TSS (PIGC)	NA	360	PIGC								
P31FUJ_4_776_R1_peak_8007	chr13	24511453	24513268	+	372	NA	intron (PARP4, intron 1 of 33)	NA	450	PARP4								
P31FUJ_4_776_R1_peak_15741	chr19	52138520	52139988	+	372	NA	promoter-TSS (ZNF616)	NA	684	ZNF616								
P31FUJ_4_776_R1_peak_24027	chr5	134224767	134226152	+	372	NA	promoter-TSS (MIR3661)	NA	-298	MIR3661								
P31FUJ_4_776_R1_peak_8945	chr13	111152942	111154759	+	372	NA	promoter-TSS (LOC101060553)	NA	157	ARHGEF7								
P31FUJ_4_776_R1_peak_1914	chr1	155933545	155934463	+	372	NA	intron (KIAA0907, intron 1 of 13)	NA	393	KIAA0907								
P31FUJ_4_776_R1_peak_1789	chr1	151326491	151327745	+	372	NA	intron (PI4KB, intron 1 of 12)	NA	539	PI4KB								
P31FUJ_4_776_R1_peak_22270	chr4	13483778	13484778	+	371	NA	promoter-TSS (RAB28)	NA	87	RAB28								
P31FUJ_4_776_R1_peak_15031	chr19	18520430	18522053	+	370	NA	intron (ELL, intron 1 of 11)	NA	886	ELL								
P31FUJ_4_776_R1_peak_16412	chr2	43218104	43229297	+	370	NA	exon (ZFP36L2, exon 2 of 2)	NA	2906	ZFP36L2								
P31FUJ_4_776_R1_peak_3102	chr1	244833571	244835155	+	369	NA	promoter-TSS (COX20)	NA	-974	COX20								
P31FUJ_4_776_R1_peak_895	chr1	43833402	43836621	+	369	NA	intron (ST3GAL3, intron 4 of 11)	NA	-3646	MIR6079								
P31FUJ_4_776_R1_peak_21001	chr3	52237251	52241584	+	369	NA	promoter-TSS (TWF2)	NA	-250	TWF2								
P31FUJ_4_776_R1_peak_25292	chr6	34237619	34238986	+	369	NA	promoter-TSS (HMGA1)	NA	1502	HMGA1								
P31FUJ_4_776_R1_peak_18749	chr20	36605724	36607747	+	369	NA	intron (C20orf24, intron 1 of 3)	NA	1001	C20orf24								
P31FUJ_4_776_R1_peak_1615	chr1	115976521	115977671	+	369	NA	intron (SLC22A15, intron 1 of 10)	NA	454	SLC22A15								
P31FUJ_4_776_R1_peak_4809	chr11	12159501	12161389	+	369	NA	intron (MICAL2, intron 1 of 21)	NA	-1634	MICAL2								
P31FUJ_4_776_R1_peak_18377	chr20	4810405	4815418	+	369	NA	intron (RASSF2, intron 2 of 11)	NA	-9460	RASSF2								
P31FUJ_4_776_R1_peak_30117	chr9	131273658	131276783	+	369	NA	intron (FAM78A, intron 1 of 1)	NA	1299	FAM78A								
P31FUJ_4_776_R1_peak_11526	chr16	30075282	30076886	+	369	NA	promoter-TSS (PPP4C)	NA	81	PPP4C								
P31FUJ_4_776_R1_peak_11803	chr16	58628704	58629888	+	369	NA	intron (CNOT1, intron 1 of 48)	NA	590	CNOT1								
P31FUJ_4_776_R1_peak_6409	chr12	7605465	7606247	+	369	NA	Intergenic	NA	60050	APOBEC1								
P31FUJ_4_776_R1_peak_28383	chr8	90001426	90002752	+	369	NA	intron (DECR1, intron 1 of 8)	NA	630	DECR1								
P31FUJ_4_776_R1_peak_13271	chr17	58330269	58332438	+	368	NA	promoter-TSS (MIR142)	NA	-86	MIR142								
P31FUJ_4_776_R1_peak_4219	chr10	101060259	101064736	+	368	NA	intron (KAZALD1, intron 1 of 5)	NA	1255	KAZALD1								
P31FUJ_4_776_R1_peak_15655	chr19	49590291	49592231	+	368	NA	promoter-TSS (PRR12)	NA	-394	PRR12								
P31FUJ_4_776_R1_peak_14363	chr19	892308	893826	+	368	NA	promoter-TSS (RNU6-9)	NA	-254	MED16								
P31FUJ_4_776_R1_peak_29519	chr9	92292645	92294784	+	368	NA	promoter-TSS (IARS)	NA	42	IARS								
P31FUJ_4_776_R1_peak_6943	chr12	51238733	51239880	+	368	NA	intron (DAZAP2, intron 1 of 3)	NA	582	DAZAP2								
P31FUJ_4_776_R1_peak_914	chr1	44723691	44725066	+	367	NA	exon (C1orf228, exon 8 of 11)	NA	-2477	RNU5F-1								
P31FUJ_4_776_R1_peak_10917	chr15	90665058	90666343	+	367	NA	TTS (RP11-387D10.3)	NA	5466	RP11-387D10.3								
P31FUJ_4_776_R1_peak_27352	chr7	112450436	112452204	+	367	NA	promoter-TSS (IFRD1)	NA	28176	IFRD1								
P31FUJ_4_776_R1_peak_15942	chr2	3557482	3558413	+	367	NA	promoter-TSS (RNASEH1-AS1)	NA	424	RNASEH1								
P31FUJ_4_776_R1_peak_19770	chr22	24509502	24513313	+	367	NA	intron (UPB1, intron 4 of 9)	NA	16347	UPB1								
P31FUJ_4_776_R1_peak_7949	chr13	20126655	20128677	+	367	NA	Intergenic	NA	33719	GJA3								
P31FUJ_4_776_R1_peak_15043	chr19	18918329	18919441	+	366	NA	promoter-TSS (DDX49)	NA	505	COPE								
P31FUJ_4_776_R1_peak_5099	chr11	46671314	46673138	+	366	NA	intron (ATG13, intron 14 of 14)	NA	28439	ARHGAP1								
P31FUJ_4_776_R1_peak_11617	chr16	31458642	31459791	+	366	NA	exon (ARMC5, exon 1 of 7)	NA	447	ARMC5								
P31FUJ_4_776_R1_peak_5248	chr11	61791988	61793803	+	366	NA	promoter-TSS (MIR611)	NA	258	FEN1								
P31FUJ_4_776_R1_peak_15639	chr19	49408465	49410294	+	366	NA	intron (CCDC155, intron 14 of 19)	NA	14062	PTH2								
P31FUJ_4_776_R1_peak_2844	chr1	226062699	226064182	+	366	NA	intron (H3F3A, intron 1 of 3)	NA	733	H3F3A								
P31FUJ_4_776_R1_peak_21742	chr3	157159237	157160196	+	366	NA	promoter-TSS (CCNL1)	NA	-2675	CCNL1								
P31FUJ_4_776_R1_peak_7881	chr12	124913734	124915727	+	366	NA	promoter-TSS (MIR5188)	NA	311	UBC								
P31FUJ_4_776_R1_peak_22896	chr4	105472920	105474059	+	365	NA	intron (PPA2, intron 1 of 7)	NA	581	PPA2								
P31FUJ_4_776_R1_peak_15693	chr19	51136231	51138729	+	365	NA	intron (SIGLEC9, intron 7 of 7)	NA	-4827	SIGLEC7								
P31FUJ_4_776_R1_peak_8824	chr13	99501423	99502978	+	365	NA	intron (TM9SF2, intron 1 of 16)	NA	826	TM9SF2								
P31FUJ_4_776_R1_peak_16042	chr2	10689298	10690655	+	365	NA	promoter-TSS (NOL10)	NA	11	NOL10								
P31FUJ_4_776_R1_peak_27288	chr7	104983315	104984728	+	365	NA	exon (LINC01004, exon 1 of 1)	NA	7144	LINC01004								
P31FUJ_4_776_R1_peak_18532	chr20	20000949	20004575	+	364	NA	TTS (RIN2)	NA	-14528	NAA20								
P31FUJ_4_776_R1_peak_8009	chr13	24922973	24923986	+	364	NA	promoter-TSS (CENPJ)	NA	-590	CENPJ								
P31FUJ_4_776_R1_peak_1374	chr1	93345050	93348324	+	364	NA	promoter-TSS (LOC100131564)	NA	766	DR1								
P31FUJ_4_776_R1_peak_25241	chr6	32843114	32845511	+	364	NA	promoter-TSS (PSMB8)	NA	226	TAPSAR1								
P31FUJ_4_776_R1_peak_7464	chr12	98514770	98516453	+	363	NA	promoter-TSS (TMPO)	NA	38	TMPO								
P31FUJ_4_776_R1_peak_11623	chr16	31873750	31875096	+	363	NA	promoter-TSS (ZNF267)	NA	665	ZNF267								
P31FUJ_4_776_R1_peak_6863	chr12	49017529	49020557	+	363	NA	promoter-TSS (PRKAG1)	NA	-197	PRKAG1								
P31FUJ_4_776_R1_peak_28915	chr8	144077394	144079826	+	363	NA	promoter-TSS (EXOSC4)	NA	-9	EXOSC4								
P31FUJ_4_776_R1_peak_28382	chr8	89983268	89984781	+	363	NA	intron (NBN, intron 1 of 16)	NA	647	NBN								
P31FUJ_4_776_R1_peak_4520	chr10	132550103	132552917	+	363	NA	intron (INPP5A, intron 1 of 15)	NA	13661	INPP5A								
P31FUJ_4_776_R1_peak_26876	chr7	73304025	73305127	+	363	NA	intron (NSUN5, intron 6 of 8)	NA	4268	NSUN5								
P31FUJ_4_776_R1_peak_4736	chr11	9459835	9460740	+	363	NA	promoter-TSS (ZNF143)	NA	411	LOC644656								
P31FUJ_4_776_R1_peak_25584	chr6	53358640	53360401	+	363	NA	Intergenic	NA	-10341	ELOVL5								
P31FUJ_4_776_R1_peak_2430	chr1	199039985	199041578	+	363	NA	Intergenic	NA	-103352	MIR181A1HG								
P31FUJ_4_776_R1_peak_4732	chr11	9313614	9314610	+	363	NA	intron (TMEM41B, intron 1 of 7)	NA	656	TMEM41B								
P31FUJ_4_776_R1_peak_13127	chr17	49191592	49192689	+	362	NA	promoter-TSS (TRNAQ2)	NA	-388	TRNAQ2								
P31FUJ_4_776_R1_peak_19063	chr20	57463980	57465746	+	362	NA	Intergenic	NA	60244	CTCFL								
P31FUJ_4_776_R1_peak_26946	chr7	76357576	76359404	+	362	NA	intron (YWHAG, intron 1 of 1)	NA	535	YWHAG								
P31FUJ_4_776_R1_peak_21457	chr3	128522635	128525024	+	362	NA	Intergenic	NA	15994	LOC90246								
P31FUJ_4_776_R1_peak_370	chr1	23342905	23344395	+	361	NA	intron (HNRNPR, intron 1 of 10)	NA	710	HNRNPR								
P31FUJ_4_776_R1_peak_16692	chr2	65128835	65130162	+	361	NA	intron (RAB1A, intron 1 of 3)	NA	803	RAB1A								
P31FUJ_4_776_R1_peak_15456	chr19	43754010	43756154	+	361	NA	promoter-TSS (SMG9)	NA	-92	SMG9								
P31FUJ_4_776_R1_peak_24620	chr5	179623089	179623661	+	361	NA	intron (HNRNPH1, intron 1 of 12)	NA	335	HNRNPH1								
P31FUJ_4_776_R1_peak_21828	chr3	170868365	170870202	+	361	NA	intron (RPL22L1, intron 1 of 3)	NA	973	RPL22L1								
P31FUJ_4_776_R1_peak_26467	chr7	2353928	2354877	+	361	NA	promoter-TSS (EIF3B)	NA	-437	EIF3B								
P31FUJ_4_776_R1_peak_4341	chr10	110566976	110568931	+	361	NA	intron (SMC3, intron 1 of 28)	NA	262	SMC3								
P31FUJ_4_776_R1_peak_26490	chr7	5424312	5426922	+	361	NA	Intergenic	NA	-1789	TNRC18								
P31FUJ_4_776_R1_peak_8920	chr13	109697446	109700259	+	360	NA	Intergenic	NA	-29422	LINC00676								
P31FUJ_4_776_R1_peak_11828	chr16	66604702	66605838	+	360	NA	intron (CMTM3, intron 1 of 4)	NA	606	CMTM3								
P31FUJ_4_776_R1_peak_8357	chr13	46552767	46555321	+	360	NA	intron (LRCH1, intron 1 of 18)	NA	883	LRCH1								
P31FUJ_4_776_R1_peak_5876	chr11	108008804	108009862	+	359	NA	exon (CUL5, exon 1 of 19)	NA	651	CUL5								
P31FUJ_4_776_R1_peak_9255	chr14	39266296	39268099	+	359	NA	promoter-TSS (CTAGE5)	NA	-136	LOC100288846								
