PeakID (cmd=annotatePeaks.pl MONOMAC1_3_777_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MONOMAC1_3_777_R1_peak_23084	chr5	57173962	57175268	+	622	NA	promoter-TSS (GPBP1)	NA	766	GPBP1								
MONOMAC1_3_777_R1_peak_12797	chr17	75570856	75572166	+	622	NA	intron (LLGL2, intron 17 of 25)	NA	-16547	MYO15B								
MONOMAC1_3_777_R1_peak_4501	chr11	8681743	8684539	+	622	NA	intron (RPL27A, intron 1 of 4)	NA	693	RPL27A								
MONOMAC1_3_777_R1_peak_7572	chr13	29594352	29595729	+	622	NA	intron (SLC7A1, intron 1 of 12)	NA	-8248	SLC7A1								
MONOMAC1_3_777_R1_peak_24253	chr5	180494313	180495267	+	621	NA	intron (CNOT6, intron 1 of 11)	NA	560	CNOT6								
MONOMAC1_3_777_R1_peak_8143	chr13	110713081	110715374	+	620	NA	promoter-TSS (ING1)	NA	964	ING1								
MONOMAC1_3_777_R1_peak_548	chr1	28328921	28330002	+	620	NA	promoter-TSS (MED18)	NA	-822	MED18								
MONOMAC1_3_777_R1_peak_24669	chr6	26020363	26023162	+	620	NA	promoter-TSS (HIST1H4A)	NA	83	HIST1H4A								
MONOMAC1_3_777_R1_peak_17235	chr2	207166235	207167698	+	620	NA	promoter-TSS (KLF7)	NA	-110	KLF7								
MONOMAC1_3_777_R1_peak_2815	chr1	234372140	234374774	+	620	NA	promoter-TSS (COA6)	NA	176	LOC101927765								
MONOMAC1_3_777_R1_peak_9805	chr15	68276786	68280258	+	620	NA	exon (FEM1B, exon 1 of 2)	NA	555	FEM1B								
MONOMAC1_3_777_R1_peak_24559	chr6	14909050	14913400	+	620	NA	Intergenic	NA	249772	LOC102724463								
MONOMAC1_3_777_R1_peak_13743	chr19	1249838	1254118	+	620	NA	intron (MIDN, intron 4 of 7)	NA	3420	MIDN								
MONOMAC1_3_777_R1_peak_16108	chr2	64943128	64948502	+	620	NA	Intergenic	NA	-13368	AC007386.2								
MONOMAC1_3_777_R1_peak_10343	chr16	1418920	1422437	+	620	NA	intron (C16orf91, intron 1 of 1)	NA	122	C16orf91								
MONOMAC1_3_777_R1_peak_27385	chr7	139339871	139342496	+	620	NA	promoter-TSS (C7orf55)	NA	51	C7orf55-LUC7L2								
MONOMAC1_3_777_R1_peak_25415	chr6	85643596	85645365	+	620	NA	promoter-TSS (SYNCRIP)	NA	-3029	SYNCRIP								
MONOMAC1_3_777_R1_peak_29990	chr9	125885415	125893763	+	620	NA	intron (PBX3, intron 2 of 6)	NA	142217	PBX3								
MONOMAC1_3_777_R1_peak_1335	chr1	93179023	93180462	+	620	NA	promoter-TSS (CCDC18)	NA	947	TMED5								
MONOMAC1_3_777_R1_peak_6028	chr12	6687780	6689574	+	617	NA	exon (ZNF384, exon 1 of 11)	NA	895	ZNF384								
MONOMAC1_3_777_R1_peak_21094	chr3	157174010	157174934	+	617	NA	promoter-TSS (LOC101928236)	NA	75	LOC101928236								
MONOMAC1_3_777_R1_peak_7823	chr13	49994836	49996794	+	616	NA	TTS (MIR3613)	NA	634	MIR3613								
MONOMAC1_3_777_R1_peak_22204	chr4	83107208	83116608	+	616	NA	intron (PLAC8, intron 1 of 4)	NA	2850	PLAC8								
MONOMAC1_3_777_R1_peak_29404	chr9	77707715	77711082	+	616	NA	Intergenic	NA	-61082	GNA14								
MONOMAC1_3_777_R1_peak_12940	chr17	81512935	81516159	+	616	NA	intron (FSCN2, intron 1 of 5)	NA	-1657	ACTG1								
MONOMAC1_3_777_R1_peak_28442	chr8	101204182	101206755	+	615	NA	exon (ZNF706, exon 1 of 4)	NA	264	ZNF706								
MONOMAC1_3_777_R1_peak_15859	chr2	43218016	43226608	+	615	NA	TTS (ZFP36L2)	NA	4294	ZFP36L2								
MONOMAC1_3_777_R1_peak_29378	chr9	76557652	76564205	+	615	NA	Intergenic	NA	82587	GCNT1								
MONOMAC1_3_777_R1_peak_3006	chr1	244950677	244956399	+	615	NA	Intergenic	NA	-16791	EFCAB2								
MONOMAC1_3_777_R1_peak_12956	chr17	81665423	81667692	+	615	NA	promoter-TSS (OXLD1)	NA	31	OXLD1								
MONOMAC1_3_777_R1_peak_16865	chr2	159711177	159713984	+	615	NA	promoter-TSS (MARCH7)	NA	-141	LOC102723926								
MONOMAC1_3_777_R1_peak_3612	chr10	63133277	63134503	+	615	NA	intron (NRBF2, intron 1 of 2)	NA	643	NRBF2								
MONOMAC1_3_777_R1_peak_23979	chr5	157856994	157859232	+	613	NA	intron (CLINT1, intron 1 of 11)	NA	1062	CLINT1								
MONOMAC1_3_777_R1_peak_12213	chr17	44218625	44221667	+	613	NA	promoter-TSS (UBTF)	NA	-1105	UBTF								
MONOMAC1_3_777_R1_peak_6564	chr12	51047275	51049206	+	613	NA	promoter-TSS (LETMD1)	NA	-87	LETMD1								
MONOMAC1_3_777_R1_peak_27234	chr7	118182653	118185858	+	613	NA	intron (LSM8, intron 1 of 3)	NA	223	LSM8								
MONOMAC1_3_777_R1_peak_23336	chr5	87037798	87041825	+	613	NA	Intergenic	NA	75133	MIR4280								
MONOMAC1_3_777_R1_peak_23736	chr5	138352597	138354384	+	612	NA	intron (KDM3B, intron 1 of 23)	NA	894	KDM3B								
MONOMAC1_3_777_R1_peak_880	chr1	43974258	43976102	+	612	NA	intron (ATP6V0B, intron 1 of 6)	NA	250	ATP6V0B								
MONOMAC1_3_777_R1_peak_25127	chr6	42330639	42337483	+	612	NA	intron (TRERF1, intron 3 of 17)	NA	-116196	MRPS10								
MONOMAC1_3_777_R1_peak_13069	chr18	3446980	3452524	+	612	NA	promoter-TSS (TGIF1)	NA	-1653	TGIF1								
MONOMAC1_3_777_R1_peak_28223	chr8	66923145	66927048	+	611	NA	intron (SNHG6, intron 1 of 3)	NA	446	SNHG6								
MONOMAC1_3_777_R1_peak_28334	chr8	90000970	90002590	+	611	NA	intron (DECR1, intron 1 of 8)	NA	321	DECR1								
MONOMAC1_3_777_R1_peak_10908	chr16	31116556	31118675	+	610	NA	promoter-TSS (KAT8)	NA	-49	KAT8								
MONOMAC1_3_777_R1_peak_22805	chr5	10248919	10251191	+	610	NA	promoter-TSS (FAM173B)	NA	-101	FAM173B								
MONOMAC1_3_777_R1_peak_381	chr1	24641675	24643011	+	610	NA	promoter-TSS (SRRM1)	NA	-760	SRRM1								
MONOMAC1_3_777_R1_peak_11262	chr16	74665927	74666939	+	609	NA	promoter-TSS (RFWD3)	NA	-4310	RFWD3								
MONOMAC1_3_777_R1_peak_16046	chr2	60880531	60885078	+	609	NA	intron (REL, intron 1 of 9)	NA	1230	REL								
MONOMAC1_3_777_R1_peak_19261	chr22	36529366	36530390	+	609	NA	promoter-TSS (EIF3D)	NA	-648	EIF3D								
MONOMAC1_3_777_R1_peak_7117	chr12	112011573	112013187	+	609	NA	promoter-TSS (ERP29)	NA	839	TMEM116								
MONOMAC1_3_777_R1_peak_573	chr1	28736918	28738274	+	609	NA	intron (YTHDF2, intron 1 of 3)	NA	972	YTHDF2								
MONOMAC1_3_777_R1_peak_17615	chr2	239401285	239402550	+	609	NA	promoter-TSS (HDAC4)	NA	481	LOC101928111								
MONOMAC1_3_777_R1_peak_10201	chr15	92899930	92904308	+	609	NA	intron (CHD2, intron 2 of 12)	NA	1798	CHD2								
MONOMAC1_3_777_R1_peak_12265	chr17	46191523	46195271	+	608	NA	promoter-TSS (KANSL1)	NA	-176	KANSL1-AS1								
MONOMAC1_3_777_R1_peak_6763	chr12	57520877	57523727	+	608	NA	promoter-TSS (MBD6)	NA	-521	MBD6								
MONOMAC1_3_777_R1_peak_27756	chr8	22668343	22669571	+	608	NA	intron (BIN3, intron 1 of 7)	NA	191	BIN3								
MONOMAC1_3_777_R1_peak_21078	chr3	155854648	155855657	+	608	NA	promoter-TSS (SLC33A1)	NA	-715	SLC33A1								
MONOMAC1_3_777_R1_peak_5638	chr11	107840885	107842792	+	607	NA	intron (SLC35F2, intron 1 of 7)	NA	17350	SLC35F2								
MONOMAC1_3_777_R1_peak_23087	chr5	58490795	58493115	+	607	NA	intron (GAPT, intron 1 of 2)	NA	463	GAPT								
MONOMAC1_3_777_R1_peak_30239	chr9	132353843	132355045	+	607	NA	intron (SETX, intron 2 of 27)	NA	541	SETX								
MONOMAC1_3_777_R1_peak_4793	chr11	46671197	46673493	+	607	NA	exon (ATG13, exon 15 of 15)	NA	28320	ARHGAP1								
MONOMAC1_3_777_R1_peak_2726	chr1	228081614	228084422	+	607	NA	promoter-TSS (ARF1)	NA	358	ARF1								
MONOMAC1_3_777_R1_peak_9749	chr15	65803512	65807404	+	607	NA	Intergenic	NA	-13165	DENND4A								
MONOMAC1_3_777_R1_peak_20554	chr3	101676362	101677175	+	607	NA	exon (ZBTB11-AS1, exon 1 of 1)	NA	338	ZBTB11-AS1								
MONOMAC1_3_777_R1_peak_17200	chr2	202264507	202268218	+	606	NA	intron (NOP58, intron 1 of 14)	NA	570	NOP58								
MONOMAC1_3_777_R1_peak_6038	chr12	6866864	6868295	+	606	NA	promoter-TSS (TPI1)	NA	50	TPI1								
MONOMAC1_3_777_R1_peak_27338	chr7	135169340	135172342	+	606	NA	promoter-TSS (C7orf49)	NA	-1367	C7orf49								
MONOMAC1_3_777_R1_peak_29761	chr9	110154344	110159095	+	606	NA	intron (AKAP2, intron 3 of 3)	NA	-41804	TRNAR6								
MONOMAC1_3_777_R1_peak_27807	chr8	25458839	25459881	+	606	NA	promoter-TSS (KCTD9)	NA	363	CDCA2								
MONOMAC1_3_777_R1_peak_12330	chr17	49788603	49789168	+	605	NA	intron (KAT7, intron 1 of 13)	NA	266	KAT7								
MONOMAC1_3_777_R1_peak_21571	chr3	196500603	196503853	+	605	NA	intron (RNF168, intron 1 of 5)	NA	1540	RNF168								
MONOMAC1_3_777_R1_peak_13668	chr18	79987695	79989484	+	605	NA	promoter-TSS (TXNL4A)	NA	-43	TXNL4A								
MONOMAC1_3_777_R1_peak_24891	chr6	31739917	31741151	+	605	NA	exon (MSH5-SAPCD1, exon 2 of 29)	NA	586	MSH5								
MONOMAC1_3_777_R1_peak_13166	chr18	12376031	12377285	+	604	NA	intron (AFG3L2, intron 1 of 16)	NA	618	AFG3L2								
MONOMAC1_3_777_R1_peak_28277	chr8	80485511	80487636	+	604	NA	promoter-TSS (ZBTB10)	NA	360	ZBTB10								
MONOMAC1_3_777_R1_peak_24386	chr6	6941135	6944686	+	604	NA	Intergenic	NA	-165530	RREB1								
MONOMAC1_3_777_R1_peak_19556	chr22	46590652	46594472	+	604	NA	intron (GRAMD4, intron 1 of 18)	NA	-27845	GRAMD4								
MONOMAC1_3_777_R1_peak_18267	chr20	45970715	45973157	+	604	NA	promoter-TSS (ZNF335)	NA	-667	ZNF335								
MONOMAC1_3_777_R1_peak_2405	chr1	202158723	202162524	+	604	NA	promoter-TSS (PTPN7)	NA	300	PTPN7								
MONOMAC1_3_777_R1_peak_4988	chr11	62599566	62601818	+	604	NA	intron (MTA2, intron 1 of 17)	NA	1148	MTA2								
MONOMAC1_3_777_R1_peak_21268	chr3	172750669	172752255	+	604	NA	intron (ECT2, intron 1 of 24)	NA	816	ECT2								
MONOMAC1_3_777_R1_peak_20392	chr3	57595935	57597433	+	604	NA	intron (ARF4, intron 1 of 5)	NA	804	ARF4								
MONOMAC1_3_777_R1_peak_13657	chr18	79068319	79069099	+	603	NA	promoter-TSS (ATP9B)	NA	-685	ATP9B								
MONOMAC1_3_777_R1_peak_931	chr1	45749853	45750621	+	603	NA	intron (IPP, intron 1 of 7)	NA	568	IPP								
MONOMAC1_3_777_R1_peak_3515	chr10	46028938	46031265	+	602	NA	intron (NCOA4, intron 1 of 11)	NA	613	NCOA4								
MONOMAC1_3_777_R1_peak_14785	chr19	41363476	41365013	+	601	NA	promoter-TSS (B9D2)	NA	-71	B9D2								
MONOMAC1_3_777_R1_peak_10862	chr16	30633178	30635480	+	601	NA	Intergenic	NA	-16388	PRR14								
MONOMAC1_3_777_R1_peak_3402	chr10	30995017	31001951	+	601	NA	intron (ZNF438, intron 1 of 6)	NA	-94871	ZNF438								
MONOMAC1_3_777_R1_peak_14990	chr19	47513982	47515123	+	601	NA	intron (NAPA, intron 1 of 10)	NA	539	NAPA								
MONOMAC1_3_777_R1_peak_5723	chr11	117096839	117098390	+	600	NA	intron (SIK3, intron 1 of 23)	NA	690	SIK3								
MONOMAC1_3_777_R1_peak_19579	chr22	49501432	49504910	+	600	NA	Intergenic	NA	40251	MIR3667								
MONOMAC1_3_777_R1_peak_17516	chr2	231708481	231710379	+	600	NA	intron (PTMA, intron 1 of 4)	NA	905	PTMA								
MONOMAC1_3_777_R1_peak_1832	chr1	154219493	154220686	+	599	NA	promoter-TSS (UBAP2L)	NA	703	C1orf43								
MONOMAC1_3_777_R1_peak_24133	chr5	176435733	176438261	+	599	NA	Intergenic	NA	-11358	FAF2								
MONOMAC1_3_777_R1_peak_21814	chr4	16224129	16229560	+	599	NA	promoter-TSS (TAPT1)	NA	181	TAPT1-AS1								
MONOMAC1_3_777_R1_peak_9180	chr15	28783573	28787527	+	599	NA	Intergenic	NA	-2693	LOC100289656								
MONOMAC1_3_777_R1_peak_9181	chr15	28787847	28789211	+	599	NA	intron (LOC100289656, intron 1 of 1)	NA	286	LOC100289656								
MONOMAC1_3_777_R1_peak_3831	chr10	73251243	73253419	+	599	NA	promoter-TSS (LOC101929112)	NA	362	MRPS16								
MONOMAC1_3_777_R1_peak_2860	chr1	234873290	234877838	+	598	NA	Intergenic	NA	-115514	PP2672								
MONOMAC1_3_777_R1_peak_14645	chr19	36214085	36216109	+	598	NA	promoter-TSS (ZNF565)	NA	-13	ZNF565								
MONOMAC1_3_777_R1_peak_13608	chr18	75207956	75210695	+	597	NA	promoter-TSS (ZADH2)	NA	1	ZADH2								
MONOMAC1_3_777_R1_peak_3476	chr10	43406228	43410471	+	596	NA	promoter-TSS (HNRNPF)	NA	859	HNRNPF								
MONOMAC1_3_777_R1_peak_2735	chr1	228485897	228487688	+	596	NA	promoter-TSS (RNF187)	NA	-575	RNF187								
MONOMAC1_3_777_R1_peak_13904	chr19	4066152	4068798	+	596	NA	promoter-TSS (ZBTB7A)	NA	-657	ZBTB7A								
MONOMAC1_3_777_R1_peak_26757	chr7	66114034	66115831	+	596	NA	exon (CRCP, exon 1 of 5)	NA	114	CRCP								
MONOMAC1_3_777_R1_peak_24770	chr6	27833766	27838396	+	596	NA	Intergenic	NA	2258	HIST1H2AK								
MONOMAC1_3_777_R1_peak_17118	chr2	196984530	196990101	+	596	NA	exon (ANKRD44, exon 28 of 28)	NA	-60320	PGAP1								
MONOMAC1_3_777_R1_peak_1851	chr1	154961209	154962567	+	596	NA	promoter-TSS (PYGO2)	NA	-106	PYGO2								
MONOMAC1_3_777_R1_peak_6461	chr12	45990909	45993066	+	596	NA	promoter-TSS (SCAF11)	NA	-31137	SCAF11								
MONOMAC1_3_777_R1_peak_27055	chr7	100100311	100102496	+	596	NA	promoter-TSS (AP4M1)	NA	-127	AP4M1								
MONOMAC1_3_777_R1_peak_1070	chr1	62435270	62438337	+	596	NA	promoter-TSS (USP1)	NA	499	USP1								
MONOMAC1_3_777_R1_peak_18686	chr21	29023914	29025738	+	596	NA	intron (USP16, intron 1 of 17)	NA	209	USP16								
MONOMAC1_3_777_R1_peak_4344	chr11	267628	270235	+	596	NA	Intergenic	NA	-9639	NLRP6								
MONOMAC1_3_777_R1_peak_13605	chr18	74595828	74599030	+	595	NA	promoter-TSS (ZNF407)	NA	406	LINC00909								
MONOMAC1_3_777_R1_peak_12354	chr17	51121040	51121905	+	595	NA	promoter-TSS (SPAG9)	NA	-607	SPAG9								
MONOMAC1_3_777_R1_peak_22070	chr4	67544414	67545649	+	594	NA	intron (CENPC, intron 1 of 18)	NA	-13717	STAP1								
MONOMAC1_3_777_R1_peak_23296	chr5	80255278	80258309	+	594	NA	promoter-TSS (SERINC5)	NA	-714	SERINC5								
MONOMAC1_3_777_R1_peak_162	chr1	11011452	11013477	+	594	NA	promoter-TSS (TARDBP)	NA	-158	TARDBP								
MONOMAC1_3_777_R1_peak_1468	chr1	110337133	110340528	+	594	NA	promoter-TSS (RBM15)	NA	341	RP5-1074L1.1								
MONOMAC1_3_777_R1_peak_29041	chr9	4678441	4679444	+	594	NA	promoter-TSS (CDC37L1)	NA	376	LOC101929351								
MONOMAC1_3_777_R1_peak_10529	chr16	9091623	9093285	+	593	NA	intron (C16orf72, intron 1 of 3)	NA	774	C16orf72								
MONOMAC1_3_777_R1_peak_12269	chr17	46289252	46292308	+	593	NA	intron (ARL17B, intron 4 of 4)	NA	-15499	LRRC37A								
MONOMAC1_3_777_R1_peak_19424	chr22	41412515	41414739	+	593	NA	Intergenic	NA	33396	TOB2								
MONOMAC1_3_777_R1_peak_26802	chr7	73556284	73558207	+	593	NA	promoter-TSS (BCL7B)	NA	27	BCL7B								
MONOMAC1_3_777_R1_peak_16792	chr2	151287800	151290603	+	592	NA	promoter-TSS (NMI)	NA	-124	NMI								
MONOMAC1_3_777_R1_peak_19912	chr3	18418540	18428647	+	592	NA	intron (SATB1, intron 1 of 10)	NA	-20449	LOC101929587								
MONOMAC1_3_777_R1_peak_24805	chr6	28922188	28924806	+	592	NA	exon (TRIM27, exon 1 of 8)	NA	494	TRIM27								
MONOMAC1_3_777_R1_peak_901	chr1	44721830	44725602	+	592	NA	intron (C1orf228, intron 6 of 10)	NA	-1815	RNU5F-1								
MONOMAC1_3_777_R1_peak_13065	chr18	3260785	3263075	+	592	NA	promoter-TSS (MYL12B)	NA	-789	MYL12B								
MONOMAC1_3_777_R1_peak_17734	chr20	2469539	2471427	+	592	NA	intron (SNRPB, intron 1 of 6)	NA	370	SNRPB								
MONOMAC1_3_777_R1_peak_20796	chr3	128649198	128652251	+	592	NA	exon (RPN1, exon 1 of 10)	NA	152	RPN1								
MONOMAC1_3_777_R1_peak_12993	chr17	82214861	82218690	+	592	NA	Intergenic	NA	-3964	CCDC57								
MONOMAC1_3_777_R1_peak_25775	chr6	135178774	135181148	+	592	NA	Intergenic	NA	-1354	MYB								
MONOMAC1_3_777_R1_peak_27215	chr7	113140506	113144705	+	591	NA	Intergenic	NA	-24023	LINC00998								
MONOMAC1_3_777_R1_peak_18540	chr20	63625714	63626781	+	591	NA	promoter-TSS (LOC100505771)	NA	781	GMEB2								
MONOMAC1_3_777_R1_peak_7843	chr13	50909237	50912111	+	591	NA	promoter-TSS (RNASEH2B-AS1)	NA	38	RNASEH2B-AS1								
MONOMAC1_3_777_R1_peak_13264	chr18	26088976	26091688	+	591	NA	intron (SS18, intron 1 of 10)	NA	315	SS18								
MONOMAC1_3_777_R1_peak_21367	chr3	184710532	184713009	+	591	NA	exon (MAGEF1, exon 1 of 1)	NA	278	MAGEF1								
MONOMAC1_3_777_R1_peak_13208	chr18	21739694	21742081	+	589	NA	promoter-TSS (MIB1)	NA	-442	MIB1								
MONOMAC1_3_777_R1_peak_6157	chr12	11647969	11653517	+	589	NA	intron (ETV6, intron 1 of 7)	NA	889	ETV6								
MONOMAC1_3_777_R1_peak_21211	chr3	170180215	170181750	+	589	NA	promoter-TSS (PHC3)	NA	-3	PHC3								
MONOMAC1_3_777_R1_peak_2850	chr1	234771002	234779449	+	588	NA	Intergenic	NA	-15175	PP2672								
MONOMAC1_3_777_R1_peak_13386	chr18	49491106	49492475	+	588	NA	promoter-TSS (RPL17-C18orf32)	NA	-61	SNORD58B								
MONOMAC1_3_777_R1_peak_28375	chr8	96234236	96235630	+	588	NA	promoter-TSS (LOC101927039)	NA	701	UQCRB								
MONOMAC1_3_777_R1_peak_12798	chr17	75587798	75589163	+	588	NA	exon (MYO15B, exon 1 of 61)	NA	422	MYO15B								
MONOMAC1_3_777_R1_peak_21034	chr3	152217718	152229053	+	588	NA	Intergenic	NA	-17962	LOC101928166								
MONOMAC1_3_777_R1_peak_2699	chr1	225999557	226000883	+	587	NA	promoter-TSS (SDE2)	NA	-822	SDE2								
MONOMAC1_3_777_R1_peak_9299	chr15	40755353	40756154	+	587	NA	promoter-TSS (RMDN3)	NA	-499	RMDN3								
MONOMAC1_3_777_R1_peak_21013	chr3	151870655	151878003	+	586	NA	intron (SUCNR1, intron 1 of 2)	NA	686	SUCNR1								
MONOMAC1_3_777_R1_peak_5012	chr11	62838821	62841339	+	586	NA	promoter-TSS (WDR74)	NA	492	WDR74								
MONOMAC1_3_777_R1_peak_7786	chr13	47902827	47905124	+	585	NA	Intergenic	NA	97351	SUCLA2								
MONOMAC1_3_777_R1_peak_24682	chr6	26171050	26174565	+	585	NA	Intergenic	NA	-10989	HIST1H2BE								
MONOMAC1_3_777_R1_peak_21803	chr4	15655471	15656889	+	585	NA	promoter-TSS (FBXL5)	NA	-768	FBXL5								
MONOMAC1_3_777_R1_peak_17106	chr2	196158558	196161956	+	585	NA	intron (STK17B, intron 2 of 7)	NA	-11340	LOC101927454								
MONOMAC1_3_777_R1_peak_26999	chr7	92827908	92841870	+	585	NA	promoter-TSS (CDK6)	NA	-925	CDK6								
MONOMAC1_3_777_R1_peak_4993	chr11	62645533	62646685	+	585	NA	TTS (INTS5)	NA	617	GANAB								
MONOMAC1_3_777_R1_peak_8991	chr14	100237212	100238660	+	585	NA	promoter-TSS (YY1)	NA	-829	YY1								
MONOMAC1_3_777_R1_peak_5708	chr11	116772139	116773989	+	585	NA	promoter-TSS (BUD13)	NA	-66	BUD13								
MONOMAC1_3_777_R1_peak_30080	chr9	128655430	128657488	+	585	NA	intron (WDR34, intron 1 of 8)	NA	391	WDR34								
MONOMAC1_3_777_R1_peak_1331	chr1	92832018	92833489	+	585	NA	TTS (FAM69A)	NA	716	RPL5								
MONOMAC1_3_777_R1_peak_1639	chr1	145996700	145997644	+	585	NA	promoter-TSS (TXNIP)	NA	-541	TXNIP								
MONOMAC1_3_777_R1_peak_3574	chr10	60236167	60238710	+	585	NA	intron (ANK3, intron 7 of 45)	NA	152379	ANK3								
MONOMAC1_3_777_R1_peak_29163	chr9	26890928	26893606	+	585	NA	exon (CAAP1, exon 1 of 6)	NA	561	CAAP1								
MONOMAC1_3_777_R1_peak_7794	chr13	48302880	48305572	+	584	NA	promoter-TSS (LINC00441)	NA	479	RB1								
MONOMAC1_3_777_R1_peak_16125	chr2	65435625	65437404	+	584	NA	Intergenic	NA	-1628	LOC102724258								
MONOMAC1_3_777_R1_peak_6612	chr12	53378603	53379570	+	584	NA	Intergenic	NA	-1109	SP1								
MONOMAC1_3_777_R1_peak_29786	chr9	112331229	112333643	+	583	NA	intron (PTBP3, intron 1 of 14)	NA	1228	PTBP3								
MONOMAC1_3_777_R1_peak_11226	chr16	70519609	70525907	+	583	NA	intron (COG4, intron 1 of 18)	NA	796	COG4								
MONOMAC1_3_777_R1_peak_22926	chr5	36689125	36690566	+	583	NA	Intergenic	NA	83490	SLC1A3								
MONOMAC1_3_777_R1_peak_17803	chr20	4972213	4975944	+	583	NA	intron (SLC23A2, intron 1 of 16)	NA	27421	SLC23A2								
MONOMAC1_3_777_R1_peak_25522	chr6	106511547	106514271	+	583	NA	exon (AIM1, exon 3 of 22)	NA	1054	AIM1								
MONOMAC1_3_777_R1_peak_22026	chr4	48831020	48832601	+	583	NA	intron (OCIAD1, intron 1 of 8)	NA	767	OCIAD1								
MONOMAC1_3_777_R1_peak_15259	chr19	54447796	54450780	+	583	NA	exon (LENG8, exon 1 of 16)	NA	861	LENG8								
MONOMAC1_3_777_R1_peak_3795	chr10	72317880	72321789	+	583	NA	Intergenic	NA	35315	DNAJB12								
MONOMAC1_3_777_R1_peak_23467	chr5	109408086	109410013	+	583	NA	intron (PJA2, intron 1 of 9)	NA	925	PJA2								
MONOMAC1_3_777_R1_peak_1844	chr1	154607224	154608895	+	583	NA	exon (ADAR, exon 1 of 15)	NA	189	ADAR								
MONOMAC1_3_777_R1_peak_10866	chr16	30658303	30660646	+	583	NA	Intergenic	NA	-4983	FBRS								
MONOMAC1_3_777_R1_peak_24687	chr6	26199422	26207085	+	582	NA	Intergenic	NA	-1392	HIST1H4E								
MONOMAC1_3_777_R1_peak_28956	chr8	144095020	144096184	+	582	NA	intron (CYC1, intron 1 of 6)	NA	567	CYC1								
MONOMAC1_3_777_R1_peak_29335	chr9	70419131	70420227	+	581	NA	Intergenic	NA	-5022	KLF9								
MONOMAC1_3_777_R1_peak_18817	chr21	36320179	36321838	+	581	NA	intron (MORC3, intron 1 of 16)	NA	-8900	MORC3								
MONOMAC1_3_777_R1_peak_19728	chr3	9890537	9891600	+	581	NA	intron (JAGN1, intron 1 of 1)	NA	481	JAGN1								
MONOMAC1_3_777_R1_peak_21550	chr3	196095287	196098006	+	581	NA	Intergenic	NA	-14556	TFRC								
MONOMAC1_3_777_R1_peak_14488	chr19	18571797	18572737	+	581	NA	promoter-TSS (UBA52)	NA	388	UBA52								
MONOMAC1_3_777_R1_peak_10411	chr16	2751398	2754158	+	581	NA	promoter-TSS (SRRM2-AS1)	NA	427	SRRM2								
MONOMAC1_3_777_R1_peak_3677	chr10	67761533	67765233	+	581	NA	Intergenic	NA	-1120	TRNAS21								
MONOMAC1_3_777_R1_peak_17040	chr2	181455407	181461050	+	581	NA	exon (ITGA4, exon 2 of 28)	NA	1336	ITGA4								
MONOMAC1_3_777_R1_peak_27543	chr7	155643678	155645797	+	581	NA	promoter-TSS (LOC100506302)	NA	243	RBM33								
MONOMAC1_3_777_R1_peak_1121	chr1	67428118	67434726	+	580	NA	promoter-TSS (SERBP1)	NA	-982	SERBP1								
MONOMAC1_3_777_R1_peak_23192	chr5	72813483	72818974	+	580	NA	promoter-TSS (TNPO1)	NA	-363	TNPO1								
MONOMAC1_3_777_R1_peak_6832	chr12	66267337	66270787	+	580	NA	Intergenic	NA	17971	MIR6502								
MONOMAC1_3_777_R1_peak_12210	chr17	44198460	44201110	+	580	NA	promoter-TSS (ATXN7L3)	NA	-1624	ATXN7L3								
MONOMAC1_3_777_R1_peak_28654	chr8	124473225	124476327	+	580	NA	promoter-TSS (RNF139-AS1)	NA	9	RNF139								
MONOMAC1_3_777_R1_peak_28987	chr8	144827456	144828216	+	580	NA	promoter-TSS (ZNF7)	NA	-477	ZNF7								
MONOMAC1_3_777_R1_peak_19939	chr3	23917189	23918477	+	580	NA	promoter-TSS (NKIRAS1)	NA	-896	NKIRAS1								
MONOMAC1_3_777_R1_peak_4382	chr11	1308896	1311040	+	580	NA	promoter-TSS (TOLLIP)	NA	260	TOLLIP-AS1								
MONOMAC1_3_777_R1_peak_14521	chr19	19662245	19664585	+	580	NA	exon (ATP13A1, exon 1 of 26)	NA	-5439	ZNF101								
MONOMAC1_3_777_R1_peak_15152	chr19	50722320	50724815	+	579	NA	exon (CLEC11A, exon 1 of 4)	NA	219	CLEC11A								
MONOMAC1_3_777_R1_peak_9857	chr15	72782254	72785265	+	578	NA	promoter-TSS (ADPGK)	NA	924	ADPGK-AS1								
MONOMAC1_3_777_R1_peak_2999	chr1	244833187	244836913	+	578	NA	promoter-TSS (COX20)	NA	-287	COX20								
MONOMAC1_3_777_R1_peak_17526	chr2	232549647	232551674	+	577	NA	promoter-TSS (MIR5001)	NA	73	EIF4E2								
MONOMAC1_3_777_R1_peak_19800	chr3	12662493	12664687	+	577	NA	promoter-TSS (RAF1)	NA	527	RAF1								
MONOMAC1_3_777_R1_peak_27707	chr8	18082571	18085217	+	576	NA	intron (ASAH1, intron 1 of 13)	NA	173	ASAH1								
