PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_12951	chr15	90388241	90389086	+	377	NA	intron (IQGAP1, intron 1 of 28)	NA	391	IQGAP1								
UT7_3_187_R1_peak_31364	chr6	28781524	28782423	+	377	NA	Intergenic	NA	7868	TRNAA19								
UT7_3_187_R1_peak_32501	chr6	116278960	116281267	+	377	NA	promoter-TSS (DSE)	NA	4	TSPYL1								
UT7_3_187_R1_peak_4361	chr10	6579703	6581459	+	377	NA	promoter-TSS (PRKCQ)	NA	156	PRKCQ-AS1								
UT7_3_187_R1_peak_16617	chr17	80146419	80147168	+	377	NA	exon (EIF4A3, exon 1 of 12)	NA	390	EIF4A3								
UT7_3_187_R1_peak_26050	chr3	42581541	42582369	+	377	NA	promoter-TSS (SEC22C)	NA	73	SEC22C								
UT7_3_187_R1_peak_31609	chr6	33207829	33209042	+	377	NA	promoter-TSS (RING1)	NA	-74	RING1								
UT7_3_187_R1_peak_10687	chr14	50531647	50532622	+	377	NA	promoter-TSS (ATL1)	NA	-948	ATL1								
UT7_3_187_R1_peak_37119	chr9	99105024	99106125	+	377	NA	intron (TGFBR1, intron 1 of 8)	NA	444	TGFBR1								
UT7_3_187_R1_peak_14316	chr16	71288847	71289553	+	377	NA	exon (CMTR2, exon 1 of 2)	NA	267	LOC102723786								
UT7_3_187_R1_peak_26135	chr3	46406399	46407107	+	377	NA	promoter-TSS (CCRL2)	NA	287	LOC102724297								
UT7_3_187_R1_peak_31914	chr6	42050510	42050843	+	377	NA	promoter-TSS (TAF8)	NA	-248	TAF8								
UT7_3_187_R1_peak_3594	chr1	206575744	206577428	+	377	NA	intron (RASSF5, intron 1 of 4)	NA	19422	RASSF5								
UT7_3_187_R1_peak_19169	chr19	45717643	45718749	+	377	NA	intron (FBXO46, intron 1 of 1)	NA	12697	FBXO46								
UT7_3_187_R1_peak_12722	chr15	79311198	79312222	+	376	NA	intron (TMED3, intron 1 of 2)	NA	561	TMED3								
UT7_3_187_R1_peak_35282	chr8	54019721	54022273	+	376	NA	intron (TCEA1, intron 1 of 9)	NA	1459	TCEA1								
UT7_3_187_R1_peak_19446	chr19	50384279	50385323	+	376	NA	intron (POLD1, intron 1 of 26)	NA	478	POLD1								
UT7_3_187_R1_peak_13175	chr16	351791	352723	+	375	NA	intron (AXIN1, intron 1 of 10)	NA	426	AXIN1								
UT7_3_187_R1_peak_36831	chr9	72364031	72365249	+	375	NA	promoter-TSS (ZFAND5)	NA	607	ZFAND5								
UT7_3_187_R1_peak_24268	chr21	42513304	42514838	+	375	NA	promoter-TSS (SLC37A1)	NA	-92	SLC37A1								
UT7_3_187_R1_peak_20191	chr2	42925939	42927969	+	375	NA	Intergenic	NA	112593	LOC102723854								
UT7_3_187_R1_peak_23079	chr20	34302354	34303350	+	374	NA	promoter-TSS (AHCY)	NA	154	AHCY								
UT7_3_187_R1_peak_35091	chr8	38029882	38032485	+	374	NA	intron (EIF4EBP1, intron 1 of 2)	NA	681	EIF4EBP1								
UT7_3_187_R1_peak_22971	chr20	31721533	31723570	+	374	NA	promoter-TSS (BCL2L1)	NA	1401	BCL2L1								
UT7_3_187_R1_peak_1528	chr1	53944660	53945768	+	374	NA	intron (HSPB11, intron 1 of 5)	NA	715	HSPB11								
UT7_3_187_R1_peak_35260	chr8	51899246	51900325	+	374	NA	promoter-TSS (PCMTD1)	NA	540	LOC102724330								
UT7_3_187_R1_peak_28435	chr4	87219226	87220552	+	374	NA	intron (KLHL8, intron 1 of 9)	NA	633	KLHL8								
UT7_3_187_R1_peak_4644	chr10	35126880	35128470	+	374	NA	intron (CREM, intron 1 of 6)	NA	813	CREM								
UT7_3_187_R1_peak_27782	chr4	2008061	2009659	+	374	NA	exon (NELFA, exon 1 of 11)	NA	373	NELFA								
UT7_3_187_R1_peak_15183	chr17	17836369	17838037	+	374	NA	promoter-TSS (SREBF1)	NA	-192	SREBF1								
UT7_3_187_R1_peak_5150	chr10	79347496	79348154	+	374	NA	intron (PPIF, intron 1 of 5)	NA	359	PPIF								
UT7_3_187_R1_peak_13705	chr16	23825758	23826684	+	374	NA	Intergenic	NA	-9758	PRKCB								
UT7_3_187_R1_peak_1235	chr1	40979643	40980525	+	374	NA	promoter-TSS (CTPS1)	NA	388	CTPS1								
UT7_3_187_R1_peak_15731	chr17	43368050	43369542	+	374	NA	Intergenic	NA	20102	LINC00910								
UT7_3_187_R1_peak_36706	chr9	36190882	36191845	+	374	NA	intron (CLTA, intron 1 of 2)	NA	507	CLTA								
UT7_3_187_R1_peak_18691	chr19	36687603	36688253	+	374	NA	promoter-TSS (AC074138.3)	NA	300	ZNF567								
UT7_3_187_R1_peak_7311	chr11	93661656	93662172	+	374	NA	intron (KIAA1731, intron 1 of 29)	NA	228	KIAA1731								
UT7_3_187_R1_peak_18075	chr19	13152012	13152970	+	374	NA	intron (IER2, intron 1 of 1)	NA	2023	IER2								
UT7_3_187_R1_peak_32854	chr6	143511104	143512139	+	372	NA	exon (FUCA2, exon 1 of 7)	NA	262	FUCA2								
UT7_3_187_R1_peak_30961	chr6	17705440	17706977	+	372	NA	intron (NUP153, intron 1 of 20)	NA	217	NUP153								
UT7_3_187_R1_peak_32401	chr6	108557258	108558476	+	372	NA	Intergenic	NA	-2999	FOXO3								
UT7_3_187_R1_peak_2015	chr1	100266254	100267158	+	371	NA	promoter-TSS (RP11-305E17.6)	NA	-532	RP11-305E17.6								
UT7_3_187_R1_peak_20922	chr2	97646059	97646681	+	371	NA	intron (COX5B, intron 1 of 3)	NA	312	COX5B								
UT7_3_187_R1_peak_18992	chr19	42220316	42221224	+	371	NA	promoter-TSS (DEDD2)	NA	430	ZNF526								
UT7_3_187_R1_peak_36333	chr9	4662187	4663102	+	371	NA	promoter-TSS (SPATA6L)	NA	350	PPAPDC2								
UT7_3_187_R1_peak_14458	chr16	81650231	81652957	+	371	NA	intron (CMIP, intron 1 of 18)	NA	203	CMIP								
UT7_3_187_R1_peak_15837	chr17	46770935	46772222	+	371	NA	intron (WNT3, intron 2 of 4)	NA	47182	WNT3								
UT7_3_187_R1_peak_1995	chr1	95234247	95234828	+	371	NA	promoter-TSS (RP11-57H12.3)	NA	382	RWDD3								
UT7_3_187_R1_peak_1442	chr1	50959375	50960198	+	371	NA	exon (FAF1, exon 1 of 19)	NA	478	FAF1								
UT7_3_187_R1_peak_20682	chr2	73983857	73985841	+	371	NA	promoter-TSS (TET3)	NA	-1555	TET3								
UT7_3_187_R1_peak_27662	chr3	196287833	196288394	+	371	NA	promoter-TSS (PCYT1A)	NA	-400	PCYT1A								
UT7_3_187_R1_peak_13150	chr15	101651245	101653295	+	371	NA	intron (TM2D3, intron 1 of 5)	NA	523	TM2D3								
UT7_3_187_R1_peak_37062	chr9	97632137	97633704	+	370	NA	promoter-TSS (NCBP1)	NA	760	TSTD2								
UT7_3_187_R1_peak_11953	chr15	44711506	44712257	+	370	NA	intron (B2M, intron 1 of 3)	NA	389	B2M								
UT7_3_187_R1_peak_11828	chr15	40470823	40471895	+	370	NA	exon (CHST14, exon 1 of 1)	NA	398	CHST14								
UT7_3_187_R1_peak_22830	chr20	21302665	21303955	+	370	NA	promoter-TSS (XRN2)	NA	6	XRN2								
UT7_3_187_R1_peak_30153	chr5	150762451	150763446	+	370	NA	Intergenic	NA	-3915	DCTN4								
UT7_3_187_R1_peak_23169	chr20	36573555	36575591	+	370	NA	promoter-TSS (TGIF2)	NA	19	TGIF2								
UT7_3_187_R1_peak_12499	chr15	72271948	72272562	+	370	NA	promoter-TSS (PARP6)	NA	-983	PARP6								
UT7_3_187_R1_peak_31182	chr6	26270682	26271476	+	370	NA	exon (HIST1H3G, exon 1 of 1)	NA	305	HIST1H3G								
UT7_3_187_R1_peak_4482	chr10	17424732	17425938	+	370	NA	intron (ST8SIA6, intron 2 of 7)	NA	28920	ST8SIA6								
UT7_3_187_R1_peak_24917	chr22	36254158	36255714	+	370	NA	exon (APOL1, exon 2 of 5)	NA	1797	APOL1								
UT7_3_187_R1_peak_32633	chr6	125986079	125987052	+	370	NA	exon (TRMT11, exon 1 of 13)	NA	135	TRMT11								
UT7_3_187_R1_peak_16216	chr17	63772481	63774658	+	370	NA	promoter-TSS (CCDC47)	NA	-620	DDX42								
UT7_3_187_R1_peak_30684	chr6	3068050	3069797	+	370	NA	promoter-TSS (RIPK1)	NA	870	RIPK1								
UT7_3_187_R1_peak_7107	chr11	75534303	75535958	+	370	NA	Intergenic	NA	-27708	SERPINH1								
UT7_3_187_R1_peak_1184	chr1	39575182	39576777	+	370	NA	exon (PABPC4, exon 1 of 16)	NA	870	PABPC4								
UT7_3_187_R1_peak_22369	chr2	232697295	232698243	+	370	NA	intron (GIGYF2, intron 1 of 27)	NA	464	GIGYF2								
UT7_3_187_R1_peak_19561	chr19	52048858	52049668	+	370	NA	promoter-TSS (ZNF432)	NA	-443	ZNF432								
UT7_3_187_R1_peak_25542	chr22	50582138	50582954	+	370	NA	promoter-TSS (CHKB-AS1)	NA	453	CHKB-CPT1B								
UT7_3_187_R1_peak_23179	chr20	36772856	36773802	+	370	NA	intron (DSN1, intron 1 of 10)	NA	422	DSN1								
UT7_3_187_R1_peak_19416	chr19	49850691	49851788	+	370	NA	promoter-TSS (PTOV1)	NA	113	PTOV1								
UT7_3_187_R1_peak_9022	chr12	64452017	64452950	+	370	NA	promoter-TSS (TBK1)	NA	32	TBK1								
UT7_3_187_R1_peak_22590	chr20	1466051	1466833	+	370	NA	intron (NSFL1C, intron 1 of 9)	NA	407	NSFL1C								
UT7_3_187_R1_peak_31579	chr6	32189290	32193936	+	370	NA	intron (GPSM3, intron 3 of 3)	NA	-1427	PBX2								
UT7_3_187_R1_peak_7159	chr11	78078875	78080666	+	370	NA	exon (NDUFC2, exon 1 of 3)	NA	449	NDUFC2-KCTD14								
UT7_3_187_R1_peak_15772	chr17	44502841	44503628	+	370	NA	intron (GPATCH8, intron 1 of 6)	NA	-28353	GPATCH8								
UT7_3_187_R1_peak_26004	chr3	39051029	39052699	+	370	NA	promoter-TSS (WDR48)	NA	-122	WDR48								
UT7_3_187_R1_peak_30554	chr5	179792349	179794352	+	370	NA	promoter-TSS (LTC4S)	NA	-635	LTC4S								
UT7_3_187_R1_peak_18408	chr19	19032838	19034316	+	370	NA	promoter-TSS (ARMC6)	NA	-1	ARMC6								
UT7_3_187_R1_peak_19745	chr19	55640560	55641545	+	370	NA	promoter-TSS (ZNF580)	NA	-2802	ZNF581								
UT7_3_187_R1_peak_24487	chr22	20079272	20081194	+	370	NA	promoter-TSS (DGCR8)	NA	1	DGCR8								
UT7_3_187_R1_peak_27258	chr3	157160272	157160982	+	370	NA	promoter-TSS (CCNL1)	NA	-423	CCNL1								
UT7_3_187_R1_peak_318	chr1	13699600	13700674	+	370	NA	promoter-TSS (PRDM2)	NA	-41868	PRDM2								
UT7_3_187_R1_peak_34188	chr7	100874256	100874957	+	370	NA	promoter-TSS (SRRT)	NA	-473	SRRT								
UT7_3_187_R1_peak_7615	chr11	123740768	123741724	+	370	NA	intron (ZNF202, intron 1 of 7)	NA	425	ZNF202								
UT7_3_187_R1_peak_5416	chr10	102152354	102153152	+	370	NA	intron (NOLC1, intron 1 of 12)	NA	577	NOLC1								
UT7_3_187_R1_peak_13614	chr16	20673155	20674212	+	370	NA	intron (ACSM1, intron 1 of 10)	NA	24061	ACSM1								
UT7_3_187_R1_peak_8988	chr12	59595993	59597667	+	370	NA	intron (SLC16A7, intron 1 of 5)	NA	790	SLC16A7								
UT7_3_187_R1_peak_26530	chr3	58306222	58307391	+	370	NA	intron (RPP14, intron 1 of 4)	NA	561	RPP14								
UT7_3_187_R1_peak_16869	chr18	3448372	3451207	+	370	NA	promoter-TSS (TGIF1)	NA	-2270	LOC101927094								
UT7_3_187_R1_peak_18825	chr19	39310788	39311587	+	370	NA	intron (LRFN1, intron 1 of 1)	NA	4929	LRFN1								
UT7_3_187_R1_peak_716	chr1	26169884	26170653	+	370	NA	intron (ZNF593, intron 1 of 2)	NA	371	ZNF593								
UT7_3_187_R1_peak_21294	chr2	130181072	130182128	+	370	NA	promoter-TSS (SMPD4)	NA	157	SMPD4								
UT7_3_187_R1_peak_3487	chr1	202926597	202927369	+	370	NA	intron (KLHL12, intron 1 of 10)	NA	1655	KLHL12								
UT7_3_187_R1_peak_32770	chr6	137224207	137224993	+	369	NA	Intergenic	NA	-5485	IFNGR1								
UT7_3_187_R1_peak_14591	chr16	87852262	87854600	+	369	NA	promoter-TSS (SLC7A5)	NA	7033	SLC7A5								
UT7_3_187_R1_peak_18714	chr19	37466715	37467458	+	369	NA	promoter-TSS (ZNF570)	NA	351	ZNF569								
UT7_3_187_R1_peak_3507	chr1	203672993	203674124	+	369	NA	intron (ATP2B4, intron 1 of 21)	NA	46771	ATP2B4								
UT7_3_187_R1_peak_12435	chr15	68228507	68229770	+	369	NA	intron (CLN6, intron 1 of 6)	NA	604	CLN6								
UT7_3_187_R1_peak_26233	chr3	49019598	49021438	+	369	NA	promoter-TSS (NDUFAF3)	NA	176	MIR191								
UT7_3_187_R1_peak_29516	chr5	78293938	78294705	+	369	NA	intron (AP3B1, intron 1 of 27)	NA	434	AP3B1								
UT7_3_187_R1_peak_35656	chr8	102805912	102807588	+	369	NA	Intergenic	NA	57419	AZIN1								
UT7_3_187_R1_peak_11324	chr14	92548790	92549986	+	369	NA	intron (RIN3, intron 1 of 9)	NA	35607	RIN3								
UT7_3_187_R1_peak_16901	chr18	5237317	5238853	+	369	NA	promoter-TSS (LINC00667)	NA	-15	LINC00667								
UT7_3_187_R1_peak_8881	chr12	56116734	56117315	+	369	NA	intron (RPL41, intron 2 of 3)	NA	434	RPL41								
UT7_3_187_R1_peak_13976	chr16	31129013	31130167	+	369	NA	intron (KAT8, intron 6 of 10)	NA	6240	PRSS8								
UT7_3_187_R1_peak_34429	chr7	130440385	130441122	+	369	NA	intron (CEP41, intron 1 of 10)	NA	457	CEP41								
UT7_3_187_R1_peak_31257	chr6	27388653	27389344	+	369	NA	exon (ZNF391, exon 1 of 3)	NA	253	ZNF391								
UT7_3_187_R1_peak_35074	chr8	37849137	37849873	+	369	NA	intron (BRF2, intron 1 of 3)	NA	408	BRF2								
UT7_3_187_R1_peak_12715	chr15	78936338	78937227	+	369	NA	intron (CTSH, intron 3 of 11)	NA	8296	CTSH								
UT7_3_187_R1_peak_11288	chr14	90815289	90817043	+	369	NA	intron (TTC7B, intron 1 of 22)	NA	-71244	TTC7B								
UT7_3_187_R1_peak_22841	chr20	22410259	22413599	+	369	NA	intron (RP5-1004I9.1, intron 1 of 3)	NA	8714	RP5-1004I9.1								
UT7_3_187_R1_peak_7971	chr12	8948524	8950259	+	369	NA	promoter-TSS (M6PR)	NA	51	M6PR								
UT7_3_187_R1_peak_16698	chr17	81936763	81937813	+	368	NA	promoter-TSS (PYCR1)	NA	40	PYCR1								
UT7_3_187_R1_peak_12473	chr15	70098594	70099614	+	368	NA	Intergenic	NA	-1187	TLE3								
UT7_3_187_R1_peak_1079	chr1	36223182	36224073	+	368	NA	promoter-TSS (THRAP3)	NA	-35755	THRAP3								
UT7_3_187_R1_peak_1751	chr1	67053085	67054493	+	367	NA	promoter-TSS (SLC35D1)	NA	-162	SLC35D1								
UT7_3_187_R1_peak_25877	chr3	24493974	24495941	+	367	NA	promoter-TSS (THRB)	NA	324	THRB								
UT7_3_187_R1_peak_11345	chr14	92794372	92795231	+	367	NA	intron (GOLGA5, intron 1 of 12)	NA	570	GOLGA5								
UT7_3_187_R1_peak_15031	chr17	8162208	8163488	+	367	NA	promoter-TSS (VAMP2)	NA	127	VAMP2								
UT7_3_187_R1_peak_28246	chr4	75724658	75725197	+	367	NA	promoter-TSS (G3BP2)	NA	340	USO1								
UT7_3_187_R1_peak_8918	chr12	56468149	56469431	+	367	NA	intron (SPRYD4, intron 1 of 1)	NA	273	SPRYD4								
UT7_3_187_R1_peak_28545	chr4	105145979	105147927	+	367	NA	promoter-TSS (TET2)	NA	112	TET2								
UT7_3_187_R1_peak_28090	chr4	55345930	55347536	+	367	NA	intron (SRD5A3, intron 1 of 4)	NA	512	SRD5A3								
UT7_3_187_R1_peak_17730	chr19	7628701	7629584	+	367	NA	promoter-TSS (PET100)	NA	411	XAB2								
UT7_3_187_R1_peak_31506	chr6	31586793	31588342	+	367	NA	intron (LST1, intron 2 of 2)	NA	1358	LST1								
UT7_3_187_R1_peak_28825	chr4	152663337	152664554	+	367	NA	intron (TMEM154, intron 1 of 4)	NA	16220	TMEM154								
UT7_3_187_R1_peak_24952	chr22	36480344	36482089	+	367	NA	exon (TXN2, exon 1 of 4)	NA	809	TXN2								
UT7_3_187_R1_peak_12602	chr15	74905979	74907423	+	367	NA	exon (FAM219B, exon 1 of 6)	NA	490	FAM219B								
UT7_3_187_R1_peak_20219	chr2	43224977	43226580	+	367	NA	intron (ZFP36L2, intron 1 of 1)	NA	828	ZFP36L2								
UT7_3_187_R1_peak_28345	chr4	80202438	80203275	+	367	NA	exon (PRDM8, exon 7 of 7)	NA	18975	PRDM8								
UT7_3_187_R1_peak_28227	chr4	74231124	74231757	+	367	NA	intron (MTHFD2L, intron 9 of 11)	NA	73290	MTHFD2L								
UT7_3_187_R1_peak_34353	chr7	118183308	118183964	+	367	NA	promoter-TSS (LSM8)	NA	-396	LSM8								
UT7_3_187_R1_peak_29688	chr5	108747891	108748731	+	367	NA	exon (FER, exon 1 of 11)	NA	-20050	LINC01023								
UT7_3_187_R1_peak_19175	chr19	45862716	45863169	+	367	NA	intron (SYMPK, intron 1 of 26)	NA	348	SYMPK								
UT7_3_187_R1_peak_22112	chr2	216412374	216413363	+	367	NA	intron (SMARCAL1, intron 1 of 17)	NA	454	SMARCAL1								
UT7_3_187_R1_peak_15993	chr17	50707189	50709518	+	367	NA	promoter-TSS (ANKRD40)	NA	-444	ANKRD40								
UT7_3_187_R1_peak_22804	chr20	18587950	18588736	+	366	NA	promoter-TSS (DTD1)	NA	431	DTD1								
UT7_3_187_R1_peak_34853	chr8	13131732	13133238	+	366	NA	intron (DLC1, intron 5 of 17)	NA	-77304	LOC102724803								
UT7_3_187_R1_peak_6350	chr11	47578499	47579631	+	366	NA	promoter-TSS (KBTBD4)	NA	55	NDUFS3								
UT7_3_187_R1_peak_24131	chr21	36156806	36157356	+	366	NA	promoter-TSS (CBR3-AS1)	NA	294	DOPEY2								
UT7_3_187_R1_peak_16808	chr17_GL000205v2_random	140037	140809	+	366	NA	Intergenic	NA	-82457	MGC70870								
UT7_3_187_R1_peak_23672	chr20	60055626	60056978	+	366	NA	intron (C20orf197, intron 1 of 3)	NA	377	C20orf197								
UT7_3_187_R1_peak_15	chr1	1115355	1116085	+	366	NA	intron (C1orf159, intron 1 of 10)	NA	636	C1orf159								
UT7_3_187_R1_peak_16618	chr17	80147344	80148047	+	366	NA	promoter-TSS (EIF4A3)	NA	-512	EIF4A3								
UT7_3_187_R1_peak_38518	chrX	131821849	131823106	+	365	NA	intron (FIRRE, intron 2 of 12)	NA	8166	FIRRE								
UT7_3_187_R1_peak_9882	chr13	32586521	32587028	+	365	NA	intron (PDS5B, intron 1 of 34)	NA	341	PDS5B								
UT7_3_187_R1_peak_16987	chr18	12882929	12884238	+	365	NA	intron (PTPN2, intron 1 of 10)	NA	752	PTPN2								
UT7_3_187_R1_peak_6794	chr11	66545647	66546056	+	365	NA	promoter-TSS (ACTN3)	NA	387	ZDHHC24								
UT7_3_187_R1_peak_5469	chr10	103967057	103968167	+	365	NA	promoter-TSS (SLK)	NA	-100	SLK								
UT7_3_187_R1_peak_3808	chr1	226061534	226062537	+	365	NA	promoter-TSS (H3F3A)	NA	-672	H3F3A								
UT7_3_187_R1_peak_38320	chrX	66015367	66018254	+	365	NA	Intergenic	NA	-2060	MIR223								
UT7_3_187_R1_peak_6590	chr11	63670686	63671687	+	365	NA	intron (ATL3, intron 1 of 12)	NA	426	ATL3								
UT7_3_187_R1_peak_28691	chr4	134201154	134201861	+	365	NA	intron (PABPC4L, intron 1 of 1)	NA	241	PABPC4L								
UT7_3_187_R1_peak_33531	chr7	23531003	23532532	+	365	NA	intron (TRA2A, intron 1 of 8)	NA	249	TRA2A								
UT7_3_187_R1_peak_15388	chr17	31095002	31095760	+	365	NA	promoter-TSS (MIR4733)	NA	454	NF1								
UT7_3_187_R1_peak_26649	chr3	99817286	99818156	+	365	NA	promoter-TSS (CMSS1)	NA	46690	LOC102724841								
UT7_3_187_R1_peak_34684	chr7	156948717	156950386	+	365	NA	promoter-TSS (NOM1)	NA	-172	NOM1								
UT7_3_187_R1_peak_17929	chr19	11505346	11505853	+	365	NA	TTS (ECSIT)	NA	324	ZNF653								
UT7_3_187_R1_peak_30705	chr6	4021295	4022152	+	365	NA	intron (PRPF4B, intron 1 of 18)	NA	394	PRPF4B								
UT7_3_187_R1_peak_6512	chr11	61966264	61967649	+	365	NA	promoter-TSS (LOC399900)	NA	704	FTH1								
UT7_3_187_R1_peak_34279	chr7	106659520	106661098	+	365	NA	exon (CCDC71L, exon 1 of 1)	NA	879	CCDC71L								
UT7_3_187_R1_peak_25626	chr3	8357463	8358646	+	365	NA	intron (LMCD1-AS1, intron 3 of 3)	NA	-122016	LOC102723609								
UT7_3_187_R1_peak_5372	chr10	100373525	100374033	+	365	NA	exon (LINC00263, exon 1 of 3)	NA	203	LINC00263								
UT7_3_187_R1_peak_1529	chr1	53946064	53946913	+	365	NA	promoter-TSS (HSPB11)	NA	147	LRRC42								
UT7_3_187_R1_peak_1346	chr1	44739823	44740689	+	365	NA	intron (KIF2C, intron 1 of 20)	NA	-6134	KIF2C								
UT7_3_187_R1_peak_38792	chrX	155612250	155613000	+	365	NA	promoter-TSS (SPRY3)	NA	336	TMLHE								
UT7_3_187_R1_peak_5562	chr10	118754145	118755016	+	365	NA	exon (CACUL1, exon 1 of 9)	NA	-28200	CACUL1								
UT7_3_187_R1_peak_29385	chr5	64768324	64769386	+	365	NA	promoter-TSS (CWC27)	NA	-94	CWC27								
UT7_3_187_R1_peak_36725	chr9	37120518	37121384	+	365	NA	promoter-TSS (ZCCHC7)	NA	-941	ZCCHC7								
UT7_3_187_R1_peak_30243	chr5	159207409	159210279	+	365	NA	promoter-TSS (RNF145)	NA	-1196	RNF145								
UT7_3_187_R1_peak_38266	chrX	54182167	54183205	+	365	NA	exon (FAM120C, exon 1 of 16)	NA	595	FAM120C								
UT7_3_187_R1_peak_28610	chr4	118278051	118279707	+	365	NA	promoter-TSS (SNORA24)	NA	117	SNHG8								
UT7_3_187_R1_peak_14144	chr16	58197182	58198158	+	365	NA	promoter-TSS (CSNK2A2)	NA	208	CSNK2A2								
UT7_3_187_R1_peak_28190	chr4	72513514	72514676	+	365	NA	intron (ADAMTS3, intron 3 of 21)	NA	54704	ADAMTS3								
UT7_3_187_R1_peak_30635	chr5	181245594	181247426	+	365	NA	promoter-TSS (CTC-338M12.4)	NA	-31	CTC-338M12.4								
UT7_3_187_R1_peak_26199	chr3	48187355	48188407	+	365	NA	exon (CDC25A, exon 1 of 15)	NA	411	CDC25A								
UT7_3_187_R1_peak_27103	chr3	140941871	140942760	+	365	NA	intron (SLC25A36, intron 1 of 6)	NA	-23548	SLC25A36								
UT7_3_187_R1_peak_14719	chr16	89815977	89816638	+	365	NA	intron (FANCA, intron 1 of 10)	NA	350	FANCA								
UT7_3_187_R1_peak_38151	chrX	41084819	41085274	+	365	NA	promoter-TSS (USP9X)	NA	-589	USP9X								
UT7_3_187_R1_peak_11629	chr15	25439190	25439689	+	365	NA	promoter-TSS (UBE3A)	NA	-396	UBE3A								
UT7_3_187_R1_peak_28519	chr4	101790618	101791572	+	365	NA	intron (BANK1, intron 1 of 15)	NA	488	BANK1								
UT7_3_187_R1_peak_16929	chr18	9136805	9137872	+	365	NA	promoter-TSS (RP11-143J12.2)	NA	-386	ANKRD12								
UT7_3_187_R1_peak_21283	chr2	128470470	128471581	+	365	NA	Intergenic	NA	-152428	HS6ST1								
UT7_3_187_R1_peak_32201	chr6	72622116	72623598	+	365	NA	intron (KCNQ5, intron 1 of 11)	NA	1014	KCNQ5								
UT7_3_187_R1_peak_26467	chr3	53129546	53131252	+	365	NA	promoter-TSS (RFT1)	NA	65	RFT1								
UT7_3_187_R1_peak_18005	chr19	12681454	12681924	+	364	NA	promoter-TSS (DHPS)	NA	-478	DHPS								
UT7_3_187_R1_peak_13084	chr15	96272763	96273573	+	364	NA	intron (NR2F2-AS1, intron 5 of 7)	NA	54193	NR2F2-AS1								
UT7_3_187_R1_peak_23644	chr20	58309788	58310320	+	364	NA	promoter-TSS (PPP4R1L)	NA	339	RAB22A								
UT7_3_187_R1_peak_31307	chr6	27892342	27893201	+	364	NA	promoter-TSS (HIST1H2BO)	NA	414	HIST1H2AM								
UT7_3_187_R1_peak_28011	chr4	39976658	39977936	+	364	NA	promoter-TSS (PDS5A)	NA	659	PDS5A								
UT7_3_187_R1_peak_35999	chr8	131904047	131904962	+	364	NA	intron (EFR3A, intron 1 of 22)	NA	395	EFR3A								
UT7_3_187_R1_peak_3813	chr1	226186205	226187168	+	364	NA	promoter-TSS (LOC101927247)	NA	36	ACBD3								
UT7_3_187_R1_peak_12594	chr15	74843348	74843996	+	364	NA	promoter-TSS (ULK3)	NA	-326	ULK3								
UT7_3_187_R1_peak_11009	chr14	68792061	68794269	+	364	NA	exon (ZFP36L1, exon 1 of 2)	NA	3078	ZFP36L1								
UT7_3_187_R1_peak_842	chr1	28087564	28088651	+	364	NA	intron (EYA3, intron 1 of 15)	NA	524	EYA3								
UT7_3_187_R1_peak_19577	chr19	52570202	52570970	+	364	NA	promoter-TSS (ZNF701)	NA	-78	ZNF701								
UT7_3_187_R1_peak_16392	chr17	74786787	74787411	+	363	NA	intron (TMEM104, intron 3 of 9)	NA	10590	TMEM104								
UT7_3_187_R1_peak_23049	chr20	32742801	32743771	+	363	NA	intron (COMMD7, intron 1 of 7)	NA	722	COMMD7								
UT7_3_187_R1_peak_24272	chr21	42544119	42547201	+	363	NA	intron (SLC37A1, intron 9 of 18)	NA	31497	SLC37A1								
UT7_3_187_R1_peak_20631	chr2	70141561	70142572	+	363	NA	Intergenic	NA	-16750	LOC100133985								
UT7_3_187_R1_peak_26332	chr3	50336149	50337493	+	363	NA	promoter-TSS (RASSF1-AS1)	NA	-690	RASSF1-AS1								
UT7_3_187_R1_peak_19123	chr19	45039001	45039443	+	363	NA	intron (CLASRP, intron 1 of 20)	NA	-1048	CLASRP								
UT7_3_187_R1_peak_8618	chr12	50283000	50284289	+	363	NA	promoter-TSS (LIMA1)	NA	-49432	MIR1293								
UT7_3_187_R1_peak_31976	chr6	43635772	43636454	+	362	NA	intron (MAD2L1BP, intron 1 of 2)	NA	273	MAD2L1BP								
UT7_3_187_R1_peak_20926	chr2	97995096	97996192	+	362	NA	exon (TMEM131, exon 1 of 42)	NA	282	TMEM131								
UT7_3_187_R1_peak_17091	chr18	35580901	35581511	+	362	NA	Intergenic	NA	-10576	MIR3975								
UT7_3_187_R1_peak_1208	chr1	40161409	40162163	+	362	NA	intron (RLF, intron 1 of 7)	NA	417	RLF								
UT7_3_187_R1_peak_9350	chr12	110742149	110742882	+	362	NA	intron (PPP1CC, intron 1 of 6)	NA	463	PPP1CC								
UT7_3_187_R1_peak_14546	chr16	85554361	85555426	+	362	NA	promoter-TSS (GSE1)	NA	-11	GSE1								
