PeakID (cmd=annotatePeaks.pl SP1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_7013	chr12	54307005	54307639	+	0	NA	intron (NFE2, intron 1 of 2)	NA	-6285	NFE2								
Interval_19727	chr20	8476056	8476292	+	0	NA	intron (PLCB1, intron 3 of 32)	NA	343909	PLCB1								
Interval_9390	chr15	30470871	30471151	+	0	NA	Intergenic	NA	-41762	LOC101060569								
Interval_26932	chr6	41779567	41780524	+	0	NA	promoter-TSS (FRS3)	NA	-140	FRS3								
Interval_19901	chr20	31730563	31730809	+	0	NA	Intergenic	NA	-6732	BCL2L1								
Interval_19520	chr2	241150153	241150722	+	0	NA	promoter-TSS (PASK)	NA	864	PPP1R7								
Interval_29646	chr8	25345504	25345722	+	0	NA	TTS (MIR6876)	NA	162	MIR6876								
Interval_27093	chr6	52654795	52654989	+	0	NA	Intergenic	NA	-9509	LOC730101								
Interval_20299	chr20	51022715	51022877	+	0	NA	exon (KCNG1, exon 1 of 5)	NA	287	KCNG1								
Interval_8382	chr13	114131185	114131376	+	0	NA	intron (RASA3, intron 1 of 25)	NA	1312	RASA3								
Interval_19591	chr20	1034049	1034271	+	0	NA	Intergenic	NA	25163	LOC102724519								
Interval_29410	chr8	5519323	5519631	+	0	NA	Intergenic	NA	-524671	CSMD1								
Interval_18521	chr2	112794157	112794440	+	0	NA	Intergenic	NA	-8904	IL1A								
Interval_23729	chr4	6986732	6987473	+	0	NA	promoter-TSS (TBC1D14)	NA	55899	CCDC96								
Interval_12629	chr17	33133666	33133829	+	0	NA	intron (ASIC2, intron 1 of 9)	NA	141883	SPACA3								
Interval_9672	chr15	52790276	52790562	+	0	NA	promoter-TSS (ONECUT1)	NA	-9535	ONECUT1								
Interval_27785	chr6	161619034	161619252	+	0	NA	intron (PARK2, intron 4 of 8)	NA	-345205	AGPAT4								
Interval_21211	chr22	29267638	29268916	+	0	NA	promoter-TSS (EWSR1)	NA	268	EWSR1								
Interval_9561	chr15	43330145	43330868	+	0	NA	exon (ADAL, exon 1 of 12)	NA	116	LCMT2								
Interval_11638	chr16	85026419	85026581	+	0	NA	Intergenic	NA	-14965	ZDHHC7								
Interval_1180	chr1	44807230	44808018	+	0	NA	promoter-TSS (BTBD19)	NA	-81	BTBD19								
Interval_437	chr1	16440436	16441158	+	0	NA	exon (NECAP2, exon 1 of 8)	NA	125	NECAP2								
Interval_7914	chr12	132414987	132415178	+	0	NA	intron (LOC101928629, intron 4 of 4)	NA	9992	LOC101928629								
Interval_31498	chr9	114385341	114385960	+	0	NA	intron (AKNA, intron 1 of 21)	NA	2332	AKNA								
Interval_24372	chr4	133149036	133149423	+	0	NA	promoter-TSS (PCDH10)	NA	-86	PCDH10								
Interval_31876	chr9	132410723	132410885	+	0	NA	intron (C9orf171, intron 1 of 5)	NA	608	C9orf171								
Interval_19652	chr20	3209310	3209520	+	0	NA	promoter-TSS (ITPA)	NA	55	ITPA								
Interval_10605	chr16	3857411	3857640	+	0	NA	intron (CREBBP, intron 1 of 30)	NA	22448	CREBBP								
Interval_19192	chr2	217934507	217935074	+	0	NA	intron (LOC102723375, intron 4 of 7)	NA	-34167	MIR6809								
Interval_22350	chr3	48898562	48899335	+	0	NA	promoter-TSS (SLC25A20)	NA	-56	SLC25A20								
Interval_9423	chr15	34209546	34210355	+	0	NA	promoter-TSS (KATNBL1)	NA	118	KATNBL1								
Interval_32795	chrX	153566246	153566487	+	0	NA	intron (ATP2B3, intron 19 of 19)	NA	32811	FAM58A								
Interval_15994	chr19	19865608	19866562	+	0	NA	intron (ZNF253, intron 1 of 3)	NA	180	ZNF253								
Interval_23220	chr3	167162158	167162424	+	0	NA	Intergenic	NA	217992	ZBBX								
Interval_18756	chr2	148646122	148646318	+	0	NA	intron (EPC2, intron 1 of 13)	NA	1229	EPC2								
Interval_20372	chr20	58691747	58692216	+	0	NA	promoter-TSS (NPEPL1)	NA	2850	NPEPL1								
Interval_4962	chr11	31369568	31370054	+	0	NA	promoter-TSS (DNAJC24)	NA	-1	DCDC1								
Interval_5527	chr11	65888059	65889082	+	0	NA	promoter-TSS (FIBP)	NA	-57	FIBP								
Interval_2840	chr1	212950286	212951004	+	0	NA	promoter-TSS (VASH2)	NA	65	VASH2								
Interval_12461	chr17	27531015	27531244	+	0	NA	intron (KSR1, intron 2 of 21)	NA	59119	KSR1								
Interval_24217	chr4	102431116	102431547	+	0	NA	Intergenic	NA	-79599	NFKB1								
Interval_25320	chr5	123511867	123512256	+	0	NA	promoter-TSS (CSNK1G3)	NA	-38	CSNK1G3								
Interval_24361	chr4	128811074	128812466	+	0	NA	promoter-TSS (JADE1)	NA	500	JADE1								
Interval_4135	chr10	98323230	98323548	+	0	NA	Intergenic	NA	-55168	LOXL4								
Interval_17441	chr2	8302214	8302590	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	26017	LINC00299								
Interval_15478	chr19	12772009	12772181	+	0	NA	intron (HOOK2, intron 7 of 22)	NA	3520	HOOK2								
Interval_15880	chr19	18281056	18282414	+	0	NA	promoter-TSS (JUND)	NA	-79	JUND								
Interval_18548	chr2	113894648	113894810	+	0	NA	intron (ACTR3, intron 1 of 11)	NA	-3737	AC104653.1								
Interval_2080	chr1	154936542	154937539	+	0	NA	promoter-TSS (PMVK)	NA	-32	PMVK								
Interval_25782	chr5	163963858	163964215	+	0	NA	Intergenic	NA	242866	LOC102724458								
Interval_2082	chr1	154955020	154955461	+	0	NA	intron (PBXIP1, intron 1 of 10)	NA	851	PBXIP1								
Interval_13274	chr17	58083897	58084236	+	0	NA	intron (DYNLL2, intron 1 of 2)	NA	647	DYNLL2								
Interval_11833	chr16	89560156	89560994	+	0	NA	promoter-TSS (RPL13)	NA	-82	RPL13								
Interval_1127	chr1	42846350	42846761	+	0	NA	promoter-TSS (ZNF691)	NA	-18	ZNF691								
Interval_31604	chr9	124495825	124496168	+	0	NA	intron (NR5A1, intron 4 of 6)	NA	11161	NR5A1								
Interval_11715	chr16	87464571	87464789	+	0	NA	intron (ZCCHC14, intron 1 of 12)	NA	27583	ZCCHC14								
Interval_14189	chr18	22933595	22933945	+	0	NA	promoter-TSS (RBBP8)	NA	-106	RBBP8								
Interval_24508	chr4	154549999	154550692	+	0	NA	promoter-TSS (PLRG1)	NA	88	PLRG1								
Interval_17836	chr2	43210559	43210970	+	0	NA	Intergenic	NA	15842	ZFP36L2								
Interval_30190	chr8	95268464	95270157	+	0	NA	promoter-TSS (C8orf37)	NA	-76	C8orf37								
Interval_4347	chr10	117375334	117376119	+	0	NA	promoter-TSS (PDZD8)	NA	-286	PDZD8								
Interval_16820	chr19	48273583	48273774	+	0	NA	intron (ZNF114, intron 2 of 4)	NA	2281	ZNF114								
Interval_12703	chr17	38415260	38415895	+	0	NA	Intergenic	NA	-12899	ARHGAP23								
Interval_26710	chr6	33161576	33161753	+	0	NA	Intergenic	NA	30804	COL11A2								
Interval_29928	chr8	54268841	54269175	+	0	NA	Intergenic	NA	-61678	RNU105C								
Interval_11824	chr16	89316048	89316274	+	0	NA	intron (ANKRD11, intron 1 of 12)	NA	867	ANKRD11								
Interval_3932	chr10	79079071	79079238	+	0	NA	intron (ZMIZ1, intron 1 of 24)	NA	10160	ZMIZ1								
Interval_21292	chr22	32218557	32218780	+	0	NA	exon (SLC5A4, exon 15 of 15)	NA	-13937	RFPL2								
Interval_27022	chr6	43771404	43771671	+	0	NA	promoter-TSS (VEGFA)	NA	-448	VEGFA								
Interval_834	chr1	30783679	30784097	+	0	NA	Intergenic	NA	-26052	LAPTM5								
Interval_28450	chr7	60292446	60292731	+	0	NA	Intergenic	NA	-712481	LOC102724134								
Interval_11473	chr16	70251775	70252154	+	0	NA	promoter-TSS (EXOSC6)	NA	-34	EXOSC6								
Interval_10783	chr16	15950282	15950473	+	0	NA	intron (ABCC1, intron 1 of 29)	NA	659	ABCC1								
Interval_32675	chrX	120485715	120486046	+	0	NA	Intergenic	NA	-16531	LAMP2								
Interval_19423	chr2	236366557	236366820	+	0	NA	intron (IQCA1, intron 14 of 18)	NA	-102343	ASB18								
Interval_26574	chr6	30509160	30509567	+	0	NA	Intergenic	NA	19957	HLA-E								
Interval_24398	chr4	139556055	139556246	+	0	NA	exon (SETD7, exon 1 of 8)	NA	273	SETD7								
Interval_25513	chr5	139661075	139661469	+	0	NA	intron (CXXC5, intron 1 of 2)	NA	-18575	CXXC5								
Interval_24019	chr4	56435085	56436572	+	0	NA	promoter-TSS (PAICS)	NA	-192	PPAT								
Interval_19550	chr2	241880897	241882572	+	0	NA	intron (AC131097.3, intron 1 of 3)	NA	371	AC131097.3								
Interval_19950	chr20	32830570	32830750	+	0	NA	intron (MAPRE1, intron 2 of 6)	NA	10767	MAPRE1								
Interval_26032	chr5	180815658	180815820	+	0	NA	intron (LOC102724833, intron 1 of 3)	NA	1070	LOC102724833								
Interval_27215	chr6	85464231	85464585	+	0	NA	intron (NT5E, intron 1 of 7)	NA	14824	NT5E								
Interval_17632	chr2	26008909	26009262	+	0	NA	Intergenic	NA	24048	LOC102723485								
Interval_4052	chr10	91908273	91909060	+	0	NA	exon (FGFBP3, exon 2 of 2)	NA	835	FGFBP3								
Interval_1561	chr1	93878979	93879410	+	0	NA	promoter-TSS (DNTTIP2)	NA	12	DNTTIP2								
Interval_17270	chr19	55384367	55384543	+	0	NA	promoter-TSS (TMEM238)	NA	-196	TMEM238								
Interval_18379	chr2	98088352	98088619	+	0	NA	intron (VWA3B, intron 1 of 28)	NA	1318	VWA3B								
Interval_22447	chr3	51389452	51389643	+	0	NA	TTS (MANF)	NA	-1721	RBM15B								
Interval_31501	chr9	114397798	114398855	+	0	NA	intron (AKNA, intron 1 of 23)	NA	-10344	AKNA								
Interval_1735	chr1	112509082	112509273	+	0	NA	exon (WNT2B, exon 1 of 5)	NA	41759	WNT2B								
Interval_28155	chr7	23490366	23490617	+	0	NA	exon (RPS2P32, exon 1 of 1)	NA	103	RPS2P32								
Interval_25130	chr5	80755827	80756011	+	0	NA	intron (MSH3, intron 12 of 23)	NA	101271	MSH3								
Interval_962	chr1	35707710	35707959	+	0	NA	Intergenic	NA	11355	C1orf216								
Interval_24929	chr5	50658321	50658505	+	0	NA	Intergenic	NA	-7486	PARP8								
Interval_8177	chr13	48492423	48492702	+	0	NA	intron (RCBTB2, intron 14 of 14)	NA	40643	RCBTB2								
Interval_27335	chr6	107712650	107712917	+	0	NA	intron (SCML4, intron 5 of 6)	NA	6026	LOC101927442								
Interval_158	chr1	3856999	3857720	+	0	NA	promoter-TSS (DFFB)	NA	92	DFFB								
Interval_1734	chr1	112466080	112466588	+	0	NA	Intergenic	NA	-1084	WNT2B								
Interval_6162	chr11	119100996	119101476	+	0	NA	intron (DPAGT1, intron 1 of 7)	NA	855	DPAGT1								
Interval_24410	chr4	139976037	139976273	+	0	NA	intron (MAML3, intron 1 of 4)	NA	-82830	LOC101927544								
Interval_6857	chr12	49297478	49297815	+	0	NA	exon (RP11-161H23.9, exon 5 of 8)	NA	2520	PRPH								
Interval_31171	chr9	83538624	83538786	+	0	NA	promoter-TSS (FRMD3)	NA	-84344	IDNK								
Interval_6743	chr12	38906698	38907007	+	0	NA	promoter-TSS (CPNE8)	NA	-1234	CPNE8								
Interval_12010	chr17	3751006	3751283	+	0	NA	intron (ITGAE, intron 15 of 30)	NA	27241	GSG2								
Interval_19110	chr2	204108302	204108603	+	0	NA	Intergenic	NA	-170498	LOC101927840								
Interval_32507	chrX	65282907	65283248	+	0	NA	Intergenic	NA	-205101	ZC3H12B								
Interval_28636	chr7	83162478	83163327	+	0	NA	promoter-TSS (PCLO)	NA	-21	PCLO								
Interval_21348	chr22	36860689	36861234	+	0	NA	promoter-TSS (NCF4)	NA	-27	NCF4								
Interval_20458	chr20	62907470	62907768	+	0	NA	intron (DIDO1, intron 4 of 15)	NA	18932	DIDO1								
Interval_12651	chr17	35346171	35346659	+	0	NA	Intergenic	NA	27286	SLFN11								
Interval_13433	chr17	65454567	65454758	+	0	NA	Intergenic	NA	106165	LOC102724272								
Interval_20264	chr20	50071323	50071601	+	0	NA	Intergenic	NA	-29833	TRERNA1								
Interval_3816	chr10	72242818	72243125	+	0	NA	Intergenic	NA	-26530	ASCC1								
Interval_11020	chr16	30184057	30184300	+	0	NA	intron (CORO1A, intron 1 of 10)	NA	768	CORO1A								
Interval_29215	chr7	149662626	149662871	+	0	NA	Intergenic	NA	-2076	TRNAC25								
Interval_3780	chr10	71299457	71299681	+	0	NA	exon (UNC5B, exon 16 of 16)	NA	-19684	SLC29A3								
Interval_17661	chr2	27134445	27135003	+	0	NA	promoter-TSS (PREB)	NA	-69	PREB								
Interval_19627	chr20	2351849	2352368	+	0	NA	Intergenic	NA	-28800	TGM6								
Interval_25741	chr5	157575766	157575995	+	0	NA	promoter-TSS (ADAM19)	NA	-105	ADAM19								
Interval_11584	chr16	81481425	81481689	+	0	NA	intron (CMIP, intron 1 of 20)	NA	-52385	MIR7854								
Interval_12837	chr17	41786400	41787347	+	0	NA	promoter-TSS (JUP)	NA	-164	JUP								
Interval_5544	chr11	66049085	66049494	+	0	NA	promoter-TSS (GAL3ST3)	NA	-109	GAL3ST3								
Interval_23159	chr3	152737099	152737281	+	0	NA	Intergenic	NA	86744	LOC102724289								
Interval_23108	chr3	143998406	143998641	+	0	NA	Intergenic	NA	26725	C3orf58								
Interval_61	chr1	1435254	1435887	+	0	NA	promoter-TSS (VWA1)	NA	47	VWA1								
Interval_30613	chr8	141104718	141105181	+	0	NA	Intergenic	NA	23362	LOC101927963								
Interval_4345	chr10	117174915	117175144	+	0	NA	Intergenic	NA	-5987	LOC101927704								
Interval_3126	chr1	235367108	235367747	+	0	NA	promoter-TSS (TBCE)	NA	67	TBCE								
Interval_31663	chr9	127557410	127557639	+	0	NA	intron (FAM129B, intron 1 of 13)	NA	11593	FAM129B								
Interval_15945	chr19	19032432	19032937	+	0	NA	promoter-TSS (ARMC6)	NA	-894	ARMC6								
Interval_32324	chrX	38562378	38562599	+	0	NA	intron (TSPAN7, intron 1 of 7)	NA	1010	TSPAN7								
Interval_27257	chr6	89829259	89830159	+	0	NA	promoter-TSS (CASP8AP2)	NA	-191	CASP8AP2								
Interval_19350	chr2	231514074	231514995	+	0	NA	promoter-TSS (LINC00471)	NA	-195	LINC00471								
Interval_11618	chr16	84357252	84357723	+	0	NA	Intergenic	NA	-11040	ATP2C2								
Interval_1602	chr1	100038456	100038707	+	0	NA	intron (HIAT1, intron 1 of 11)	NA	467	HIAT1								
Interval_21197	chr22	28799178	28799718	+	0	NA	intron (XBP1, intron 1 of 5)	NA	1124	XBP1								
Interval_1756	chr1	114342393	114342584	+	0	NA	Intergenic	NA	-58953	LOC101928890								
Interval_15353	chr19	10543273	10545100	+	0	NA	exon (ATG4D, exon 1 of 9)	NA	292	ATG4D								
Interval_22971	chr3	129439724	129440594	+	0	NA	promoter-TSS (MBD4)	NA	20	MBD4								
Interval_9055	chr14	92247426	92247626	+	0	NA	Intergenic	NA	-76282	SLC24A4								
Interval_13546	chr17	74520882	74521130	+	0	NA	TTS (CD300LB)	NA	10468	CD300LB								
Interval_20669	chr21	33229510	33230275	+	0	NA	promoter-TSS (IFNAR2)	NA	-3	IFNAR2								
Interval_4204	chr10	102119893	102120166	+	0	NA	intron (LDB1, intron 1 of 10)	NA	-5063	LDB1								
Interval_29455	chr8	9906476	9907004	+	0	NA	Intergenic	NA	-3268	MIR124-1								
Interval_24782	chr5	16778182	16778344	+	0	NA	intron (MYO10, intron 9 of 40)	NA	-36030	MYO10								
Interval_18187	chr2	74454429	74455300	+	0	NA	promoter-TSS (INO80B-WBP1)	NA	-159	INO80B-WBP1								
Interval_905	chr1	32712269	32712554	+	0	NA	Intergenic	NA	-9651	SYNC								
Interval_5407	chr11	64659884	64660087	+	0	NA	intron (NRXN2, intron 9 of 20)	NA	53019	NRXN2								
Interval_25976	chr5	178502862	178503031	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	87626	COL23A1								
Interval_15833	chr19	17859292	17860150	+	0	NA	promoter-TSS (RPL18A)	NA	-157	RPL18A								
Interval_21448	chr22	38681782	38682284	+	0	NA	promoter-TSS (TOMM22)	NA	84	TOMM22								
Interval_25344	chr5	126853943	126854308	+	0	NA	Intergenic	NA	77502	LMNB1								
Interval_27238	chr6	89009840	89010031	+	0	NA	Intergenic	NA	-46306	RNGTT								
Interval_26668	chr6	31852721	31852888	+	0	NA	Intergenic	NA	10128	NEU1								
Interval_4363	chr10	119139476	119139798	+	0	NA	Intergenic	NA	26068	SFXN4								
Interval_7906	chr12	132083874	132084902	+	0	NA	exon (EP400NL, exon 1 of 10)	NA	105	EP400NL								
Interval_21644	chr22	44664309	44664481	+	0	NA	Intergenic	NA	-12413	PRR5								
Interval_27422	chr6	117118548	117118714	+	0	NA	Intergenic	NA	-147110	VGLL2								
Interval_10707	chr16	11224146	11224498	+	0	NA	Intergenic	NA	31860	SOCS1								
Interval_10653	chr16	5097264	5098905	+	0	NA	promoter-TSS (FAM86A)	NA	-264	FAM86A								
Interval_27032	chr6	43977542	43977723	+	0	NA	Intergenic	NA	-22968	C6orf223								
Interval_32453	chrX	49230856	49231358	+	0	NA	intron (CACNA1F, intron 3 of 47)	NA	2264	CACNA1F								
Interval_32431	chrX	49001701	49002825	+	0	NA	promoter-TSS (GRIPAP1)	NA	1	GRIPAP1								
Interval_29239	chr7	150755479	150755866	+	0	NA	Intergenic	NA	18324	GIMAP5								
Interval_9989	chr15	74695735	74696404	+	0	NA	promoter-TSS (EDC3)	NA	-24	EDC3								
Interval_21650	chr22	44702788	44702951	+	0	NA	intron (PRR5, intron 2 of 8)	NA	367	PRR5-ARHGAP8								
Interval_4525	chr10	132229862	132230191	+	0	NA	intron (STK32C, intron 2 of 11)	NA	15929	STK32C								
Interval_31595	chr9	124274314	124274476	+	0	NA	intron (NEK6, intron 1 of 9)	NA	-11893	NEK6								
Interval_26276	chr6	15017231	15017707	+	0	NA	Intergenic	NA	-228506	JARID2								
Interval_27187	chr6	79778096	79778306	+	0	NA	Intergenic	NA	92219	C6orf7								
Interval_10938	chr16	28494097	28494724	+	0	NA	promoter-TSS (APOBR)	NA	-239	APOBR								
Interval_8944	chr14	77032915	77033801	+	0	NA	Intergenic	NA	-4659	IRF2BPL								
Interval_31454	chr9	112332852	112334181	+	0	NA	promoter-TSS (PTBP3)	NA	-716	PTBP3								
Interval_18494	chr2	111643711	111643902	+	0	NA	Intergenic	NA	-29219	LOC101927306								
Interval_8739	chr14	63641463	63642618	+	0	NA	promoter-TSS (WDR89)	NA	-117	WDR89								
Interval_8871	chr14	73570984	73571184	+	0	NA	intron (ACOT2, intron 1 of 2)	NA	2025	ACOT2								
Interval_22323	chr3	48465583	48465942	+	0	NA	TTS (ATRIP)	NA	242	TREX1								
Interval_8389	chr13	114314126	114314938	+	0	NA	promoter-TSS (CHAMP1)	NA	42	CHAMP1								
Interval_15989	chr19	19668105	19669306	+	0	NA	promoter-TSS (ZNF101)	NA	-149	ZNF101								
Interval_21864	chr3	9362776	9363163	+	0	NA	promoter-TSS (THUMPD3)	NA	100	THUMPD3								
Interval_7486	chr12	108475019	108475210	+	0	NA	Intergenic	NA	-2067	LOC102723562								
Interval_14686	chr19	993967	994252	+	0	NA	intron (WDR18, intron 9 of 9)	NA	-6329	GRIN3B								
Interval_16855	chr19	48636896	48639409	+	0	NA	promoter-TSS (DBP)	NA	113	SEC1P								
Interval_28563	chr7	74890345	74890973	+	0	NA	promoter-TSS (PMS2P5)	NA	-47	STAG3L2								
Interval_19754	chr20	13009719	13009920	+	0	NA	intron (SPTLC3, intron 1 of 11)	NA	608	SPTLC3								
Interval_24062	chr4	73223060	73223236	+	0	NA	promoter-TSS (ANKRD17)	NA	35993	ANKRD17								
Interval_21939	chr3	12484181	12484693	+	0	NA	promoter-TSS (TSEN2)	NA	5	TSEN2								
Interval_10366	chr15	101127466	101127662	+	0	NA	Intergenic	NA	105132	LRRK1								
Interval_2520	chr1	184051509	184052183	+	0	NA	exon (TSEN15, exon 1 of 6)	NA	189	TSEN15								
Interval_20092	chr20	38925997	38926713	+	0	NA	promoter-TSS (FAM83D)	NA	43	FAM83D								
Interval_28519	chr7	73623017	73623225	+	0	NA	intron (MLXIPL, intron 1 of 16)	NA	1419	MLXIPL								
Interval_30720	chr8	143515954	143516230	+	0	NA	intron (ZC3H3, intron 5 of 13)	NA	37169	ZC3H3								
Interval_5750	chr11	72592092	72592301	+	0	NA	intron (PDE2A, intron 5 of 29)	NA	5543	LOC102724448								
Interval_6875	chr12	49741100	49742382	+	0	NA	promoter-TSS (TMBIM6)	NA	179	TMBIM6								
Interval_31610	chr9	124784633	124784853	+	0	NA	intron (OLFML2A, intron 1 of 7)	NA	-13433	NR6A1								
Interval_19829	chr20	21090093	21090268	+	0	NA	Intergenic	NA	-35803	PLK1S1								
Interval_23760	chr4	9152233	9153481	+	0	NA	promoter-TSS (LOC101928803)	NA	-439	FAM86KP								
Interval_11799	chr16	88978617	88979001	+	0	NA	Intergenic	NA	-37486	CBFA2T3								
Interval_10941	chr16	28610007	28610192	+	0	NA	promoter-TSS (SULT1A1)	NA	13386	SULT1A1								
Interval_24808	chr5	32173823	32174496	+	0	NA	exon (GOLPH3, exon 1 of 4)	NA	160	GOLPH3								
Interval_16964	chr19	49570275	49570459	+	0	NA	intron (NOSIP, intron 1 of 8)	NA	10205	NOSIP								
Interval_1679	chr1	109615883	109616107	+	0	NA	Intergenic	NA	-2912	GNAT2								
Interval_28265	chr7	34247542	34247735	+	0	NA	Intergenic	NA	342727	BMPER								
Interval_15668	chr19	15232363	15232585	+	0	NA	promoter-TSS (EPHX3)	NA	954	EPHX3								
Interval_29503	chr8	11887346	11887578	+	0	NA	Intergenic	NA	-19769	CTSB								
Interval_13118	chr17	48907912	48909526	+	0	NA	exon (UBE2Z, exon 1 of 7)	NA	350	UBE2Z								
Interval_9495	chr15	40763560	40764434	+	0	NA	promoter-TSS (GCHFR)	NA	-90	GCHFR								
Interval_4925	chr11	18698313	18699164	+	0	NA	promoter-TSS (TMEM86A)	NA	-66	TMEM86A								
Interval_5193	chr11	59102216	59102546	+	0	NA	Intergenic	NA	-4804	FAM111B								
Interval_8669	chr14	54870746	54870978	+	0	NA	intron (GCH1, intron 1 of 5)	NA	7331	MIR4308								
Interval_3665	chr10	59885460	59885729	+	0	NA	intron (CCDC6, intron 1 of 8)	NA	21062	CCDC6								
Interval_11250	chr16	56608205	56608722	+	0	NA	promoter-TSS (MT2A)	NA	-103	MT2A								
Interval_23369	chr3	185794795	185794989	+	0	NA	intron (IGF2BP2, intron 2 of 16)	NA	-26988	MIR548AQ								
Interval_31144	chr9	75027956	75028857	+	0	NA	promoter-TSS (C9orf41)	NA	-12	C9orf41								
Interval_32584	chrX	91432102	91432293	+	0	NA	Intergenic	NA	-2401	PABPC5								
Interval_27857	chr6	170291005	170291656	+	0	NA	promoter-TSS (DLL1)	NA	-603	DLL1								
Interval_14280	chr18	44733428	44733779	+	0	NA	intron (SETBP1, intron 2 of 5)	NA	53425	SETBP1								
Interval_10942	chr16	28623416	28623782	+	0	NA	promoter-TSS (SULT1A1)	NA	-114	SULT1A1								
Interval_532	chr1	21791465	21791800	+	0	NA	Intergenic	NA	-8457	USP48								
Interval_28284	chr7	36283715	36283908	+	0	NA	intron (EEPD1, intron 4 of 7)	NA	83094	KIAA0895								
Interval_398	chr1	15417572	15417750	+	0	NA	intron (EFHD2, intron 1 of 2)	NA	-6615	LOC101927441								
Interval_6645	chr12	21501436	21501941	+	0	NA	promoter-TSS (RECQL)	NA	-53	RECQL								
Interval_7630	chr12	116858080	116858382	+	0	NA	Intergenic	NA	23196	HRK								
Interval_29815	chr8	38721262	38721621	+	0	NA	Intergenic	NA	-6865	TACC1								
Interval_12688	chr17	36722137	36722478	+	0	NA	Intergenic	NA	120726	MRM1								
Interval_15643	chr19	14571892	14572407	+	0	NA	promoter-TSS (NDUFB7)	NA	-72	NDUFB7								
Interval_20665	chr21	33109797	33110011	+	0	NA	Intergenic	NA	13796	AP000289.6								
Interval_30833	chr9	469877	470561	+	0	NA	promoter-TSS (KANK1)	NA	-123390	KANK1								
Interval_10822	chr16	20741090	20742130	+	0	NA	exon (THUMPD1, exon 1 of 4)	NA	474	THUMPD1								
Interval_13930	chr17	81922815	81923232	+	0	NA	exon (MAFG, exon 3 of 3)	NA	2522	MAFG								
Interval_20960	chr22	17120208	17120399	+	0	NA	exon (CECR6, exon 1 of 1)	NA	1020	CECR6								
Interval_19139	chr2	208017811	208018000	+	0	NA	intron (PLEKHM3, intron 1 of 7)	NA	7655	PLEKHM3								
Interval_22104	chr3	32632919	32633164	+	0	NA	Intergenic	NA	-52104	CNOT10								
Interval_6165	chr11	119106855	119107598	+	0	NA	promoter-TSS (C2CD2L)	NA	165	C2CD2L								
Interval_12522	chr17	29390849	29391056	+	0	NA	promoter-TSS (TAOK1)	NA	27	TAOK1								
Interval_6300	chr11	130069142	130070246	+	0	NA	promoter-TSS (APLP2)	NA	-127	APLP2								
Interval_10042	chr15	75640916	75641151	+	0	NA	promoter-TSS (IMP3)	NA	-710	IMP3								
Interval_21159	chr22	25563875	25564057	+	0	NA	promoter-TSS (ADRBK2)	NA	805	LOC100996404								
Interval_242	chr1	8025946	8026670	+	0	NA	promoter-TSS (ERRFI1)	NA	-3899	ERRFI1								
Interval_23805	chr4	17142478	17142650	+	0	NA	Intergenic	NA	43493	RP11-576E20.1								
Interval_13587	chr17	75153365	75153580	+	0	NA	promoter-TSS (HN1)	NA	1211	HN1								
Interval_28359	chr7	44044402	44045446	+	0	NA	TTS (LINC00957)	NA	284	DBNL								
Interval_2044	chr1	153945732	153946399	+	0	NA	promoter-TSS (DENND4B)	NA	-3198	DENND4B								
Interval_415	chr1	15847389	15848132	+	0	NA	promoter-TSS (SPEN)	NA	-104	SPEN								
Interval_12617	chr17	32444083	32444642	+	0	NA	promoter-TSS (PSMD11)	NA	-101	PSMD11								
Interval_3596	chr10	45380239	45380415	+	0	NA	intron (ALOX5, intron 1 of 13)	NA	6151	ALOX5								
Interval_1149	chr1	43837968	43838167	+	0	NA	promoter-TSS (MIR6079)	NA	-590	MIR6079								
Interval_24851	chr5	36877338	36877557	+	0	NA	promoter-TSS (LOC646719)	NA	677	NIPBL								
Interval_11268	chr16	56985649	56985845	+	0	NA	Intergenic	NA	-3810	NLRC5								
Interval_9556	chr15	43133443	43133847	+	0	NA	promoter-TSS (TMEM62)	NA	-197	TMEM62								
Interval_14793	chr19	1904935	1905896	+	0	NA	promoter-TSS (SCAMP4)	NA	41	SCAMP4								
Interval_5970	chr11	96506997	96507188	+	0	NA	promoter-TSS (JRKL-AS1)	NA	-216	JRKL-AS1								
Interval_24185	chr4	89298834	89299185	+	0	NA	intron (GPRIN3, intron 1 of 1)	NA	8193	GPRIN3								
Interval_5395	chr11	64359621	64360049	+	0	NA	intron (RPS6KA4, intron 2 of 16)	NA	662	RPS6KA4								
Interval_7169	chr12	62466341	62466962	+	0	NA	promoter-TSS (MON2)	NA	-166	MON2								
Interval_631	chr1	25034010	25034271	+	0	NA	Intergenic	NA	10637	MIR4425								
Interval_19242	chr2	219229336	219230017	+	0	NA	promoter-TSS (ANKZF1)	NA	12	ATG9A								
Interval_14347	chr18	51197346	51198538	+	0	NA	promoter-TSS (MEX3C)	NA	-261	MEX3C								
Interval_20772	chr21	38979534	38979799	+	0	NA	Intergenic	NA	-1892	AF064858.7								
