PeakID (cmd=annotatePeaks.pl ZMYND8.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_15105	chr21	29163656	29163848	+	0	NA	intron (MAP3K7CL, intron 4 of 4)	NA	18193	MAP3K7CL								
Interval_24087	chr9	124658284	124658647	+	0	NA	promoter-TSS (MIR181A2HG)	NA	29	MIR181A2HG								
Interval_9696	chr17	47647604	47648068	+	0	NA	intron (LOC101929046, intron 1 of 2)	NA	-2002	KPNB1								
Interval_22607	chr8	50039861	50040104	+	0	NA	intron (SNTG1, intron 1 of 16)	NA	130193	SNTG1								
Interval_17000	chr3	142850317	142850949	+	0	NA	intron (PCOLCE2, intron 2 of 8)	NA	38570	PCOLCE2								
Interval_19930	chr6	30742530	30743194	+	0	NA	promoter-TSS (FLOT1)	NA	-186	FLOT1								
Interval_22939	chr8	100418269	100418439	+	0	NA	Intergenic	NA	35543	MIR4471								
Interval_22138	chr8	406714	406999	+	0	NA	promoter-TSS (FBXO25)	NA	-534	FBXO25								
Interval_19651	chr6	13715411	13715849	+	0	NA	Intergenic	NA	-4792	RANBP9								
Interval_2496	chr10	23871133	23871582	+	0	NA	intron (KIAA1217, intron 1 of 18)	NA	-337434	KIAA1217								
Interval_9866	chr17	60525899	60526325	+	0	NA	exon (APPBP2, exon 1 of 13)	NA	128	APPBP2								
Interval_18073	chr4	140523857	140524384	+	0	NA	promoter-TSS (ELMOD2)	NA	-62	ELMOD2								
Interval_19340	chr5	173789048	173789261	+	0	NA	intron (LOC101928154, intron 2 of 3)	NA	1788	LOC101928154								
Interval_14296	chr20	529050	529357	+	0	NA	intron (CSNK2A1, intron 1 of 13)	NA	14635	CSNK2A1								
Interval_3954	chr11	62840415	62840966	+	0	NA	promoter-TSS (WDR74)	NA	-534	WDR74								
Interval_6553	chr14	67681074	67681288	+	0	NA	intron (RDH11, intron 6 of 6)	NA	-6296	VTI1B								
Interval_1048	chr1	93846498	93846848	+	0	NA	promoter-TSS (MIR760)	NA	-207	MIR760								
Interval_13161	chr2	74120013	74120678	+	0	NA	Intergenic	NA	27567	BOLA3								
Interval_1621	chr1	170074373	170074972	+	0	NA	promoter-TSS (KIFAP3)	NA	66	KIFAP3								
Interval_15178	chr21	34836147	34836432	+	0	NA	promoter-TSS (LOC102724584)	NA	-595	LOC102724584								
Interval_5830	chr12	124754951	124755581	+	0	NA	Intergenic	NA	108707	SCARB1								
Interval_5812	chr12	124390760	124391595	+	0	NA	intron (NCOR2, intron 18 of 47)	NA	-53935	MIR6880								
Interval_20731	chr6	146543344	146543974	+	0	NA	promoter-TSS (RAB32)	NA	-33	RAB32								
Interval_23313	chr8	141182482	141182742	+	0	NA	intron (DENND3, intron 13 of 17)	NA	32312	DENND3								
Interval_9234	chr17	17205778	17205993	+	0	NA	exon (PLD6, exon 1 of 2)	NA	447	PLD6								
Interval_24618	chrX	44873624	44874001	+	0	NA	intron (KDM6A, intron 1 of 28)	NA	637	KDM6A								
Interval_7876	chr16	528093	528365	+	0	NA	promoter-TSS (LINC00235)	NA	413	CAPN15								
Interval_14362	chr20	3767738	3768096	+	0	NA	promoter-TSS (C20orf27)	NA	-112	C20orf27								
Interval_4317	chr11	78139518	78139910	+	0	NA	promoter-TSS (KCTD21-AS1)	NA	-54	ALG8								
Interval_12428	chr19	56595149	56595434	+	0	NA	promoter-TSS (ZNF71)	NA	-8	ZNF71								
Interval_4591	chr11	122856627	122857077	+	0	NA	intron (CRTAM, intron 5 of 9)	NA	18305	CRTAM								
Interval_21581	chr7	78020191	78020361	+	0	NA	intron (MAGI2, intron 21 of 21)	NA	221282	PHTF2								
Interval_24252	chr9	131598014	131598686	+	0	NA	intron (RAPGEF1, intron 15 of 26)	NA	43361	LOC102723804								
Interval_11148	chr19	7829488	7829860	+	0	NA	promoter-TSS (EVI5L)	NA	-607	EVI5L								
Interval_7472	chr15	69719027	69719208	+	0	NA	Intergenic	NA	-116117	LINC00593								
Interval_10645	chr18	62186667	62187500	+	0	NA	promoter-TSS (KIAA1468)	NA	-27	PIGN								
Interval_2994	chr10	89296393	89296641	+	0	NA	Intergenic	NA	-5432	IFIT2								
Interval_19267	chr5	168486260	168486536	+	0	NA	promoter-TSS (RARS)	NA	-60	RARS								
Interval_15406	chr22	20956787	20956977	+	0	NA	intron (LOC101928891, intron 1 of 2)	NA	3664	LOC101928891								
Interval_13220	chr2	85437557	85437862	+	0	NA	TTS (SH2D6)	NA	2914	SH2D6								
Interval_20948	chr6	170306432	170307205	+	0	NA	promoter-TSS (FAM120B)	NA	94	FAM120B								
Interval_15599	chr22	36065756	36066251	+	0	NA	Intergenic	NA	-37372	RBFOX2								
Interval_18964	chr5	135039005	135039789	+	0	NA	intron (LOC101927953, intron 1 of 1)	NA	650	LOC101927953								
Interval_22142	chr8	1745135	1746414	+	0	NA	Intergenic	NA	17560	LOC101927752								
Interval_11796	chr19	38865503	38865684	+	0	NA	Intergenic	NA	12664	RINL								
Interval_6336	chr14	24310884	24311253	+	0	NA	promoter-TSS (LTB4R)	NA	302	CIDEB								
Interval_9269	chr17	18325510	18325743	+	0	NA	exon (SMCR8, exon 2 of 2)	NA	10346	SMCR8								
Interval_19409	chr5	178486255	178486928	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	103981	COL23A1								
Interval_17222	chr3	184361832	184362030	+	0	NA	promoter-TSS (CLCN2)	NA	203	POLR2H								
Interval_16373	chr3	48566169	48566538	+	0	NA	intron (COL7A1, intron 112 of 117)	NA	-2585	UCN2								
Interval_7542	chr15	74614592	74614858	+	0	NA	promoter-TSS (CLK3)	NA	-4208	LOC102723750								
Interval_9184	chr17	12021091	12021281	+	0	NA	intron (MAP2K4, intron 1 of 9)	NA	368	MAP2K4								
Interval_5708	chr12	120200584	120201420	+	0	NA	promoter-TSS (PXN-AS1)	NA	209	RPLP0								
Interval_16747	chr3	112767092	112767700	+	0	NA	Intergenic	NA	-18077	RP11-572C15.5								
Interval_11442	chr19	16471779	16472384	+	0	NA	promoter-TSS (EPS15L1)	NA	-111	EPS15L1								
Interval_13075	chr2	68424041	68424328	+	0	NA	Intergenic	NA	43132	FBXO48								
Interval_22368	chr8	24349743	24350103	+	0	NA	exon (ADAM28, exon 19 of 23)	NA	-34362	ADAMDEC1								
Interval_23668	chr9	37994840	37995254	+	0	NA	intron (SHB, intron 2 of 5)	NA	74166	SHB								
Interval_12323	chr19	53520534	53521330	+	0	NA	promoter-TSS (ZNF331)	NA	-33713	ZNF331								
Interval_22935	chr8	100150416	100150729	+	0	NA	promoter-TSS (POLR2K)	NA	-39	POLR2K								
Interval_17993	chr4	121706793	121706992	+	0	NA	Intergenic	NA	-9900	ANXA5								
Interval_15461	chr22	24593056	24593299	+	0	NA	promoter-TSS (FAM211B)	NA	-71	FAM211B								
Interval_5507	chr12	102484427	102484728	+	0	NA	Intergenic	NA	-6011	IGF1								
Interval_14254	chr2	240832412	240832582	+	0	NA	Intergenic	NA	-12278	KIF1A								
Interval_1340	chr1	151008268	151008654	+	0	NA	promoter-TSS (FAM63A)	NA	-36	PRUNE								
Interval_23911	chr9	107674700	107675135	+	0	NA	Intergenic	NA	-185151	KLF4								
Interval_6340	chr14	24429540	24430469	+	0	NA	promoter-TSS (CBLN3)	NA	69	KHNYN								
Interval_13540	chr2	135531705	135531941	+	0	NA	promoter-TSS (ZRANB3)	NA	357	R3HDM1								
Interval_9562	chr17	41918872	41919356	+	0	NA	promoter-TSS (ACLY)	NA	-92	ACLY								
Interval_20283	chr6	52361798	52362186	+	0	NA	promoter-TSS (PAQR8)	NA	-136	PAQR8								
Interval_22136	chr8	232252	232617	+	0	NA	promoter-TSS (ZNF596)	NA	-116	RPL23AP53								
Interval_19376	chr5	177404401	177404613	+	0	NA	exon (F12, exon 8 of 14)	NA	-3871	PFN3								
Interval_24715	chrX	66017063	66017397	+	0	NA	Intergenic	NA	-1640	MIR223								
Interval_6324	chr14	24146594	24146959	+	0	NA	promoter-TSS (PSME2)	NA	540	PSME2								
Interval_16306	chr3	46208358	46208762	+	0	NA	promoter-TSS (CCR1)	NA	-219	CCR1								
Interval_450	chr1	27342072	27342293	+	0	NA	exon (SYTL1, exon 1 of 15)	NA	128	SYTL1								
Interval_22010	chr7	147885907	147886132	+	0	NA	intron (CNTNAP2, intron 13 of 23)	NA	-507960	MIR548F4								
Interval_21577	chr7	77752142	77752320	+	0	NA	intron (RSBN1L, intron 3 of 7)	NA	46199	TMEM60								
Interval_3379	chr10	131897356	131897607	+	0	NA	Intergenic	NA	-3448	PPP2R2D								
Interval_13673	chr2	158009525	158009793	+	0	NA	intron (UPP2, intron 1 of 8)	NA	-92211	UPP2								
Interval_22657	chr8	56993660	56994022	+	0	NA	promoter-TSS (IMPAD1)	NA	30	IMPAD1								
Interval_23230	chr8	133150268	133151085	+	0	NA	Intergenic	NA	-40363	WISP1								
Interval_20197	chr6	43174419	43174594	+	0	NA	intron (SRF, intron 2 of 6)	NA	3324	SRF								
Interval_8704	chr16	81481339	81481729	+	0	NA	intron (CMIP, intron 1 of 20)	NA	36364	CMIP								
Interval_23340	chr8	142699838	142700136	+	0	NA	promoter-TSS (LY6K)	NA	-124	LY6K								
Interval_23140	chr8	125512932	125513440	+	0	NA	Intergenic	NA	80327	TRIB1								
Interval_22751	chr8	70246600	70246818	+	0	NA	intron (NCOA2, intron 2 of 22)	NA	157118	NCOA2								
Interval_12698	chr2	27371248	27371467	+	0	NA	promoter-TSS (EIF2B4)	NA	861	SNX17								
Interval_3937	chr11	62672296	62672526	+	0	NA	promoter-TSS (C11orf48)	NA	-642	C11orf48								
Interval_15910	chr22	50627817	50628402	+	0	NA	promoter-TSS (ARSA)	NA	64	ARSA								
Interval_17877	chr4	88523228	88523982	+	0	NA	promoter-TSS (LOC101929134)	NA	196	PIGY								
Interval_10122	chr17	77875887	77876286	+	0	NA	Intergenic	NA	8001	FLJ45079								
Interval_19358	chr5	176536923	176538191	+	0	NA	promoter-TSS (RNF44)	NA	-901	RNF44								
Interval_19628	chr6	12265835	12266005	+	0	NA	Intergenic	NA	-24376	EDN1								
Interval_22858	chr8	91715585	91715779	+	0	NA	Intergenic	NA	379580	RUNX1T1								
Interval_19350	chr5	175690988	175691328	+	0	NA	intron (HRH2, intron 2 of 2)	NA	33314	HRH2								
Interval_96	chr1	6507144	6507314	+	0	NA	intron (PLEKHG5, intron 1 of 21)	NA	-9805	PLEKHG5								
Interval_23670	chr9	38068890	38069548	+	0	NA	promoter-TSS (SHB)	NA	-6	SHB								
Interval_6971	chr14	104795160	104795350	+	0	NA	promoter-TSS (AKT1)	NA	-1654	AKT1								
Interval_3579	chr11	10807933	10809452	+	0	NA	promoter-TSS (EIF4G2)	NA	-14	RP11-685M7.3								
Interval_5318	chr12	67268609	67270226	+	0	NA	exon (CAND1, exon 1 of 15)	NA	136	CAND1								
Interval_8352	chr16	30957131	30958330	+	0	NA	promoter-TSS (SETD1A)	NA	-588	SETD1A								
Interval_9734	chr17	49676326	49676639	+	0	NA	intron (SPOP, intron 1 of 11)	NA	1681	SPOP								
Interval_1905	chr1	206503781	206504388	+	0	NA	Intergenic	NA	29281	MIR6769B								
Interval_6401	chr14	45083912	45084368	+	0	NA	promoter-TSS (PRPF39)	NA	41	PRPF39								
Interval_14058	chr2	222404538	222404821	+	0	NA	Intergenic	NA	-19924	SGPP2								
Interval_10884	chr19	1855065	1855635	+	0	NA	intron (KLF16, intron 1 of 1)	NA	-6897	REXO1								
Interval_15463	chr22	24894324	24894952	+	0	NA	intron (SGSM1, intron 18 of 25)	NA	44709	TMEM211								
Interval_487	chr1	28232890	28233138	+	0	NA	promoter-TSS (DNAJC8)	NA	17	DNAJC8								
Interval_23421	chr8	144477705	144478161	+	0	NA	promoter-TSS (PPP1R16A)	NA	-1598	FOXH1								
Interval_20150	chr6	41439514	41440337	+	0	NA	Intergenic	NA	-57666	LOC100505711								
Interval_19388	chr5	177510415	177510605	+	0	NA	promoter-TSS (DOK3)	NA	-661	DOK3								
Interval_12325	chr19	53824108	53824742	+	0	NA	promoter-TSS (NLRP12)	NA	-22	NLRP12								
Interval_15841	chr22	45684227	45684451	+	0	NA	intron (ATXN10, intron 1 of 10)	NA	12541	ATXN10								
Interval_10501	chr18	45106363	45106693	+	0	NA	Intergenic	NA	73385	LOC101927961								
Interval_17814	chr4	80202213	80202490	+	0	NA	exon (PRDM8, exon 8 of 8)	NA	18470	PRDM8								
Interval_1772	chr1	192477071	192477263	+	0	NA	Intergenic	NA	-98560	RGS1								
Interval_23235	chr8	133245677	133246290	+	0	NA	intron (NDRG1, intron 13 of 15)	NA	-33069	LOC102723635								
Interval_7180	chr15	44711582	44712139	+	0	NA	intron (B2M, intron 1 of 3)	NA	368	B2M								
Interval_3874	chr11	60841743	60842262	+	0	NA	promoter-TSS (CCDC86)	NA	46	CCDC86								
Interval_16045	chr3	13069733	13069940	+	0	NA	intron (IQSEC1, intron 1 of 13)	NA	-102376	IQSEC1								
Interval_24435	chrX	1764991	1765284	+	0	NA	Intergenic	NA	150004	ASMT								
Interval_23858	chr9	99433603	99433865	+	0	NA	Intergenic	NA	-58477	NAMA								
Interval_6590	chr14	69615593	69615868	+	0	NA	intron (KIAA0247, intron 1 of 5)	NA	4137	KIAA0247								
Interval_2317	chr1	244968444	244968740	+	0	NA	exon (LOC101928068, exon 2 of 2)	NA	-1737	EFCAB2								
Interval_15602	chr22	36332271	36332490	+	0	NA	intron (MYH9, intron 3 of 40)	NA	-45473	MIR6819								
Interval_17555	chr4	16270766	16270944	+	0	NA	Intergenic	NA	44192	TAPT1-AS1								
Interval_13508	chr2	129483445	129483790	+	0	NA	Intergenic	NA	-209769	AC079586.1								
Interval_8135	chr16	17224843	17225228	+	0	NA	intron (XYLT1, intron 3 of 11)	NA	90547	LOC102723692								
Interval_16490	chr3	52307682	52308083	+	0	NA	intron (DNAH1, intron 2 of 79)	NA	4986	DNAH1								
Interval_7356	chr15	60635793	60636149	+	0	NA	intron (RORA, intron 2 of 10)	NA	-45656	LOC100996876								
Interval_9737	chr17	49707898	49708418	+	0	NA	promoter-TSS (SLC35B1)	NA	-714	SLC35B1								
Interval_6828	chr14	93115064	93115816	+	0	NA	intron (ITPK1, intron 1 of 10)	NA	478	ITPK1								
Interval_24055	chr9	121558004	121558277	+	0	NA	Intergenic	NA	-58113	GGTA1P								
Interval_17360	chr3	196568364	196568854	+	0	NA	promoter-TSS (WDR53)	NA	147	WDR53								
Interval_14304	chr20	991958	992133	+	0	NA	intron (RSPO4, intron 1 of 3)	NA	10219	RSPO4								
Interval_10748	chr18	77063227	77063586	+	0	NA	intron (MBP, intron 2 of 7)	NA	-46307	MBP								
Interval_11655	chr19	32750711	32750921	+	0	NA	intron (TDRD12, intron 6 of 12)	NA	31043	TDRD12								
Interval_14011	chr2	217902742	217902960	+	0	NA	intron (LOC102723375, intron 7 of 7)	NA	-2318	MIR6809								
Interval_18455	chr5	40798055	40798503	+	0	NA	promoter-TSS (PRKAA1)	NA	-84	PRKAA1								
Interval_10075	chr17	75843924	75844242	+	0	NA	promoter-TSS (UNC13D)	NA	-1657	UNC13D								
Interval_14457	chr20	13638874	13639172	+	0	NA	promoter-TSS (TASP1)	NA	-91	TASP1								
Interval_12298	chr19	51736089	51736550	+	0	NA	Intergenic	NA	-12333	HAS1								
Interval_15013	chr20	63658120	63658731	+	0	NA	exon (RTEL1, exon 1 of 35)	NA	615	RTEL1-TNFRSF6B								
Interval_22367	chr8	24293879	24294180	+	0	NA	promoter-TSS (ADAM28)	NA	-11	ADAM28								
Interval_18670	chr5	79416617	79416846	+	0	NA	intron (HOMER1, intron 5 of 8)	NA	-45312	LOC101929201								
Interval_13283	chr2	96885829	96886081	+	0	NA	intron (FAM178B, intron 13 of 15)	NA	9207	FAM178B								
Interval_8051	chr16	10093583	10093912	+	0	NA	intron (GRIN2A, intron 1 of 12)	NA	86962	GRIN2A								
Interval_13465	chr2	120222954	120223535	+	0	NA	exon (TMEM185B, exon 1 of 1)	NA	164	TMEM185B								
Interval_2936	chr10	80459070	80459539	+	0	NA	promoter-TSS (TSPAN14)	NA	-9249	TSPAN14								
Interval_8242	chr16	27470782	27471290	+	0	NA	intron (GTF3C1, intron 29 of 35)	NA	-17643	IL21R-AS1								
Interval_13036	chr2	64988268	64988865	+	0	NA	promoter-TSS (SLC1A4)	NA	121	SLC1A4								
Interval_12	chr1	1064269	1064465	+	0	NA	intron (LOC100288175, intron 3 of 3)	NA	4652	LOC100288175								
Interval_23601	chr9	33473865	33474223	+	0	NA	promoter-TSS (NOL6)	NA	-101	NOL6								
Interval_12304	chr19	51887723	51888113	+	0	NA	promoter-TSS (ZNF577)	NA	74	ZNF577								
Interval_2482	chr10	22436917	22437492	+	0	NA	exon (LOC100499489, exon 1 of 1)	NA	725	LOC100499489								
Interval_17483	chr4	4541640	4542279	+	0	NA	promoter-TSS (STX18)	NA	68	STX18								
Interval_21688	chr7	100049645	100049901	+	0	NA	promoter-TSS (ZSCAN21)	NA	-21	ZSCAN21								
Interval_23218	chr8	132768531	132768832	+	0	NA	intron (LOC102723614, intron 1 of 2)	NA	-6707	PHF20L1								
Interval_8364	chr16	31157110	31157443	+	0	NA	Intergenic	NA	-7182	PRSS36								
Interval_5985	chr13	28718639	28719175	+	0	NA	promoter-TSS (SLC46A3)	NA	106	SLC46A3								
Interval_12839	chr2	42792117	42792366	+	0	NA	intron (HAAO, intron 1 of 9)	NA	370	HAAO								
Interval_12546	chr2	10278270	10278813	+	0	NA	Intergenic	NA	23752	LOC101929691								
Interval_13004	chr2	61978616	61978818	+	0	NA	intron (COMMD1, intron 1 of 2)	NA	89882	COMMD1								
Interval_20127	chr6	38639975	38640291	+	0	NA	promoter-TSS (BTBD9)	NA	15	BTBD9								
Interval_9014	chr17	4968172	4969620	+	0	NA	TTS (MIR6864)	NA	875	MIR6864								
Interval_20008	chr6	33272313	33272610	+	0	NA	promoter-TSS (VPS52)	NA	386	RPS18								
Interval_19305	chr5	172173895	172174140	+	0	NA	intron (STK10, intron 1 of 18)	NA	14325	STK10								
Interval_4803	chr12	6969955	6971140	+	0	NA	promoter-TSS (EMG1)	NA	206	PHB2								
Interval_18310	chr5	2841211	2841476	+	0	NA	Intergenic	NA	89399	C5orf38								
Interval_9825	chr17	58331708	58332353	+	0	NA	promoter-TSS (MIR142)	NA	-763	MIR142								
Interval_5938	chr13	23378276	23378506	+	0	NA	intron (SACS, intron 2 of 9)	NA	-40580	SACS-AS1								
Interval_15022	chr20	63873425	63873717	+	0	NA	intron (TPD52L2, intron 2 of 7)	NA	8343	TPD52L2								
Interval_11714	chr19	35702336	35702659	+	0	NA	Intergenic	NA	-10431	ZBTB32								
Interval_21970	chr7	140036428	140036661	+	0	NA	intron (PARP12, intron 6 of 10)	NA	27177	PARP12								
Interval_1564	chr1	161621561	161621784	+	0	NA	Intergenic	NA	-9643	TRNAL3								
Interval_19632	chr6	12945036	12945443	+	0	NA	intron (PHACTR1, intron 4 of 14)	NA	228434	PHACTR1								
Interval_16694	chr3	101573673	101574799	+	0	NA	promoter-TSS (PCNP)	NA	38	PCNP								
Interval_6755	chr14	88045807	88045977	+	0	NA	intron (LINC01146, intron 2 of 3)	NA	-19580	RP11-300J18.1								
Interval_15229	chr21	38384755	38385084	+	0	NA	intron (ERG, intron 10 of 10)	NA	-51579	LOC102724678								
Interval_17190	chr3	182980386	182980778	+	0	NA	promoter-TSS (DCUN1D1)	NA	-44	DCUN1D1								
Interval_6494	chr14	59586155	59586325	+	0	NA	Intergenic	NA	-9409	CCDC175								
Interval_22606	chr8	49874785	49875233	+	0	NA	Intergenic	NA	-34564	LOC102724295								
Interval_14844	chr20	49915133	49916073	+	0	NA	promoter-TSS (SPATA2)	NA	-1864	SPATA2								
Interval_1287	chr1	146673862	146674039	+	0	NA	intron (HYDIN2, intron 13 of 45)	NA	126461	HYDIN2								
Interval_9904	chr17	64076301	64076701	+	0	NA	intron (ERN1, intron 6 of 23)	NA	54298	ERN1								
Interval_16050	chr3	13189859	13190069	+	0	NA	Intergenic	NA	-222504	IQSEC1								
Interval_1333	chr1	150613854	150614243	+	0	NA	Intergenic	NA	15085	ENSA								
Interval_6087	chr13	48233261	48233553	+	0	NA	exon (ITM2B, exon 1 of 6)	NA	269	ITM2B								
Interval_532	chr1	31937765	31938796	+	0	NA	promoter-TSS (PTP4A2)	NA	-18622	PTP4A2								
Interval_12787	chr2	38076559	38077546	+	0	NA	promoter-TSS (CYP1B1)	NA	-871	CYP1B1								
Interval_20315	chr6	62298800	62299087	+	0	NA	Intergenic	NA	-12753	KHDRBS2								
Interval_20062	chr6	35488074	35488275	+	0	NA	intron (TEAD3, intron 1 of 12)	NA	8910	TEAD3								
Interval_3823	chr11	57425816	57426047	+	0	NA	intron (SLC43A3, intron 3 of 13)	NA	1217	SLC43A3								
Interval_1834	chr1	202160534	202160818	+	0	NA	promoter-TSS (PTPN7)	NA	-685	PTPN7								
Interval_18662	chr5	78549023	78549364	+	0	NA	intron (LHFPL2, intron 2 of 3)	NA	99632	LHFPL2								
Interval_24412	chrX	1249632	1249852	+	0	NA	Intergenic	NA	-15090	CSF2RA								
Interval_7277	chr15	52112124	52112711	+	0	NA	exon (BCL2L10, exon 1 of 2)	NA	345	BCL2L10								
Interval_24631	chrX	47193628	47194160	+	0	NA	promoter-TSS (UBA1)	NA	3094	UBA1								
Interval_10758	chr18	77128176	77128642	+	0	NA	intron (MBP, intron 1 of 7)	NA	-111310	MBP								
Interval_6977	chr14	105020998	105021828	+	0	NA	promoter-TSS (CDCA4)	NA	-325	CDCA4								
Interval_23083	chr8	122944410	122944585	+	0	NA	intron (ZHX2, intron 3 of 4)	NA	97926	DERL1								
Interval_9827	chr17	58335947	58336218	+	0	NA	promoter-TSS (MIR4736)	NA	-60	MIR4736								
Interval_13913	chr2	201532719	201533023	+	0	NA	intron (ALS2CR11, intron 11 of 12)	NA	81202	STRADB								
Interval_24881	chrX	147911589	147912020	+	0	NA	promoter-TSS (FMR1)	NA	-147	FMR1								
Interval_7271	chr15	52018827	52019520	+	0	NA	promoter-TSS (MAPK6)	NA	-41	MAPK6								
Interval_8004	chr16	4272813	4273684	+	0	NA	promoter-TSS (TFAP4)	NA	-248	TFAP4								
Interval_1031	chr1	92485410	92486617	+	0	NA	promoter-TSS (GFI1)	NA	863	GFI1								
Interval_24179	chr9	128818139	128818886	+	0	NA	promoter-TSS (ENDOG)	NA	12	ENDOG								
Interval_15917	chr22_KI270733v1_random	135534	135846	+	0	NA	Intergenic	NA	24411	LOC102724621								
Interval_18715	chr5	88829113	88829347	+	0	NA	intron (MEF2C, intron 2 of 10)	NA	-54100	MEF2C-AS1								
Interval_23028	chr8	115055877	115056697	+	0	NA	Intergenic	NA	612007	TRPS1								
Interval_4881	chr12	12723420	12726215	+	0	NA	Intergenic	NA	7449	CDKN1B								
Interval_3334	chr10	124648779	124649108	+	0	NA	intron (FAM53B, intron 4 of 4)	NA	-54978	FAM53B-AS1								
Interval_24440	chrX	2521347	2521654	+	0	NA	Intergenic	NA	-20526	DHRSX								
Interval_15177	chr21	34808274	34808522	+	0	NA	intron (RUNX1, intron 6 of 7)	NA	-28486	LOC102724584								
Interval_8105	chr16	12573340	12573654	+	0	NA	exon (SNX29, exon 21 of 21)	NA	3305	LOC101929304								
Interval_18618	chr5	72816397	72817096	+	0	NA	promoter-TSS (TNPO1)	NA	-31357	TNPO1								
Interval_6642	chr14	74019090	74019453	+	0	NA	promoter-TSS (CCDC176)	NA	24	ENTPD5								
Interval_15237	chr21	38861956	38862239	+	0	NA	Intergenic	NA	4558	LOC101928398								
Interval_18533	chr5	56415053	56415344	+	0	NA	Intergenic	NA	66571	LOC102467147								
Interval_5347	chr12	70353834	70354025	+	0	NA	exon (CNOT2, exon 15 of 15)	NA	-12379	KCNMB4								
Interval_1874	chr1	204057756	204057997	+	0	NA	Intergenic	NA	-15233	SOX13								
Interval_13879	chr2	198639485	198639928	+	0	NA	Intergenic	NA	-264609	AC005235.1								
Interval_23642	chr9	35844977	35845206	+	0	NA	intron (TMEM8B, intron 6 of 12)	NA	-11716	FAM221B								
Interval_12121	chr19	48170158	48170871	+	0	NA	promoter-TSS (LIG1)	NA	-178	C19orf68								
Interval_22567	chr8	42391373	42392256	+	0	NA	promoter-TSS (VDAC3)	NA	190	VDAC3								
Interval_10197	chr17	81223179	81223448	+	0	NA	promoter-TSS (AZI1)	NA	-362	AZI1								
Interval_6648	chr14	74627145	74627372	+	0	NA	Intergenic	NA	-14927	LTBP2								
Interval_19116	chr5	145984222	145984422	+	0	NA	intron (SH3RF2, intron 2 of 8)	NA	47752	SH3RF2								
Interval_17663	chr4	41934148	41934415	+	0	NA	promoter-TSS (TMEM33)	NA	-848	TMEM33								
Interval_8549	chr16	67110601	67110907	+	0	NA	intron (C16orf70, intron 2 of 16)	NA	811	C16orf70								
Interval_19896	chr6	29926960	29927363	+	0	NA	promoter-TSS (HCG4B)	NA	54	HCG4B								
Interval_1267	chr1	145280984	145281569	+	0	NA	TTS (RNVU1-14)	NA	160	RNVU1-14								
Interval_10168	chr17	79837672	79837862	+	0	NA	intron (CBX4, intron 3 of 4)	NA	1647	CBX4								
Interval_3181	chr10	104291464	104291655	+	0	NA	intron (GSTO2, intron 5 of 5)	NA	22686	GSTO2								
Interval_13750	chr2	173126912	173127127	+	0	NA	intron (ZAK, intron 2 of 11)	NA	-49637	LOC102724157								
Interval_14488	chr20	18507329	18507969	+	0	NA	promoter-TSS (SEC23B)	NA	105	SEC23B								
Interval_9995	chr17	73097074	73097558	+	0	NA	Intergenic	NA	-4602	SLC39A11								
Interval_6245	chr13	113863066	113863236	+	0	NA	intron (GAS6, intron 2 of 14)	NA	922	GAS6								
Interval_24591	chrX	40013375	40013698	+	0	NA	Intergenic	NA	83930	BCOR								
Interval_12342	chr19	54200336	54201452	+	0	NA	promoter-TSS (RPS9)	NA	67	RPS9								
Interval_14496	chr20	19658136	19658466	+	0	NA	intron (SLC24A3, intron 7 of 16)	NA	-99927	RIN2								
Interval_18280	chr5	442785	443364	+	0	NA	promoter-TSS (EXOC3)	NA	69	C5orf55								
Interval_21782	chr7	104957045	104957480	+	0	NA	intron (LOC101927902, intron 1 of 1)	NA	16306	LOC101927902								
Interval_1752	chr1	184881916	184882408	+	0	NA	intron (FAM129A, intron 5 of 13)	NA	92424	FAM129A								
Interval_7358	chr15	62068414	62068793	+	0	NA	exon (C2CD4A, exon 2 of 2)	NA	1626	C2CD4A								
Interval_1409	chr1	154431639	154431810	+	0	NA	intron (IL6R, intron 3 of 10)	NA	-24901	LOC101928101								
Interval_4478	chr11	112073976	112074432	+	0	NA	promoter-TSS (C11orf57)	NA	-33	PIH1D2								
Interval_8157	chr16	19493712	19494029	+	0	NA	intron (TMC5, intron 19 of 21)	NA	28258	GDE1								
Interval_18364	chr5	17013188	17013358	+	0	NA	Intergenic	NA	-77188	MYO10								
Interval_21590	chr7	84248370	84248589	+	0	NA	intron (SEMA3A, intron 2 of 18)	NA	244289	SEMA3A								
Interval_16261	chr3	43256807	43257084	+	0	NA	Intergenic	NA	-29567	SNRK								
Interval_14762	chr20	44966141	44966692	+	0	NA	promoter-TSS (STK4)	NA	42	STK4-AS1								
Interval_15925	chr3	2540321	2540495	+	0	NA	intron (CNTN4, intron 3 of 17)	NA	301579	CNTN4								
Interval_8736	chr16	84145070	84145361	+	0	NA	promoter-TSS (DNAAF1)	NA	-20	HSDL1								
