PeakID (cmd=annotatePeaks.pl MEF2C.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4751	chrUn_KI270438v1	103649	103834	+	0	NA	NA	NA	NA	NA								
Interval_2694	chr20	49188332	49188504	+	0	NA	promoter-TSS (STAU1)	NA	-15901	STAU1								
Interval_1605	chr16	46399064	46399318	+	0	NA	Intergenic	NA	169906	ANKRD26P1								
Interval_2364	chr2	98027155	98027367	+	0	NA	Intergenic	NA	-31335	TMEM131								
Interval_1907	chr18	41938497	41938698	+	0	NA	Intergenic	NA	-16637	PIK3C3								
Interval_2397	chr2	112776096	112776293	+	0	NA	intron (IL1A, intron 6 of 6)	NA	9200	IL1A								
Interval_4515	chr8	132516619	132516791	+	0	NA	Intergenic	NA	44774	HPYR1								
Interval_577	chr10	74039930	74040074	+	0	NA	intron (VCL, intron 1 of 21)	NA	41888	VCL								
Interval_1841	chr17	77958364	77958480	+	0	NA	Intergenic	NA	-45691	TNRC6C								
Interval_970	chr12	64740735	64740998	+	0	NA	intron (GNS, intron 6 of 13)	NA	18580	GNS								
Interval_4119	chr7	93041313	93041499	+	0	NA	Intergenic	NA	76617	SAMD9								
Interval_3511	chr5	75847468	75847916	+	0	NA	Intergenic	NA	-135379	POC5								
Interval_3127	chr3	144622975	144623116	+	0	NA	Intergenic	NA	649720	C3orf58								
Interval_424	chr1	229109523	229109688	+	0	NA	Intergenic	NA	146699	LOC102723935								
Interval_4720	chr9	134025209	134025402	+	0	NA	promoter-TSS (LINC00094)	NA	-134	LINC00094								
Interval_4560	chr9	4936884	4937076	+	0	NA	Intergenic	NA	-48265	JAK2								
Interval_4820	chrX	63761733	63761952	+	0	NA	intron (ARHGEF9, intron 1 of 10)	NA	-6764	ARHGEF9								
Interval_988	chr12	79127283	79127399	+	0	NA	intron (SYT1, intron 2 of 9)	NA	262627	SYT1								
Interval_4511	chr8	131815874	131816217	+	0	NA	Intergenic	NA	-88064	EFR3A								
Interval_5	chr1	2212502	2212878	+	0	NA	promoter-TSS (C1orf86)	NA	-17902	C1orf86								
Interval_2826	chr22	24867460	24867635	+	0	NA	intron (SGSM1, intron 10 of 23)	NA	61378	SGSM1								
Interval_193	chr1	109042383	109042512	+	0	NA	promoter-TSS (WDR47)	NA	-295	WDR47								
Interval_1624	chr16	58921981	58922097	+	0	NA	Intergenic	NA	-187682	GOT2								
Interval_2730	chr21	17849137	17849422	+	0	NA	intron (CHODL-AS1, intron 1 of 2)	NA	-16523	LOC102724267								
Interval_4293	chr8	33561321	33561679	+	0	NA	intron (RNF122, intron 1 of 5)	NA	5628	RNF122								
Interval_3379	chr4	152531632	152531776	+	0	NA	intron (FBXW7, intron 2 of 3)	NA	-4560	DKFZP434I0714								
Interval_1914	chr18	47953606	47953722	+	0	NA	Intergenic	NA	-22518	SMAD2								
Interval_2375	chr2	100562738	100562866	+	0	NA	promoter-TSS (PDCL3)	NA	-154	PDCL3								
Interval_3529	chr5	91266407	91266650	+	0	NA	Intergenic	NA	15539	LOC729040								
Interval_3611	chr5	146402183	146402308	+	0	NA	Intergenic	NA	-45066	TCERG1								
Interval_4682	chr9	119375935	119376188	+	0	NA	Intergenic	NA	-6600	BRINP1								
Interval_4276	chr8	26617779	26618001	+	0	NA	intron (DPYSL2, intron 3 of 13)	NA	40066	DPYSL2								
Interval_3942	chr6	159801943	159802106	+	0	NA	intron (PNLDC1, intron 3 of 18)	NA	1775	PNLDC1								
Interval_3251	chr4	31918984	31919230	+	0	NA	Intergenic	NA	-78272	LOC102723828								
Interval_553	chr10	64040813	64040980	+	0	NA	Intergenic	NA	-153907	LOC101928859								
Interval_4146	chr7	114442303	114442472	+	0	NA	intron (FOXP2, intron 1 of 8)	NA	27390	FOXP2								
Interval_3173	chr3	180284326	180284592	+	0	NA	Intergenic	NA	-129714	LOC100505609								
Interval_3062	chr3	105806423	105806567	+	0	NA	intron (CBLB, intron 3 of 18)	NA	62517	CBLB								
Interval_1532	chr16	10297481	10297699	+	0	NA	Intergenic	NA	-88465	ATF7IP2								
Interval_2775	chr21	38756026	38756310	+	0	NA	intron (LINC00114, intron 1 of 6)	NA	17309	LINC00114								
Interval_68	chr1	31111332	31111535	+	0	NA	Intergenic	NA	-13167	LOC102723848								
Interval_4439	chr8	100722177	100722390	+	0	NA	promoter-TSS (PABPC1)	NA	-196	PABPC1								
Interval_829	chr11	119361413	119361676	+	0	NA	intron (USP2, intron 1 of 11)	NA	-14871	MFRP								
Interval_4813	chrX	45507094	45507210	+	0	NA	intron (RP11-245M24.1, intron 1 of 3)	NA	1764	RP11-245M24.1								
Interval_434	chr1	233868557	233868769	+	0	NA	Intergenic	NA	244468	MIR4427								
Interval_4108	chr7	86785722	86785838	+	0	NA	intron (GRM3, intron 2 of 5)	NA	20770	GRM3								
Interval_797	chr11	94558560	94558819	+	0	NA	Intergenic	NA	-8619	PIWIL4								
Interval_59	chr1	26385657	26385901	+	0	NA	Intergenic	NA	-13004	ZNF683								
Interval_454	chr1	241776560	241776843	+	0	NA	intron (WDR64, intron 21 of 27)	NA	-72030	EXO1								
Interval_1115	chr13	24042803	24043012	+	0	NA	intron (SPATA13, intron 3 of 14)	NA	63281	SPATA13								
Interval_1598	chr16	46389691	46390079	+	0	NA	Intergenic	NA	179212	ANKRD26P1								
Interval_2264	chr2	37822743	37823031	+	0	NA	Intergenic	NA	52976	LINC00211								
Interval_108	chr1	48661762	48661946	+	0	NA	intron (AGBL4, intron 7 of 13)	NA	114213	BEND5								
Interval_2626	chr20	12053312	12053740	+	0	NA	Intergenic	NA	161033	BTBD3								
Interval_3391	chr4	158521760	158521975	+	0	NA	exon (RXFP1, exon 1 of 18)	NA	153	RXFP1								
Interval_1759	chr17	42775590	42776161	+	0	NA	intron (VPS25, intron 4 of 5)	NA	2439	VPS25								
Interval_561	chr10	69061490	69061805	+	0	NA	Intergenic	NA	-26425	SRGN								
Interval_663	chr10	131739250	131739454	+	0	NA	Intergenic	NA	50847	LINC01164								
Interval_2608	chr20	5642857	5643020	+	0	NA	Intergenic	NA	-32382	GPCPD1								
Interval_877	chr12	11786966	11787268	+	0	NA	intron (ETV6, intron 2 of 7)	NA	99601	LOC101928186								
Interval_2649	chr20	23334139	23334680	+	0	NA	Intergenic	NA	-16327	NXT1								
Interval_2983	chr3	43180230	43180349	+	0	NA	Intergenic	NA	-27168	LOC102723588								
Interval_4484	chr8	124017627	124017907	+	0	NA	intron (FER1L6, intron 16 of 40)	NA	23015	FER1L6-AS1								
Interval_1267	chr14	75184494	75184745	+	0	NA	Intergenic	NA	-7973	TMED10								
Interval_1789	chr17	57541947	57542289	+	0	NA	intron (MSI2, intron 7 of 13)	NA	-18521	RP11-118E18.2								
Interval_4611	chr9	76559412	76559635	+	0	NA	Intergenic	NA	57765	GCNT1								
Interval_3429	chr5	440463	440780	+	0	NA	TTS (C5orf55)	NA	2522	C5orf55								
Interval_687	chr11	11416696	11416831	+	0	NA	intron (GALNT18, intron 3 of 10)	NA	-63406	CSNK2A3								
Interval_2719	chr20	62728348	62728664	+	0	NA	intron (NTSR1, intron 1 of 3)	NA	19669	NTSR1								
Interval_2769	chr21	35932174	35932521	+	0	NA	Intergenic	NA	52483	LOC101928269								
Interval_3957	chr6	167855809	167856148	+	0	NA	intron (MLLT4, intron 1 of 31)	NA	28987	MLLT4								
Interval_1318	chr14	96685120	96685321	+	0	NA	Intergenic	NA	92429	LOC102724667								
Interval_3282	chr4	52853361	52853722	+	0	NA	Intergenic	NA	-8787	RASL11B								
Interval_1845	chr17	78889712	78889866	+	0	NA	TTS (LOC100653515)	NA	13428	LOC100653515								
Interval_3135	chr3	151903486	151903695	+	0	NA	intron (RP11-454C18.2, intron 1 of 3)	NA	24585	RP11-454C18.2								
Interval_773	chr11	73274828	73274998	+	0	NA	intron (P2RY6, intron 2 of 2)	NA	10319	P2RY6								
Interval_2625	chr20	11734962	11735102	+	0	NA	Intergenic	NA	-47680	LOC102724924								
Interval_3686	chr6	9136440	9136556	+	0	NA	Intergenic	NA	484289	HULC								
Interval_3368	chr4	144316981	144317165	+	0	NA	Intergenic	NA	-176322	GYPA								
Interval_2675	chr20	40431862	40431978	+	0	NA	Intergenic	NA	187265	LOC102724968								
Interval_1647	chr16	73086188	73086471	+	0	NA	Intergenic	NA	-6020	HCCAT5								
Interval_4229	chr8	9899386	9899859	+	0	NA	TTS (LINC00599)	NA	3707	LINC00599								
Interval_3671	chr5	178539091	178539293	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	51380	COL23A1								
Interval_433	chr1	232767761	232768086	+	0	NA	Intergenic	NA	-25208	RP11-66A2.2								
Interval_2220	chr2	12456363	12456733	+	0	NA	intron (AC096559.1, intron 4 of 5)	NA	257410	MIR3681								
Interval_261	chr1	157660053	157660169	+	0	NA	Intergenic	NA	40652	FCRL3								
Interval_2259	chr2	36646282	36646506	+	0	NA	Intergenic	NA	-50296	VIT								
Interval_3158	chr3	170128675	170128830	+	0	NA	exon (PHC3, exon 8 of 10)	NA	52981	PHC3								
Interval_1901	chr18	35153733	35153856	+	0	NA	Intergenic	NA	-87331	ZNF397								
Interval_4334	chr8	43163307	43163495	+	0	NA	intron (HGSNAT, intron 5 of 17)	NA	22952	HGSNAT								
Interval_4409	chr8	81488896	81489061	+	0	NA	Intergenic	NA	-5740	FABP4								
Interval_2616	chr20	8019771	8020002	+	0	NA	promoter-TSS (TMX4)	NA	-140	TMX4								
Interval_2967	chr3	39167309	39167690	+	0	NA	intron (LOC101928263, intron 1 of 2)	NA	-12897	CSRNP1								
Interval_2558	chr2	227407672	227407991	+	0	NA	Intergenic	NA	-28525	TM4SF20								
Interval_2342	chr2	78784672	78784821	+	0	NA	Intergenic	NA	-240940	REG3G								
Interval_3145	chr3	157160630	157161050	+	0	NA	promoter-TSS (CCNL1)	NA	-147	CCNL1								
Interval_3952	chr6	166235302	166235512	+	0	NA	Intergenic	NA	-66738	T								
Interval_4796	chrX	20988198	20988367	+	0	NA	Intergenic	NA	156216	LOC102724166								
Interval_3779	chr6	45445820	45446144	+	0	NA	intron (RUNX2, intron 3 of 5)	NA	-77514	SUPT3H								
Interval_1760	chr17	43251614	43251808	+	0	NA	Intergenic	NA	-17734	RNU2-1								
Interval_3123	chr3	141680043	141680237	+	0	NA	intron (LOC646730, intron 2 of 5)	NA	17048	LOC646730								
Interval_569	chr10	72297229	72297588	+	0	NA	Intergenic	NA	23489	DDIT4								
Interval_2188	chr19	55857262	55857580	+	0	NA	intron (NLRP4, intron 2 of 9)	NA	20497	NLRP4								
Interval_3358	chr4	139675120	139675283	+	0	NA	intron (MGST2, intron 1 of 4)	NA	9433	MGST2								
Interval_367	chr1	207873221	207873393	+	0	NA	Intergenic	NA	38031	CD34								
Interval_975	chr12	68267990	68268114	+	0	NA	Intergenic	NA	-14453	IL22								
Interval_861	chr12	2501438	2501578	+	0	NA	intron (CACNA1C, intron 2 of 43)	NA	189649	CACNA1C-AS1								
Interval_1429	chr15	67839986	67840374	+	0	NA	promoter-TSS (RNU6-1)	NA	-135	RNU6-1								
Interval_151	chr1	77993142	77993252	+	0	NA	intron (DNAJB4, intron 1 of 2)	NA	14034	DNAJB4								
Interval_3260	chr4	37967938	37968054	+	0	NA	intron (TBC1D1, intron 2 of 20)	NA	7561	PTTG2								
Interval_4077	chr7	71307687	71307849	+	0	NA	promoter-TSS (MIR3914-1)	NA	2	MIR3914-1								
Interval_3842	chr6	104772789	104772988	+	0	NA	intron (HACE1, intron 16 of 22)	NA	87031	HACE1								
Interval_722	chr11	45383279	45383395	+	0	NA	intron (FLJ41423, intron 3 of 4)	NA	11934	FLJ41423								
Interval_3439	chr5	9188227	9188412	+	0	NA	intron (SEMA5A, intron 10 of 21)	NA	-134433	MIR4636								
Interval_4273	chr8	26071327	26071527	+	0	NA	Intergenic	NA	-26303	EBF2								
Interval_1743	chr17	34486087	34486306	+	0	NA	Intergenic	NA	93173	C17orf102								
Interval_4673	chr9	113756962	113757141	+	0	NA	Intergenic	NA	-119231	ZNF618								
Interval_102	chr1	46173560	46173723	+	0	NA	Intergenic	NA	-1436	TSPAN1								
Interval_805	chr11	98590174	98590374	+	0	NA	Intergenic	NA	-430702	CNTN5								
Interval_673	chr11	1572179	1572486	+	0	NA	promoter-TSS (DUSP8)	NA	-409	KRTAP5-AS1								
Interval_3287	chr4	64119844	64120001	+	0	NA	Intergenic	NA	289538	TECRL								
Interval_2957	chr3	32684357	32684640	+	0	NA	promoter-TSS (CNOT10)	NA	-11043	CNOT10								
Interval_2249	chr2	27831476	27831651	+	0	NA	intron (RBKS, intron 7 of 8)	NA	58833	RBKS								
Interval_2803	chr22	16795725	16795858	+	0	NA	intron (XKR3, intron 3 of 3)	NA	25903	XKR3								
Interval_2425	chr2	139465913	139466037	+	0	NA	Intergenic	NA	568651	YY1P2								
Interval_3438	chr5	7756544	7756660	+	0	NA	intron (ADCY2, intron 15 of 24)	NA	94888	C5orf49								
Interval_3725	chr6	20180977	20181205	+	0	NA	intron (MBOAT1, intron 1 of 7)	NA	-31021	LOC101928573								
Interval_215	chr1	123531546	123531669	+	0	NA	Intergenic	NA	2012495	EMBP1								
Interval_3038	chr3	72100835	72100988	+	0	NA	promoter-TSS (LINC00877)	NA	-456	LINC00877								
Interval_2254	chr2	32356966	32357094	+	0	NA	promoter-TSS (BIRC6)	NA	2	BIRC6								
Interval_2905	chr3	10232128	10232391	+	0	NA	intron (IRAK2, intron 9 of 11)	NA	-16234	TATDN2								
Interval_2487	chr2	185502537	185502834	+	0	NA	Intergenic	NA	-235943	FSIP2								
Interval_3126	chr3	144593965	144594098	+	0	NA	Intergenic	NA	620706	C3orf58								
Interval_2919	chr3	12934636	12934875	+	0	NA	intron (IQSEC1, intron 3 of 13)	NA	-93173	RPL32								
Interval_1442	chr15	70486773	70487082	+	0	NA	Intergenic	NA	99679	LOC101929151								
Interval_422	chr1	228800254	228800387	+	0	NA	Intergenic	NA	65243	RHOU								
Interval_2864	chr22	37284722	37285347	+	0	NA	intron (CYTH4, intron 1 of 12)	NA	2580	CYTH4								
Interval_1788	chr17	57422691	57423146	+	0	NA	intron (MSI2, intron 6 of 13)	NA	100679	RP11-118E18.2								
Interval_2119	chr19	42201688	42201853	+	0	NA	exon (DEDD2, exon 5 of 5)	NA	16022	DEDD2								
Interval_2580	chr2	237919421	237919617	+	0	NA	Intergenic	NA	-47426	UBE2F								
Interval_1607	chr16	46401052	46401210	+	0	NA	Intergenic	NA	167966	ANKRD26P1								
Interval_3910	chr6	143003999	143004268	+	0	NA	intron (RP11-439L18.3, intron 2 of 2)	NA	33449	RP11-439L18.3								
Interval_4732	chrM	1623	1903	+	0	NA	promoter-TSS (RNR2)	NA	92	RNR2								
Interval_4154	chr7	120060387	120060651	+	0	NA	Intergenic	NA	-213116	KCND2								
Interval_4332	chr8	42920071	42920275	+	0	NA	intron (HOOK3, intron 2 of 21)	NA	23283	HOOK3								
Interval_1715	chr17	15959182	15959348	+	0	NA	intron (ADORA2B, intron 1 of 1)	NA	14348	ADORA2B								
Interval_4120	chr7	94167612	94167831	+	0	NA	Intergenic	NA	106265	LOC102723946								
Interval_3153	chr3	167484676	167484830	+	0	NA	intron (WDR49, intron 14 of 14)	NA	-10621	SERPINI2								
Interval_4132	chr7	101717791	101717954	+	0	NA	Intergenic	NA	-93589	MYL10								
Interval_1350	chr15	29269972	29270162	+	0	NA	promoter-TSS (NDNL2)	NA	-251	NDNL2								
Interval_674	chr11	2480946	2481164	+	0	NA	intron (KCNQ1, intron 1 of 15)	NA	36064	KCNQ1								
Interval_2953	chr3	30193566	30193857	+	0	NA	Intergenic	NA	-156979	LOC101927995								
Interval_2853	chr22	35301601	35301787	+	0	NA	intron (TOM1, intron 1 of 14)	NA	1890	TOM1								
Interval_1791	chr17	57698811	57698943	+	0	NA	Intergenic	NA	46452	CCDC182								
Interval_3523	chr5	87081581	87081765	+	0	NA	Intergenic	NA	33271	MIR4280								
Interval_2880	chr22	41448381	41448785	+	0	NA	promoter-TSS (TOB2)	NA	-3297	TOB2								
Interval_4688	chr9	121359776	121360048	+	0	NA	intron (STOM, intron 1 of 5)	NA	10392	STOM								
Interval_1750	chr17	37849228	37849390	+	0	NA	intron (YWHAEP7, intron 5 of 6)	NA	35434	YWHAEP7								
Interval_4677	chr9	114591342	114591486	+	0	NA	intron (ATP6V1G1, intron 1 of 2)	NA	3700	ATP6V1G1								
Interval_1874	chr18	11407953	11408119	+	0	NA	Intergenic	NA	-82038	RP11-712C7.1								
Interval_4095	chr7	76302533	76302713	+	0	NA	promoter-TSS (HSPB1)	NA	65	HSPB1								
Interval_4711	chr9	129888667	129888783	+	0	NA	exon (FNBP1, exon 17 of 17)	NA	19115	MIR6855								
Interval_2542	chr2	219406856	219407118	+	0	NA	Intergenic	NA	-11390	DES								
Interval_4753	chrUn_KI270438v1	104828	104949	+	0	NA	NA	NA	NA	NA								
Interval_2909	chr3	10696148	10696306	+	0	NA	intron (ATP2B2, intron 1 of 23)	NA	11728	ATP2B2								
Interval_1461	chr15	77964354	77964463	+	0	NA	Intergenic	NA	-11606	LOC440292								
Interval_1031	chr12	98619087	98619262	+	0	NA	intron (IKBIP, intron 1 of 1)	NA	19539	SNORA53								
Interval_2341	chr2	74807074	74807228	+	0	NA	Intergenic	NA	-25504	HK2								
Interval_2495	chr2	192236318	192236436	+	0	NA	Intergenic	NA	-41459	TMEFF2								
Interval_2955	chr3	31581829	31581946	+	0	NA	intron (STT3B, intron 3 of 15)	NA	49249	STT3B								
Interval_3775	chr6	43798970	43799278	+	0	NA	Intergenic	NA	28915	VEGFA								
Interval_130	chr1	64933631	64933908	+	0	NA	intron (JAK1, intron 1 of 24)	NA	33141	JAK1								
Interval_684	chr11	10442185	10442301	+	0	NA	Intergenic	NA	-8078	AMPD3								
Interval_2458	chr2	162093240	162093472	+	0	NA	Intergenic	NA	-18814	DPP4								
Interval_1961	chr18	74217562	74217729	+	0	NA	Intergenic	NA	68814	TIMM21								
Interval_4159	chr7	127833706	127833986	+	0	NA	intron (SND1, intron 11 of 23)	NA	-163663	SND1-IT1								
Interval_999	chr12	89733614	89733995	+	0	NA	Intergenic	NA	24849	LINC00936								
Interval_60	chr1	26744131	26744459	+	0	NA	intron (ARID1A, intron 4 of 19)	NA	-43668	PIGV								
Interval_1524	chr16	8870978	8871205	+	0	NA	Intergenic	NA	-2730	CARHSP1								
Interval_550	chr10	63156368	63156491	+	0	NA	Intergenic	NA	23104	NRBF2								
Interval_3047	chr3	90609632	90610068	+	0	NA	Intergenic	NA	826403	LOC101930420								
Interval_2235	chr2	20446794	20447309	+	0	NA	promoter-TSS (RHOB)	NA	-23	RHOB								
Interval_4299	chr8	35362073	35362282	+	0	NA	intron (UNC5D, intron 1 of 16)	NA	-187121	UNC5D								
Interval_2043	chr19	11381103	11381424	+	0	NA	intron (EPOR, intron 4 of 7)	NA	3079	EPOR								
Interval_2395	chr2	112275388	112275551	+	0	NA	promoter-TSS (ZC3H6)	NA	-132	ZC3H6								
Interval_2192	chr19	58278121	58278363	+	0	NA	promoter-TSS (ZNF8)	NA	-710	ZNF8								
Interval_2925	chr3	15682890	15683138	+	0	NA	intron (ANKRD28, intron 21 of 27)	NA	14313	MIR3134								
Interval_3815	chr6	79544629	79545177	+	0	NA	Intergenic	NA	-7473	LCA5								
Interval_2059	chr19	14822109	14822382	+	0	NA	intron (OR7C1, intron 1 of 2)	NA	12956	OR7A5								
Interval_402	chr1	221815791	221815959	+	0	NA	Intergenic	NA	24810	RP11-191N8.2								
Interval_3329	chr4	108617566	108617848	+	0	NA	intron (RPL34-AS1, intron 1 of 3)	NA	2750	RPL34-AS1								
Interval_795	chr11	94534222	94534557	+	0	NA	Intergenic	NA	-9462	FUT4								
Interval_1076	chr12	121129120	121129521	+	0	NA	Intergenic	NA	-3508	P2RX7								
Interval_111	chr1	50999410	50999585	+	0	NA	intron (C1orf185, intron 3 of 6)	NA	29527	CDKN2C								
Interval_2123	chr19	43487605	43487773	+	0	NA	intron (PHLDB3, intron 9 of 15)	NA	17232	PHLDB3								
Interval_4143	chr7	112266726	112266894	+	0	NA	intron (ZNF277, intron 1 of 10)	NA	60113	ZNF277								
Interval_2164	chr19	50372082	50372208	+	0	NA	Intergenic	NA	-4278	NR1H2								
Interval_176	chr1	98840599	98840732	+	0	NA	Intergenic	NA	-163611	RP5-896L10.1								
Interval_2451	chr2	158999527	158999667	+	0	NA	intron (TANC1, intron 1 of 26)	NA	-60415	TANC1								
Interval_3543	chr5	99605949	99606255	+	0	NA	Intergenic	NA	68207	LOC102724855								
Interval_3022	chr3	58471483	58471710	+	0	NA	promoter-TSS (LOC101929223)	NA	-59	LOC101929223								
Interval_3068	chr3	108529076	108529254	+	0	NA	intron (MYH15, intron 1 of 41)	NA	157	MYH15								
Interval_3774	chr6	43629982	43630257	+	0	NA	promoter-TSS (GTPBP2)	NA	577	MAD2L1BP								
Interval_439	chr1	234613478	234613826	+	0	NA	Intergenic	NA	-4127	IRF2BP2								
Interval_148	chr1	76076049	76076333	+	0	NA	intron (ST6GALNAC3, intron 1 of 3)	NA	62931	RP11-550H2.1								
Interval_4359	chr8	56559056	56559221	+	0	NA	intron (LINC00968, intron 1 of 2)	NA	685	LINC00968								
Interval_414	chr1	226002152	226002374	+	0	NA	Intergenic	NA	-2898	SDE2								
Interval_1938	chr18	59918510	59918790	+	0	NA	Intergenic	NA	18690	PMAIP1								
Interval_2642	chr20	20780535	20780733	+	0	NA	Intergenic	NA	-67996	RALGAPA2								
Interval_3689	chr6	11207188	11207518	+	0	NA	intron (NEDD9, intron 2 of 2)	NA	25329	NEDD9								
Interval_2061	chr19	15372543	15372902	+	0	NA	intron (AKAP8, intron 5 of 13)	NA	7079	AKAP8								
Interval_67	chr1	31028223	31028486	+	0	NA	intron (PUM1, intron 3 of 21)	NA	37363	PUM1								
Interval_4553	chr8	144792328	144792536	+	0	NA	promoter-TSS (RPL8)	NA	-88	RPL8								
Interval_1675	chr16	87464529	87464974	+	0	NA	intron (ZCCHC14, intron 1 of 11)	NA	27103	ZCCHC14								
Interval_41	chr1	19505277	19505484	+	0	NA	Intergenic	NA	-19739	CAPZB								
Interval_1447	chr15	73303758	73303948	+	0	NA	exon (NEO1, exon 28 of 28)	NA	65411	HCN4								
Interval_2733	chr21	20163404	20163586	+	0	NA	Intergenic	NA	639613	LINC00320								
Interval_3836	chr6	97231993	97232182	+	0	NA	intron (MMS22L, intron 12 of 24)	NA	51089	MMS22L								
Interval_1883	chr18	23740093	23740394	+	0	NA	intron (LAMA3, intron 2 of 74)	NA	50645	LAMA3								
Interval_4032	chr7	30226077	30226277	+	0	NA	Intergenic	NA	-58130	ZNRF2								
Interval_969	chr12	64500520	64500784	+	0	NA	intron (TBK1, intron 20 of 20)	NA	48462	TBK1								
Interval_2628	chr20	12172196	12172581	+	0	NA	Intergenic	NA	279895	BTBD3								
Interval_856	chr12	481550	481772	+	0	NA	intron (B4GALNT3, intron 1 of 19)	NA	21284	B4GALNT3								
Interval_2010	chr19	4925140	4925365	+	0	NA	intron (UHRF1, intron 2 of 16)	NA	-7435	MIR4747								
Interval_739	chr11	61680255	61680435	+	0	NA	promoter-TSS (DAGLA)	NA	-88	DAGLA								
Interval_2106	chr19	39398298	39398654	+	0	NA	exon (MED29, exon 4 of 4)	NA	7153	MED29								
Interval_1710	chr17	12713987	12714185	+	0	NA	intron (MYOCD, intron 3 of 14)	NA	-7951	AC005358.3								
Interval_3683	chr6	7202115	7202281	+	0	NA	intron (RREB1, intron 6 of 11)	NA	93243	RREB1								
Interval_4489	chr8	124815503	124815763	+	0	NA	Intergenic	NA	-6394	MIR4662A								
Interval_4024	chr7	27137315	27137448	+	0	NA	intron (HOXA3, intron 1 of 5)	NA	-2983	HOXA-AS3								
Interval_1328	chr14	103427551	103427865	+	0	NA	promoter-TSS (MARK3)	NA	42344	MARK3								
Interval_2051	chr19	13208210	13208467	+	0	NA	intron (CACNA1A, intron 46 of 46)	NA	57870	IER2								
Interval_2573	chr2	234071857	234071989	+	0	NA	intron (SPP2, intron 7 of 7)	NA	21220	SPP2								
Interval_1974	chr18	77128219	77128604	+	0	NA	intron (MBP, intron 1 of 7)	NA	-23125	MBP								
Interval_4764	chrX	1273960	1274112	+	0	NA	intron (CSF2RA, intron 1 of 10)	NA	5236	CSF2RA								
Interval_866	chr12	6167741	6168198	+	0	NA	Intergenic	NA	-32350	CD9								
Interval_1963	chr18	74485007	74485187	+	0	NA	Intergenic	NA	-11265	CNDP2								
Interval_3185	chr3	186342330	186342641	+	0	NA	intron (DGKG, intron 1 of 24)	NA	19749	DGKG								
Interval_4601	chr9	35533422	35533686	+	0	NA	intron (RUSC2, intron 1 of 10)	NA	30345	FAM166B								
Interval_954	chr12	53452954	53453074	+	0	NA	intron (PCBP2, intron 1 of 14)	NA	912	PCBP2								
Interval_3720	chr6	17381607	17381850	+	0	NA	Intergenic	NA	-11777	CAP2								
Interval_2286	chr2	47340720	47340880	+	0	NA	intron (AC073283.4, intron 1 of 4)	NA	4274	AC073283.4								
Interval_2635	chr20	18513265	18513508	+	0	NA	intron (SEC23B, intron 3 of 19)	NA	5842	SEC23B								
Interval_1236	chr14	59704020	59704183	+	0	NA	intron (RTN1, intron 3 of 8)	NA	-57118	MIR5586								
Interval_890	chr12	15700639	15700826	+	0	NA	intron (EPS8, intron 1 of 20)	NA	12256	EPS8								
Interval_1876	chr18	11806795	11806991	+	0	NA	intron (GNAL, intron 4 of 12)	NA	-44497	CHMP1B								
Interval_3681	chr6	7058288	7058496	+	0	NA	Intergenic	NA	-50563	RREB1								
Interval_1824	chr17	73665026	73665319	+	0	NA	Intergenic	NA	-21084	SDK2								
Interval_4506	chr8	129490613	129490781	+	0	NA	Intergenic	NA	-6555	MIR3686								
Interval_164	chr1	89815670	89815960	+	0	NA	Intergenic	NA	-5199	LRRC8D								
Interval_2992	chr3	46349760	46350004	+	0	NA	Intergenic	NA	-3862	CCR2								
Interval_4701	chr9	124872807	124873061	+	0	NA	intron (ARPC5L, intron 3 of 5)	NA	3729	ARPC5L								
Interval_2885	chr22	45742997	45743177	+	0	NA	intron (ATXN10, intron 9 of 11)	NA	-17437	MIR4762								
Interval_299	chr1	179952273	179952428	+	0	NA	Intergenic	NA	-2468	CEP350								
Interval_3645	chr5	163941105	163941463	+	0	NA	Intergenic	NA	220114	LOC102724458								
Interval_1023	chr12	94208265	94208444	+	0	NA	intron (PLXNC1, intron 4 of 29)	NA	59400	PLXNC1								
Interval_1008	chr12	91098367	91098528	+	0	NA	Intergenic	NA	13318	LUM								
Interval_3874	chr6	122399335	122399533	+	0	NA	promoter-TSS (HSF2)	NA	-117	HSF2								
Interval_2047	chr19	12883744	12883894	+	0	NA	TTS (KLF1)	NA	-2298	DNASE2								
Interval_2436	chr2	149290681	149290878	+	0	NA	Intergenic	NA	-39206	LYPD6								
Interval_3858	chr6	109299801	109300148	+	0	NA	intron (CCDC162P, intron 2 of 3)	NA	5671	CCDC162P								
Interval_547	chr10	62653327	62653481	+	0	NA	intron (ZNF365, intron 2 of 6)	NA	-151352	ADO								
Interval_3859	chr6	109454862	109455003	+	0	NA	intron (MICAL1, intron 1 of 24)	NA	1055	MICAL1								
Interval_1132	chr13	31201522	31201706	+	0	NA	intron (B3GALTL, intron 1 of 14)	NA	-4701	B3GALTL								
Interval_3325	chr4	107065307	107065486	+	0	NA	Intergenic	NA	-29100	DKK2								
