PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_10628	chr19	12612844	12613187	+	0	NA	intron (ZNF791, intron 1 of 3)	NA	2097	ZNF791								
Interval_1277	chr1	150579852	150580409	+	0	NA	promoter-TSS (MCL1)	NA	-392	MCL1								
Interval_18442	chr6	26577273	26577583	+	0	NA	TTS (TRNAY7)	NA	324	TRNAY7								
Interval_13855	chr20	38032780	38034478	+	0	NA	promoter-TSS (TTI1)	NA	120	RPRD1B								
Interval_2859	chr10	95183263	95183442	+	0	NA	Intergenic	NA	-10848	C10orf129								
Interval_13014	chr2	189762520	189763118	+	0	NA	promoter-TSS (OSGEPL1)	NA	-27	OSGEPL1								
Interval_3049	chr10	114024981	114025353	+	0	NA	Intergenic	NA	-18880	ADRB1								
Interval_18377	chr6	25178624	25179408	+	0	NA	Intergenic	NA	-41193	CMAHP								
Interval_16757	chr4	88523122	88523743	+	0	NA	promoter-TSS (LOC101929134)	NA	369	PIGY								
Interval_21668	chr9	34180223	34180509	+	0	NA	intron (UBAP1, intron 1 of 6)	NA	1361	UBAP1								
Interval_2779	chr10	80535701	80536016	+	0	NA	exon (LOC101929574, exon 1 of 3)	NA	183	LOC101929574								
Interval_248	chr1	17437793	17439675	+	0	NA	promoter-TSS (RCC2)	NA	1020	RCC2								
Interval_21298	chr8	129550347	129550699	+	0	NA	Intergenic	NA	-66381	MIR3686								
Interval_10552	chr19	10096444	10096764	+	0	NA	intron (ANGPTL6, intron 1 of 5)	NA	6284	ANGPTL6								
Interval_19518	chr7	5529242	5530704	+	0	NA	promoter-TSS (ACTB)	NA	628	ACTB								
Interval_13929	chr20	45891386	45891631	+	0	NA	promoter-TSS (NEURL2)	NA	-221	NEURL2								
Interval_13774	chr20	34222365	34222551	+	0	NA	Intergenic	NA	-37907	ASIP								
Interval_5650	chr13	37000288	37001403	+	0	NA	intron (EXOSC8, intron 1 of 9)	NA	472	EXOSC8								
Interval_14669	chr22	31489168	31490525	+	0	NA	promoter-TSS (EIF4ENIF1)	NA	-285	EIF4ENIF1								
Interval_17527	chr5	94111281	94111615	+	0	NA	promoter-TSS (FAM172A)	NA	222	FAM172A								
Interval_18974	chr6	89379382	89379569	+	0	NA	intron (RRAGD, intron 3 of 6)	NA	-26575	UBE2J1								
Interval_2923	chr10	100186226	100187445	+	0	NA	promoter-TSS (ERLIN1)	NA	-806	ERLIN1								
Interval_4691	chr12	32679265	32679743	+	0	NA	promoter-TSS (DNM1L)	NA	304	DNM1L								
Interval_18927	chr6	74879478	74879704	+	0	NA	Intergenic	NA	326316	COL12A1								
Interval_16832	chr4	113784822	113785099	+	0	NA	Intergenic	NA	-23215	CAMK2D								
Interval_19322	chr6	159043648	159043829	+	0	NA	intron (TAGAP, intron 3 of 7)	NA	1414	TAGAP								
Interval_15409	chr3	46695125	46695322	+	0	NA	intron (TMIE, intron 1 of 3)	NA	-1550	ALS2CL								
Interval_1584	chr1	168225845	168226392	+	0	NA	exon (SFT2D2, exon 1 of 8)	NA	101	SFT2D2								
Interval_8567	chr17	8119051	8119280	+	0	NA	promoter-TSS (TRNAQ1)	NA	10	TRNAK1								
Interval_14814	chr22	40462785	40463959	+	0	NA	promoter-TSS (MKL1)	NA	-58428	RP4-591N18.2								
Interval_287	chr1	20660525	20661372	+	0	NA	exon (DDOST, exon 2 of 11)	NA	596	DDOST								
Interval_3867	chr11	65928416	65928691	+	0	NA	Intergenic	NA	9296	DRAP1								
Interval_9240	chr17	59804249	59806004	+	0	NA	intron (VMP1, intron 7 of 11)	NA	-36147	MIR21								
Interval_12218	chr2	58107542	58107843	+	0	NA	intron (VRK2, intron 7 of 12)	NA	61098	VRK2								
Interval_17283	chr5	43338887	43339269	+	0	NA	Intergenic	NA	-25566	HMGCS1								
Interval_403	chr1	26865374	26865801	+	0	NA	Intergenic	NA	2445	SFN								
Interval_20145	chr7	101244438	101245095	+	0	NA	intron (FIS1, intron 1 of 4)	NA	324	FIS1								
Interval_21850	chr9	93451693	93452871	+	0	NA	promoter-TSS (FAM120AOS)	NA	386	FAM120A								
Interval_8082	chr16	68470338	68470715	+	0	NA	Intergenic	NA	-68765	ZFP90								
Interval_8187	chr16	82170434	82170793	+	0	NA	promoter-TSS (MPHOSPH6)	NA	-389	MPHOSPH6								
Interval_14634	chr22	29553959	29554367	+	0	NA	promoter-TSS (THOC5)	NA	-403	THOC5								
Interval_9197	chr17	58083535	58083918	+	0	NA	intron (DYNLL2, intron 1 of 2)	NA	307	DYNLL2								
Interval_21829	chr9	92670102	92670256	+	0	NA	promoter-TSS (IPPK)	NA	80	IPPK								
Interval_12369	chr2	70301480	70301949	+	0	NA	intron (FAM136A, intron 1 of 3)	NA	342	FAM136A								
Interval_11771	chr19	58559775	58560148	+	0	NA	promoter-TSS (UBE2M)	NA	775	AC016629.8								
Interval_6982	chr15	69610311	69610557	+	0	NA	Intergenic	NA	48714	RP11-279F6.1								
Interval_5468	chr12	124918100	124919106	+	0	NA	Intergenic	NA	2993	MIR5188								
Interval_17075	chr4	184812816	184813226	+	0	NA	promoter-TSS (ACSL1)	NA	12241	ACSL1								
Interval_453	chr1	28236200	28236383	+	0	NA	intron (ATPIF1, intron 1 of 1)	NA	200	ATPIF1								
Interval_8740	chr17	28599955	28600216	+	0	NA	intron (SPAG5-AS1, intron 2 of 2)	NA	952	SPAG5-AS1								
Interval_22404	chr9	137301602	137301781	+	0	NA	exon (NRARP, exon 1 of 1)	NA	560	NRARP								
Interval_15178	chr3	17741591	17742512	+	0	NA	intron (TBC1D5, intron 1 of 21)	NA	564	TBC1D5								
Interval_1176	chr1	117059339	117059796	+	0	NA	promoter-TSS (TTF2)	NA	-77	RP11-27K13.3								
Interval_16586	chr4	48211612	48211906	+	0	NA	intron (TEC, intron 1 of 16)	NA	58038	TEC								
Interval_21994	chr9	112380086	112380369	+	0	NA	intron (HSDL2, intron 1 of 9)	NA	318	HSDL2								
Interval_15479	chr3	49276161	49276627	+	0	NA	TTS (USP4)	NA	681	C3orf62								
Interval_22164	chr9	127734842	127735445	+	0	NA	exon (TOR2A, exon 1 of 5)	NA	206	TOR2A								
Interval_20374	chr7	148962992	148963315	+	0	NA	promoter-TSS (RNY4)	NA	-162	RNY4								
Interval_11176	chr19	40749251	40750559	+	0	NA	promoter-TSS (C19orf54)	NA	18	C19orf54								
Interval_18582	chr6	31586274	31587892	+	0	NA	promoter-TSS (LST1)	NA	874	LST1								
Interval_8106	chr16	70346298	70346571	+	0	NA	promoter-TSS (DDX19A)	NA	313	LOC100506083								
Interval_20104	chr7	100158082	100158708	+	0	NA	TTS (GAL3ST4)	NA	284	C7orf43								
Interval_15416	chr3	47163036	47164024	+	0	NA	promoter-TSS (KIF9-AS1)	NA	447	SETD2								
Interval_18192	chr6	6556636	6557358	+	0	NA	intron (LY86-AS1, intron 3 of 7)	NA	-31704	LY86								
Interval_16848	chr4	119300196	119300495	+	0	NA	exon (C4orf3, exon 2 of 3)	NA	468	C4orf3								
Interval_12032	chr2	37084017	37084251	+	0	NA	promoter-TSS (GPATCH11)	NA	208	HEATR5B								
Interval_21388	chr8	141086506	141086755	+	0	NA	Intergenic	NA	41033	LOC101927963								
Interval_12317	chr2	68367501	68367910	+	0	NA	intron (PLEK, intron 1 of 8)	NA	-2012	LOC101927723								
Interval_9625	chr17	81636427	81637119	+	0	NA	intron (NPLOC4, intron 1 of 16)	NA	339	NPLOC4								
Interval_20291	chr7	130393860	130394183	+	0	NA	exon (CEP41, exon 11 of 11)	NA	13572	CPA1								
Interval_18350	chr6	20173920	20174373	+	0	NA	intron (MBOAT1, intron 1 of 7)	NA	-37966	LOC101928573								
Interval_16222	chr3	184711474	184711980	+	0	NA	exon (MAGEF1, exon 1 of 1)	NA	321	MAGEF1								
Interval_15377	chr3	46223250	46223563	+	0	NA	Intergenic	NA	-15065	CCR1								
Interval_4470	chr12	6688624	6689541	+	0	NA	promoter-TSS (ZNF384)	NA	-126	ZNF384								
Interval_2219	chr1	246083459	246083759	+	0	NA	intron (SMYD3, intron 5 of 11)	NA	-27384	LOC101928089								
Interval_17181	chr5	16629071	16629595	+	0	NA	intron (RP11-260E18.1, intron 3 of 3)	NA	13407	RP11-260E18.1								
Interval_1844	chr1	206575386	206576291	+	0	NA	intron (RASSF5, intron 1 of 4)	NA	36713	EIF2D								
Interval_22758	chrX	77899567	77900010	+	0	NA	intron (COX7B, intron 1 of 2)	NA	324	COX7B								
Interval_8166	chr16	80540670	80540904	+	0	NA	promoter-TSS (DYNLRB2)	NA	-565	DYNLRB2								
Interval_7308	chr15	100941183	100941403	+	0	NA	intron (LRRK1, intron 2 of 33)	NA	-22061	LOC101927751								
Interval_17207	chr5	32522856	32523020	+	0	NA	Intergenic	NA	-62561	SUB1								
Interval_9922	chr18	49053071	49053705	+	0	NA	intron (DYM, intron 16 of 16)	NA	-3620	MIR4744								
Interval_15777	chr3	112813792	112814000	+	0	NA	Intergenic	NA	32054	CD200R1L								
Interval_10220	chr19	1651852	1652372	+	0	NA	promoter-TSS (TCF3)	NA	222	TCF3								
Interval_12614	chr2	108652898	108653077	+	0	NA	intron (LIMS1, intron 1 of 10)	NA	64686	LIMS1								
Interval_16860	chr4	122661486	122661705	+	0	NA	intron (IL21-AS1, intron 10 of 10)	NA	-40538	IL21								
Interval_6908	chr15	64162307	64163053	+	0	NA	intron (PPIB, intron 1 of 4)	NA	475	PPIB								
Interval_21621	chr9	27352451	27353159	+	0	NA	intron (MOB3B, intron 3 of 3)	NA	-55666	EQTN								
Interval_9725	chr18	485203	485473	+	0	NA	intron (COLEC12, intron 1 of 9)	NA	15391	COLEC12								
Interval_13838	chr20	37005242	37005633	+	0	NA	intron (RBL1, intron 20 of 20)	NA	-53594	SAMHD1								
Interval_11522	chr19	49927942	49928234	+	0	NA	promoter-TSS (ATF5)	NA	-614	ATF5								
Interval_14848	chr22	41688208	41688833	+	0	NA	intron (NHP2L1, intron 1 of 3)	NA	389	NHP2L1								
Interval_9245	chr17	59893149	59893676	+	0	NA	promoter-TSS (TUBD1)	NA	366	RPS6KB1								
Interval_1458	chr1	156490087	156490621	+	0	NA	intron (MEF2D, intron 1 of 10)	NA	10466	MEF2D								
Interval_3827	chr11	65497445	65501317	+	0	NA	exon (MALAT1, exon 1 of 1)	NA	1619	MALAT1								
Interval_13418	chr2	241272648	241272913	+	0	NA	promoter-TSS (HDLBP)	NA	5178	LOC101927509								
Interval_21482	chr8	144137256	144137667	+	0	NA	promoter-TSS (FAM203A)	NA	-308	FAM203A								
Interval_17973	chr5	168794403	168794614	+	0	NA	intron (SLIT3, intron 10 of 35)	NA	-26277	MIR218-2								
Interval_9014	chr17	43778129	43778320	+	0	NA	intron (DUSP3, intron 1 of 2)	NA	776	DUSP3								
Interval_18611	chr6	31958602	31958907	+	0	NA	promoter-TSS (SKIV2L)	NA	333	NELFE								
Interval_6048	chr14	54509777	54509951	+	0	NA	promoter-TSS (CGRRF1)	NA	-5	CGRRF1								
Interval_7716	chr16	27550192	27550725	+	0	NA	promoter-TSS (GTF3C1)	NA	338	KIAA0556								
Interval_12052	chr2	38129121	38129517	+	0	NA	Intergenic	NA	-1786	CYP1B1-AS1								
Interval_10584	chr19	10812868	10813169	+	0	NA	intron (DNM2, intron 15 of 20)	NA	4478	MIR199A1								
Interval_8830	chr17	32127160	32127399	+	0	NA	Intergenic	NA	-15379	RHOT1								
Interval_14262	chr21	33265912	33266316	+	0	NA	promoter-TSS (IL10RB)	NA	146	IL10RB-AS1								
Interval_18897	chr6	57317682	57317972	+	0	NA	intron (PRIM2, intron 1 of 4)	NA	3022	PRIM2								
Interval_17609	chr5	122775062	122775928	+	0	NA	exon (SNX2, exon 1 of 15)	NA	499	SNX2								
Interval_12648	chr2	112584357	112585141	+	0	NA	promoter-TSS (LOC101927330)	NA	303	CHCHD5								
Interval_20641	chr8	23074426	23074821	+	0	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-5436	TNFRSF10B								
Interval_7614	chr16	17382916	17383325	+	0	NA	intron (XYLT1, intron 1 of 11)	NA	87761	XYLT1								
Interval_5742	chr13	67520156	67520369	+	0	NA	Intergenic	NA	-289926	PCDH9								
Interval_17596	chr5	115840870	115841055	+	0	NA	promoter-TSS (AP3S1)	NA	-644	AP3S1								
Interval_2000	chr1	225999358	226000399	+	0	NA	promoter-TSS (SDE2)	NA	-480	SDE2								
Interval_5980	chr14	39113960	39114172	+	0	NA	promoter-TSS (GEMIN2)	NA	-218	GEMIN2								
Interval_17523	chr5	91380186	91380343	+	0	NA	promoter-TSS (ARRDC3-AS1)	NA	-83	ARRDC3-AS1								
Interval_6147	chr14	68682674	68683436	+	0	NA	exon (RAD51B, exon 11 of 11)	NA	-30387	LOC100996664								
Interval_16026	chr3	152244554	152244849	+	0	NA	intron (MBNL1, intron 1 of 9)	NA	-24368	MBNL1								
Interval_19442	chr7	876646	877284	+	0	NA	intron (GET4, intron 1 of 8)	NA	411	GET4								
Interval_3679	chr11	61161270	61161796	+	0	NA	promoter-TSS (VPS37C)	NA	-359	VPS37C								
Interval_8417	chr17	2711243	2711704	+	0	NA	intron (CLUH, intron 1 of 25)	NA	-3485	CLUH								
Interval_19537	chr7	6348529	6348921	+	0	NA	exon (FAM220A, exon 1 of 2)	NA	234	FAM220A								
Interval_17679	chr5	134466044	134466473	+	0	NA	Intergenic	NA	-31211	LOC102546229								
Interval_7547	chr16	10944740	10944937	+	0	NA	intron (CLEC16A, intron 1 of 22)	NA	344	CLEC16A								
Interval_18833	chr6	43910945	43911573	+	0	NA	intron (LOC100132354, intron 1 of 1)	NA	20231	LOC100132354								
Interval_1670	chr1	182148773	182149403	+	0	NA	Intergenic	NA	-87376	ZNF648								
Interval_10148	chr19	572561	573652	+	0	NA	intron (BSG, intron 1 of 7)	NA	652	BSG								
Interval_20931	chr8	66009962	66010364	+	0	NA	Intergenic	NA	-11393	DNAJC5B								
Interval_18219	chr6	7146946	7147485	+	0	NA	intron (RREB1, intron 1 of 12)	NA	-14066	RREB1								
Interval_5555	chr13	21985979	21986157	+	0	NA	Intergenic	NA	-107908	LINC00424								
Interval_4782	chr12	50032737	50033416	+	0	NA	Intergenic	NA	-1327	RACGAP1								
Interval_18141	chr5	181242431	181244494	+	0	NA	promoter-TSS (SNORD95)	NA	-86	SNORD95								
Interval_3927	chr11	67403730	67404042	+	0	NA	promoter-TSS (TBC1D10C)	NA	-27	TBC1D10C								
Interval_13264	chr2	226701239	226701479	+	0	NA	Intergenic	NA	-42566	MIR5702								
Interval_3312	chr11	3855283	3855510	+	0	NA	promoter-TSS (MIR4687)	NA	-307	STIM1								
Interval_22585	chrX	40013386	40014206	+	0	NA	Intergenic	NA	83670	BCOR								
Interval_8544	chr17	7578830	7579009	+	0	NA	promoter-TSS (CD68)	NA	-569	CD68								
Interval_17535	chr5	95620894	95621163	+	0	NA	exon (GPR150, exon 1 of 1)	NA	752	GPR150								
Interval_5054	chr12	76763528	76764720	+	0	NA	promoter-TSS (ZDHHC17)	NA	-131	ZDHHC17								
Interval_7015	chr15	72230662	72231112	+	0	NA	intron (LOC102723606, intron 1 of 1)	NA	499	PKM								
Interval_12858	chr2	159286250	159286734	+	0	NA	promoter-TSS (WDSUB1)	NA	301	WDSUB1								
Interval_14828	chr22	41205355	41205615	+	0	NA	intron (L3MBTL2, intron 1 of 16)	NA	176	L3MBTL2								
Interval_2770	chr10	80078655	80078834	+	0	NA	promoter-TSS (TMEM254)	NA	449	TMEM254-AS1								
Interval_4055	chr11	73983608	73984863	+	0	NA	Intergenic	NA	-1391	UCP2								
Interval_4017	chr11	72793804	72794096	+	0	NA	promoter-TSS (STARD10)	NA	-245	STARD10								
Interval_20384	chr7	149195549	149196300	+	0	NA	intron (ZNF282, intron 1 of 7)	NA	452	ZNF282								
Interval_11788	chr2	7242916	7243218	+	0	NA	Intergenic	NA	-165187	AC019048.1								
Interval_22717	chrX	65998358	65999231	+	0	NA	Intergenic	NA	-20101	MIR223								
Interval_12296	chr2	65436740	65437328	+	0	NA	Intergenic	NA	-2148	LOC102724258								
Interval_16189	chr3	183259579	183259766	+	0	NA	intron (B3GNT5, intron 1 of 1)	NA	-5709	B3GNT5								
Interval_4708	chr12	43805774	43806267	+	0	NA	exon (TWF1, exon 1 of 9)	NA	355	TWF1								
Interval_11461	chr19	48635841	48636043	+	0	NA	exon (DBP, exon 2 of 4)	NA	1076	DBP								
Interval_15197	chr3	18433000	18433179	+	0	NA	intron (SATB1, intron 1 of 10)	NA	-7752	SATB1								
Interval_21856	chr9	93951012	93951906	+	0	NA	TTS (BARX1)	NA	3867	BARX1								
Interval_7561	chr16	11586690	11586905	+	0	NA	promoter-TSS (LITAF)	NA	-2465	LITAF								
Interval_19299	chr6	157323178	157323567	+	0	NA	intron (TMEM242, intron 1 of 3)	NA	849	TMEM242								
Interval_867	chr1	64864180	64864406	+	0	NA	intron (JAK1, intron 8 of 24)	NA	102617	JAK1								
Interval_19786	chr7	44848475	44848844	+	0	NA	promoter-TSS (H2AFV)	NA	-533	H2AFV								
Interval_12951	chr2	174247985	174248507	+	0	NA	intron (OLA1, intron 1 of 10)	NA	391	OLA1								
Interval_1005	chr1	92515691	92515954	+	0	NA	intron (EVI5, intron 17 of 17)	NA	-29751	GFI1								
Interval_13821	chr20	36236497	36236924	+	0	NA	promoter-TSS (AAR2)	NA	-118	AAR2								
Interval_13071	chr2	199453949	199454189	+	0	NA	intron (SATB2, intron 1 of 9)	NA	-14029	SATB2-AS1								
Interval_9025	chr17	44200410	44200858	+	0	NA	promoter-TSS (ATXN7L3)	NA	-2473	ATXN7L3								
Interval_9204	chr17	58290882	58291110	+	0	NA	Intergenic	NA	-10061	MPO								
Interval_1261	chr1	150293341	150293551	+	0	NA	promoter-TSS (MRPS21)	NA	-396	MRPS21								
Interval_13761	chr20	32972468	32972910	+	0	NA	Intergenic	NA	14188	LOC101928282								
Interval_13690	chr20	23362286	23362595	+	0	NA	promoter-TSS (GZF1)	NA	308	GZF1								
Interval_7794	chr16	30457337	30457517	+	0	NA	Intergenic	NA	-11452	SEPHS2								
Interval_20642	chr8	23075578	23075765	+	0	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-6484	TNFRSF10B								
Interval_13915	chr20	45293572	45293792	+	0	NA	exon (MATN4, exon 10 of 10)	NA	-13161	RBPJL								
Interval_9296	chr17	63842234	63842967	+	0	NA	promoter-TSS (SMARCD2)	NA	-140	SMARCD2								
Interval_16552	chr4	39044613	39045304	+	0	NA	exon (KLHL5, exon 1 of 12)	NA	-12537	TMEM156								
Interval_5942	chr14	24443017	24443305	+	0	NA	promoter-TSS (SDR39U1)	NA	208	LOC101927045								
Interval_21644	chr9	33076796	33077111	+	0	NA	promoter-TSS (SMU1)	NA	-237	SMU1								
Interval_5649	chr13	36999926	37000218	+	0	NA	promoter-TSS (EXOSC8)	NA	-301	EXOSC8								
Interval_9055	chr17	45222939	45223123	+	0	NA	intron (FMNL1, intron 1 of 25)	NA	1125	FMNL1								
Interval_14230	chr21	29077271	29077935	+	0	NA	exon (MAP3K7CL, exon 1 of 9)	NA	132	MAP3K7CL								
Interval_2747	chr10	78756938	78757081	+	0	NA	Intergenic	NA	310439	ZMIZ1-AS1								
Interval_15711	chr3	75785207	75785573	+	0	NA	promoter-TSS (ZNF717)	NA	168	ZNF717								
Interval_13262	chr2	225041094	225041323	+	0	NA	intron (DOCK10, intron 1 of 57)	NA	-30668	MIR4439								
Interval_19848	chr7	55534187	55534539	+	0	NA	intron (VOPP1, intron 1 of 4)	NA	38144	VOPP1								
Interval_8186	chr16	82169670	82170135	+	0	NA	intron (MPHOSPH6, intron 1 of 4)	NA	322	MPHOSPH6								
Interval_5489	chr12	128824187	128824666	+	0	NA	promoter-TSS (SLC15A4)	NA	-483	SLC15A4								
Interval_22846	chrX	120561154	120561478	+	0	NA	promoter-TSS (CUL4B)	NA	227	CUL4B								
Interval_2593	chr10	69044300	69044522	+	0	NA	Intergenic	NA	-43661	SRGN								
Interval_1223	chr1	146376536	146376717	+	0	NA	Intergenic	NA	6525	TRNAN-GUU-5								
Interval_14898	chr22	44181017	44182669	+	0	NA	exon (PARVG, exon 2 of 14)	NA	953	PARVG								
Interval_1049	chr1	100896148	100896543	+	0	NA	intron (SLC30A7, intron 1 of 11)	NA	269	SLC30A7								
Interval_15691	chr3	71577331	71579127	+	0	NA	intron (FOXP1, intron 1 of 19)	NA	-36169	MIR1284								
Interval_7348	chr16	571044	571377	+	0	NA	intron (PIGQ, intron 1 of 9)	NA	1242	PIGQ								
Interval_17689	chr5	134845808	134846821	+	0	NA	promoter-TSS (C5orf24)	NA	68	C5orf24								
Interval_7279	chr15	97084718	97084916	+	0	NA	Intergenic	NA	301371	SPATA8								
Interval_15195	chr3	18430646	18431000	+	0	NA	intron (SATB1, intron 1 of 10)	NA	-5486	SATB1								
Interval_4176	chr11	94494030	94494466	+	0	NA	promoter-TSS (MRE11A)	NA	261	ANKRD49								
Interval_22010	chr9	113188064	113188635	+	0	NA	intron (FKBP15, intron 13 of 27)	NA	32929	FKBP15								
Interval_4590	chr12	14257231	14257536	+	0	NA	Intergenic	NA	-108249	ATF7IP								
Interval_22037	chr9	114485059	114485242	+	0	NA	intron (DFNB31, intron 1 of 7)	NA	18065	DFNB31								
Interval_16452	chr4	6987313	6987508	+	0	NA	promoter-TSS (TBC1D14)	NA	55591	CCDC96								
Interval_18729	chr6	37083570	37083803	+	0	NA	Intergenic	NA	77868	FGD2								
Interval_18638	chr6	33248852	33249141	+	0	NA	promoter-TSS (HCG25)	NA	-540	HCG25								
Interval_5274	chr12	112408778	112409643	+	0	NA	promoter-TSS (RPL6)	NA	96	RPL6								
Interval_6585	chr15	31325336	31326556	+	0	NA	promoter-TSS (KLF13)	NA	-934	KLF13								
Interval_10254	chr19	2084411	2085800	+	0	NA	intron (MOB3A, intron 2 of 4)	NA	11165	MOB3A								
Interval_822	chr1	54541907	54542187	+	0	NA	Intergenic	NA	-6087	ACOT11								
Interval_22403	chr9	137277800	137278570	+	0	NA	intron (TOR4A, intron 1 of 1)	NA	357	TOR4A								
Interval_2802	chr10	87342226	87342455	+	0	NA	promoter-TSS (LOC439994)	NA	-71	LOC439994								
Interval_9827	chr18	21682658	21682989	+	0	NA	promoter-TSS (MIR320C1)	NA	-687	MIR320C1								
Interval_15601	chr3	53072987	53073184	+	0	NA	Intergenic	NA	-22692	LOC102723651								
Interval_18550	chr6	30690026	30690238	+	0	NA	exon (NRM, exon 2 of 3)	NA	997	NRM								
Interval_12305	chr2	66451213	66451520	+	0	NA	intron (MEIS1, intron 6 of 12)	NA	10659	MEIS1								
Interval_2959	chr10	102133013	102134027	+	0	NA	intron (PPRC1, intron 1 of 7)	NA	484	PPRC1								
Interval_16449	chr4	6925418	6925743	+	0	NA	intron (TBC1D14, intron 2 of 13)	NA	16136	TBC1D14								
Interval_18157	chr6	2542904	2543141	+	0	NA	Intergenic	NA	92042	C6orf195								
Interval_14541	chr22	20982276	20982479	+	0	NA	exon (LZTR1, exon 1 of 21)	NA	108	LZTR1								
Interval_13122	chr2	203239412	203239796	+	0	NA	promoter-TSS (CYP20A1)	NA	583	CYP20A1								
Interval_12084	chr2	41736975	41737165	+	0	NA	Intergenic	NA	-140485	AC104654.1								
Interval_13386	chr2	238948593	238948736	+	0	NA	Intergenic	NA	-22395	FLJ43879								
Interval_13792	chr20	35091815	35092051	+	0	NA	intron (TRPC4AP, intron 1 of 18)	NA	882	TRPC4AP								
Interval_3636	chr11	58525446	58525595	+	0	NA	Intergenic	NA	-17415	OR5B21								
Interval_20168	chr7	102464334	102464839	+	0	NA	promoter-TSS (LRWD1)	NA	288	ALKBH4								
Interval_18749	chr6	39336290	39336519	+	0	NA	exon (KIF6, exon 22 of 22)	NA	-13850	KCNK16								
Interval_13740	chr20	32207900	32208343	+	0	NA	promoter-TSS (PLAGL2)	NA	228	POFUT1								
Interval_450	chr1	28175338	28175522	+	0	NA	intron (PTAFR, intron 1 of 2)	NA	18506	PTAFR								
Interval_3897	chr11	66744455	66744648	+	0	NA	promoter-TSS (C11orf80)	NA	-185	C11orf80								
Interval_13937	chr20	46111364	46111586	+	0	NA	Intergenic	NA	-6792	CD40								
Interval_15990	chr3	142579011	142579363	+	0	NA	promoter-TSS (ATR)	NA	-361	ATR								
Interval_7811	chr16	30609653	30610568	+	0	NA	promoter-TSS (ZNF689)	NA	276	ZNF689								
Interval_10679	chr19	13835523	13835837	+	0	NA	TTS (MIR24-2)	NA	609	LOC284454								
Interval_20380	chr7	149126426	149127398	+	0	NA	promoter-TSS (ZNF425)	NA	-566	ZNF425								
Interval_14298	chr21	34568001	34568254	+	0	NA	intron (RCAN1, intron 1 of 3)	NA	47015	RCAN1								
Interval_22393	chr9	137086802	137087432	+	0	NA	promoter-TSS (MAN1B1-AS1)	NA	190	MAN1B1								
Interval_12933	chr2	171798315	171798494	+	0	NA	intron (SLC25A12, intron 12 of 16)	NA	73369	SLC25A12								
Interval_3177	chr10	132446897	132448418	+	0	NA	intron (C10orf91, intron 2 of 2)	NA	2447	C10orf91								
Interval_5660	chr13	41018738	41018972	+	0	NA	intron (ELF1, intron 1 of 8)	NA	-36573	ELF1								
Interval_16025	chr3	152204696	152205407	+	0	NA	intron (LOC101928166, intron 1 of 2)	NA	372	LOC101928166								
Interval_3930	chr11	67427903	67428222	+	0	NA	promoter-TSS (RPS6KB2)	NA	-432	RPS6KB2								
Interval_7100	chr15	75640176	75640384	+	0	NA	promoter-TSS (IMP3)	NA	43	IMP3								
Interval_17064	chr4	184472604	184474175	+	0	NA	intron (IRF2, intron 1 of 8)	NA	-1413	LOC102723779								
Interval_827	chr1	54859830	54859973	+	0	NA	intron (DHCR24, intron 6 of 8)	NA	27347	DHCR24								
Interval_1194	chr1	120942374	120942809	+	0	NA	promoter-TSS (RNVU1-4)	NA	-9	RNVU1-4								
Interval_8208	chr16	85010985	85011334	+	0	NA	intron (ZDHHC7, intron 1 of 8)	NA	376	ZDHHC7								
Interval_21778	chr9	79572325	79572620	+	0	NA	promoter-TSS (TLE4)	NA	-128	TLE4								
Interval_17319	chr5	50655788	50655996	+	0	NA	Intergenic	NA	-11046	PARP8								
Interval_4286	chr11	118400859	118401866	+	0	NA	promoter-TSS (ATP5L)	NA	-27	ATP5L								
Interval_20157	chr7	102286985	102287173	+	0	NA	exon (SH2B2, exon 1 of 9)	NA	1961	SH2B2								
Interval_19586	chr7	17564850	17565093	+	0	NA	Intergenic	NA	-6062	AC017060.1								
Interval_2913	chr10	99430948	99431435	+	0	NA	promoter-TSS (GOT1)	NA	-418	GOT1								
Interval_14260	chr21	33229897	33231025	+	0	NA	intron (IFNAR2, intron 1 of 8)	NA	566	IFNAR2								
Interval_7048	chr15	74781408	74781909	+	0	NA	promoter-TSS (CSK)	NA	-2796	CSK								
Interval_9295	chr17	63827082	63827982	+	0	NA	promoter-TSS (PSMC5)	NA	72	PSMC5								
Interval_18469	chr6	27813928	27814133	+	0	NA	TTS (HIST1H2AJ)	NA	710	HIST1H2AJ								
Interval_21096	chr8	100559749	100559897	+	0	NA	promoter-TSS (ANKRD46)	NA	-37	ANKRD46								
Interval_6654	chr15	40593731	40594573	+	0	NA	promoter-TSS (CASC5)	NA	-97	CASC5								
Interval_7741	chr16	29125890	29126209	+	0	NA	Intergenic	NA	-17861	LOC101928215								
