PeakID (cmd=annotatePeaks.pl ZEB2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4838	chr15	23074732	23074962	+	0	NA	Intergenic	NA	-35270	TUBGCP5								
Interval_10967	chr20	64079563	64079799	+	0	NA	promoter-TSS (OPRL1)	NA	106	RGS19								
Interval_8601	chr19	40465142	40465327	+	0	NA	intron (BLVRB, intron 1 of 4)	NA	584	BLVRB								
Interval_6992	chr17	74736590	74736858	+	0	NA	promoter-TSS (RAB37)	NA	23	RAB37								
Interval_12543	chr4	926626	927931	+	0	NA	intron (GAK, intron 1 of 24)	NA	5039	GAK								
Interval_11584	chr22	49025692	49026108	+	0	NA	Intergenic	NA	159130	WI2-81516E3.1								
Interval_16337	chr8	120458690	120458984	+	0	NA	intron (MTBP, intron 7 of 21)	NA	-13430	MRPL13								
Interval_17364	chrX	1291062	1291273	+	0	NA	intron (CSF2RA, intron 7 of 8)	NA	-2760	MIR3690								
Interval_3552	chr12	53205807	53206036	+	0	NA	intron (ITGB7, intron 1 of 14)	NA	1386	ITGB7								
Interval_16497	chr8	133826685	133826844	+	0	NA	Intergenic	NA	-49412	LOC101927798								
Interval_1664	chr1	243267433	243267767	+	0	NA	intron (SDCCAG8, intron 1 of 17)	NA	11574	SDCCAG8								
Interval_12251	chr3	129605685	129605963	+	0	NA	exon (PLXND1, exon 1 of 36)	NA	915	PLXND1								
Interval_6806	chr17	51088847	51089379	+	0	NA	intron (SPAG9, intron 1 of 29)	NA	-21128	SPAG9								
Interval_2307	chr10	124506904	124507153	+	0	NA	intron (LHPP, intron 5 of 5)	NA	45205	LHPP								
Interval_15002	chr7	44046660	44047064	+	0	NA	intron (DBNL, intron 1 of 10)	NA	2222	DBNL								
Interval_12603	chr4	6875487	6875804	+	0	NA	intron (KIAA0232, intron 7 of 7)	NA	19836	KIAA0232								
Interval_11224	chr22	22702588	22702746	+	0	NA	Intergenic	NA	58044	GGTLC2								
Interval_2049	chr10	79068779	79068996	+	0	NA	promoter-TSS (ZMIZ1)	NA	-1439	ZMIZ1-AS1								
Interval_5083	chr15	66386556	66386835	+	0	NA	promoter-TSS (MAP2K1)	NA	-149	MAP2K1								
Interval_17096	chr9	128771965	128772089	+	0	NA	promoter-TSS (ZER1)	NA	-86	ZER1								
Interval_3763	chr12	101671496	101671766	+	0	NA	intron (MYBPC1, intron 24 of 30)	NA	-26041	CHPT1								
Interval_12563	chr4	2008950	2009589	+	0	NA	promoter-TSS (NELFA)	NA	-34	NELFA								
Interval_6825	chr17	57672121	57672425	+	0	NA	intron (MSI2, intron 11 of 11)	NA	-63848	RP11-118E18.4								
Interval_17201	chr9	135758154	135758362	+	0	NA	intron (KCNT1, intron 8 of 30)	NA	5872	KCNT1								
Interval_1056	chr1	150180254	150180449	+	0	NA	Intergenic	NA	30371	PLEKHO1								
Interval_15949	chr8	42536679	42536857	+	0	NA	intron (SLC20A2, intron 1 of 10)	NA	-4387	SMIM19								
Interval_12297	chr3	142596159	142596410	+	0	NA	promoter-TSS (PLS1)	NA	-17458	ATR								
Interval_5874	chr16	58392710	58392986	+	0	NA	intron (GINS3, intron 1 of 1)	NA	454	GINS3								
Interval_6703	chr17	44098213	44098535	+	0	NA	intron (HDAC5, intron 3 of 26)	NA	25272	HDAC5								
Interval_8844	chr19	48400649	48400807	+	0	NA	intron (GRIN2D, intron 2 of 12)	NA	-3113	LOC102724003								
Interval_782	chr1	83760979	83761384	+	0	NA	intron (RP11-475O6.1, intron 1 of 2)	NA	99365	RP11-475O6.1-2								
Interval_16221	chr8	99065505	99065729	+	0	NA	intron (VPS13B, intron 4 of 8)	NA	52351	VPS13B								
Interval_361	chr1	24502832	24502990	+	0	NA	promoter-TSS (RCAN3AS)	NA	-551	RCAN3AS								
Interval_3330	chr12	12467979	12468229	+	0	NA	intron (LOH12CR1, intron 4 of 4)	NA	94410	DUSP16								
Interval_6325	chr17	7219716	7219874	+	0	NA	promoter-TSS (DLG4)	NA	-36	ACADVL								
Interval_5041	chr15	63610351	63610509	+	0	NA	intron (HERC1, intron 77 of 77)	NA	-9603	USP3-AS1								
Interval_1865	chr10	45375746	45376065	+	0	NA	intron (ALOX5, intron 1 of 12)	NA	1729	ALOX5								
Interval_5317	chr15	90638453	90638746	+	0	NA	exon (CRTC3, exon 12 of 15)	NA	-21635	RP11-387D10.3								
Interval_13618	chr5	145743049	145743224	+	0	NA	Intergenic	NA	92233	PRELID2								
Interval_7888	chr19	6766048	6766339	+	0	NA	intron (SH2D3A, intron 1 of 6)	NA	1319	SH2D3A								
Interval_13632	chr5	149153990	149154154	+	0	NA	intron (ABLIM3, intron 1 of 18)	NA	12570	ABLIM3								
Interval_8817	chr19	47381933	47382261	+	0	NA	exon (DHX34, exon 17 of 17)	NA	32763	DHX34								
Interval_12911	chr4	110032500	110032934	+	0	NA	Intergenic	NA	40392	RNU6-35P								
Interval_5668	chr16	27326984	27327400	+	0	NA	intron (IL4R, intron 1 of 10)	NA	13335	IL4R								
Interval_8430	chr19	33097990	33098188	+	0	NA	intron (GPATCH1, intron 8 of 19)	NA	16924	GPATCH1								
Interval_12214	chr3	127683750	127683908	+	0	NA	Intergenic	NA	10503	ABTB1								
Interval_1683	chr1	245954294	245954464	+	0	NA	intron (SMYD3, intron 1 of 8)	NA	-156614	LOC101928089								
Interval_12263	chr3	133805596	133805808	+	0	NA	exon (SRPRB, exon 2 of 8)	NA	21669	SRPRB								
Interval_15392	chr7	112556699	112556974	+	0	NA	Intergenic	NA	-61229	LOC100996249								
Interval_14660	chr6	154736597	154736861	+	0	NA	intron (SCAF8, intron 2 of 20)	NA	3351	SCAF8								
Interval_12925	chr4	118352875	118353048	+	0	NA	promoter-TSS (PRSS12)	NA	-194	PRSS12								
Interval_1794	chr10	28991917	28992075	+	0	NA	Intergenic	NA	67090	LOC101929236								
Interval_3191	chr11	130159566	130159991	+	0	NA	promoter-TSS (ST14)	NA	-9	ST14								
Interval_9043	chr19	54372207	54372396	+	0	NA	Intergenic	NA	-7187	LAIR1								
Interval_9707	chr2	97664040	97664335	+	0	NA	promoter-TSS (ACTR1B)	NA	-89	ACTR1B								
Interval_10655	chr20	35146730	35147040	+	0	NA	exon (EDEM2, exon 2 of 11)	NA	473	EDEM2								
Interval_2561	chr11	29518876	29519034	+	0	NA	Intergenic	NA	498075	KCNA4								
Interval_1839	chr10	40308251	40308368	+	0	NA	Intergenic	NA	1611713	ACTR3BP5								
Interval_2824	chr11	65869528	65869687	+	0	NA	intron (EFEMP2, intron 7 of 10)	NA	3327	EFEMP2								
Interval_11419	chr22	37777317	37777504	+	0	NA	TTS (TRIOBP)	NA	-27697	H1F0								
Interval_8711	chr19	44646496	44646771	+	0	NA	intron (PVR, intron 1 of 7)	NA	2835	PVR								
Interval_14879	chr7	16985780	16985946	+	0	NA	Intergenic	NA	-105127	AGR3								
Interval_14568	chr6	137959156	137959314	+	0	NA	Intergenic	NA	-91002	RP11-356I2.4								
Interval_845	chr1	96515458	96515656	+	0	NA	Intergenic	NA	-141432	RP5-898J17.1								
Interval_9731	chr2	101002285	101002443	+	0	NA	intron (RPL31, intron 1 of 3)	NA	135	RPL31								
Interval_8194	chr19	15286183	15286549	+	0	NA	Intergenic	NA	-5915	BRD4								
Interval_15081	chr7	69693128	69693378	+	0	NA	intron (AUTS2, intron 1 of 4)	NA	-95758	LOC100507468								
Interval_426	chr1	27161791	27162072	+	0	NA	Intergenic	NA	4330	LOC102723760								
Interval_13847	chr6	3022419	3022628	+	0	NA	exon (HTATSF1P2, exon 1 of 1)	NA	2248	HTATSF1P2								
Interval_2721	chr11	61654378	61654639	+	0	NA	Intergenic	NA	39472	RPLP0P2								
Interval_14726	chr6	165735235	165735393	+	0	NA	Intergenic	NA	-73214	PDE10A								
Interval_12265	chr3	134460195	134460353	+	0	NA	Intergenic	NA	22438	MIR4788								
Interval_9079	chr19	55166005	55166308	+	0	NA	TTS (LOC101930593)	NA	566	DNAAF3								
Interval_4099	chr12	132471033	132471324	+	0	NA	Intergenic	NA	3076	MUC8								
Interval_12839	chr4	83335655	83335827	+	0	NA	promoter-TSS (HPSE)	NA	-928	HPSE								
Interval_13424	chr5	107893724	107893882	+	0	NA	intron (FBXL17, intron 7 of 7)	NA	-222918	EFNA5								
Interval_1864	chr10	45250486	45250896	+	0	NA	Intergenic	NA	64917	OR13A1								
Interval_105	chr1	3857178	3857633	+	0	NA	promoter-TSS (CEP104)	NA	138	DFFB								
Interval_9433	chr2	46470410	46470606	+	0	NA	Intergenic	NA	-9057	TMEM247								
Interval_6840	chr17	58286519	58286709	+	0	NA	Intergenic	NA	-5679	MPO								
Interval_5163	chr15	74236081	74236312	+	0	NA	promoter-TSS (CCDC33)	NA	26808	LOC102723673								
Interval_2454	chr11	3785437	3785691	+	0	NA	intron (NUP98, intron 1 of 32)	NA	12190	NUP98								
Interval_7426	chr18	62324925	62325289	+	0	NA	promoter-TSS (TNFRSF11A)	NA	-186	TNFRSF11A								
Interval_8622	chr19	40900036	40900370	+	0	NA	exon (CYP2G1P, exon 5 of 5)	NA	9377	CYP2G1P								
Interval_1468	chr1	209751605	209751838	+	0	NA	Intergenic	NA	-4311	TRAF3IP3								
Interval_6669	chr17	42775687	42775934	+	0	NA	intron (VPS25, intron 4 of 5)	NA	2374	VPS25								
Interval_4187	chr13	28751190	28751465	+	0	NA	Intergenic	NA	-32314	SLC46A3								
Interval_15211	chr7	84194955	84195094	+	0	NA	promoter-TSS (SEMA3A)	NA	-123	SEMA3A								
Interval_4037	chr12	123972797	123973093	+	0	NA	promoter-TSS (CCDC92)	NA	-119	CCDC92								
Interval_11550	chr22	45288105	45288423	+	0	NA	intron (UPK3A, intron 3 of 5)	NA	3277	UPK3A								
Interval_12442	chr3	186916099	186916280	+	0	NA	Intergenic	NA	-6836	LOC102723861								
Interval_13898	chr6	9799657	9799968	+	0	NA	intron (OFCC1, intron 7 of 11)	NA	411796	OFCC1								
Interval_3009	chr11	82900467	82900899	+	0	NA	promoter-TSS (PRCP)	NA	-168	PRCP								
Interval_13350	chr5	78540344	78540567	+	0	NA	intron (LHFPL2, intron 2 of 3)	NA	108370	LHFPL2								
Interval_11598	chr22	50147792	50148131	+	0	NA	intron (MOV10L1, intron 1 of 8)	NA	-22770	PANX2								
Interval_15734	chr8	22237226	22237563	+	0	NA	Intergenic	NA	-5056	PHYHIP								
Interval_3857	chr12	111176042	111176350	+	0	NA	intron (CUX2, intron 2 of 22)	NA	76750	CUX2								
Interval_12247	chr3	129526223	129526446	+	0	NA	Intergenic	NA	-2305	RHO								
Interval_2678	chr11	57426524	57426697	+	0	NA	exon (SLC43A3, exon 2 of 14)	NA	538	SLC43A3								
Interval_6591	chr17	38382647	38382805	+	0	NA	intron (SOCS7, intron 7 of 9)	NA	30560	SOCS7								
Interval_2422	chr11	1771835	1772066	+	0	NA	Intergenic	NA	-7958	CTSD								
Interval_9403	chr2	43182665	43183000	+	0	NA	intron (LOC101929763, intron 1 of 3)	NA	1724	LOC101929763								
Interval_13758	chr5	175638402	175638605	+	0	NA	Intergenic	NA	-19341	HRH2								
Interval_2293	chr10	122375314	122375545	+	0	NA	exon (PLEKHA1, exon 1 of 13)	NA	800	PLEKHA1								
Interval_16382	chr8	123921941	123922213	+	0	NA	intron (FER1L6, intron 1 of 40)	NA	7448	FER1L6								
Interval_4973	chr15	51681423	51681622	+	0	NA	exon (SCG3, exon 1 of 12)	NA	169	SCG3								
Interval_8517	chr19	37779506	37779775	+	0	NA	promoter-TSS (ZNF573)	NA	-50	ZNF573								
Interval_6423	chr17	17605539	17605769	+	0	NA	Intergenic	NA	-23223	PEMT								
Interval_14988	chr7	42911985	42912348	+	0	NA	promoter-TSS (C7orf25)	NA	-76	C7orf25								
Interval_14810	chr7	4610980	4611231	+	0	NA	Intergenic	NA	-71194	FOXK1								
Interval_14581	chr6	139375471	139375588	+	0	NA	promoter-TSS (CITED2)	NA	-879	CITED2								
Interval_9857	chr2	130385822	130385980	+	0	NA	Intergenic	NA	29894	PTPN18								
Interval_15333	chr7	101815262	101815836	+	0	NA	promoter-TSS (CUX1)	NA	-441	CUX1								
Interval_10420	chr20	2902041	2902258	+	0	NA	intron (PTPRA, intron 1 of 22)	NA	28653	PTPRA								
Interval_104	chr1	3844871	3845029	+	0	NA	exon (CEP104, exon 6 of 22)	NA	12283	CEP104								
Interval_12465	chr3	194069909	194070068	+	0	NA	promoter-TSS (LOC285389)	NA	921	LOC100505902								
Interval_5896	chr16	66957580	66957884	+	0	NA	Intergenic	NA	-3497	CES3								
Interval_16596	chr8	143952141	143952354	+	0	NA	intron (PLEC, intron 2 of 32)	NA	-7018	MIR661								
Interval_2840	chr11	66432467	66433016	+	0	NA	Intergenic	NA	6098	MRPL11								
Interval_13987	chr6	17022833	17022991	+	0	NA	Intergenic	NA	-79346	STMND1								
Interval_4702	chr14	96495770	96496101	+	0	NA	Intergenic	NA	-6445	PAPOLA								
Interval_9280	chr2	25377008	25377197	+	0	NA	TTS (DTNB)	NA	-34512	DNMT3A								
Interval_1769	chr10	26090026	26090266	+	0	NA	intron (MYO3A, intron 15 of 34)	NA	-126161	GAD2								
Interval_325	chr1	22524711	22524984	+	0	NA	intron (ZBTB40, intron 18 of 18)	NA	-38664	EPHA8								
Interval_12373	chr3	171967262	171967512	+	0	NA	Intergenic	NA	-72241	FNDC3B								
Interval_7269	chr18	21600551	21601147	+	0	NA	promoter-TSS (ESCO1)	NA	-113	ESCO1								
Interval_1344	chr1	186194513	186194742	+	0	NA	Intergenic	NA	-101646	PRG4								
Interval_7201	chr18	107173	107344	+	0	NA	Intergenic	NA	-1807	ROCK1P1								
Interval_4337	chr14	20881113	20881415	+	0	NA	Intergenic	NA	-5496	LOC100507513								
Interval_3930	chr12	118650080	118650360	+	0	NA	Intergenic	NA	273667	SUDS3								
Interval_12246	chr3	129400076	129400600	+	0	NA	promoter-TSS (RPL32P3)	NA	-899	RPL32P3								
Interval_3881	chr12	112418610	112418885	+	0	NA	promoter-TSS (PTPN11)	NA	15	PTPN11								
Interval_3559	chr12	53314101	53314292	+	0	NA	intron (AAAS, intron 7 of 10)	NA	7432	AAAS								
Interval_14364	chr6	83859512	83859790	+	0	NA	promoter-TSS (CYB5R4)	NA	0	CYB5R4								
Interval_17104	chr9	129058177	129058385	+	0	NA	intron (FAM73B, intron 6 of 15)	NA	21661	FAM73B								
Interval_1023	chr1	146376853	146377674	+	0	NA	Intergenic	NA	7162	TRNAN-GUU-5								
Interval_7800	chr19	4562231	4562973	+	0	NA	Intergenic	NA	-2843	SEMA6B								
Interval_12666	chr4	25163532	25163781	+	0	NA	intron (SEPSECS-AS1, intron 1 of 1)	NA	2984	SEPSECS-AS1								
Interval_17025	chr9	123281060	123281319	+	0	NA	Intergenic	NA	-87590	CRB2								
Interval_17132	chr9	130699138	130699296	+	0	NA	intron (EXOSC2, intron 4 of 8)	NA	5457	EXOSC2								
Interval_13415	chr5	100779947	100780248	+	0	NA	Intergenic	NA	36422	MIR548P								
Interval_7787	chr19	4369934	4370187	+	0	NA	intron (SH3GL1, intron 1 of 9)	NA	26494	MPND								
Interval_16521	chr8	140518511	140518802	+	0	NA	Intergenic	NA	7358	CHRAC1								
Interval_14322	chr6	57172667	57172910	+	0	NA	promoter-TSS (BAG2)	NA	-366	RP11-203B9.4								
Interval_2783	chr11	64360207	64360728	+	0	NA	intron (RPS6KA4, intron 3 of 16)	NA	1294	RPS6KA4								
Interval_1241	chr1	167668117	167668348	+	0	NA	intron (RCSD1, intron 1 of 6)	NA	-36697	LOC102724466								
Interval_2336	chr10	131993149	131993409	+	0	NA	Intergenic	NA	-11348	BNIP3								
Interval_3431	chr12	32755245	32755484	+	0	NA	exon (YARS2, exon 1 of 5)	NA	597	YARS2								
Interval_800	chr1	89429114	89429334	+	0	NA	Intergenic	NA	21545	GBP1P1								
Interval_3831	chr12	109895450	109895608	+	0	NA	Intergenic	NA	-4745	TCHP								
Interval_11006	chr21	28459256	28459466	+	0	NA	Intergenic	NA	-12893	LOC101928011								
Interval_14314	chr6	54198327	54198486	+	0	NA	intron (MLIP, intron 9 of 12)	NA	86910	MLIP								
Interval_4189	chr13	29368922	29369316	+	0	NA	intron (MTUS2, intron 6 of 13)	NA	-59521	MTUS2								
Interval_8908	chr19	49490732	49490905	+	0	NA	promoter-TSS (SNORD35A)	NA	-89	SNORD34								
Interval_4729	chr14	100193059	100193345	+	0	NA	Intergenic	NA	-26363	DEGS2								
Interval_14099	chr6	30556408	30556754	+	0	NA	promoter-TSS (PRR3)	NA	-128	PRR3								
Interval_13458	chr5	125607556	125607735	+	0	NA	Intergenic	NA	114384	RP11-756H20.1								
Interval_3410	chr12	31325104	31325313	+	0	NA	promoter-TSS (FAM60A)	NA	892	FLJ13224								
Interval_7695	chr19	2296239	2296469	+	0	NA	intron (LINGO3, intron 1 of 1)	NA	-6856	LOC101928572								
Interval_17482	chrX	72100935	72101158	+	0	NA	intron (NHSL2, intron 4 of 10)	NA	30855	RGAG4								
Interval_12436	chr3	186210400	186210596	+	0	NA	intron (DGKG, intron 20 of 23)	NA	-101386	ETV5								
Interval_6718	chr17	45175193	45175484	+	0	NA	Intergenic	NA	13507	HEXIM2								
Interval_9979	chr2	169573741	169574068	+	0	NA	promoter-TSS (FASTKD1)	NA	17	FASTKD1								
Interval_5065	chr15	65296076	65296551	+	0	NA	TTS (RNU5A-1)	NA	262	RNU5A-1								
Interval_12928	chr4	118942594	118942782	+	0	NA	intron (SYNPO2, intron 1 of 2)	NA	53847	SYNPO2								
Interval_15783	chr8	25198855	25199246	+	0	NA	intron (DOCK5, intron 1 of 51)	NA	14278	DOCK5								
Interval_16722	chr9	33031423	33031765	+	0	NA	intron (DNAJA1, intron 5 of 8)	NA	6383	DNAJA1								
Interval_671	chr1	46489049	46489339	+	0	NA	promoter-TSS (DMBX1)	NA	-17802	DMBX1								
Interval_589	chr1	39859276	39859607	+	0	NA	intron (TRIT1, intron 1 of 10)	NA	24059	TRIT1								
Interval_15632	chr8	6690396	6690640	+	0	NA	intron (LOC102723801, intron 1 of 2)	NA	-16241	LOC102723801								
Interval_11606	chr22	50341079	50341315	+	0	NA	Intergenic	NA	-14109	DENND6B								
Interval_11061	chr21	35942314	35942484	+	0	NA	Intergenic	NA	42431	LOC101928269								
Interval_4012	chr12	122889234	122889462	+	0	NA	intron (VPS37B, intron 1 of 4)	NA	6668	VPS37B								
Interval_2228	chr10	104349511	104349896	+	0	NA	Intergenic	NA	3872	CCDC147-AS1								
Interval_15717	chr8	20984522	20984717	+	0	NA	intron (RP11-421P23.1, intron 2 of 4)	NA	10633	RP11-421P23.1								
Interval_10601	chr20	32017911	32018115	+	0	NA	exon (CCM2L, exon 4 of 9)	NA	7616	CCM2L								
Interval_4109	chr12	132986182	132986436	+	0	NA	promoter-TSS (ZNF26)	NA	-56	ZNF26								
Interval_2140	chr10	95694156	95694426	+	0	NA	promoter-TSS (TCTN3)	NA	-148	TCTN3								
Interval_2073	chr10	84156876	84157109	+	0	NA	Intergenic	NA	15084	LOC642934								
Interval_14058	chr6	27806952	27807305	+	0	NA	TTS (HIST1H2BL)	NA	803	HIST1H2BL								
Interval_14098	chr6	30529472	30529745	+	0	NA	Intergenic	NA	-27101	PRR3								
Interval_14060	chr6	27808074	27808346	+	0	NA	promoter-TSS (HIST1H2AI)	NA	11	HIST1H2AI								
Interval_1800	chr10	30027340	30027574	+	0	NA	exon (KIAA1462, exon 3 of 4)	NA	32102	KIAA1462								
Interval_8219	chr19	16138005	16138255	+	0	NA	intron (HSH2D, intron 1 of 7)	NA	4102	HSH2D								
Interval_14536	chr6	134511032	134511255	+	0	NA	Intergenic	NA	13373	LOC101928249								
Interval_6193	chr17	876373	876652	+	0	NA	intron (NXN, intron 1 of 6)	NA	-33120	LOC101927727								
Interval_532	chr1	33455626	33456046	+	0	NA	Intergenic	NA	-16795	ZSCAN20								
Interval_16078	chr8	66867221	66867458	+	0	NA	Intergenic	NA	-3410	MCMDC2								
Interval_6471	chr17	24421352	24421600	+	0	NA	Intergenic	NA	-1898290	LOC102723754								
Interval_9716	chr2	99141254	99141764	+	0	NA	promoter-TSS (TSGA10)	NA	-213	C2orf15								
Interval_16826	chr9	91147764	91147994	+	0	NA	Intergenic	NA	-28851	LOC100507103								
Interval_336	chr1	23539878	23540310	+	0	NA	Intergenic	NA	-8874	E2F2								
Interval_17476	chrX	70434155	70434369	+	0	NA	TTS (GDPD2)	NA	11231	GDPD2								
Interval_8458	chr19	35120557	35120760	+	0	NA	intron (FXYD3, intron 3 of 7)	NA	-2042	MIR6887								
Interval_2737	chr11	62427393	62427739	+	0	NA	Intergenic	NA	8531	SCGB1A1								
Interval_10156	chr2	216486771	216486929	+	0	NA	exon (LOC100507554, exon 4 of 4)	NA	11917	LOC100507554								
Interval_13647	chr5	150489933	150490263	+	0	NA	intron (NDST1, intron 1 of 14)	NA	-4106	LOC102546298								
Interval_7642	chr19	1261881	1262123	+	0	NA	Intergenic	NA	-7266	CIRBP								
Interval_4229	chr13	35512569	35512894	+	0	NA	intron (NBEA, intron 1 of 17)	NA	-36036	MAB21L1								
Interval_365	chr1	24726941	24727261	+	0	NA	Intergenic	NA	-18168	CLIC4								
Interval_7178	chr17	82494298	82494672	+	0	NA	TTS (TRNAM14)	NA	307	TRNAM14								
Interval_677	chr1	46587055	46587636	+	0	NA	promoter-TSS (MKNK1)	NA	2919	LOC101929673								
Interval_6397	chr17	15440405	15440594	+	0	NA	intron (TVP23C-CDRT4, intron 4 of 5)	NA	27112	CDRT4								
Interval_12448	chr3	187850688	187850874	+	0	NA	Intergenic	NA	-114284	BCL6								
Interval_7749	chr19	3557188	3557403	+	0	NA	exon (MFSD12, exon 1 of 10)	NA	284	MFSD12								
Interval_14113	chr6	31585643	31585864	+	0	NA	promoter-TSS (LST1)	NA	-1447	LST1								
Interval_5416	chr16	546933	547171	+	0	NA	exon (CAPN15, exon 3 of 13)	NA	3716	MIR3176								
Interval_6640	chr17	40598923	40599201	+	0	NA	Intergenic	NA	-33578	CCR7								
Interval_5339	chr15	91264702	91264890	+	0	NA	intron (SV2B, intron 7 of 13)	NA	164844	SV2B								
Interval_12685	chr4	36244291	36244599	+	0	NA	promoter-TSS (ARAP2)	NA	-93	ARAP2								
Interval_6807	chr17	51113509	51113672	+	0	NA	intron (SPAG9, intron 1 of 29)	NA	-39946	NME1-NME2								
Interval_1316	chr1	182917492	182917781	+	0	NA	intron (SHCBP1L, intron 6 of 9)	NA	35782	SHCBP1L								
Interval_3020	chr11	86743744	86743916	+	0	NA	Intergenic	NA	-19687	LOC102724775								
Interval_13383	chr5	88845440	88845690	+	0	NA	intron (MEF2C, intron 2 of 10)	NA	-43743	MEF2C-AS1								
Interval_3233	chr12	1925312	1925563	+	0	NA	Intergenic	NA	-6733	CACNA2D4								
Interval_12438	chr3	186257875	186258146	+	0	NA	intron (DGKG, intron 15 of 23)	NA	104224	DGKG								
Interval_3378	chr12	25712131	25712516	+	0	NA	Intergenic	NA	-159040	IFLTD1								
Interval_6081	chr16	85553966	85554133	+	0	NA	promoter-TSS (GSE1)	NA	-57374	GSE1								
Interval_15471	chr7	139640616	139641129	+	0	NA	promoter-TSS (LOC101928984)	NA	-790	LOC101928984								
Interval_2511	chr11	12090159	12090408	+	0	NA	Intergenic	NA	-18158	LOC102724888								
Interval_9067	chr19	55006054	55006484	+	0	NA	Intergenic	NA	31995	GP6								
Interval_10766	chr20	47735759	47736176	+	0	NA	intron (SULF2, intron 3 of 20)	NA	49520	SULF2								
Interval_2919	chr11	70587083	70587242	+	0	NA	intron (SHANK2, intron 17 of 23)	NA	-43932	SHANK2-AS1								
Interval_5044	chr15	63896635	63896966	+	0	NA	Intergenic	NA	-25781	MIR422A								
Interval_8285	chr19	17419804	17420158	+	0	NA	promoter-TSS (MVB12A)	NA	-122	MVB12A								
Interval_3287	chr12	7752682	7752847	+	0	NA	Intergenic	NA	-3291	CLEC4C								
Interval_10827	chr20	50641383	50641611	+	0	NA	intron (FAM65C, intron 1 of 18)	NA	-3715	LOC100506175								
Interval_15555	chr7	152675969	152676133	+	0	NA	exon (XRCC2, exon 1 of 3)	NA	114	XRCC2								
Interval_1956	chr10	69408735	69409094	+	0	NA	intron (TACR2, intron 3 of 4)	NA	8004	TACR2								
Interval_3032	chr11	93718196	93718534	+	0	NA	intron (KIAA1731, intron 17 of 28)	NA	-3149	SCARNA9								
Interval_11401	chr22	37297577	37297954	+	0	NA	intron (CYTH4, intron 5 of 12)	NA	15311	CYTH4								
Interval_6936	chr17	67717689	67717926	+	0	NA	promoter-TSS (NOL11)	NA	-138	NOL11								
Interval_10005	chr2	173898102	173898590	+	0	NA	Intergenic	NA	67356	SP3								
Interval_6568	chr17	35778220	35778443	+	0	NA	TTS (MMP28)	NA	17305	MMP28								
Interval_2904	chr11	69505599	69505851	+	0	NA	Intergenic	NA	20164	LOC101928292								
Interval_7379	chr18	55988482	55988979	+	0	NA	Intergenic	NA	-68531	RP11-214L13.1								
Interval_13030	chr4	153467158	153467408	+	0	NA	intron (KIAA0922, intron 2 of 34)	NA	122634	MND1								
Interval_15218	chr7	90346547	90346682	+	0	NA	promoter-TSS (GTPBP10)	NA	-51	GTPBP10								
Interval_17394	chrX	1701424	1701786	+	0	NA	Intergenic	NA	86557	ASMT								
Interval_15757	chr8	23073791	23073958	+	0	NA	intron (RP11-875O11.2, intron 1 of 2)	NA	-4687	TNFRSF10B								
Interval_11909	chr3	49042626	49042825	+	0	NA	intron (QRICH1, intron 7 of 10)	NA	-13091	IMPDH2								
Interval_2884	chr11	68312161	68312447	+	0	NA	promoter-TSS (LRP5)	NA	-336	LRP5								
Interval_14503	chr6	127341633	127341842	+	0	NA	intron (ECHDC1, intron 1 of 6)	NA	1872	ECHDC1								
Interval_10798	chr20	49895927	49896096	+	0	NA	Intergenic	NA	19327	SPATA2								
Interval_3321	chr12	11667344	11667785	+	0	NA	intron (ETV6, intron 1 of 7)	NA	17710	ETV6								
Interval_15518	chr7	149261920	149262052	+	0	NA	promoter-TSS (ZNF783)	NA	-185	ZNF783								
Interval_3028	chr11	90344639	90344870	+	0	NA	intron (DISC1FP1, intron 1 of 6)	NA	93522	DISC1FP1								
Interval_12649	chr4	16196572	16196833	+	0	NA	promoter-TSS (TAPT1)	NA	23	TAPT1								
Interval_16732	chr9	33843300	33843766	+	0	NA	intron (UBE2R2, intron 1 of 3)	NA	-23889	RP11-133O22.6								
Interval_4034	chr12	123743171	123743544	+	0	NA	intron (ATP6V0A2, intron 9 of 18)	NA	6882	ATP6V0A2								
Interval_11833	chr3	42760567	42760725	+	0	NA	intron (CCDC13, intron 1 of 10)	NA	-9966	LOC729083								
Interval_8657	chr19	41960959	41961144	+	0	NA	Intergenic	NA	-1675	RABAC1								
Interval_14337	chr6	69796847	69797005	+	0	NA	exon (LMBRD1, exon 1 of 16)	NA	231	LMBRD1								
Interval_9243	chr2	16141285	16141472	+	0	NA	Intergenic	NA	-199655	MYCNOS								
Interval_9631	chr2	84959180	84959391	+	0	NA	Intergenic	NA	-12600	KCMF1								
Interval_1550	chr1	226726967	226727143	+	0	NA	intron (ITPKB, intron 2 of 2)	NA	12120	ITPKB								
Interval_3354	chr12	19761705	19761903	+	0	NA	Intergenic	NA	158641	LOC101928387								
Interval_4120	chr13	18213487	18213725	+	0	NA	intron (FAM230C, intron 1 of 7)	NA	18309	FAM230C								
