PeakID (cmd=annotatePeaks.pl IKZF1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_36036	chr9	104835173	104835365	+	0	NA	intron (ABCA1, intron 11 of 49)	NA	60917	LOC286367								
Interval_26696	chr4	3388607	3388932	+	0	NA	intron (RGS12, intron 4 of 17)	NA	18772	RGS12								
Interval_29077	chr5	143605450	143605848	+	0	NA	intron (NR3C1, intron 1 of 8)	NA	-74211	MIR5197								
Interval_9184	chr13	20412046	20412298	+	0	NA	intron (CRYL1, intron 5 of 6)	NA	21674	MIR4499								
Interval_30148	chr6	29964485	29964723	+	0	NA	Intergenic	NA	-10511	HCG9								
Interval_3643	chr1	247435455	247435624	+	0	NA	intron (NLRP3, intron 6 of 8)	NA	16443	OR2B11								
Interval_969	chr1	36224093	36224359	+	0	NA	promoter-TSS (THRAP3)	NA	-190	THRAP3								
Interval_23828	chr22	25419154	25419369	+	0	NA	Intergenic	NA	-12866	LOC102724336								
Interval_4351	chr10	69123739	69124539	+	0	NA	promoter-TSS (VPS26A)	NA	-13	VPS26A								
Interval_1554	chr1	86608516	86608725	+	0	NA	Intergenic	NA	-25656	CLCA3P								
Interval_34123	chr8	51727989	51728199	+	0	NA	intron (PXDNL, intron 1 of 22)	NA	12258	LOC102724313								
Interval_20865	chr2	156191567	156191783	+	0	NA	Intergenic	NA	141040	NR4A2								
Interval_18584	chr19	48746142	48746365	+	0	NA	exon (IZUMO1, exon 1 of 9)	NA	217	IZUMO1								
Interval_7823	chr12	45726929	45727159	+	0	NA	exon (LINC00938, exon 1 of 1)	NA	877	LINC00938								
Interval_27130	chr4	52059432	52059791	+	0	NA	intron (SPATA18, intron 1 of 8)	NA	-7211	SGCB								
Interval_3887	chr10	31032385	31032709	+	0	NA	promoter-TSS (ZNF438)	NA	-610	ZNF438								
Interval_9831	chr14	49598684	49598874	+	0	NA	promoter-TSS (LRR1)	NA	114	LRR1								
Interval_18792	chr19	51501701	51501900	+	0	NA	promoter-TSS (SIGLEC12)	NA	-1407	SIGLEC12								
Interval_11628	chr15	78536232	78536454	+	0	NA	intron (HYKK, intron 4 of 4)	NA	-4062	PSMA4								
Interval_4277	chr10	62545744	62545955	+	0	NA	intron (ZNF365, intron 1 of 6)	NA	25401	ZNF365								
Interval_1795	chr1	110307840	110308142	+	0	NA	intron (RP5-1074L1.1, intron 2 of 3)	NA	31180	RP5-1074L1.1								
Interval_14860	chr17	49965613	49965973	+	0	NA	Intergenic	NA	-6973	DLX4								
Interval_21535	chr2	225042496	225042697	+	0	NA	promoter-TSS (DOCK10)	NA	-32059	MIR4439								
Interval_28312	chr5	60700738	60700912	+	0	NA	promoter-TSS (DEPDC1B)	NA	-659	DEPDC1B								
Interval_37051	chrX	1392899	1393522	+	0	NA	Intergenic	NA	-1064	SLC25A6								
Interval_12900	chr16	58860015	58860251	+	0	NA	Intergenic	NA	-125776	GOT2								
Interval_963	chr1	36150840	36151175	+	0	NA	intron (TRAPPC3, intron 1 of 4)	NA	-1493	TRAPPC3								
Interval_18396	chr19	45469636	45469865	+	0	NA	intron (FOSB, intron 1 of 4)	NA	1754	FOSB								
Interval_8389	chr12	89244702	89245010	+	0	NA	Intergenic	NA	107663	DUSP6								
Interval_21794	chr2	241965864	241966309	+	0	NA	intron (AC131097.3, intron 3 of 3)	NA	-5189	LOC102723927								
Interval_1197	chr1	45499596	45499813	+	0	NA	promoter-TSS (MMACHC)	NA	375	CCDC163P								
Interval_16064	chr18	46250423	46250659	+	0	NA	intron (C18orf25, intron 3 of 4)	NA	76519	C18orf25								
Interval_13386	chr16	89956869	89957285	+	0	NA	intron (DEF8, intron 4 of 12)	NA	8346	DEF8								
Interval_18447	chr19	46529962	46530655	+	0	NA	intron (PPP5D1, intron 1 of 3)	NA	-34396	PNMAL2								
Interval_22120	chr20	17680428	17680737	+	0	NA	intron (RRBP1, intron 1 of 25)	NA	1701	RRBP1								
Interval_11052	chr15	51270768	51270972	+	0	NA	intron (CYP19A1, intron 1 of 9)	NA	28637	MIR4713								
Interval_2644	chr1	180572973	180573144	+	0	NA	Intergenic	NA	-58952	XPR1								
Interval_27171	chr4	55346374	55346847	+	0	NA	intron (SRD5A3, intron 1 of 4)	NA	368	SRD5A3								
Interval_950	chr1	35557378	35557591	+	0	NA	promoter-TSS (NCDN)	NA	-79	KIAA0319L								
Interval_28382	chr5	69442160	69442382	+	0	NA	TTS (MARVELD2)	NA	26895	MARVELD2								
Interval_34844	chr8	122595896	122596036	+	0	NA	Intergenic	NA	-185696	ZHX2								
Interval_9883	chr14	54354227	54354367	+	0	NA	Intergenic	NA	-42658	CDKN3								
Interval_9984	chr14	64683162	64683384	+	0	NA	Intergenic	NA	20977	LOC101927856								
Interval_22937	chr20	56245704	56245898	+	0	NA	Intergenic	NA	-2931	MC3R								
Interval_19649	chr2	45651010	45651216	+	0	NA	promoter-TSS (PRKCE)	NA	-562	PRKCE								
Interval_31410	chr6	152100307	152100535	+	0	NA	exon (ESR1, exon 9 of 9)	NA	294748	ESR1								
Interval_13203	chr16	84806244	84806584	+	0	NA	Intergenic	NA	-13571	CRISPLD2								
Interval_5462	chr11	3785380	3785517	+	0	NA	intron (NUP98, intron 1 of 25)	NA	12306	NUP98								
Interval_1453	chr1	66336142	66336416	+	0	NA	intron (PDE4B, intron 2 of 10)	NA	4379	PDE4B								
Interval_12460	chr16	27470728	27471362	+	0	NA	intron (GTF3C1, intron 30 of 36)	NA	-17652	IL21R-AS1								
Interval_20747	chr2	137707622	137707762	+	0	NA	Intergenic	NA	218715	LOC101928273								
Interval_32416	chr7	73908938	73909424	+	0	NA	Intergenic	NA	48022	WBSCR28								
Interval_15411	chr17	77088596	77088759	+	0	NA	promoter-TSS (LINC00338)	NA	34	LINC00338								
Interval_31971	chr7	27172709	27172876	+	0	NA	TTS (HOXA10-AS)	NA	1544	HOXA10								
Interval_24122	chr22	37805115	37805526	+	0	NA	exon (H1F0, exon 1 of 1)	NA	213	H1F0								
Interval_34197	chr8	58172527	58173131	+	0	NA	Intergenic	NA	99272	LOC101929528								
Interval_1650	chr1	94615042	94615387	+	0	NA	Intergenic	NA	9202	LOC102723542								
Interval_29272	chr5	160199529	160199764	+	0	NA	intron (FABP6, intron 2 of 5)	NA	12274	FABP6								
Interval_11317	chr15	66908289	66908542	+	0	NA	Intergenic	NA	33739	LOC102723481								
Interval_4282	chr10	62622324	62622474	+	0	NA	intron (ZNF365, intron 1 of 6)	NA	101951	ZNF365								
Interval_31532	chr6	160991111	160991367	+	0	NA	promoter-TSS (MAP3K4)	NA	-551	MAP3K4								
Interval_27189	chr4	56906529	56906666	+	0	NA	Intergenic	NA	-1497	REST								
Interval_24233	chr22	40463193	40463333	+	0	NA	exon (MKL1, exon 4 of 15)	NA	-58537	RP4-591N18.2								
Interval_5081	chr10	113953681	113953823	+	0	NA	Intergenic	NA	-90295	ADRB1								
Interval_30301	chr6	32969365	32970237	+	0	NA	intron (BRD2, intron 1 of 12)	NA	-1087	BRD2								
Interval_14542	chr17	41480094	41480382	+	0	NA	intron (KRT35, intron 1 of 7)	NA	902	KRT35								
Interval_25187	chr3	46089235	46089376	+	0	NA	Intergenic	NA	-61818	XCR1								
Interval_24470	chr22	50330837	50330994	+	0	NA	Intergenic	NA	-3827	DENND6B								
Interval_15648	chr17	82735410	82735565	+	0	NA	promoter-TSS (FN3K)	NA	-89	FN3K								
Interval_35570	chr9	25990289	25990625	+	0	NA	Intergenic	NA	-76218	LOC100506422								
Interval_26694	chr4	3373027	3373229	+	0	NA	intron (RGS12, intron 1 of 15)	NA	3131	RGS12								
Interval_27421	chr4	100428127	100428384	+	0	NA	intron (EMCN, intron 4 of 10)	NA	89797	EMCN								
Interval_29609	chr6	1553656	1553953	+	0	NA	intron (LOC102723958, intron 1 of 1)	NA	1396	LOC102723958								
Interval_20958	chr2	169047466	169047673	+	0	NA	Intergenic	NA	-16247	ABCB11								
Interval_32131	chr7	39621792	39621958	+	0	NA	Intergenic	NA	-43351	RALA								
Interval_29527	chr5	179759766	179760114	+	0	NA	intron (MAML1, intron 1 of 4)	NA	27090	MAML1								
Interval_17466	chr19	14375242	14375515	+	0	NA	Intergenic	NA	-5766	CD97								
Interval_1616	chr1	92202040	92202209	+	0	NA	Intergenic	NA	-15892	C1orf146								
Interval_34398	chr8	80151447	80151695	+	0	NA	intron (TPD52, intron 1 of 6)	NA	20088	TPD52								
Interval_7604	chr12	12910060	12910251	+	0	NA	intron (GPRC5A, intron 2 of 3)	NA	-5727	MIR614								
Interval_1006	chr1	37690386	37690633	+	0	NA	promoter-TSS (C1orf109)	NA	1722	C1orf109								
Interval_1969	chr1	144560779	144561030	+	0	NA	Intergenic	NA	6684	TRNAN15								
Interval_4570	chr10	78937544	78937681	+	0	NA	Intergenic	NA	129836	ZMIZ1-AS1								
Interval_32920	chr7	128443642	128443780	+	0	NA	Intergenic	NA	-12119	HILPDA								
Interval_3780	chr10	22825811	22826224	+	0	NA	Intergenic	NA	-102011	ARMC3								
Interval_19338	chr2	27156689	27156835	+	0	NA	Intergenic	NA	7794	TCF23								
Interval_10136	chr14	72528544	72528723	+	0	NA	intron (RGS6, intron 14 of 15)	NA	11767	MIR7843								
Interval_29945	chr6	16760066	16760390	+	0	NA	intron (ATXN1, intron 1 of 8)	NA	1262	ATXN1								
Interval_3998	chr10	38513237	38513398	+	0	NA	Intergenic	NA	85171	LINC00999								
Interval_11808	chr15	90189022	90189350	+	0	NA	intron (SEMA4B, intron 1 of 14)	NA	4266	SEMA4B								
Interval_386	chr1	16613311	16613712	+	0	NA	promoter-TSS (NBPF1)	NA	94	NBPF1								
Interval_6275	chr11	64855115	64855277	+	0	NA	intron (EHD1, intron 5 of 5)	NA	-10627	CDC42BPG								
Interval_31343	chr6	147044261	147044504	+	0	NA	intron (STXBP5-AS1, intron 5 of 10)	NA	-160014	STXBP5								
Interval_30260	chr6	31863626	31863922	+	0	NA	promoter-TSS (NEU1)	NA	-842	NEU1								
Interval_31375	chr6	149485320	149485457	+	0	NA	promoter-TSS (ZC3H12D)	NA	-376	ZC3H12D								
Interval_24441	chr22	48198661	48198830	+	0	NA	Intergenic	NA	-75619	MIR3201								
Interval_33683	chr8	25184401	25184713	+	0	NA	promoter-TSS (DOCK5)	NA	-229	DOCK5								
Interval_35716	chr9	36560696	36560972	+	0	NA	Intergenic	NA	-12028	MELK								
Interval_25483	chr3	57802106	57802306	+	0	NA	intron (SLMAP, intron 2 of 22)	NA	45985	SLMAP								
Interval_26184	chr3	159830728	159830868	+	0	NA	intron (SCHIP1, intron 2 of 7)	NA	-6306	LOC101928351								
Interval_25143	chr3	44624814	44625033	+	0	NA	promoter-TSS (ZNF197)	NA	-96	ZNF197								
Interval_22371	chr20	32109709	32109940	+	0	NA	promoter-TSS (TM9SF4)	NA	318	TM9SF4								
Interval_7176	chr11	128565998	128566270	+	0	NA	intron (ETS1, intron 2 of 9)	NA	21424	ETS1								
Interval_17220	chr19	10286793	10286946	+	0	NA	promoter-TSS (ICAM4)	NA	-98	ICAM4								
Interval_5346	chr11	208142	208577	+	0	NA	promoter-TSS (BET1L)	NA	848	RIC8A								
Interval_10337	chr14	87799433	87799613	+	0	NA	Intergenic	NA	193748	GALC								
Interval_30103	chr6	27871441	27871720	+	0	NA	TTS (HIST1H3I)	NA	741	HIST1H3I								
Interval_21263	chr2	202377344	202377616	+	0	NA	exon (BMPR2, exon 1 of 13)	NA	1153	BMPR2								
Interval_37111	chrX	10175809	10176036	+	0	NA	intron (CLCN4, intron 2 of 10)	NA	18977	CLCN4								
Interval_37340	chrX	56782549	56782783	+	0	NA	intron (LOC550643, intron 2 of 2)	NA	-45082	UQCRBP1								
Interval_16388	chr18	70288438	70288738	+	0	NA	promoter-TSS (SOCS6)	NA	-25686	SOCS6								
Interval_19696	chr2	47072177	47073150	+	0	NA	intron (TTC7A, intron 19 of 19)	NA	82715	C2orf61								
Interval_22999	chr20	59770238	59770412	+	0	NA	intron (PHACTR3, intron 5 of 12)	NA	49115	PHACTR3								
Interval_36017	chr9	100444208	100444345	+	0	NA	intron (MSANTD3-TMEFF1, intron 1 of 9)	NA	2370	MSANTD3-TMEFF1								
Interval_26567	chr3	196099601	196099867	+	0	NA	Intergenic	NA	-17573	TFRC								
Interval_27887	chr4	186191046	186191713	+	0	NA	promoter-TSS (CYP4V2)	NA	111	FLJ38576								
Interval_22072	chr20	11182940	11183077	+	0	NA	Intergenic	NA	90375	LOC339593								
Interval_34415	chr8	81026440	81026800	+	0	NA	intron (PAG1, intron 3 of 9)	NA	85448	PAG1								
Interval_35057	chr8	129995195	129995524	+	0	NA	intron (FAM49B, intron 1 of 14)	NA	13022	MIR5194								
Interval_36388	chr9	125707162	125707388	+	0	NA	promoter-TSS (MAPKAP1)	NA	-41	MAPKAP1								
Interval_5146	chr10	119618454	119618634	+	0	NA	Intergenic	NA	-21582	TIAL1								
Interval_20971	chr2	170812794	170812943	+	0	NA	Intergenic	NA	-3824	GAD1								
Interval_13614	chr17	5226260	5226495	+	0	NA	intron (RP11-333E1.1, intron 5 of 7)	NA	8502	SCIMP								
Interval_4965	chr10	102650655	102650977	+	0	NA	intron (TRIM8, intron 1 of 5)	NA	6321	TRIM8								
Interval_25446	chr3	53833513	53833691	+	0	NA	intron (CHDH, intron 2 of 8)	NA	12790	CHDH								
Interval_29147	chr5	150409877	150410144	+	0	NA	intron (CD74, intron 1 of 7)	NA	2970	CD74								
Interval_23427	chr21	33976327	33976690	+	0	NA	exon (LOC101928126, exon 1 of 2)	NA	1025	LOC101928126								
Interval_20572	chr2	118249656	118249818	+	0	NA	Intergenic	NA	-63298	LOC100506797								
Interval_3064	chr1	207869107	207869543	+	0	NA	Intergenic	NA	42013	CD34								
Interval_30816	chr6	73597682	73598032	+	0	NA	intron (SLC17A5, intron 9 of 9)	NA	56115	SLC17A5								
Interval_11993	chr16	684290	684611	+	0	NA	promoter-TSS (JMJD8)	NA	-10	JMJD8								
Interval_7948	chr12	50242126	50242489	+	0	NA	intron (LIMA1, intron 2 of 10)	NA	-8095	MIR1293								
Interval_29197	chr5	151684262	151684488	+	0	NA	intron (CTB-113P19.1, intron 3 of 4)	NA	2679	SPARC								
Interval_20845	chr2	151305336	151305473	+	0	NA	Intergenic	NA	-15488	NMI								
Interval_11029	chr15	50876940	50877203	+	0	NA	Intergenic	NA	-31554	AP4E1								
Interval_26311	chr3	178552170	178552325	+	0	NA	intron (KCNMB2, intron 1 of 4)	NA	-6453	KCNMB2								
Interval_5226	chr10	124671482	124671913	+	0	NA	intron (FAM53B, intron 4 of 4)	NA	-32224	FAM53B-AS1								
Interval_26024	chr3	138347974	138348670	+	0	NA	promoter-TSS (MRAS)	NA	674	MRAS								
Interval_31057	chr6	111361769	111361916	+	0	NA	intron (REV3L, intron 17 of 32)	NA	102563	KIAA1919								
Interval_8012	chr12	52197956	52198255	+	0	NA	Intergenic	NA	-6105	KRT80								
Interval_1273	chr1	51517744	51518365	+	0	NA	intron (EPS15, intron 1 of 23)	NA	-70015	EPS15								
Interval_4525	chr10	75210167	75210341	+	0	NA	promoter-TSS (VDAC2)	NA	-288	VDAC2								
Interval_2010	chr1	147225550	147225743	+	0	NA	promoter-TSS (FMO5)	NA	-8	FMO5								
Interval_740	chr1	27725097	27725299	+	0	NA	promoter-TSS (FAM76A)	NA	-781	FAM76A								
Interval_36094	chr9	107963292	107963511	+	0	NA	Intergenic	NA	-473635	KLF4								
Interval_33755	chr8	27827708	27827993	+	0	NA	intron (PBK, intron 3 of 7)	NA	10245	PBK								
Interval_33686	chr8	25195155	25195627	+	0	NA	intron (DOCK5, intron 1 of 50)	NA	10605	DOCK5								
Interval_19091	chr2	8583921	8584171	+	0	NA	promoter-TSS (AC011747.4)	NA	-254	AC011747.4								
Interval_19016	chr19	58183611	58184025	+	0	NA	intron (ZNF274, intron 1 of 4)	NA	829	ZNF274								
Interval_26742	chr4	7646535	7646789	+	0	NA	intron (SORCS2, intron 4 of 26)	NA	-107428	AFAP1-AS1								
Interval_18262	chr19	43503851	43504231	+	0	NA	exon (PHLDB3, exon 2 of 14)	NA	880	PHLDB3								
Interval_10711	chr15	19956439	19956603	+	0	NA	Intergenic	NA	-326223	CHEK2P2								
Interval_11797	chr15	90001306	90001491	+	0	NA	promoter-TSS (ZNF710)	NA	-5357	MIR3174								
Interval_3075	chr1	208766976	208767148	+	0	NA	Intergenic	NA	384443	LOC100509303								
Interval_27209	chr4	67558577	67558733	+	0	NA	promoter-TSS (STAP1)	NA	-97	STAP1								
Interval_32573	chr7	90530453	90530626	+	0	NA	Intergenic	NA	60906	LOC102723899								
Interval_28797	chr5	132458936	132459617	+	0	NA	intron (C5orf56, intron 3 of 3)	NA	31497	IRF1								
Interval_7455	chr12	6809497	6809681	+	0	NA	intron (CD4, intron 3 of 9)	NA	-12208	GPR162								
Interval_13969	chr17	21043164	21043600	+	0	NA	promoter-TSS (USP22)	NA	27	USP22								
Interval_20349	chr2	99771742	99772294	+	0	NA	intron (AFF3, intron 7 of 23)	NA	-282051	REV1								
Interval_17793	chr19	28613580	28613757	+	0	NA	exon (LOC102724908, exon 4 of 4)	NA	6980	LOC102724908								
Interval_3485	chr1	234975943	234976153	+	0	NA	Intergenic	NA	93770	LOC731656								
Interval_1653	chr1	94720237	94720374	+	0	NA	intron (LINC01057, intron 2 of 4)	NA	25594	MIR378G								
Interval_37852	chrY	11706352	11706492	+	0	NA	Intergenic	NA	715168	GYG2P1								
Interval_12025	chr16	2206794	2206980	+	0	NA	intron (MLST8, intron 4 of 7)	NA	1645	MLST8								
Interval_28086	chr5	32554526	32554732	+	0	NA	Intergenic	NA	-30870	SUB1								
Interval_5128	chr10	118756892	118757029	+	0	NA	Intergenic	NA	-30580	CACUL1								
Interval_8442	chr12	94073772	94074052	+	0	NA	Intergenic	NA	-74811	PLXNC1								
Interval_7813	chr12	45216402	45216560	+	0	NA	promoter-TSS (PLEKHA8P1)	NA	456	ANO6								
Interval_26090	chr3	149245819	149246081	+	0	NA	Intergenic	NA	21673	LOC101927942								
Interval_30424	chr6	36386850	36387016	+	0	NA	intron (ETV7, intron 1 of 7)	NA	858	ETV7								
Interval_17229	chr19	10380306	10380968	+	0	NA	promoter-TSS (TYK2)	NA	-65	TYK2								
Interval_23141	chr21	7942319	7942469	+	0	NA	Intergenic	NA	-112762	LOC102723475								
Interval_2750	chr1	184160190	184160410	+	0	NA	Intergenic	NA	47432	LOC102724830								
Interval_12792	chr16	55153728	55153935	+	0	NA	Intergenic	NA	-170728	IRX6								
Interval_630	chr1	25690191	25690406	+	0	NA	intron (MAN1C1, intron 1 of 9)	NA	72830	MAN1C1								
Interval_14928	chr17	55690216	55690399	+	0	NA	Intergenic	NA	32557	TMEM100								
Interval_35828	chr9	83980696	83980834	+	0	NA	promoter-TSS (RMI1)	NA	-11	RMI1								
Interval_35983	chr9	98971325	98971506	+	0	NA	intron (COL15A1, intron 2 of 41)	NA	27702	COL15A1								
Interval_15327	chr17	75204945	75205514	+	0	NA	promoter-TSS (NUP85)	NA	-461	NUP85								
Interval_20316	chr2	96888705	96888842	+	0	NA	intron (FAM178B, intron 13 of 15)	NA	9360	FAM178B								
Interval_2596	chr1	175124715	175125110	+	0	NA	intron (TNN, intron 12 of 18)	NA	57054	TNN								
Interval_36774	chrUn_GL000216v2	16508	16880	+	0	NA	NA	NA	NA	NA								
Interval_25680	chr3	104053149	104053580	+	0	NA	Intergenic	NA	-529258	MIR548AB								
Interval_1449	chr1	66250595	66250802	+	0	NA	intron (PDE4B, intron 2 of 14)	NA	-81202	PDE4B								
Interval_23863	chr22	27212532	27213016	+	0	NA	Intergenic	NA	-97877	LOC100507657								
Interval_32262	chr7	48095508	48095647	+	0	NA	intron (UPP1, intron 4 of 6)	NA	6471	UPP1								
Interval_34959	chr8	125527748	125528008	+	0	NA	Intergenic	NA	94761	TRIB1								
Interval_16905	chr19	4400515	4400856	+	0	NA	promoter-TSS (SH3GL1)	NA	-117	SH3GL1								
Interval_5822	chr11	35236651	35237008	+	0	NA	Intergenic	NA	97686	CD44								
Interval_9132	chr12	131148029	131148193	+	0	NA	Intergenic	NA	-16900	RP11-638F5.1								
Interval_25555	chr3	69500346	69500953	+	0	NA	Intergenic	NA	-114370	FRMD4B								
Interval_22981	chr20	58897571	58897750	+	0	NA	intron (GNAS, intron 2 of 11)	NA	6289	GNAS								
Interval_7171	chr11	128496819	128497107	+	0	NA	intron (ETS1, intron 3 of 9)	NA	-25427	MIR6090								
Interval_981	chr1	36401232	36401436	+	0	NA	Intergenic	NA	-3442	LSM10								
Interval_9961	chr14	61603895	61604066	+	0	NA	intron (FLJ22447, intron 1 of 2)	NA	33440	FLJ22447								
Interval_22858	chr20	50929393	50929531	+	0	NA	intron (ADNP, intron 1 of 4)	NA	-1522	RP5-914P20.5								
Interval_13296	chr16	87161212	87161580	+	0	NA	Intergenic	NA	-50726	RP11-899L11.1								
Interval_24352	chr22	44026432	44027261	+	0	NA	intron (PARVB, intron 1 of 12)	NA	-59956	PARVB								
Interval_856	chr1	31956025	31956541	+	0	NA	Intergenic	NA	-17925	PTP4A2								
Interval_19485	chr2	38098652	38098864	+	0	NA	Intergenic	NA	-22577	CYP1B1								
Interval_4034	chr10	38811667	38811889	+	0	NA	Intergenic	NA	115182	ACTR3BP5								
Interval_5880	chr11	44301988	44302161	+	0	NA	intron (ALX4, intron 1 of 3)	NA	8092	ALX4								
Interval_37195	chrX	29021734	29021902	+	0	NA	intron (IL1RAPL1, intron 2 of 10)	NA	434254	IL1RAPL1								
Interval_8430	chr12	92927816	92927953	+	0	NA	intron (EEA1, intron 1 of 28)	NA	833	EEA1								
Interval_21760	chr2	240565886	240566023	+	0	NA	Intergenic	NA	-2584	RNPEPL1								
Interval_6351	chr11	65818166	65818411	+	0	NA	Intergenic	NA	15209	LOC101927853								
Interval_30473	chr6	37169149	37169465	+	0	NA	promoter-TSS (PIM1)	NA	-839	PIM1								
Interval_12837	chr16	56911720	56912463	+	0	NA	intron (SLC12A3, intron 25 of 25)	NA	7764	MIR6863								
Interval_17557	chr19	16351556	16351709	+	0	NA	Intergenic	NA	26792	KLF2								
Interval_11114	chr15	55247395	55247601	+	0	NA	intron (RAB27A, intron 1 of 6)	NA	23411	RAB27A								
Interval_19144	chr2	10398567	10398928	+	0	NA	intron (HPCAL1, intron 2 of 4)	NA	48102	SNORA80B								
Interval_36246	chr9	114655583	114655998	+	0	NA	Intergenic	NA	35451	RP11-402G3.3								
Interval_33986	chr8	38936802	38936984	+	0	NA	intron (PLEKHA2, intron 3 of 11)	NA	35658	PLEKHA2								
Interval_3886	chr10	31031427	31031975	+	0	NA	intron (ZNF438, intron 1 of 7)	NA	236	ZNF438								
Interval_3296	chr1	224791622	224791844	+	0	NA	Intergenic	NA	-137921	DNAH14								
Interval_15743	chr18	268073	268394	+	0	NA	promoter-TSS (THOC1)	NA	-174	THOC1								
Interval_2225	chr1	155244656	155245114	+	0	NA	promoter-TSS (GBA)	NA	-23	GBA								
Interval_30442	chr6	36650774	36651204	+	0	NA	Intergenic	NA	24137	PANDAR								
Interval_26496	chr3	192957465	192958018	+	0	NA	Intergenic	NA	-39580	MB21D2								
Interval_31313	chr6	144157112	144157284	+	0	NA	intron (STX11, intron 1 of 1)	NA	6681	STX11								
Interval_13471	chr17	1648904	1649167	+	0	NA	exon (RILP, exon 4 of 8)	NA	1063	RILP								
Interval_20395	chr2	101446862	101447374	+	0	NA	intron (RFX8, intron 2 of 11)	NA	27585	RFX8								
Interval_27851	chr4	184230150	184230379	+	0	NA	Intergenic	NA	-12303	ENPP6								
Interval_28299	chr5	57247390	57247601	+	0	NA	intron (GPBP1, intron 8 of 11)	NA	73502	GPBP1								
Interval_33164	chr7	150489933	150490111	+	0	NA	Intergenic	NA	-24835	GIMAP7								
Interval_22513	chr20	37336543	37337064	+	0	NA	Intergenic	NA	-7882	SRC								
Interval_22891	chr20	52407173	52407462	+	0	NA	Intergenic	NA	-213521	RP4-723E3.1								
Interval_34769	chr8	116638814	116638975	+	0	NA	Intergenic	NA	116929	EIF3H								
Interval_14882	chr17	50221263	50221584	+	0	NA	Intergenic	NA	6734	RP11-893F2.6								
Interval_34359	chr8	73294829	73295047	+	0	NA	promoter-TSS (RPL7)	NA	336	RDH10								
Interval_30465	chr6	37059250	37059536	+	0	NA	Intergenic	NA	45677	FGD2								
Interval_32780	chr7	105011827	105011979	+	0	NA	exon (KMT2E-AS1, exon 1 of 1)	NA	2238	KMT2E-AS1								
Interval_24165	chr22	38831283	38831609	+	0	NA	intron (NPTXR, intron 1 of 4)	NA	12566	NPTXR								
Interval_35055	chr8	129984182	129984739	+	0	NA	intron (FAM49B, intron 1 of 14)	NA	23921	MIR5194								
Interval_27780	chr4	165222673	165222958	+	0	NA	intron (KLHL2, intron 2 of 13)	NA	15045	KLHL2								
Interval_26466	chr3	188820009	188820146	+	0	NA	intron (LPP, intron 9 of 11)	NA	131243	MIR28								
Interval_1409	chr1	61616525	61616662	+	0	NA	Intergenic	NA	-37649	MGC34796								
Interval_11063	chr15	51623049	51623247	+	0	NA	promoter-TSS (DMXL2)	NA	-378	DMXL2								
Interval_3059	chr1	207833462	207833731	+	0	NA	Intergenic	NA	-13902	LOC101929385								
Interval_22426	chr20	34472617	34472811	+	0	NA	intron (ITCH, intron 16 of 24)	NA	6329	MIR644A								
Interval_15283	chr17	74463289	74463485	+	0	NA	Intergenic	NA	-3258	CD300A								
Interval_34841	chr8	122390264	122390418	+	0	NA	Intergenic	NA	-391321	ZHX2								
Interval_17871	chr19	33300002	33300161	+	0	NA	exon (CEBPA, exon 1 of 1)	NA	2483	CEBPA								
Interval_2991	chr1	205679810	205680041	+	0	NA	promoter-TSS (SLC45A3)	NA	52	SLC45A3								
Interval_9778	chr14	34951455	34951615	+	0	NA	intron (LOC100506157, intron 3 of 3)	NA	11613	IGBP1P1								
Interval_8068	chr12	53675959	53676777	+	0	NA	promoter-TSS (ATP5G2)	NA	360	ATP5G2								
Interval_36314	chr9	121282223	121282623	+	0	NA	intron (GSN, intron 1 of 17)	NA	3107	GSN-AS1								
Interval_4564	chr10	78578923	78579087	+	0	NA	Intergenic	NA	311677	LINC00595								
Interval_31237	chr6	138162434	138162583	+	0	NA	intron (KIAA1244, intron 1 of 33)	NA	-22994	KIAA1244								
Interval_18647	chr19	49487611	49487809	+	0	NA	intron (RPL13A, intron 1 of 7)	NA	156	RPL13A								
Interval_22870	chr20	51033694	51033989	+	0	NA	Intergenic	NA	-10703	KCNG1								
Interval_1792	chr1	110083412	110083585	+	0	NA	Intergenic	NA	-12798	ALX3								
Interval_30850	chr6	84093555	84094020	+	0	NA	Intergenic	NA	60619	MRAP2								
Interval_30835	chr6	80029579	80029825	+	0	NA	intron (TTK, intron 13 of 21)	NA	25097	TTK								
Interval_7009	chr11	118571556	118571699	+	0	NA	promoter-TSS (ARCN1)	NA	-760	ARCN1								
Interval_9394	chr13	46551637	46551829	+	0	NA	Intergenic	NA	-1428	LRCH1								
Interval_6231	chr11	64205539	64206079	+	0	NA	promoter-TSS (FERMT3)	NA	-871	FERMT3								
Interval_21600	chr2	231052966	231053108	+	0	NA	Intergenic	NA	-3827	PSMD1								
Interval_33963	chr8	38445957	38446260	+	0	NA	intron (FGFR1, intron 2 of 18)	NA	-5736	FGFR1								
Interval_8777	chr12	113200155	113200449	+	0	NA	intron (IQCD, intron 3 of 4)	NA	14756	RITA1								
